204_148920_000000_000000	"Why," said Van Mounen, who was looking up and down the street in a bewildered way.	"Why," said Van Mounen, who was looking up and down the street in a bewildered way.	false	0	15.03	17.293104
204_148920_000000_000001	"We've walked right past the museum, and I don't see the boys.	"We've walked right past the museum, and I don't see the boys.	false	15.03	24	17.082706
204_148920_000000_000002	Let us go back."	Let us go back."	false	24	26.685	14.963028
204_148920_000001_000000	Leyden	Leyden	true	26.685	27.37	16.33704
204_148920_000002_000000	The boys met at the museum and were soon engaged in examining its extensive collection of curiosities, receiving a new insight into Egyptian life, ancient and modern.	The boys met at the museum and were soon engaged in examining its extensive collection of curiosities, receiving a new insight into Egyptian life, ancient and modern.	false	30.05	40.63	15
204_148920_000002_000001	Ben and Lambert had often visited the British Museum, but that did not prevent them from being surprised at the richness of the Leyden collection.	Ben and Lambert had often visited the British Museum, but that did not prevent them from being surprised at the richness of the Leyden collection.	true	41.06	49.24	13
204_148920_000002_000002	There were household utensils, wearing apparel, weapons, musical instruments, sarcophagi, and mummies of men, women, and cats, ibexes, and other creatures.	There were household utensils, wearing apparel, weapons, musical instruments, sarcophagi, and mummies of men, women, and cats, ibexes, and other creatures.	true	49.73	61.57	17
204_148920_000002_000003	They saw a massive gold armlet that had been worn by an Egyptian king at a time when some of these same mummies, perhaps, were nimbly treading the streets of Thebes; and jewels and trinkets such as Pharaoh's daughter wore, and the children of Israel borrowed when they departed out of Egypt.	They saw a massive gold armlet that had been worn by an Egyptian king at a time when some of these same mummies, perhaps, were nimbly treading the streets of Thebes; and jewels and trinkets such as Pharaoh's daughter wore, and the children of Israel borrowed when they departed out of Egypt.	true	62.15	80.11	15
204_148920_000003_000000	There were other interesting relics, from Rome and Greece, and some curious Roman pottery which had been discovered in digging near The Hague--relics of the days when the countrymen of Julius Caesar had settled there.	There were other interesting relics, from Rome and Greece, and some curious Roman pottery which had been discovered in digging near The Hague-relics of the days when the countrymen of Julius Caesar had settled there.	true	80.87	93.25	14
204_148920_000003_000001	Where have they not settled?	Where have they not settled?	true	94.13	95.94	15.911177
204_148920_000003_000002	I for one would hardly be astonished if relics of the ancient Romans should someday be found deep under the grass growing around the Bunker Hill monument.	I for one would hardly be astonished if relics of the ancient romans should someday be found deep under the grass growing around the Bunker Hill monument.	true	95.94	104.26	11
204_148920_000004_000000	When the boys left this museum, they went to another and saw a wonderful collection of fossil animals, skeletons, birds, minerals, precious stones, and other natural specimens, but as they were not learned men, they could only walk about and stare, enjoy the little knowledge of natural history they possessed, and wish with all their hearts they had acquired more.	When the boys left this museum, they went to another and saw a wonderful collection of fossil animals, skeletons, birds, minerals, precious stones, and other natural specimens, but as they were not learned men, they could only walk about and stare, enjoy the little knowledge of natural history they possessed, and wish with all their hearts they had acquired more.	true	105.23	128.26	16
204_148920_000004_000001	Even the skeleton of the mouse puzzled Jacob.	Even the skeleton of the mouse puzzled Jacob.	true	128.66	131.53	18
204_148920_000004_000002	What wonder?	What wonder?	true	131.84	132.88	18
204_148920_000004_000003	He was not used to seeing the cat-fearing little creatures running about in their bones--and how could he ever have imagined their necks to be so queer?	He was not used to seeing the cat fearing little creatures running about in their bones-and how could he ever have imagined their necks to be so queer?	true	133.19	141.61	14
204_148920_000005_000000	Besides the Museum of Natural History, there was Saint Peter's Church to be visited, containing Professor Luzac's memorial, and Boerhaave's monument of white and black marble, with its urn and carved symbols of the four ages of life, and its medallion of Boerhaave, adorned with his favorite motto, Simplex sigillum veri.	Besides the Museum of Natural History, there was Saint Peter's Church to be visited, containing Professor Luzac's memorial, and Boerhaave's monument of white and black marble, with its urn and carved symbols of the four ages of life, and its medallion of Boerhaave, adorned with his favorite motto, Simplex sigillum veri.	false	142.85	166.09	16
204_148920_000005_000001	They also obtained admittance to a tea garden, which in summer was a favorite resort of the citizens and, passing naked oaks and fruit trees, ascended to a high mound which stood in the center.	They also obtained admittance to a tea garden, which in summer was a favorite resort of the citizens and, passing naked oaks and fruit trees, ascended to a high mound which stood in the center.	false	167.27	179.92	13
204_148920_000005_000002	This was the site of a round tower now in ruins, said by some to have been built by Hengist the Anglo-Saxon king, and by others to have been the castle of one of the ancient counts of Holland.	This was the site of a round tower now in ruins, said by some to have been built by Hengist the Anglo Saxon king, and by others to have been the castle of one of the ancient counts of Holland.	true	180.77	193.24	13
204_148920_000006_000000	As the boys walked about on the top of its stone wall, they could get but a poor view of the surrounding city.	As the boys walked about on the top of its stone wall, they could get but a poor view of the surrounding city.	true	194.48	201.28	15
204_148920_000006_000001	The tower stood higher when, more than two centuries ago, the inhabitants of beleaguered Leyden shouted to the watcher on its top their wild, despairing cries, "Is there any help?	The tower stood higher when, more than two centuries ago, the inhabitants of beleaguered Leyden shouted to the watcher on its top their wild, despairing cries, "Is there any help?	true	201.77	214.27	16
204_148920_000006_000002	Are the waters rising?	Are the waters rising?	true	214.28	215.82	17.211985
