4926_23281_000000_000000	CHAPTER III.	CHAPTER three.	true	19.26	20.38	10
4926_23281_000001_000000	Lord Elmwood was preparing to go abroad, for the purpose of receiving in form, the dispensation from his vows; it was, however, a subject he seemed carefully to avoid speaking upon; and when by any accident he was obliged to mention it, it was without any marks either of satisfaction or concern.	Lord Elmwood was preparing to go abroad, for the purpose of receiving in form, the dispensation from his vows; it was, however, a subject he seemed carefully to avoid speaking upon; and when by any accident he was obliged to mention it, it was without any marks either of satisfaction or concern.	true	21.65	41.05	12
4926_23281_000002_000000	Miss Milner's pride began to be alarmed.	Miss Milner's pride began to be alarmed.	true	41.66	44.4	10
4926_23281_000002_000001	While he was Mr. Dorriforth, and confined to a single life, his indifference to her charms was rather an honourable than a reproachful trait in his character, and in reality, she admired him for the insensibility.	While he was mr Dorriforth, and confined to a single life, his indifference to her charms was rather an honourable than a reproachful trait in his character, and in reality, she admired him for the insensibility.	true	44.4	57.49	12
4926_23281_000002_000002	But on the eve of being at liberty, and on the eve of making his choice, she was offended _that_ choice was not immediately fixed upon her.	But on the eve of being at liberty, and on the eve of making his choice, she was offended underscore that underscore choice was not immediately fixed upon her.	false	57.71	66.49	10
4926_23281_000002_000003	She had been accustomed to receive the devotion of every man who saw her, and not to obtain it of the man from whom, of all others, she most wished it, was cruelly humiliating.	She had been accustomed to receive the devotion of every man who saw her, and not to obtain it of the man from whom, of all others, she most wished it, was cruelly humiliating.	true	66.77	78.25	9
4926_23281_000002_000004	She complained to Miss Woodley, who advised her to have patience; but that was one of the virtues in which she was the least practised.	She complained to Miss Woodley, who advised her to have patience; but that was one of the virtues in which she was the least practised.	false	78.47	87.37	15
4926_23281_000003_000000	Encouraged, nevertheless, by her friend in the commendable desire of gaining the affections of him, who possessed all her own, she, however, left no means unattempted for the conquest--but she began with too great a certainty of success, not to be sensible of the deepest mortification in the disappointment--nay, she anticipated a disappointment, as she had before anticipated her success; by turns feeling the keenest emotions from hope and from despair.	Encouraged, nevertheless, by her friend in the commendable desire of gaining the affections of him, who possessed all her own, she, however, left no means unattempted for the conquest-but she began with too great a certainty of success, not to be sensible of the deepest mortification in the disappointment-nay, she anticipated a disappointment, as she had before anticipated her success; by turns feeling the keenest emotions from hope and from despair.	true	87.77	118.12	14
4926_23281_000004_000000	As these passions alternately governed her, she was alternately in spirits or dejected; in good or in ill humour; and the vicissitudes of her prospect at length gave to her behaviour an air of caprice, which not all her follies had till now produced.	As these passions alternately governed her, she was alternately in spirits or dejected; in good or in ill humour; and the vicissitudes of her prospect at length gave to her behaviour an air of caprice, which not all her follies had till now produced.	false	118.61	134.98	14
4926_23281_000004_000001	This was not the way to secure the affections of Lord Elmwood; she knew it was not; and before him she was under some restriction.	This was not the way to secure the affections of Lord Elmwood; she knew it was not; and before him she was under some restriction.	true	135.29	142.87	15
4926_23281_000004_000002	Sandford observed this, and without reserve, added to the list of her other failings, hypocrisy.	Sandford observed this, and without reserve, added to the list of her other failings, hypocrisy.	true	143.18	149.17	15
4926_23281_000004_000003	It was plain to see that Mr. Sandford esteemed her less and less every day; and as he was the person who most influenced the opinion of her guardian, he became to her, very soon, an object not merely of dislike, but of abhorrence.	It was plain to see that mr Sandford esteemed her less and less every day; and as he was the person who most influenced the opinion of her guardian, he became to her, very soon, an object not merely of dislike, but of abhorrence.	true	149.39	164.2	11
4926_23281_000005_000000	These mutual sentiments were discoverable in every word and action, while they were in each other's company; but still in his absence, Miss Milner's good nature, and total freedom from malice, never suffered her to utter a sentence injurious to his interest.	These mutual sentiments were discoverable in every word and action, while they were in each other's company; but still in his absence, Miss Milner's good nature, and total freedom from malice, never suffered her to utter a sentence injurious to his interest.	true	164.57	180.04	11
4926_23281_000005_000001	Sandford's charity did not extend thus far; and speaking of her with severity one evening while she was at the opera, "His meaning," as he said, "but to caution her guardian against her faults," Lord Elmwood replied,	Sandford's charity did not extend thus far; and speaking of her with severity one evening while she was at the opera, "His meaning," as he said, "but to caution her guardian against her faults," Lord Elmwood replied,	true	180.53	194.68	12
4926_23281_000006_000000	"There is one fault, however, Mr. Sandford, I cannot lay to her charge."	"There is one fault, however, mr Sandford, I cannot lay to her charge."	true	195.11	199.51	11
4926_23281_000007_000000	"And what is that, my Lord?" cried Sandford, eagerly, "What is that one fault, which Miss Milner has not?"	"And what is that, my Lord?" cried Sandford, eagerly, "What is that one fault, which Miss Milner has not?"	true	199.73	205.9	12
4926_23281_000008_000000	"I never," replied Lord Elmwood, "heard Miss Milner, in your absence, utter a syllable to your disadvantage."	"I never," replied Lord Elmwood, "heard Miss Milner, in your absence, utter a syllable to your disadvantage."	true	206.69	213.91	15
4926_23281_000009_000000	"She dares not, my Lord, because she is in fear of you and she knows you would not suffer it."	"She dares not, my Lord, because she is in fear of you and she knows you would not suffer it."	true	214.7	219.55	13
4926_23281_000010_000000	"She then," answered his Lordship, "pays me a much higher compliment than you do; for you freely censure _her_, and yet imagine I _will_ suffer it."	"She then," answered his Lordship, "pays me a much higher compliment than you do; for you freely censure underscore her underscore, and yet imagine I underscore will underscore suffer it."	false	220.13	230.8	16
4926_23281_000011_000000	"My Lord," replied Sandford, "I am undeceived now, and shall never take that liberty again."	"My Lord," replied Sandford, "I am undeceived now, and shall never take that liberty again."	true	231.17	236.95	15
4926_23281_000012_000000	As Lord Elmwood always treated Sandford with the utmost respect, he began to fear he had been deficient upon this occasion; and the disposition which had induced him to take his ward's part, was likely, in the end, to prove unfavourable to her; for perceiving Sandford was offended at what had passed, as the only means of retribution, he began himself to lament her volatile and captious propensities; in which lamentation, Sandford, now forgetting his affront, joined with the heartiest concurrence, adding,	As Lord Elmwood always treated Sandford with the utmost respect, he began to fear he had been deficient upon this occasion; and the disposition which had induced him to take his ward's part, was likely, in the end, to prove unfavourable to her; for perceiving Sandford was offended at what had passed, as the only means of retribution, he began himself to lament her volatile and captious propensities; in which lamentation, Sandford, now forgetting his affront, joined with the heartiest concurrence, adding,	false	237.41	272.17	15
4926_23281_000013_000000	"You, Sir, having now other cares to employ your thoughts, ought to insist upon her marrying, or retiring into the country."	"You, Sir, having now other cares to employ your thoughts, ought to insist upon her marrying, or retiring into the country."	true	272.78	281.62	9
4926_23281_000014_000000	She returned home just as this conversation was finished, and Sandford, the moment she entered, rang for his candle to retire.	She returned home just as this conversation was finished, and Sandford, the moment she entered, rang for his candle to retire.	true	281.93	289.87	11
4926_23281_000014_000001	Miss Woodley, who had been at the opera with Miss Milner, cried,	Miss Woodley, who had been at the opera with Miss Milner, cried,	true	290.18	293.89	13
4926_23281_000015_000000	"Bless me, Mr. Sandford, are you not well, you are going to leave us so early?"	"Bless me, mr Sandford, are you not well, you are going to leave us so early?"	false	294.11	298.93	9
4926_23281_000016_000000	He replied, "No, I have a pain in my head."	He replied, "No, I have a pain in my head."	true	299.3	302.89	9
4926_23281_000017_000000	Miss Milner, who never listened to complaints without sympathy, rose immediately from her seat, saying,	Miss Milner, who never listened to complaints without sympathy, rose immediately from her seat, saying,	true	303.56	309.55	11
4926_23281_000018_000000	"I think I never heard you, Mr. Sandford, complain of indisposition before.	"I think I never heard you, mr Sandford, complain of indisposition before.	true	309.83	314.95	10
4926_23281_000018_000001	Will you accept of my specific for the head-ache?	Will you accept of my specific for the head ache?	true	315.11	318.07	10
4926_23281_000018_000002	Indeed it is a certain relief--I'll fetch it instantly."	Indeed it is a certain relief-I'll fetch it instantly."	true	318.14	321.34	9
4926_23281_000019_000000	She went hastily out of the room, and returned with a bottle, which, she assured him, "Was a present from Lady Luneham, and would certainly cure him." And she pressed it upon him with such an anxious earnestness, that with all his churlishness he could not refuse taking it.	She went hastily out of the room, and returned with a bottle, which, she assured him, "Was a present from Lady Luneham, and would certainly cure him." And she pressed it upon him with such an anxious earnestness, that with all his churlishness he could not refuse taking it.	false	322.07	339.1	10
4926_23281_000020_000000	This was but a common-place civility, such as is paid by one enemy to another every day; but the _manner_ was the material part.	This was but a common place civility, such as is paid by one enemy to another every day; but the underscore manner underscore was the material part.	false	339.5	348.28	9
4926_23281_000020_000001	The unaffected concern, the attention, the good will, she demonstrated in this little incident, was that which made it remarkable, and immediately took from Lord Elmwood the displeasure to which he had been just before provoked, or rather transformed it into a degree of admiration.	The unaffected concern, the attention, the good will, she demonstrated in this little incident, was that which made it remarkable, and immediately took from Lord Elmwood the displeasure to which he had been just before provoked, or rather transformed it into a degree of admiration.	true	348.29	366.25	11
4926_23281_000020_000002	Even Sandford was not insensible to her behaviour, and in return, when he left the room, "Wished her a good night."	Even Sandford was not insensible to her behaviour, and in return, when he left the room, "Wished her a good night."	true	366.74	374.08	10
4926_23281_000021_000000	To her and Miss Woodley, who had not been witnesses of the preceding conversation, what she had done appeared of no merit; but to the mind of Lord Elmwood, the merit was infinite; and upon the departure of Sandford, he began to be unusually cheerful.	To her and Miss Woodley, who had not been witnesses of the preceding conversation, what she had done appeared of no merit; but to the mind of Lord Elmwood, the merit was infinite; and upon the departure of Sandford, he began to be unusually cheerful.	true	375.29	391.66	11
4926_23281_000021_000001	He first pleasantly reproached the ladies for not offering him a place in their box at the opera.	He first pleasantly reproached the ladies for not offering him a place in their box at the opera.	true	391.97	397.78	11
4926_23281_000022_000000	"Would you have gone, my Lord?" asked Miss Milner, highly delighted.	"Would you have gone, my Lord?" asked Miss Milner, highly delighted.	true	398.27	402	8
4926_23281_000023_000000	"Certainly," returned he, "had you invited me."	"Certainly," returned he, "had you invited me."	true	402	404.83	3
4926_23281_000024_000000	"Then from this day I give you a general invitation; nor shall any other company be admitted but those whom you approve."	"Then from this day I give you a general invitation; nor shall any other company be admitted but those whom you approve."	true	405.2	412.99	10
4926_23281_000025_000000	"I am very much obliged to you," said he.	"I am very much obliged to you," said he.	true	413.57	416.08	10
4926_23281_000026_000000	"And you," continued she, "who have been accustomed only to church-music, will be more than any one, enchanted with hearing the softer music of love."	"And you," continued she, "who have been accustomed only to church music, will be more than any one, enchanted with hearing the softer music of love."	true	416.39	425.95	11
4926_23281_000027_000000	"What ravishing pleasures you are preparing for me!" returned he--"I know not whether my weak senses will be able to support them!"	"What ravishing pleasures you are preparing for me!" returned he-"I know not whether my weak senses will be able to support them!"	true	426.47	434.29	10
4926_23281_000028_000000	She had her eyes upon him when he spoke this, and she discovered in his, that were fixed upon her, a sensibility unexpected--a kind of fascination which enticed her to look on, while her eyelids fell involuntarily before its mighty force, and a thousand blushes crowded over her face. He was struck with these sudden signals; hastily recalled his former countenance, and stopped the conversation.	She had her eyes upon him when he spoke this, and she discovered in his, that were fixed upon her, a sensibility unexpected-a kind of fascination which enticed her to look on, while her eyelids fell involuntarily before its mighty force, and a thousand blushes crowded over her face. He was struck with these sudden signals; hastily recalled his former countenance, and stopped the conversation.	true	434.78	461.26	13
4926_23281_000029_000000	Miss Woodley, who had been a silent observer for some time, now thought a word or two from her would be acceptable rather than troublesome.	Miss Woodley, who had been a silent observer for some time, now thought a word or two from her would be acceptable rather than troublesome.	true	461.87	469.78	9
4926_23281_000030_000000	"And pray, my Lord," said she, "when do you go to France?"	"And pray, my Lord," said she, "when do you go to France?"	true	470.33	473.5	15
4926_23281_000031_000000	"To Italy you mean;--I shall not go at all," said he.	"To Italy you mean;--I shall not go at all," said he.	true	473.96	477.16	14
4926_23281_000031_000001	"My superiors are very indulgent, for they dispense with all my duties.	"My superiors are very indulgent, for they dispense with all my duties.	true	477.29	481.6	12
4926_23281_000031_000002	I ought, and I meant, to have gone abroad; but as a variety of concerns require my presence in England, every necessary ceremony has taken place here."	I ought, and I meant, to have gone abroad; but as a variety of concerns require my presence in England, every necessary ceremony has taken place here."	true	481.76	491.65	11
4926_23281_000032_000000	"Then your Lordship is no longer in orders?" said Miss Woodley.	"Then your Lordship is no longer in orders?" said Miss Woodley.	true	492.44	496	10
4926_23281_000033_000000	"No; they have been resigned these five days."	"No; they have been resigned these five days."	true	496.28	499.15	11
4926_23281_000034_000000	"My Lord, I give you joy," said Miss Milner.	"My Lord, I give you joy," said Miss Milner.	true	500.45	503.02	13
4926_23281_000035_000000	He thanked her, but added with a sigh, "If I have given up content in search of joy, I shall perhaps be a loser by the venture." Soon after this, he wished them a good night, and retired.	He thanked her, but added with a sigh, "If I have given up content in search of joy, I shall perhaps be a loser by the venture." Soon after this, he wished them a good night, and retired.	true	503.27	515.2	14
4926_23281_000036_000000	Happy as Miss Milner found herself in his company, she saw him leave the room with infinite satisfaction, because her heart was impatient to give a loose to its hopes on the bosom of Miss Woodley.	Happy as Miss Milner found herself in his company, she saw him leave the room with infinite satisfaction, because her heart was impatient to give a loose to its hopes on the bosom of Miss Woodley.	true	515.42	525.85	10
4926_23281_000036_000001	She bade Mrs. Horton immediately good night; and, in her friend's apartment, gave way to all the language of passion, warmed with the confidence of meeting its return.	She bade mrs Horton immediately good night; and, in her friend's apartment, gave way to all the language of passion, warmed with the confidence of meeting its return.	true	526.31	536.59	12
4926_23281_000036_000002	She described the sentiments she had read in Lord Elmwood's looks; and though Miss Woodley had beheld them too, Miss Milner's fancy heightened the expression of every glance, till her construction became, by degrees, so extremely favourable to her own wishes, that had not her friend been present, and known in what measure to estimate those symptoms, she must infallibly have thought, by the joy to which they gave birth, that he had openly avowed a passion for her.	She described the sentiments she had read in Lord Elmwood's looks; and though Miss Woodley had beheld them too, Miss Milner's fancy heightened the expression of every glance, till her construction became, by degrees, so extremely favourable to her own wishes, that had not her friend been present, and known in what measure to estimate those symptoms, she must infallibly have thought, by the joy to which they gave birth, that he had openly avowed a passion for her.	true	537.17	566.38	13
4926_23281_000037_000000	Miss Woodley, therefore, thought it her duty to allay these ecstasies, and represented to her, she might be deceived in her hopes--or even supposing his wishes inclined towards her, there were yet great obstacles between them.--"Would not Sandford, who directed his every thought and purpose, be consulted upon this? and if he was, upon what, but the most romantic affection on the part of Lord Elmwood, had Miss Milner to depend? and his Lordship was not a man to be suspected of submitting to the excess of any passion." Thus did Miss Woodley argue, lest her friend should be misled by her wishes; yet, in her own mind, she scarce harboured a doubt that any thing would thwart them.	Miss Woodley, therefore, thought it her duty to allay these ecstasies, and represented to her, she might be deceived in her hopes-or even supposing his wishes inclined towards her, there were yet great obstacles between them.--"Would not Sandford, who directed his every thought and purpose, be consulted upon this? and if he was, upon what, but the most romantic affection on the part of Lord Elmwood, had Miss Milner to depend? and his Lordship was not a man to be suspected of submitting to the excess of any passion." Thus did Miss Woodley argue, lest her friend should be misled by her wishes; yet, in her own mind, she scarce harboured a doubt that any thing would thwart them.	true	566.84	610.78	11
4926_23281_000037_000001	The succeeding circumstance proved she was mistaken.	The succeeding circumstance proved she was mistaken.	true	611.03	614.05	10
4926_23281_000038_000000	Another gentleman of family and fortune made overtures to Miss Milner; and her guardian, so far from having his thoughts inclined towards her on his own account, pleaded this lover's cause even with more zeal than he had pleaded for Sir Edward and Lord Frederick; thus at once destroying all those plans of happiness which poor Miss Milner had formed.	Another gentleman of family and fortune made overtures to Miss Milner; and her guardian, so far from having his thoughts inclined towards her on his own account, pleaded this lover's cause even with more zeal than he had pleaded for Sir Edward and Lord Frederick; thus at once destroying all those plans of happiness which poor Miss Milner had formed.	true	614.66	636.7	11
4926_23281_000039_000000	In consequence, her melancholy humour was now predominant; she confined herself at home, and yet, by her own order, was denied to all her visitors.	In consequence, her melancholy humour was now predominant; she confined herself at home, and yet, by her own order, was denied to all her visitors.	true	637.04	646.63	11
4926_23281_000039_000001	Whether this arose from pure melancholy, or the still lingering hope of making her conquest, by that sedateness of manners which she knew her guardian admired, she herself perhaps did not perfectly know.	Whether this arose from pure melancholy, or the still lingering hope of making her conquest, by that sedateness of manners which she knew her guardian admired, she herself perhaps did not perfectly know.	true	646.94	660.4	10
4926_23281_000039_000002	Be that as it may, Lord Elmwood could not but observe this change, and one morning thought fit to mention, and to applaud it.	Be that as it may, Lord Elmwood could not but observe this change, and one morning thought fit to mention, and to applaud it.	true	660.77	668.77	10
4926_23281_000040_000000	Miss Woodley and she were at work together when he came into the room; and after sitting several minutes, and talking upon indifferent subjects, to which his ward replied with a dejection in her voice and manner--he said,	Miss Woodley and she were at work together when he came into the room; and after sitting several minutes, and talking upon indifferent subjects, to which his ward replied with a dejection in her voice and manner-he said,	true	669.53	682.63	11
4926_23281_000041_000000	"Perhaps I am wrong, Miss Milner, but I have observed that you are lately more thoughtful than usual."	"Perhaps I am wrong, Miss Milner, but I have observed that you are lately more thoughtful than usual."	true	683.15	688.81	12
4926_23281_000042_000000	She blushed, as she always did when the subject was herself.	She blushed, as she always did when the subject was herself.	true	689.18	692.83	13
4926_23281_000042_000001	He continued, "Your health appears perfectly restored, and yet I have observed you take no delight in your former amusements."	He continued, "Your health appears perfectly restored, and yet I have observed you take no delight in your former amusements."	true	692.9	700.72	12
4926_23281_000043_000000	"Are you sorry for that, my Lord?"	"Are you sorry for that, my Lord?"	true	701.21	703.21	14
4926_23281_000044_000000	"No, I am extremely glad; and I was going to congratulate you upon the change.	"No, I am extremely glad; and I was going to congratulate you upon the change.	false	703.34	708.37	10
4926_23281_000044_000001	But give me leave to enquire, to what lucky accident we may attribute this alteration?"	But give me leave to enquire, to what lucky accident we may attribute this alteration?"	false	708.53	714.34	12
4926_23281_000045_000000	"Your Lordship then thinks all my commendable deeds arise from accident, and that I have no virtues of my own."	"Your Lordship then thinks all my commendable deeds arise from accident, and that I have no virtues of my own."	true	715.4	721.81	11
4926_23281_000046_000000	"Pardon me, I think you have many."	"Pardon me, I think you have many."	true	722.3	724.48	13
4926_23281_000046_000001	This he spoke emphatically; and her blushes increased.	This he spoke emphatically; and her blushes increased.	true	724.7	728.05	15
4926_23281_000047_000000	He resumed--"How can I doubt of a lady's virtues, when her countenance gives me such evident proofs of them?	He resumed-"How can I doubt of a lady's virtues, when her countenance gives me such evident proofs of them?	true	728.3	735.16	8
4926_23281_000047_000001	Believe me, Miss Milner, that in the midst of your gayest follies, while you thus continue to blush, I shall reverence your internal sensations."	Believe me, Miss Milner, that in the midst of your gayest follies, while you thus continue to blush, I shall reverence your internal sensations."	true	735.32	744.015	12
4926_23281_000048_000000	"Oh! my Lord, did you know some of them, I am afraid you would think them unpardonable."	"Oh! my Lord, did you know some of them, I am afraid you would think them unpardonable."	true	744.015	749.05	11
4926_23281_000049_000000	This was so much to the purpose, that Miss Woodley found herself alarmed--but without reason--Miss Milner loved too sincerely to reveal it to the object.	This was so much to the purpose, that Miss Woodley found herself alarmed-but without reason-Miss Milner loved too sincerely to reveal it to the object.	true	749.6	759.21	12
4926_23281_000049_000001	He answered,	He answered,	true	759.21	760.12	20
4926_23281_000050_000000	"And did you know some of mine, you might think them _equally_ unpardonable."	"And did you know some of mine, you might think them underscore equally underscore unpardonable."	false	760.37	765.13	13
