8479_276730_000004_000000	CHAPTER XII.	CHAPTER twelve.
8479_276730_000006_000000	The course pursued by the Government of the United States with regard to the forts had not passed without earnest remonstrance from the most intelligent and patriotic of its own friends during the period of the events which constitute the subject of the preceding chapter.	The course pursued by the Government of the United States with regard to the forts had not passed without earnest remonstrance from the most intelligent and patriotic of its own friends during the period of the events which constitute the subject of the preceding chapter.
8479_276730_000006_000001	In the Senate of the United States, which continued in executive session for several weeks after the inauguration of Mr. Lincoln, it was the subject of discussion.	In the Senate of the United States, which continued in executive session for several weeks after the inauguration of mr Lincoln, it was the subject of discussion.
8479_276730_000007_000000	"We certainly can not justify the holding of forts there, much less the recapturing of those which have been taken, unless we intend to reduce those States themselves into subjection.	"We certainly can not justify the holding of forts there, much less the recapturing of those which have been taken, unless we intend to reduce those States themselves into subjection.
8479_276730_000007_000001	I take it for granted, no man will deny the proposition, that whoever permanently holds Charleston and South Carolina is entitled to the possession of Fort Sumter.	I take it for granted, no man will deny the proposition, that whoever permanently holds Charleston and South Carolina is entitled to the possession of Fort Sumter.
8479_276730_000007_000002	Whoever permanently holds Pensacola and Florida is entitled to the possession of Fort Pickens.	Whoever permanently holds Pensacola and Florida is entitled to the possession of Fort Pickens.
8479_276730_000007_000003	Whoever holds the States in whose limits those forts are placed is entitled to the forts themselves, unless there is something peculiar in the location of some particular fort that makes it important for us to hold it for the general defense of the whole country, its commerce and interests, instead of being useful only for the defense of a particular city or locality.	Whoever holds the States in whose limits those forts are placed is entitled to the forts themselves, unless there is something peculiar in the location of some particular fort that makes it important for us to hold it for the general defense of the whole country, its commerce and interests, instead of being useful only for the defense of a particular city or locality.
8479_276730_000007_000005	Not so with Moultrie, Johnson, Castle Pinckney, and Sumter, in Charleston Harbor; not so with Pulaski, on the Savannah River; not so with Morgan and other forts in Alabama; not so with those other forts that were intended to guard the entrance of a particular harbor for local defense....	Not so with Moultrie, Johnson, Castle Pinckney, and Sumter, in Charleston Harbor; not so with Pulaski, on the Savannah River; not so with Morgan and other forts in Alabama; not so with those other forts that were intended to guard the entrance of a particular harbor for local defense....
8479_276730_000008_000001	We may regret it.	We may regret it.
8479_276730_000008_000003	I proclaim boldly the policy of those with whom I act.	I proclaim boldly the policy of those with whom I act.
8479_276730_000009_000001	He knew that their continued occupation was virtually a declaration of war.	He knew that their continued occupation was virtually a declaration of war.
8479_276730_000010_000000	The General-in-Chief of the United States Army, also, it is well known, urgently advised the evacuation of the forts.	The General in Chief of the United States Army, also, it is well known, urgently advised the evacuation of the forts.
8479_276730_000010_000001	But the most striking protest against the coercive measures finally adopted was that of Major Anderson himself.	But the most striking protest against the coercive measures finally adopted was that of Major Anderson himself.
8479_276730_000010_000002	The letter in which his views were expressed has been carefully suppressed in the partisan narratives of that period and wellnigh lost sight of, although it does the highest honor to his patriotism and integrity.	The letter in which his views were expressed has been carefully suppressed in the partisan narratives of that period and wellnigh lost sight of, although it does the highest honor to his patriotism and integrity.
8479_276730_000014_000001	I am preparing, by the side of my barbette guns, protection for our men from the shells which will be almost continually bursting over or in our work.	I am preparing, by the side of my barbette guns, protection for our men from the shells which will be almost continually bursting over or in our work.
8479_276730_000015_000001	I trust that this matter will be at once put in a correct light, as a movement made now, when the South has been erroneously informed that none such would be attempted, would produce most disastrous results throughout our country.	I trust that this matter will be at once put in a correct light, as a movement made now, when the South has been erroneously informed that none such would be attempted, would produce most disastrous results throughout our country.
8479_276730_000015_000002	It is, of course, now too late for me to give any advice in reference to the proposed scheme of Captain Fox.	It is, of course, now too late for me to give any advice in reference to the proposed scheme of Captain Fox.
