1264_129805_000000_000000	"Ah!" said Lord Julian, and he pulled thoughtfully at his lip.	"Ah!" said Lord Julian, and he pulled thoughtfully at his lip.	false	0	0.3	-20
1264_129805_000001_000000	"I see that you understand," Bishop laughed coarsely.	"I see that you understand," Bishop laughed coarsely.	false	0.3	0.54	-20
1264_129805_000001_000001	"Two birds with one stone, eh?	"Two birds with one stone, eh?	false	0.54	0.72	-20
1264_129805_000001_000002	We'll hunt this rascal in his lair, right under the beard of the King of France, and we'll take him this time, if we reduce Tortuga to a heap of ashes."	We'll hunt this rascal in his lair, right under the beard of the King of France, and we'll take him this time, if we reduce Tortuga to a heap of ashes."	false	0.72	1.74	21.389467
1264_129805_000002_000000	On that expedition they sailed two days later--which would be some three months after Blood's departure--taking every ship of the fleet, and several lesser vessels as auxiliaries.	On that expedition they sailed two days later-which would be some three months after Blood's departure-taking every ship of the fleet, and several lesser vessels as auxiliaries.	false	1.74	4.35	20.200348
1264_129805_000002_000001	To Arabella and the world in general it was given out that they were going to raid French Hispaniola, which was really the only expedition that could have afforded Colonel Bishop any sort of justification for leaving Jamaica at all at such a time.	To Arabella and the world in general it was given out that they were going to raid French Hispaniola, which was really the only expedition that could have afforded Colonel Bishop any sort of justification for leaving Jamaica at all at such a time.	false	4.35	6.69	19.538153
1264_129805_000002_000002	His sense of duty, indeed, should have kept him fast in Port Royal; but his sense of duty was smothered in hatred--that most fruitless and corruptive of all the emotions.	His sense of duty, indeed, should have kept him fast in Port Royal; but his sense of duty was smothered in hatred-that most fruitless and corruptive of all the emotions.	false	6.69	12.18	25.04639
1264_129805_000002_000003	In the great cabin of Vice-Admiral Craufurd's flagship, the Imperator, the Deputy-Governor got drunk that night to celebrate his conviction that the sands of Captain Blood's career were running out.	In the great cabin of Vice Admiral Craufurd's flagship, the Imperator, the Deputy Governor got drunk that night to celebrate his conviction that the sands of Captain Blood's career were running out.	false	12.18	20.685	18.207947
1264_129805_000003_000000	CHAPTER XXV.	CHAPTER twenty five.	true	20.685	22.18	20.413134
1264_129805_000003_000001	THE SERVICE OF KING LOUIS	THE SERVICE OF KING LOUIS	false	22.28	25.05	22.606842
1264_129805_000004_000000	Meanwhile, some three months before Colonel Bishop set out to reduce Tortuga, Captain Blood, bearing hell in his soul, had blown into its rockbound harbour ahead of the winter gales, and two days ahead of the frigate in which Wolverstone had sailed from Port Royal a day before him.	Meanwhile, some three months before Colonel Bishop set out to reduce Tortuga, Captain Blood, bearing hell in his soul, had blown into its rockbound harbour ahead of the winter gales, and two days ahead of the frigate in which Wolverstone had sailed from Port Royal a day before him.	true	25.05	41.47	19.436718
1264_129805_000005_000000	In that snug anchorage he found his fleet awaiting him--the four ships which had been separated in that gale off the Lesser Antilles, and some seven hundred men composing their crews.	In that snug anchorage he found his fleet awaiting him-the four ships which had been separated in that gale off the Lesser Antilles, and some seven hundred men composing their crews.	true	42.14	52.48	21.508133
1264_129805_000005_000001	Because they had been beginning to grow anxious on his behalf, they gave him the greater welcome.	Because they had been beginning to grow anxious on his behalf, they gave him the greater welcome.	true	53.09	58.72	18.123066
1264_129805_000005_000002	Guns were fired in his honour and the ships made themselves gay with bunting. The town, aroused by all this noise in the harbour, emptied itself upon the jetty, and a vast crowd of men and women of all creeds and nationalities collected there to be present at the coming ashore of the great buccaneer.	Guns were fired in his honour and the ships made themselves gay with bunting. The town, aroused by all this noise in the harbour, emptied itself upon the jetty, and a vast crowd of men and women of all creeds and nationalities collected there to be present at the coming ashore of the great buccaneer.	true	59.06	76.96	20.350357
1264_129805_000006_000000	Ashore he went, probably for no other reason than to obey the general expectation.	Ashore he went, probably for no other reason than to obey the general expectation.	true	77.66	83.02	18.892359
