1264_129805_000003_000000	CHAPTER XXV.	CHAPTER twenty five.
1264_129805_000005_000000	In that snug anchorage he found his fleet awaiting him--the four ships which had been separated in that gale off the Lesser Antilles, and some seven hundred men composing their crews.	In that snug anchorage he found his fleet awaiting him-the four ships which had been separated in that gale off the Lesser Antilles, and some seven hundred men composing their crews.
1264_129805_000005_000002	Guns were fired in his honour and the ships made themselves gay with bunting. The town, aroused by all this noise in the harbour, emptied itself upon the jetty, and a vast crowd of men and women of all creeds and nationalities collected there to be present at the coming ashore of the great buccaneer.	Guns were fired in his honour and the ships made themselves gay with bunting. The town, aroused by all this noise in the harbour, emptied itself upon the jetty, and a vast crowd of men and women of all creeds and nationalities collected there to be present at the coming ashore of the great buccaneer.
1264_129805_000006_000001	His mood was taciturn; his face grim and sneering.	His mood was taciturn; his face grim and sneering.
1264_129805_000009_000000	At first the buccaneers jumped to the conclusion that Wolverstone was following with some rare prize of war, but gradually from the reduced crew of the Arabella a very different tale leaked out to stem their satisfaction and convert it into perplexity.	At first the buccaneers jumped to the conclusion that Wolverstone was following with some rare prize of war, but gradually from the reduced crew of the Arabella a very different tale leaked out to stem their satisfaction and convert it into perplexity.
1264_129805_000009_000001	Partly out of loyalty to their captain, partly because they perceived that if he was guilty of defection they were guilty with him, and partly because being simple, sturdy men of their hands, they were themselves in the main a little confused as to what really had happened, the crew of the Arabella practised reticence with their brethren in Tortuga during those two days before Wolverstone's arrival.	Partly out of loyalty to their captain, partly because they perceived that if he was guilty of defection they were guilty with him, and partly because being simple, sturdy men of their hands, they were themselves in the main a little confused as to what really had happened, the crew of the Arabella practised reticence with their brethren in Tortuga during those two days before Wolverstone's arrival.
1264_129805_000012_000000	The sight of the Arabella at anchor in the bay had at first amazed him as he sailed round the rocky headland that bore the fort.	The sight of the Arabella at anchor in the bay had at first amazed him as he sailed round the rocky headland that bore the fort.
1264_129805_000015_000000	Dyke repeated his question.	Dyke repeated his question.
1264_129805_000015_000001	This time Wolverstone answered him.	This time Wolverstone answered him.
1264_129805_000017_000000	"But I see the Arabella."	"But I see the Arabella."
1264_129805_000018_000000	"Of course, since there she rides.	"Of course, since there she rides.
