4356_6498_000001_000000	CHAPTER XIV	CHAPTER fourteen
4356_6498_000002_000000	A VISIT AND ITS CONSEQUENCES	A VISIT AND ITS CONSEQUENCES
4356_6498_000003_000000	That same afternoon Baldos, blissfully ignorant of the stir he had created in certain circles, rode out for the first time as a member of the Castle Guard.	That same afternoon Baldos, blissfully ignorant of the stir he had created in certain circles, rode out for the first time as a member of the Castle Guard.
4356_6498_000003_000001	He and Haddan were detailed by Colonel Quinnox to act as private escort to Miss Calhoun until otherwise ordered.	He and Haddan were detailed by Colonel Quinnox to act as private escort to Miss Calhoun until otherwise ordered.
4356_6498_000003_000002	If Haddan thought himself wiser than Baldos in knowing that their charge was not the princess, he was very much mistaken; if he enjoyed the trick that was being played on his fellow guardsman, his enjoyment was as nothing as compared to the pleasure Baldos was deriving from the situation.	If Haddan thought himself wiser than Baldos in knowing that their charge was not the princess, he was very much mistaken; if he enjoyed the trick that was being played on his fellow guardsman, his enjoyment was as nothing as compared to the pleasure Baldos was deriving from the situation.
4356_6498_000003_000003	The royal victoria was driven to the fortress, conveying the supposed princess and the Countess Dagmar to the home of Count Marlanx.	The royal victoria was driven to the fortress, conveying the supposed princess and the Countess Dagmar to the home of Count Marlanx.
4356_6498_000003_000005	Baldos was mildly surprised and puzzled by the homage paid the young American girl.	Baldos was mildly surprised and puzzled by the homage paid the young American girl.
4356_6498_000003_000006	It struck him as preposterous that the entire population of Edelweiss could be in the game to deceive him.	It struck him as preposterous that the entire population of Edelweiss could be in the game to deceive him.
4356_6498_000005_000000	"The Countess Dagmar, cousin to her highness.	"The Countess Dagmar, cousin to her highness.
4356_6498_000007_000001	She even went so far as to whisper in Beverly's ear that he did not remember her face, and probably would not recognize Yetive as one of the eavesdroppers.	She even went so far as to whisper in Beverly's ear that he did not remember her face, and probably would not recognize Yetive as one of the eavesdroppers.
4356_6498_000007_000002	The princess had flatly refused to accompany them on the visit to the fortress because of Baldos.	The princess had flatly refused to accompany them on the visit to the fortress because of Baldos.
4356_6498_000007_000003	Struck by a sudden impulse, Beverly called Baldos to the side of the vehicle.	Struck by a sudden impulse, Beverly called Baldos to the side of the vehicle.
4356_6498_000009_000000	"I am happy to have pleased your highness," he said steadily.	"I am happy to have pleased your highness," he said steadily.
4356_6498_000011_000000	"Yes, your highness, it certainly is interesting," he said, as he fell back into position beside Haddan.	"Yes, your highness, it certainly is interesting," he said, as he fell back into position beside Haddan.
4356_6498_000011_000001	During the remainder of the ride he caught himself time after time gazing reflectively at the back of her proud little head, possessed of an almost uncontrollable desire to touch the soft brown hair.	During the remainder of the ride he caught himself time after time gazing reflectively at the back of her proud little head, possessed of an almost uncontrollable desire to touch the soft brown hair.
4356_6498_000013_000000	Count Marlanx welcomed his visitors with a graciousness that awoke wonder in the minds of his staff.	Count Marlanx welcomed his visitors with a graciousness that awoke wonder in the minds of his staff.
4356_6498_000013_000001	His marked preference for the American girl did not escape attention.	His marked preference for the American girl did not escape attention.
4356_6498_000014_000002	The new guard could not help hearing the sarcastic remark.	The new guard could not help hearing the sarcastic remark.
4356_6498_000015_000000	"You didn't have him beaten?" cried Beverly, stopping short.	"You didn't have him beaten?" cried Beverly, stopping short.
4356_6498_000016_000000	"No, but I imagine it would have been preferable.	"No, but I imagine it would have been preferable.
4356_6498_000018_000000	The count provided a light luncheon in his quarters after the ladies had gone over the fortress.	The count provided a light luncheon in his quarters after the ladies had gone over the fortress.
4356_6498_000018_000003	Count Marlanx's home was in the southeast corner of the enclosure, near the gates.	Count Marlanx's home was in the southeast corner of the enclosure, near the gates.
