3816_11258_000000_000000	But what is this?	But what is this?	false	0	0.9	30.743153
3816_11258_000000_000001	Instead of 'showing up' the parsons, are we indulging in maudlin praises of that monstrous black-coated race?	Instead of 'showing up' the parsons, are we indulging in maudlin praises of that monstrous black coated race?	false	0.9	3.69	22.248995
3816_11258_000000_000002	O saintly Francis, lying at rest under the turf; O Jimmy, and Johnny, and Willy, friends of my youth!	O saintly Francis, lying at rest under the turf; O Jimmy, and Johnny, and Willy, friends of my youth!	false	3.69	9.84	21.358807
3816_11258_000000_000003	O noble and dear old Elias! how should he who knows you not respect you and your calling?	O noble and dear old Elias! how should he who knows you not respect you and your calling?	false	9.84	15.06	22.410892
3816_11258_000000_000004	May this pen never write a pennyworth again, if it ever casts ridicule upon either!	May this pen never write a pennyworth again, if it ever casts ridicule upon either!	false	15.06	20.91	18.42463
3816_11258_000001_000000	CHAPTER XII--ON CLERICAL SNOBS AND SNOBBISHNESS	CHAPTER twelve-ON CLERICAL SNOBS AND SNOBBISHNESS	true	20.91	25.63	22.799242
3816_11258_000002_000000	'Dear Mr. Snob,' an amiable young correspondent writes, who signs himself Snobling, 'ought the clergyman who, at the request of a noble Duke, lately interrupted a marriage ceremony between two persons perfectly authorised to marry, to be ranked or not among the Clerical Snobs?'	'Dear mr Snob,' an amiable young correspondent writes, who signs himself Snobling, 'ought the clergyman who, at the request of a noble Duke, lately interrupted a marriage ceremony between two persons perfectly authorised to marry, to be ranked or not among the Clerical Snobs?'	true	27.11	47.86	21.09193
3816_11258_000003_000000	This, my dear young friend, is not a fair question.	This, my dear young friend, is not a fair question.	false	49.04	52.75	19.478737
3816_11258_000003_000001	One of the illustrated weekly papers has already seized hold of the clergyman, and blackened him most unmercifully, by representing him in his cassock performing the marriage service.	One of the illustrated weekly papers has already seized hold of the clergyman, and blackened him most unmercifully, by representing him in his cassock performing the marriage service.	true	52.97	64.06	20.310755
3816_11258_000003_000002	Let that be sufficient punishment; and, if you please, do not press the query.	Let that be sufficient punishment; and, if you please, do not press the query.	true	64.49	69.88	22.405767
3816_11258_000004_000000	It is very likely that if Miss Smith had come with a licence to marry Jones, the parson in question, not seeing old Smith present, would have sent off the beadle in a cab to let the old gentleman know what was going on; and would have delayed the service until the arrival of Smith senior.	It is very likely that if Miss Smith had come with a licence to marry Jones, the parson in question, not seeing old Smith present, would have sent off the beadle in a cab to let the old gentleman know what was going on; and would have delayed the service until the arrival of Smith senior.	true	70.91	89.44	21.055563
3816_11258_000004_000001	He very likely thinks it his duty to ask all marriageable young ladies, who come without their papa, why their parent is absent; and, no doubt, ALWAYS sends off the beadle for that missing governor.	He very likely thinks it his duty to ask all marriageable young ladies, who come without their papa, why their parent is absent; and, no doubt, ALWAYS sends off the beadle for that missing governor.	true	89.99	103.45	19.758715
3816_11258_000005_000000	Or, it is very possible that the Duke of Coeurdelion was Mr. What-d'ye-call'im's most intimate friend, and has often said to him, 'What-d'ye-call'im, my boy, my daughter must never marry the Capting. If ever they try at your church, I beseech you, considering the terms of intimacy on which we are, to send off Rattan in a hack cab to fetch me.'	Or, it is very possible that the Duke of Coeurdelion was mr What d'ye call'im's most intimate friend, and has often said to him, 'What d'ye call'im, my boy, my daughter must never marry the Capting. If ever they try at your church, I beseech you, considering the terms of intimacy on which we are, to send off Rattan in a hack cab to fetch me.'	false	104.09	128.59	22.987717
3816_11258_000006_000000	In either of which cases, you see, dear Snobling, that though the parson would not have been authorised, yet he might have been excused for interfering.	In either of which cases, you see, dear Snobling, that though the parson would not have been authorised, yet he might have been excused for interfering.	true	129.8	139.78	20.308107
3816_11258_000006_000001	He has no more right to stop my marriage than to stop my dinner, to both of which, as a free-born Briton, I am entitled by law, if I can pay for them.	He has no more right to stop my marriage than to stop my dinner, to both of which, as a free born Briton, I am entitled by law, if I can pay for them.	true	140.18	149.86	22.143614
3816_11258_000006_000002	But, consider pastoral solicitude, a deep sense of the duties of his office, and pardon this inconvenient, but genuine zeal.	But, consider pastoral solicitude, a deep sense of the duties of his office, and pardon this inconvenient, but genuine zeal.	true	150.5	159.79	19.455847
3816_11258_000007_000000	But if the clergyman did in the Duke's case what he would NOT do in Smith's; if he has no more acquaintance with the Coeurdelion family than I have with the Royal and Serene House of Saxe-Coburg Gotha,--THEN, I confess, my dear Snobling, your question might elicit a disagreeable reply, and one which I respectfully decline to give.	But if the clergyman did in the Duke's case what he would NOT do in Smith's; if he has no more acquaintance with the Coeurdelion family than I have with the Royal and Serene House of Saxe Coburg Gotha,--THEN, I confess, my dear Snobling, your question might elicit a disagreeable reply, and one which I respectfully decline to give.	true	160.82	184.3	20.312874
