159_135897_000000_000000	Zobeide, after the caliph by his address had encouraged her, began thus:	Zobeide, after the caliph by his address had encouraged her, began thus:	false	10.53	29.655	22.977219
159_135897_000001_000000	The Story of Zobeide.	The Story of Zobeide.	true	29.655	31.06	16
159_135897_000002_000000	Commander of the faithful, the relation which I am about to give your majesty is singularly extraordinary.	Commander of the faithful, the relation which I am about to give your majesty is singularly extraordinary.	true	34.1	40.42	23.88821
159_135897_000002_000001	The two black bitches and myself are sisters by the same father and mother; and I shall acquaint you by what strange accident they came to be metamorphosed.	The two black bitches and myself are sisters by the same father and mother; and I shall acquaint you by what strange accident they came to be metamorphosed.	false	40.91	50.14	25
159_135897_000002_000002	The two ladies who live with me, and are now here, are also my sisters by the father's side, but by another mother: she that has the scars upon her breast is named Amene; the name of the other is Safie, and my own Zobeide.	The two ladies who live with me, and are now here, are also my sisters by the father's side, but by another mother: she that has the scars upon her breast is named Amene; the name of the other is Safie, and my own Zobeide.	false	50.75	69.84	23.342005
159_135897_000003_000000	After our father's death, the property that he left was equally divided among us, and as soon as these two sisters received their portions, they left me to live with their mother.	After our father's death, the property that he left was equally divided among us, and as soon as these two sisters received their portions, they left me to live with their mother.	true	69.84	82.72	23.176264
159_135897_000003_000001	My other two sisters and myself stayed with our mother, who was then alive, and who when she afterwards died left each of us a thousand sequins.	My other two sisters and myself stayed with our mother, who was then alive, and who when she afterwards died left each of us a thousand sequins.	true	82.85	94.24	23.375282
159_135897_000003_000002	As soon as we had received our portions, the two eldest (for I am the youngest) married, and left me alone.	As soon as we had received our portions, the two eldest (for I am the youngest) married, and left me alone.	false	94.73	102.13	22.878403
159_135897_000003_000003	Some time after, my eldest sister's husband sold all that he had, and with that money and my sister's portion they went both into Africa, where her husband, by riotous living and debauchery' spent all; and finding himself reduced to poverty, found a pretext for divorcing my sister, and put her away.	Some time after, my eldest sister's husband sold all that he had, and with that money and my sister's portion they went both into Africa, where her husband, by riotous living and debauchery' spent all; and finding himself reduced to poverty, found a pretext for divorcing my sister, and put her away.	false	102.35	123.19	22.975126
159_135897_000004_000000	She returned to this city, and having suffered incredible hardships by the way, came to me in so lamentable a condition that it would have moved the hardest heart to compassion to behold her.	She returned to this city, and having suffered incredible hardships by the way, came to me in so lamentable a condition that it would have moved the hardest heart to compassion to behold her.	false	123.95	135.91	23.076584
159_135897_000004_000001	I received her with every possible tenderness, and inquiring into the cause of her distress, she told me with tears how inhumanly her husband had behaved towards her.	I received her with every possible tenderness, and inquiring into the cause of her distress, she told me with tears how inhumanly her husband had behaved towards her.	true	136.19	146.86	22.750656
159_135897_000004_000002	Her misfortunes affected me: and I mingled my tears with hers.	Her misfortunes affected me: and I mingled my tears with hers.	true	147.08	151.12	20.974691
159_135897_000004_000003	I took her to a bath, clothed her with my own apparel, and thus addressed her: "Sister, you are the elder, and I esteem you as my mother: during your absence, God has blest the portion that fell to my share, and the employment I follow of breeding silk-worms. Assure yourself there is nothing I have but is at your service, and as much at your disposal as my own."	I took her to a bath, clothed her with my own apparel, and thus addressed her: "Sister, you are the elder, and I esteem you as my mother: during your absence, God has blest the portion that fell to my share, and the employment I follow of breeding silk worms. Assure yourself there is nothing I have but is at your service, and as much at your disposal as my own."	true	151.22	177.1	23.831495
159_135897_000005_000000	We lived very comfortably together for some months.	We lived very comfortably together for some months.	true	178.01	181.39	23.927507
159_135897_000005_000001	As we were one day conversing about our third sister, and wondering we received no intelligence of her, she came in as bad a condition as the eldest: her husband had treated her after the same manner; and I received her likewise with the same affection as I had done the former.	As we were one day conversing about our third sister, and wondering we received no intelligence of her, she came in as bad a condition as the eldest: her husband had treated her after the same manner; and I received her likewise with the same affection as I had done the former.	false	181.46	199.09	23.629547
159_135897_000006_000000	Some time after, my two sisters, on presence that they would not be chargeable to me, told me they intended to marry again.	Some time after, my two sisters, on presence that they would not be chargeable to me, told me they intended to marry again.	false	199.67	209.08	25.14872
159_135897_000006_000001	I observed, that if putting me to expense was the only reason, they might lay those thoughts aside, and be welcome to remain: for what I had would be sufficient to maintain us all three, in a manner answerable to our condition.	I observed, that if putting me to expense was the only reason, they might lay those thoughts aside, and be welcome to remain: for what I had would be sufficient to maintain us all three, in a manner answerable to our condition.	true	209.09	224.62	22.37091
159_135897_000006_000002	"But," I added, "I rather believe you wish to marry again; I shall feel much surprised if such be the case.	"But," I added, "I rather believe you wish to marry again; I shall feel much surprised if such be the case.	true	225.29	232.75	22.92558
159_135897_000006_000003	After the experience you have had of the little satisfaction there is in wedlock, is it possible you dare venture a second time?	After the experience you have had of the little satisfaction there is in wedlock, is it possible you dare venture a second time?	true	232.88	241.63	24
159_135897_000006_000004	You know how rare it is to meet with a husband perfectly virtuous and deserving.	You know how rare it is to meet with a husband perfectly virtuous and deserving.	false	241.85	247.24	24.397161
159_135897_000006_000005	Believe what I say, and let us live together as comfortably as we can." All my persuasion was in vain; they were resolved to marry, and soon accomplished their wishes.	Believe what I say, and let us live together as comfortably as we can." All my persuasion was in vain; they were resolved to marry, and soon accomplished their wishes.	true	248.48	260.92	21.3854
159_135897_000006_000006	But after some months were past, they returned again, and begged my pardon a thousand times for not following my advice. "You are our youngest sister," said they, "but abundantly more wise than we; if you will vouchsafe to receive us once more into your house, and account us your slaves, we shall never commit a similar fault again." My answer was, "Dear sisters, I have not altered my mind with respect to you since we last parted: come again, and take part of what I have." Upon this I embraced them, and we lived together as before.	But after some months were past, they returned again, and begged my pardon a thousand times for not following my advice. "You are our youngest sister," said they, "but abundantly more wise than we; if you will vouchsafe to receive us once more into your house, and account us your slaves, we shall never commit a similar fault again." My answer was, "Dear sisters, I have not altered my mind with respect to you since we last parted: come again, and take part of what I have." Upon this I embraced them, and we lived together as before.	false	261.23	299.68	22.802431
159_135897_000007_000000	We continued thus a whole year in perfect love and harmony. Seeing that God had increased my small stock, I projected a voyage, to embark some of it in a commercial speculation.	We continued thus a whole year in perfect love and harmony. Seeing that God had increased my small stock, I projected a voyage, to embark some of it in a commercial speculation.	true	300.74	311.95	23.410221
159_135897_000007_000001	To this end, I went with my two sisters to Bussorah, where I bought a ship ready fitted for sea, and laded her with such merchandise as I had carried with me from Bagdad.	To this end, I went with my two sisters to Bussorah, where I bought a ship ready fitted for sea, and laded her with such merchandise as I had carried with me from Bagdad.	false	312.29	322.96	22.078966
159_135897_000007_000002	We set sail with a fair wind, and soon cleared the Persian gulf; when we had reached the open sea, we steered our course to the Indies; and the twentieth day saw land.	We set sail with a fair wind, and soon cleared the Persian gulf; when we had reached the open sea, we steered our course to the Indies; and the twentieth day saw land.	true	323.66	335.35	22.96999
159_135897_000007_000003	It was a very high mountain, at the bottom of which we perceived a great town: having a fresh gale, we soon reached the harbour, and cast anchor.	It was a very high mountain, at the bottom of which we perceived a great town: having a fresh gale, we soon reached the harbour, and cast anchor.	true	335.87	345.37	23.039146
159_135897_000008_000000	I had not patience to wait till my sisters were dressed to go along with me, but went ashore alone in the boat.	I had not patience to wait till my sisters were dressed to go along with me, but went ashore alone in the boat.	true	345.71	352.03	21.985477
