7395_89882_000000_000000	Chap. XIV.	Chap. fourteen.	false	25.335	26.89	25.228024
7395_89882_000000_000001	How King Edwin and his nation became Christians; and where Paulinus baptized them.	How King Edwin and his nation became Christians; and where Paulinus baptized them.	true	27.14	32.68	22
7395_89882_000000_000002	[627 A.D.]	[six twenty seven a d]	true	32.75	34.87	22.49711
7395_89882_000001_000000	King Edwin, therefore, with all the nobility of the nation, and a large number of the common sort, received the faith, and the washing of holy regeneration, in the eleventh year of his reign, which is the year of our Lord 627, and about one hundred and eighty after the coming of the English into Britain.	King Edwin, therefore, with all the nobility of the nation, and a large number of the common sort, received the faith, and the washing of holy regeneration, in the eleventh year of his reign, which is the year of our Lord six hundred twenty seven, and about one hundred and eighty after the coming of the English into Britain.	false	35.21	53.41	21
7395_89882_000001_000001	He was baptized at York, on the holy day of Easter,(233) being the 12th of April, in the church of St. Peter the Apostle, which he himself had built of timber there in haste, whilst he was a catechumen receiving instruction in order to be admitted to baptism.	He was baptized at York, on the holy day of Easter,(two hundred thirty three) being the twelfth of April, in the church of saint Peter the Apostle, which he himself had built of timber there in haste, whilst he was a catechumen receiving instruction in order to be admitted to baptism.	false	53.75	70.6	23.171844
7395_89882_000001_000002	In that city also he bestowed upon his instructor and bishop, Paulinus, his episcopal see.	In that city also he bestowed upon his instructor and bishop, Paulinus, his episcopal see.	true	71.03	77.47	22.704308
7395_89882_000001_000003	But as soon as he was baptized, he set about building, by the direction of Paulinus, in the same place a larger and nobler church of stone, in the midst whereof the oratory which he had first erected should be enclosed.(234) Having, therefore, laid the foundation, he began to build the church square, encompassing the former oratory.	But as soon as he was baptized, he set about building, by the direction of Paulinus, in the same place a larger and nobler church of stone, in the midst whereof the oratory which he had first erected should be enclosed.(two hundred thirty four) Having, therefore, laid the foundation, he began to build the church square, encompassing the former oratory.	false	77.6	97.9	22
7395_89882_000001_000004	But before the walls were raised to their full height, the cruel death(235) of the king left that work to be finished by Oswald his successor.	But before the walls were raised to their full height, the cruel death(two hundred thirty five) of the king left that work to be finished by Oswald his successor.	false	98.33	106.75	23.732546
7395_89882_000001_000005	Paulinus, for the space of six years from this time, that is, till the end of the king's reign, with his consent and favour, preached the Word of God in that country, and as many as were foreordained to eternal life believed and were baptized.	Paulinus, for the space of six years from this time, that is, till the end of the king's reign, with his consent and favour, preached the Word of God in that country, and as many as were foreordained to eternal life believed and were baptized.	true	107	123.49	22.445992
7395_89882_000001_000006	Among them were Osfrid and Eadfrid, King Edwin's sons who were both born to him, whilst he was in banishment, of Quenburga, the daughter of Cearl, king of the Mercians.	Among them were Osfrid and Eadfrid, King Edwin's sons who were both born to him, whilst he was in banishment, of Quenburga, the daughter of Cearl, king of the Mercians.	false	123.92	135.91	21.676058
7395_89882_000002_000000	Afterwards other children of his, by Queen Ethelberg, were baptized, Ethelhun and his daughter Ethelthryth, and another, Wuscfrea, a son; the first two were snatched out of this life whilst they were still in the white garments of the newly-baptized,(236) and buried in the church at York.	Afterwards other children of his, by Queen Ethelberg, were baptized, Ethelhun and his daughter Ethelthryth, and another, Wuscfrea, a son; the first two were snatched out of this life whilst they were still in the white garments of the newly baptized,(two hundred thirty six) and buried in the church at York.	false	136.13	154.77	22.360735
7395_89882_000002_000001	Yffi,(237) the son of Osfrid, was also baptized, and many other noble and royal persons.	y f f i,(two hundred thirty seven) the son of Osfrid, was also baptized, and many other noble and royal persons.	false	154.77	161.11	21.828825
7395_89882_000002_000002	So great was then the fervour of the faith, as is reported, and the desire for the laver of salvation among the nation of the Northumbrians, that Paulinus at a certain time coming with the king and queen to the royal township, which is called Adgefrin,(238) stayed there with them thirty-six days, fully occupied in catechizing and baptizing; during which days, from morning till night, he did nothing else but instruct the people resorting from all villages and places, in Christ's saving Word; and when they were instructed, he washed them with the water of absolution in the river Glen,(239) which is close by.	So great was then the fervour of the faith, as is reported, and the desire for the laver of salvation among the nation of the Northumbrians, that Paulinus at a certain time coming with the king and queen to the royal township, which is called Adgefrin,(two hundred thirty eight) stayed there with them thirty six days, fully occupied in catechizing and baptizing; during which days, from morning till night, he did nothing else but instruct the people resorting from all villages and places, in Christ's saving Word; and when they were instructed, he washed them with the water of absolution in the river Glen,(two hundred thirty nine) which is close by.	false	161.36	200.11	21.7831
7395_89882_000002_000003	This township, under the following kings, was abandoned, and another was built instead of it, at the place called Maelmin.(240)	This township, under the following kings, was abandoned, and another was built instead of it, at the place called Maelmin.(two hundred forty)	false	200.27	208.545	20.774296
7395_89882_000003_000000	These things happened in the province of the Bernicians; but in that of the Deiri also, where he was wont often to be with the king, he baptized in the river Swale, which runs by the village of Cataract;(241) for as yet oratories, or baptisteries, could not be built in the early infancy of the Church in those parts.	These things happened in the province of the Bernicians; but in that of the Deiri also, where he was wont often to be with the king, he baptized in the river Swale, which runs by the village of Cataract;(two hundred forty one) for as yet oratories, or baptisteries, could not be built in the early infancy of the Church in those parts.	false	208.545	228.84	23.46297
7395_89882_000003_000001	But in Campodonum,(242) where there was then a royal township, he built a church which the pagans, by whom King Edwin was slain, afterwards burnt, together with all the place.	But in Campodonum,(two hundred forty two) where there was then a royal township, he built a church which the pagans, by whom King Edwin was slain, afterwards burnt, together with all the place.	false	228.84	239.5	22.474604
7395_89882_000003_000002	Instead of this royal seat the later kings built themselves a township in the country called Loidis.(243) But the altar, being of stone, escaped the fire and is still preserved in the monastery of the most reverend abbot and priest, Thrydwulf, which is in the forest of Elmet.(244)	Instead of this royal seat the later kings built themselves a township in the country called Loidis.(two hundred forty three) But the altar, being of stone, escaped the fire and is still preserved in the monastery of the most reverend abbot and priest, Thrydwulf, which is in the forest of Elmet.(two hundred forty four)	false	239.78	258.24	23.03586
7395_89882_000004_000000	Chap. XV.	Chap. fifteen.	false	258.24	259.635	23.441822
7395_89882_000004_000001	How the province of the East Angles received the faith of Christ. [627-628 A.D.]	How the province of the East Angles received the faith of Christ. [six hundred twenty seven to six hundred twenty eight a d]	false	259.635	267.13	23.405762
7395_89882_000005_000000	Edwin was so zealous for the true worship, that he likewise persuaded Earpwald, king of the East Angles, and son of Redwald, to abandon his idolatrous superstitions, and with his whole province to receive the faith and mysteries of Christ.	Edwin was so zealous for the true worship, that he likewise persuaded Earpwald, king of the East Angles, and son of Redwald, to abandon his idolatrous superstitions, and with his whole province to receive the faith and mysteries of Christ.	false	267.68	284.08	20.81117
