4433_16802_000000_000000	PEOPLE.	PEOPLE.	true	25.815	26.53	11
4433_16802_000001_000000	Synonyms:	Synonyms:	true	27.05	28.12	8
4433_16802_000002_000000	commonwealth, nation, race, state, tribe. community, population,	commonwealth, nation, race, state, tribe. community, population,	false	28.49	38.4	17.921577
4433_16802_000003_000000	A _community_ is in general terms the aggregate of persons inhabiting any territory in common and viewed as having common interests; a _commonwealth_ is such a body of persons having a common government, especially a republican government; as, the _commonwealth_ of Massachusetts.	A underscore community underscore is in general terms the aggregate of persons inhabiting any territory in common and viewed as having common interests; a underscore commonwealth underscore is such a body of persons having a common government, especially a republican government; as, the underscore commonwealth underscore of Massachusetts.	false	38.4	56.83	9
4433_16802_000003_000001	A _community_ may be very small; a _commonwealth_ is ordinarily of considerable extent.	A underscore community underscore may be very small; a underscore commonwealth underscore is ordinarily of considerable extent.	false	57.62	63.67	11
4433_16802_000003_000002	A _people_ is the aggregate of any public _community_, either in distinction from their rulers or as including them; a _race_ is a division of mankind in the line of origin and ancestry; the _people_ of the United States includes members of almost every _race_.	A underscore people underscore is the aggregate of any public underscore community underscore, either in distinction from their rulers or as including them; a underscore race underscore is a division of mankind in the line of origin and ancestry; the underscore people underscore of the United States includes members of almost every underscore race underscore.	false	64.13	82.02	11
4433_16802_000003_000003	The use of _people_ as signifying persons collectively, as in the statement "The hall was full of _people_," has been severely criticized, but is old and accepted English, and may fitly be classed as idiomatic, and often better than _persons_, by reason of its collectivism.	The use of underscore people underscore as signifying persons collectively, as in the statement "The hall was full of underscore people underscore," has been severely criticized, but is old and accepted English, and may fitly be classed as idiomatic, and often better than underscore persons underscore, by reason of its collectivism.	false	82.02	100.06	11
4433_16802_000003_000004	As Dean Alford suggests, it would make a strange transformation of the old hymn "All _people_ that on earth do dwell" to sing "All _persons_ that on earth do dwell." A _state_ is an organized political _community_ considered in its corporate capacity as "a body politic and corporate;" as, a legislative act is the act of the _state_; every citizen is entitled to the protection of the _state_.	As Dean Alford suggests, it would make a strange transformation of the old hymn "All underscore people underscore that on earth do dwell" to sing "All underscore persons underscore that on earth do dwell." A underscore state underscore is an organized political underscore community underscore considered in its corporate capacity as "a body politic and corporate;" as, a legislative act is the act of the underscore state underscore; every citizen is entitled to the protection of the underscore state underscore.	false	100.73	128.16	12
4433_16802_000003_000005	A _nation_ is an organized political _community_ considered with reference to the persons composing it as having certain definite boundaries, a definite number of citizens, etc.	A underscore nation underscore is an organized political underscore community underscore considered with reference to the persons composing it as having certain definite boundaries, a definite number of citizens, etc	false	128.16	139.66	10
4433_16802_000003_000006	The members of a _people_ are referred to as persons or individuals; the individual members of a _state_ or _nation_ are called citizens or subjects.	The members of a underscore people underscore are referred to as persons or individuals; the individual members of a underscore state underscore or underscore nation underscore are called citizens or subjects.	false	140.12	149.53	9
4433_16802_000003_000007	The _population_ of a country is simply the aggregate of persons residing within its borders, without reference to _race_, organization, or allegiance; unnaturalized residents form part of the _population_, but not of the _nation_, possessing none of the rights and being subject to none of the duties of citizens.	The underscore population underscore of a country is simply the aggregate of persons residing within its borders, without reference to underscore race underscore, organization, or allegiance; unnaturalized residents form part of the underscore population underscore, but not of the underscore nation underscore, possessing none of the rights and being subject to none of the duties of citizens.	false	150.38	170.8	11
