711_187466_000000_000000	CHAP.	CHAP.	false	1.11	3.66	18
711_187466_000000_000001	V.	V.	false	3.66	4.11	13
711_187466_000001_000000	OCCURRENCES AT COUPANG; VOYAGE TO BATAVIA, &c.; ARRIVAL IN ENGLAND.	OCCURRENCES AT c o u p a n g; VOYAGE TO BATAVIA, and c.; ARRIVAL IN ENGLAND.	false	4.11	22.54	20.799477
711_187466_000002_000000	THIS is the Montpelier of the East to the Dutch and Portuguese settlements in India; and, from the salubrity of its air, is the favourite resort of valetudinarians and invalids from Batavia and other places.	THIS is the Montpelier of the East to the Dutch and Portuguese settlements in India; and, from the salubrity of its air, is the favourite resort of valetudinarians and invalids from Batavia and other places.	true	23.45	37.21	17
711_187466_000002_000001	This island is fertile, variegated with hill and dale, and equally beautiful as diversified with Rotti, and its appendant isles.	This island is fertile, variegated with hill and dale, and equally beautiful as diversified with Rotti, and its appendant isles.	false	37.85	50.43	21.831804
711_187466_000002_000002	It is as large as the island of Great Britain.	It is as large as the island of Great Britain.	true	50.43	53.71	18
711_187466_000002_000003	Its principal trade is wax, honey, and sandlewood; but the whole of its revenues do not defray the expence of the settlement to the Company; but from the locality of its situation, it is convenient for their other islands.	Its principal trade is wax, honey, and sandlewood; but the whole of its revenues do not defray the expence of the settlement to the Company; but from the locality of its situation, it is convenient for their other islands.	false	53.9	70.36	20.553814
711_187466_000002_000004	They had the monopoly of the sandlewood trade, which is used in all temples, mosques, and places of worship in the East, every Chinese having a sprig of it burning day and night near their household-gods.	They had the monopoly of the sandlewood trade, which is used in all temples, mosques, and places of worship in the East, every Chinese having a sprig of it burning day and night near their household gods.	false	71.3	85.3	18
711_187466_000003_000000	The exclusive trade of sandlewood was valuable and convenient to the Dutch; but, from the vast extent of territory lately acquired in India, we have plenty of that commodity without going to the Dutch market.	The exclusive trade of sandlewood was valuable and convenient to the Dutch; but, from the vast extent of territory lately acquired in India, we have plenty of that commodity without going to the Dutch market.	true	86.18	99.19	21.443966
711_187466_000003_000001	Close to the Dutch town is a Chinese town and temple.	Close to the Dutch town is a Chinese town and temple.	true	99.98	103.57	20
711_187466_000003_000002	They have a governor of their own nation, but pay large tribute to the Dutch.	They have a governor of their own nation, but pay large tribute to the Dutch.	true	104.06	108.82	20.280973
711_187466_000003_000003	Notwithstanding their trade is under very severe restrictions, they soon make rich; and, as soon as they become independent, return to their own country.	Notwithstanding their trade is under very severe restrictions, they soon make rich; and, as soon as they become independent, return to their own country.	true	109.19	119.59	19
711_187466_000003_000004	For European and India goods the natives barter their produce, and sell their prisoners of war, who are carried to Batavia as slaves, and the natives of Java sent from Batavia to this place in return.	For European and India goods the natives barter their produce, and sell their prisoners of war, who are carried to Batavia as slaves, and the natives of Java sent from Batavia to this place in return.	false	120.26	134.83	20
711_187466_000003_000005	As they hold their tenure more from policy than strength, it would be impolitic to irritate them, by exposing their countrymen, subjugated to the lash of slavery and oppression.	As they hold their tenure more from policy than strength, it would be impolitic to irritate them, by exposing their countrymen, subjugated to the lash of slavery and oppression.	false	135.38	147.25	22
711_187466_000004_000000	An instance of this soul-couping business fell under our inspection while here.	An instance of this soul couping business fell under our inspection while here.	false	148.1	153.7	20
711_187466_000004_000001	One of the petty princes, in settling his account with a merchant of this place, was some dollars short of cash.	One of the petty princes, in settling his account with a merchant of this place, was some dollars short of cash.	true	154.43	161.2	21
711_187466_000004_000002	He just stepped to the door, and casting his eye on an elderly man who was near him, he laid hold of him; and, with the assistance of some of his myrmidons, gave him up as a slave, and so settled his account.	He just stepped to the door, and casting his eye on an elderly man who was near him, he laid hold of him; and, with the assistance of some of his myrmidons, gave him up as a slave, and so settled his account.	false	161.6	176.05	20.734697
711_187466_000004_000003	We felt more interested in the fate of this poor wretch, on account of his having been a prince himself, but never before saw the face of his oppressor.	We felt more interested in the fate of this poor wretch, on account of his having been a prince himself, but never before saw the face of his oppressor.	false	176.6	185.8	20
711_187466_000004_000004	He went passenger in the ship with us to Batavia.	He went passenger in the ship with us to Batavia.	true	186.08	189.52	24
711_187466_000005_000000	It was a pleasing and flattering sight to an Englishman, at this remotest corner of the globe, to see that Wedgewood's stoneware, and Birmingham goods, had found their way into the shops of Coupang.	It was a pleasing and flattering sight to an Englishman, at this remotest corner of the globe, to see that Wedgewood's stoneware, and Birmingham goods, had found their way into the shops of Coupang.	false	191.09	205.38	22.138172
711_187466_000006_000000	During our five weeks stay here, the Governor, Mynheer Vanion, by every act of politeness and attention endeavoured to make us spend our time agreeably.	During our five weeks stay here, the Governor, Mynheer Vanion, by every act of politeness and attention endeavoured to make us spend our time agreeably.	false	205.38	215.98	18
711_187466_000006_000001	We were sumptuously regaled at his table every day, and the evening was spent with cards and concerts.	We were sumptuously regaled at his table every day, and the evening was spent with cards and concerts.	true	216.35	223.39	18
711_187466_000006_000002	I could dwell with pleasure for an age in praise of this honest Dutchman; it is the tribute of a grateful heart, and his due.	I could dwell with pleasure for an age in praise of this honest Dutchman; it is the tribute of a grateful heart, and his due.	true	223.85	232.99	21.628592
711_187466_000006_000003	This is the third time he has had an opportunity of extending his hospitality to shipwrecked Englishmen.	This is the third time he has had an opportunity of extending his hospitality to shipwrecked Englishmen.	true	233.81	241.42	20
711_187466_000007_000000	About a fortnight before we arrived, a boat, with eight men, a woman, and two children, came on shore here, who told him they were the supercargo, part of the crew, and passengers of an English brig, wrecked in these seas.	About a fortnight before we arrived, a boat, with eight men, a woman, and two children, came on shore here, who told him they were the supercargo, part of the crew, and passengers of an English brig, wrecked in these seas.	false	242.09	257.32	18
711_187466_000007_000001	His house, which has ever been the asylum of the distressed, was open for their reception.	His house, which has ever been the asylum of the distressed, was open for their reception.	false	257.63	264.73	22
711_187466_000007_000002	They drew bills on the British government, and were supplied with every necessary they stood in need of.	They drew bills on the British government, and were supplied with every necessary they stood in need of.	true	265.19	271.39	20
711_187466_000008_000000	The captain of a Dutch East Indiaman, who spoke English, hearing of the arrival of Capt.	The captain of a Dutch East Indiaman, who spoke English, hearing of the arrival of Capt.	false	272.51	278.49	21.92567
711_187466_000008_000001	Edwards, and our unfortunate boat, run to them with the glad tidings of their Captain having arrived; but one of them, starting up in surprise, said, "What Captain! dam'me, we have no Captain;" for they had reported, that the Captain and remainder of the crew had separated from them at sea in another boat.	Edwards, and our unfortunate boat, run to them with the glad tidings of their Captain having arrived; but one of them, starting up in surprise, said, "What Captain! dam'me, we have no Captain;" for they had reported, that the Captain and remainder of the crew had separated from them at sea in another boat.	false	278.49	299.32	22.223305
711_187466_000008_000002	This immediately led to a suspicion of their being impostors; and they were ordered to be apprehended, and put into the castle.	This immediately led to a suspicion of their being impostors; and they were ordered to be apprehended, and put into the castle.	true	299.93	307.48	18
711_187466_000008_000003	One of the men, and the woman, fled into the woods; but were soon taken.	One of the men, and the woman, fled into the woods; but were soon taken.	true	307.79	312.16	17.96233
711_187466_000008_000004	They confessed they were English convicts, and that they had made their escape from Botany Bay.	They confessed they were English convicts, and that they had made their escape from Botany Bay.	true	312.59	317.74	18
711_187466_000008_000005	They had been supplied with a quadrant, a compass, a chart, and some small arms and ammunition, from a Dutch ship that lay there; and the expedition was conducted by the Governor's fisherman, whose time of transportation was expired.	They had been supplied with a quadrant, a compass, a chart, and some small arms and ammunition, from a Dutch ship that lay there; and the expedition was conducted by the Governor's fisherman, whose time of transportation was expired.	true	317.84	333.88	20.481216
711_187466_000008_000006	He was a good seaman, and a tolerable navigator.	He was a good seaman, and a tolerable navigator.	true	334.37	337.24	19
711_187466_000008_000007	They dragged along the coast of New South Wales; and as often as the hostile nature of the savage natives would permit, hauled their boat up at night, and slept on shore.	They dragged along the coast of New South Wales; and as often as the hostile nature of the savage natives would permit, hauled their boat up at night, and slept on shore.	true	337.7	348.67	21
711_187466_000008_000008	They met with several curious and interesting anecdotes in this voyage.	They met with several curious and interesting anecdotes in this voyage.	true	349.01	353.89	19
711_187466_000008_000009	In many places of the coast of South Wales, they found very good coal; a circumstance that was not before known.	In many places of the coast of South Wales, they found very good coal; a circumstance that was not before known.	true	354.53	363.49	21.07507
711_187466_000008_000010	Our men were now beginning to regain their strength; and Captain Dadleberg of the Rembang Indiaman was making every possible dispatch with his ship to carry us to Batavia.	Our men were now beginning to regain their strength; and Captain Dadleberg of the Rembang Indiaman was making every possible dispatch with his ship to carry us to Batavia.	true	363.74	375.73	20.864307
711_187466_000009_000000	During this time, the interment of Balthazar, King of Coupang, was performed with much funeral pomp.	During this time, the interment of Balthazar, King of Coupang, was performed with much funeral pomp.	false	376.73	384.13	20.83083
711_187466_000009_000001	The Governor, Lieutenant-Governor, and all the Europeans were invited.	The Governor, Lieutenant Governor, and all the Europeans were invited.	true	384.41	388.72	21
711_187466_000009_000002	Six months had been spent in preparations for this fete, at which an emperor and twenty-five kings assisted and attended in person with all their body-guards, standards, and standard-bearers, were present.	Six months had been spent in preparations for this fete, at which an emperor and twenty five kings assisted and attended in person with all their body guards, standards, and standard bearers, were present.	true	389.06	402.82	21.65626
711_187466_000009_000003	When the corpse was deposited in the sepulchre, the Company's troops fired three vollies, and victuals and drink were immediately served to four thousand people.	When the corpse was deposited in the sepulchre, the Company's troops fired three vollies, and victuals and drink were immediately served to four thousand people.	false	403.52	414.04	20
711_187466_000010_000000	The Dutch and English officers were invited to a very sumptuous dinner, at a table provided for the emperor and all the kings.	The Dutch and English officers were invited to a very sumptuous dinner, at a table provided for the emperor and all the kings.	false	414.95	422.8	16
711_187466_000010_000001	The first toast after dinner was the dead king's health.	The first toast after dinner was the dead king's health.	true	423.2	427.12	22
711_187466_000010_000002	Next they drank Mynheer Company's health, which was accompanied with a volley of small arms and paterreros.	Next they drank Mynheer Company's health, which was accompanied with a volley of small arms and paterreros.	false	427.4	435.07	20
