5319_42637_000003_000000	CHAPTER IX	CHAPTER nine
5319_42637_000005_000000	It is claimed that in States, districts, and counties, in which the colored people are in the majority, the suppression of the colored vote is necessary to prevent "Negro Domination,"--to prevent the ascendency of the blacks over the whites in the administration of the State and local governments.	It is claimed that in States, districts, and counties, in which the colored people are in the majority, the suppression of the colored vote is necessary to prevent "Negro Domination,"--to prevent the ascendency of the blacks over the whites in the administration of the State and local governments.
5319_42637_000006_000000	This claim is based upon the assumption that if the black vote were not suppressed in all such States, districts, and counties, black men would be supported and elected to office because they were black, and white men would be opposed and defeated because they were white.	This claim is based upon the assumption that if the black vote were not suppressed in all such States, districts, and counties, black men would be supported and elected to office because they were black, and white men would be opposed and defeated because they were white.
5319_42637_000007_000000	Taking Mississippi for purposes of illustration, it will be seen that there has never been the slightest ground for such an apprehension.	Taking Mississippi for purposes of illustration, it will be seen that there has never been the slightest ground for such an apprehension.
5319_42637_000007_000001	No colored man in that State ever occupied a judicial position above that of Justice of the Peace and very few aspired to that position.	No colored man in that State ever occupied a judicial position above that of Justice of the Peace and very few aspired to that position.
5319_42637_000007_000003	Of the two United States Senators and the seven members of the lower house of Congress not more than one colored man occupied a seat in each house at the same time.	Of the two United States Senators and the seven members of the lower house of Congress not more than one colored man occupied a seat in each house at the same time.
5319_42637_000007_000004	Of the thirty-five members of the State Senate, and of the one hundred and fifteen members of the House,--which composed the total membership of the State Legislature prior to 1874,--there were never more than about seven colored men in the Senate and forty in the lower house.	Of the thirty five members of the State Senate, and of the one hundred and fifteen members of the House,--which composed the total membership of the State Legislature prior to eighteen seventy four,--there were never more than about seven colored men in the Senate and forty in the lower house.
5319_42637_000007_000006	The composition of the lower house of the State Legislature that was elected in 1871 was as follows:	The composition of the lower house of the State Legislature that was elected in eighteen seventy one was as follows:
5319_42637_000008_000000	Total membership, one hundred and fifteen.	Total membership, one hundred and fifteen.
5319_42637_000008_000001	Republicans, sixty-six; Democrats, forty-nine.	Republicans, sixty six; Democrats, forty nine.
5319_42637_000008_000002	Colored members, thirty-eight.	Colored members, thirty eight.
5319_42637_000008_000003	White members, seventy-seven.	White members, seventy seven.
5319_42637_000008_000004	White majority, thirty-nine.	White majority, thirty nine.
5319_42637_000009_000000	Of the sixty-six Republicans thirty-eight were colored and twenty-eight, white.	Of the sixty six Republicans thirty eight were colored and twenty eight, white.
5319_42637_000009_000001	There was a slight increase in the colored membership as a result of the election of 1873, but the colored men never at any time had control of the State Government nor of any branch or department thereof, nor even that of any county or municipality.	There was a slight increase in the colored membership as a result of the election of eighteen seventy three, but the colored men never at any time had control of the State Government nor of any branch or department thereof, nor even that of any county or municipality.
5319_42637_000009_000003	The State; district, county, and municipal governments were not only in control of white men, but white men who were to the manor born, or who were known as old citizens of the State--those who had lived in the State many years before the War of the Rebellion.	The State; district, county, and municipal governments were not only in control of white men, but white men who were to the manor born, or who were known as old citizens of the State-those who had lived in the State many years before the War of the Rebellion.
5319_42637_000009_000004	There was, therefore, never a time when that class of white men known as Carpet-baggers had absolute control of the State Government, or that of any district, county or municipality, or any branch or department thereof.	There was, therefore, never a time when that class of white men known as Carpet baggers had absolute control of the State Government, or that of any district, county or municipality, or any branch or department thereof.
5319_42637_000009_000005	There was never, therefore, any ground for the alleged apprehension of negro domination as a result of a free, fair, and honest election in any one of the Southern or Reconstructed States.	There was never, therefore, any ground for the alleged apprehension of negro domination as a result of a free, fair, and honest election in any one of the Southern or Reconstructed States.
5319_42637_000010_000000	And this brings us to a consideration of the question, What is meant by "Negro Domination?"	And this brings us to a consideration of the question, What is meant by "Negro Domination?"
5319_42637_000010_000001	The answer that the average reader would give to that question would be that it means the actual, physical domination of the blacks over the whites.	The answer that the average reader would give to that question would be that it means the actual, physical domination of the blacks over the whites.
5319_42637_000010_000002	But, according to a high Democratic authority, that would be an incorrect answer.	But, according to a high Democratic authority, that would be an incorrect answer.
5319_42637_000010_000003	The definition given by that authority I have every reason to believe is the correct one, the generally accepted one.	The definition given by that authority I have every reason to believe is the correct one, the generally accepted one.
5319_42637_000010_000004	The authority referred to is the late Associate Justice of the Supreme Court of the State of Mississippi, H.H.	The authority referred to is the late Associate Justice of the Supreme Court of the State of Mississippi, h h
5319_42637_000011_000001	If this is the correct definition of that term,--and it is, no doubt, the generally accepted one,--then the friends and advocates of manhood suffrage will not deny that we have had in the past "Negro Domination," nationally as well as locally, and that we may have it in the future.	If this is the correct definition of that term,--and it is, no doubt, the generally accepted one,--then the friends and advocates of manhood suffrage will not deny that we have had in the past "Negro Domination," nationally as well as locally, and that we may have it in the future.
5319_42637_000013_000001	For instance, in the Presidential election of 1868, General Grant, the Republican candidate, lost the important and pivotal State of New York, a loss which would have resulted in his defeat if the Southern States that took part in that election had all voted against him.	For instance, in the Presidential election of eighteen sixty eight, General Grant, the Republican candidate, lost the important and pivotal State of New York, a loss which would have resulted in his defeat if the Southern States that took part in that election had all voted against him.
5319_42637_000013_000002	That they did not do so was due to the votes of the colored men in those States.	That they did not do so was due to the votes of the colored men in those States.
5319_42637_000013_000003	Therefore Grant's first administration represented "Negro Domination."	Therefore Grant's first administration represented "Negro Domination."
5319_42637_000014_000000	Again, in 1876, Hayes was declared elected President by a majority of one vote in the electoral college.	Again, in eighteen seventy six, Hayes was declared elected President by a majority of one vote in the electoral college.
5319_42637_000014_000001	This was made possible by the result of the election in the States of Louisiana, South Carolina, and Florida, about which there was much doubt and considerable dispute, and over which there was a bitter controversy.	This was made possible by the result of the election in the States of Louisiana, South Carolina, and Florida, about which there was much doubt and considerable dispute, and over which there was a bitter controversy.
5319_42637_000014_000002	But for the colored vote in those States there would have been no doubt, no dispute, no controversy.	But for the colored vote in those States there would have been no doubt, no dispute, no controversy.
5319_42637_000014_000004	Therefore, the Hayes administration represented "Negro Domination."	Therefore, the Hayes administration represented "Negro Domination."
5319_42637_000015_000000	Again, in 1880, General Garfield, the Republican candidate for President, carried the State of New York by a plurality of about 20,000, without which he could not have been elected.	Again, in eighteen eighty, General Garfield, the Republican candidate for President, carried the State of New York by a plurality of about twenty thousand, without which he could not have been elected.
5319_42637_000015_000001	It will not be denied by those who are well informed that if the colored men that voted for him in that State at that time had voted against him, he would have lost the State and, with it, the Presidency.	It will not be denied by those who are well informed that if the colored men that voted for him in that State at that time had voted against him, he would have lost the State and, with it, the Presidency.
5319_42637_000015_000002	Therefore, the Garfield-Arthur administration represented "Negro Domination."	Therefore, the Garfield Arthur administration represented "Negro Domination."
5319_42637_000016_000000	Again, in 1884, Mr. Cleveland, the Democratic candidate, carried the doubtful but very important State of New York by the narrow margin of 1,147 plurality, which resulted in his election.	Again, in eighteen eighty four, mr Cleveland, the Democratic candidate, carried the doubtful but very important State of New York by the narrow margin of one thousand one hundred forty seven plurality, which resulted in his election.
5319_42637_000016_000001	It cannot and will not be denied that even at that early date the number of colored men that voted for Mr. Cleveland was far in excess of the plurality by which he carried the State.	It cannot and will not be denied that even at that early date the number of colored men that voted for mr Cleveland was far in excess of the plurality by which he carried the State.
5319_42637_000016_000002	Mr. Cleveland's first administration, therefore, represented "Negro Domination." Mr. Cleveland did not hesitate to admit and appreciate the fact that colored men contributed largely to his success, hence he did not fail to give that element of his party appropriate and satisfactory official recognition.	mr Cleveland's first administration, therefore, represented "Negro Domination." mr Cleveland did not hesitate to admit and appreciate the fact that colored men contributed largely to his success, hence he did not fail to give that element of his party appropriate and satisfactory official recognition.
5319_42637_000017_000000	Again, in 1888, General Harrison, the Republican Presidential candidate, carried the State of New York by a plurality of about 20,000, which resulted in his election, which he would have lost but for the votes of the colored men in that State.	Again, in eighteen eighty eight, General Harrison, the Republican Presidential candidate, carried the State of New York by a plurality of about twenty thousand, which resulted in his election, which he would have lost but for the votes of the colored men in that State.
5319_42637_000017_000001	Therefore, Harrison's administration represented "Negro Domination."	Therefore, Harrison's administration represented "Negro Domination."
5319_42637_000018_000000	The same is true of important elections in a number of States, districts and counties in which the colored vote proved to be potential and decisive.	The same is true of important elections in a number of States, districts and counties in which the colored vote proved to be potential and decisive.
5319_42637_000018_000003	Why was this? What was the excuse for it?	Why was this? What was the excuse for it?
5319_42637_000018_000004	What was the motive, the incentive that caused it?	What was the motive, the incentive that caused it?
5319_42637_000018_000005	It was not in the interest of good, efficient, and capable government; for that we already had.	It was not in the interest of good, efficient, and capable government; for that we already had.
5319_42637_000018_000006	It was not on account of dishonesty, maladministration, misappropriation of public funds; for every dollar of the public funds had been faithfully accounted for.	It was not on account of dishonesty, maladministration, misappropriation of public funds; for every dollar of the public funds had been faithfully accounted for.
5319_42637_000018_000007	It was not on account of high taxes; for it had been shown that, while the tax rate was quite high during the Alcorn administration, it had been reduced under the Ames administration to a point considerably less than it is now or than it has been for a number of years.	It was not on account of high taxes; for it had been shown that, while the tax rate was quite high during the Alcorn administration, it had been reduced under the Ames administration to a point considerably less than it is now or than it has been for a number of years.
5319_42637_000018_000008	It was not to prevent "Negro Domination" and to make sure the ascendency of the whites in the administration of the State and local governments; for that was then the recognized and established order of things, from which there was no apprehension of departure.	It was not to prevent "Negro Domination" and to make sure the ascendency of the whites in the administration of the State and local governments; for that was then the recognized and established order of things, from which there was no apprehension of departure.
5319_42637_000018_000009	Then, what was the cause of this sudden and unexpected uprising?	Then, what was the cause of this sudden and unexpected uprising?
5319_42637_000018_000010	There must have been a strong, if not a justifiable, reason for it.	There must have been a strong, if not a justifiable, reason for it.
5319_42637_000018_000011	What was it?	What was it?
