439_123866_000000_000000	Yet these should know me too Lover and bondman true, One that has honoured well The mystic spell	Yet these should know me too Lover and bondman true, One that has honoured well The mystic spell	false	0	7.77	18.070002
439_123866_000001_000000	Of earth's most solemn hours Wherein the ancient powers Of dryad, elf, or faun Or leprechaun	Of earth's most solemn hours Wherein the ancient powers Of dryad, elf, or faun Or leprechaun	false	7.77	16.47	19.66963
439_123866_000002_000000	Oft have their faces shown To me that walked alone Seashore or haunted fen Or mountain glen	Oft have their faces shown To me that walked alone Seashore or haunted fen Or mountain glen	false	16.47	21.93	19.713667
439_123866_000003_000000	Wherefore I will not fear To walk the woodlands sere Into this autumn day Far, far away.	Wherefore I will not fear To walk the woodlands sere Into this autumn day Far, far away.	false	21.93	33.48	19.906452
439_123866_000004_000000	Part II Hesitation	Part two Hesitation	false	33.48	39.42	22.05561
439_123866_000005_000000	XXII.	twenty two.	true	39.42	40.54	20
439_123866_000005_000001	L'Apprenti Sorcier	L'Apprenti Sorcier	true	40.88	43.15	20
439_123866_000006_000000	Suddenly there came to me The music of a mighty sea That on a bare and iron shore Thundered with a deeper roar Than all the tides that leap and run With us below the real sun: Because the place was far away, Above, beyond our homely day, Neighbouring close the frozen clime Where out of all the woods of time, Amid the frightful seraphim The fierce, cold eyes of Godhead gleam, Revolving hate and misery And wars and famines yet to be. And in my dreams I stood alone Upon a shelf of weedy stone, And saw before my shrinking eyes The dark, enormous breakers rise, And hover and fall with deafening thunder Of thwarted foam that echoed under The ledge, through many a cavern drear, With hollow sounds of wintry fear. And through the waters waste and grey, Thick-strown for many a league away, Out of the toiling sea arose Many a face and form of those Thin, elemental people dear Who live beyond our heavy sphere. And all at once from far and near, They all held out their arms to me, Crying in their melody, "Leap in!	Suddenly there came to me The music of a mighty sea That on a bare and iron shore Thundered with a deeper roar Than all the tides that leap and run With us below the real sun: Because the place was far away, Above, beyond our homely day, Neighbouring close the frozen clime Where out of all the woods of time, Amid the frightful seraphim The fierce, cold eyes of Godhead gleam, Revolving hate and misery And wars and famines yet to be. And in my dreams I stood alone Upon a shelf of weedy stone, And saw before my shrinking eyes The dark, enormous breakers rise, And hover and fall with deafening thunder Of thwarted foam that echoed under The ledge, through many a cavern drear, With hollow sounds of wintry fear. And through the waters waste and grey, Thick strown for many a league away, Out of the toiling sea arose Many a face and form of those Thin, elemental people dear Who live beyond our heavy sphere. And all at once from far and near, They all held out their arms to me, Crying in their melody, "Leap in!	false	44.63	129.63	19.028795
439_123866_000006_000001	Leap in and take thy fill Of all the cosmic good and ill, Be as the Living ones that know Enormous joy, enormous woe, Pain beyond thought and fiery bliss: For all thy study hunted this, On wings of magic to arise, And wash from off thy filmed eyes The cloud of cold mortality, To find the real life and be As are the children of the deep! Be bold and dare the glorious leap, Or to thy shame, go, slink again Back to the narrow ways of men." So all these mocked me as I stood Striving to wake because I feared the flood.	Leap in and take thy fill Of all the cosmic good and ill, Be as the Living ones that know Enormous joy, enormous woe, Pain beyond thought and fiery bliss: For all thy study hunted this, On wings of magic to arise, And wash from off thy filmed eyes The cloud of cold mortality, To find the real life and be As are the children of the deep! Be bold and dare the glorious leap, Or to thy shame, go, slink again Back to the narrow ways of men." So all these mocked me as I stood Striving to wake because I feared the flood.	false	129.63	177.78	20.128996
439_123866_000007_000000	XXIII.	twenty three.	true	177.78	179.05	17
439_123866_000007_000001	Alexandrines	Alexandrines	true	179.93	181.63	17.35555
439_123866_000008_000000	There is a house that most of all on earth I hate. Though I have passed through many sorrows and have been In bloody fields, sad seas, and countries desolate, Yet most I fear that empty house where the grasses green Grow in the silent court the gaping flags between, And down the moss-grown paths and terrace no man treads Where the old, old weeds rise deep on the waste garden beds. Like eyes of one long dead the empty windows stare And I fear to cross the garden, I fear to linger there, For in that house I know a little, silent room Where Someone's always waiting, waiting in the gloom To draw me with an evil eye, and hold me fast-- Yet thither doom will drive me and He will win at last.	There is a house that most of all on earth I hate. Though I have passed through many sorrows and have been In bloody fields, sad seas, and countries desolate, Yet most I fear that empty house where the grasses green Grow in the silent court the gaping flags between, And down the moss grown paths and terrace no man treads Where the old, old weeds rise deep on the waste garden beds. Like eyes of one long dead the empty windows stare And I fear to cross the garden, I fear to linger there, For in that house I know a little, silent room Where Someone's always waiting, waiting in the gloom To draw me with an evil eye, and hold me fast- Yet thither doom will drive me and He will win at last.	true	182.75	244.74	18.909992
439_123866_000009_000000	XXIV.	twenty four.	false	244.74	250.44	14.493957
439_123866_000009_000001	In Praise of Solid People	In Praise of Solid People	true	250.44	252.7	20
439_123866_000010_000000	Thank God that there are solid folk Who water flowers and roll the lawn, And sit an sew and talk and smoke, And snore all through the summer dawn.	Thank God that there are solid folk Who water flowers and roll the lawn, And sit an sew and talk and smoke, And snore all through the summer dawn.	false	255.14	265.9	21.529163
439_123866_000011_000000	Who pass untroubled nights and days Full-fed and sleepily content, Rejoicing in each other's praise, Respectable and innocent.	Who pass untroubled nights and days Full fed and sleepily content, Rejoicing in each other's praise, Respectable and innocent.	true	266.84	276.67	19.68052
439_123866_000012_000000	Who feel the things that all men feel, And think in well-worn grooves of thought, Whose honest spirits never reel Before man's mystery, overwrought.	Who feel the things that all men feel, And think in well worn grooves of thought, Whose honest spirits never reel Before man's mystery, overwrought.	false	277.34	288.19	20.214396
439_123866_000013_000000	Yet not unfaithful nor unkind, with work-day virtues surely staid, Theirs is the sane and humble mind, And dull affections undismayed.	Yet not unfaithful nor unkind, with work day virtues surely staid, Theirs is the sane and humble mind, And dull affections undismayed.	true	289.16	300.31	20.36097
439_123866_000014_000000	O happy people!	O happy people!	true	301.25	302.655	28.729582
439_123866_000014_000001	I have seen No verse yet written in your praise, And, truth to tell, the time has been I would have scorned your easy ways.	I have seen No verse yet written in your praise, And, truth to tell, the time has been I would have scorned your easy ways.	false	302.655	312.34	19.317492
439_123866_000015_000000	But now thro' weariness and strife I learn your worthiness indeed, The world is better for such life As stout suburban people lead.	But now thro' weariness and strife I learn your worthiness indeed, The world is better for such life As stout suburban people lead.	false	313.37	323.83	19.810171
439_123866_000016_000000	Too often have I sat alone When the wet night falls heavily, And fretting winds around me moan, And homeless longing vexes me	Too often have I sat alone When the wet night falls heavily, And fretting winds around me moan, And homeless longing vexes me	true	324.89	334.42	16.6924
439_123866_000017_000000	For lore that I shall never know, And visions none can hope to see, Till brooding works upon me so A childish fear steals over me.	For lore that I shall never know, And visions none can hope to see, Till brooding works upon me so A childish fear steals over me.	true	334.55	344.89	19.778536
439_123866_000018_000000	I look around the empty room, The clock still ticking in its place, And all else silent as the tomb, Till suddenly, I think, a face	I look around the empty room, The clock still ticking in its place, And all else silent as the tomb, Till suddenly, I think, a face	true	345.65	356.14	20.619692
439_123866_000019_000000	Grows from the darkness just beside. I turn, and lo! it fades away, And soon another phantom tide Of shifting dreams begins to play,	Grows from the darkness just beside. I turn, and lo! it fades away, And soon another phantom tide Of shifting dreams begins to play,	true	356.33	367.15	19.93846
439_123866_000020_000000	And dusky galleys past me sail, Full freighted on a faerie sea; I hear the silken merchants hail Across the ringing waves to me	And dusky galleys past me sail, Full freighted on a faerie sea; I hear the silken merchants hail Across the ringing waves to me	true	367.46	377.11	20.62828
