718_129597_000000_000000	XXI.	twenty one.
718_129597_000001_000001	When I awoke, it was dark about me.	When I awoke, it was dark about me.
718_129597_000001_000002	My arm ached in its bandages.	My arm ached in its bandages.
718_129597_000002_000000	I heard something breathing, saw something crouched together close beside me.	I heard something breathing, saw something crouched together close beside me.
718_129597_000002_000002	Then something soft and warm and moist passed across my hand.	Then something soft and warm and moist passed across my hand.
718_129597_000002_000003	All my muscles contracted.	All my muscles contracted.
718_129597_000002_000004	I snatched my hand away.	I snatched my hand away.
718_129597_000004_000000	"I--Master."	"I-Master."
718_129597_000007_000000	"Are you the one I met on the beach?" I asked.	"Are you the one I met on the beach?" I asked.
718_129597_000008_000000	"The same, Master."	"The same, Master."
718_129597_000009_000001	"It is well," I said, extending my hand for another licking kiss.	"It is well," I said, extending my hand for another licking kiss.
718_129597_000009_000002	I began to realise what its presence meant, and the tide of my courage flowed.	I began to realise what its presence meant, and the tide of my courage flowed.
718_129597_000009_000003	"Where are the others?" I asked.	"Where are the others?" I asked.
718_129597_000010_000000	"They are mad; they are fools," said the Dog-man.	"They are mad; they are fools," said the Dog man.
718_129597_000010_000001	"Even now they talk together beyond there.	"Even now they talk together beyond there.
718_129597_000010_000002	They say, 'The Master is dead. The Other with the Whip is dead.	They say, 'The Master is dead. The Other with the Whip is dead.
718_129597_000010_000003	That Other who walked in the Sea is as we are.	That Other who walked in the Sea is as we are.
718_129597_000010_000004	We have no Master, no Whips, no House of Pain, any more. There is an end.	We have no Master, no Whips, no House of Pain, any more. There is an end.
718_129597_000010_000005	We love the Law, and will keep it; but there is no Pain, no Master, no Whips for ever again.' So they say. But I know, Master, I know."	We love the Law, and will keep it; but there is no Pain, no Master, no Whips for ever again.' So they say. But I know, Master, I know."
718_129597_000011_000001	"It is well," I said again.	"It is well," I said again.
718_129597_000012_000000	"Presently you will slay them all," said the Dog-man.	"Presently you will slay them all," said the Dog man.
718_129597_000013_000000	"Presently," I answered, "I will slay them all,--after certain days and certain things have come to pass.	"Presently," I answered, "I will slay them all,--after certain days and certain things have come to pass.
718_129597_000014_000000	"What the Master wishes to kill, the Master kills," said the Dog-man with a certain satisfaction in his voice.	"What the Master wishes to kill, the Master kills," said the Dog man with a certain satisfaction in his voice.
718_129597_000015_000000	"And that their sins may grow," I said, "let them live in their folly until their time is ripe.	"And that their sins may grow," I said, "let them live in their folly until their time is ripe.
718_129597_000015_000001	Let them not know that I am the Master."	Let them not know that I am the Master."
718_129597_000016_000000	"The Master's will is sweet," said the Dog-man, with the ready tact of his canine blood.	"The Master's will is sweet," said the Dog man, with the ready tact of his canine blood.
718_129597_000018_000000	For a moment the opening of the hut was blackened by the exit of the Dog-man.	For a moment the opening of the hut was blackened by the exit of the Dog man.
718_129597_000018_000002	The moon was just riding up on the edge of the ravine, and like a bar across its face drove the spire of vapour that was for ever streaming from the fumaroles of the island.	The moon was just riding up on the edge of the ravine, and like a bar across its face drove the spire of vapour that was for ever streaming from the fumaroles of the island.
718_129597_000020_000000	None about the fire attempted to salute me.	None about the fire attempted to salute me.
718_129597_000020_000002	I looked round for the Hyena-swine, but he was not there.	I looked round for the Hyena swine, but he was not there.
718_129597_000020_000003	Altogether, perhaps twenty of the Beast Folk squatted, staring into the fire or talking to one another.	Altogether, perhaps twenty of the Beast Folk squatted, staring into the fire or talking to one another.
718_129597_000022_000000	"He is not dead," said I, in a loud voice.	"He is not dead," said I, in a loud voice.
718_129597_000022_000001	"Even now he watches us!"	"Even now he watches us!"
718_129597_000025_000000	"True, true!" said the Dog-man.	"True, true!" said the Dog man.
718_129597_000026_000000	They were staggered at my assurance.	They were staggered at my assurance.
718_129597_000026_000001	An animal may be ferocious and cunning enough, but it takes a real man to tell a lie.	An animal may be ferocious and cunning enough, but it takes a real man to tell a lie.
718_129597_000027_000000	"The Man with the Bandaged Arm speaks a strange thing," said one of the Beast Folk.	"The Man with the Bandaged Arm speaks a strange thing," said one of the Beast Folk.
718_129597_000028_000002	Woe be to him who breaks the Law!"	Woe be to him who breaks the Law!"
718_129597_000029_000000	They looked curiously at one another.	They looked curiously at one another.
718_129597_000029_000001	With an affectation of indifference I began to chop idly at the ground in front of me with my hatchet. They looked, I noticed, at the deep cuts I made in the turf.	With an affectation of indifference I began to chop idly at the ground in front of me with my hatchet. They looked, I noticed, at the deep cuts I made in the turf.
718_129597_000030_000001	I answered him.	I answered him.
718_129597_000030_000002	Then one of the dappled things objected, and an animated discussion sprang up round the fire. Every moment I began to feel more convinced of my present security. I talked now without the catching in my breath, due to the intensity of my excitement, that had troubled me at first.	Then one of the dappled things objected, and an animated discussion sprang up round the fire. Every moment I began to feel more convinced of my present security. I talked now without the catching in my breath, due to the intensity of my excitement, that had troubled me at first.
