2652_157644_000000_000000	XIII	thirteen	false	1.32	22.56	20.03991
2652_157644_000001_000000	SMOKING BY WOMEN	SMOKING BY WOMEN	true	22.56	23.8	20.47075
2652_157644_000002_000000	Ladies, when pipes are brought, affect to swoon; They love no smoke, except the smoke of Town.	Ladies, when pipes are brought, affect to swoon; They love no smoke, except the smoke of Town.	true	24.8	30.52	22.22928
2652_157644_000003_000000	ISAAC HAWKINS BROWNE, _circa_ 1740.	ISAAC HAWKINS BROWNE, underscore circa underscore seventeen forty.	false	30.95	34.03	22
2652_157644_000004_000000	A story is told of Sir Walter Raleigh by John Aubrey which seems to imply that at first women not only did not smoke, but that they disliked smoking by men.	A story is told of Sir Walter Raleigh by john Aubrey which seems to imply that at first women not only did not smoke, but that they disliked smoking by men.	true	36.8	45.42	18
2652_157644_000004_000001	Aubrey says that Raleigh "standing in a stand at Sir R. Poyntz's parke at Acton, tooke a pipe of tobacco, which made the ladies quitt it till he had done." But this objection, whether general or not, soon vanished, for, as we have seen in a previous chapter, the gallant of Elizabethan and Jacobean days made a practice of smoking in his lady's presence.	Aubrey says that Raleigh "standing in a stand at Sir r Poyntz's parke at Acton, tooke a pipe of tobacco, which made the ladies quitt it till he had done." But this objection, whether general or not, soon vanished, for, as we have seen in a previous chapter, the gallant of Elizabethan and Jacobean days made a practice of smoking in his lady's presence.	false	45.42	65.1	20
2652_157644_000004_000002	It seems certain, moreover, that some women, at least, smoked very soon after the introduction of tobacco; but it is not easy to find direct evidence, though there are sundry traditions and allusions which suggest that the practice was not unknown.	It seems certain, moreover, that some women, at least, smoked very soon after the introduction of tobacco; but it is not easy to find direct evidence, though there are sundry traditions and allusions which suggest that the practice was not unknown.	false	65.1	77.8	18.873356
2652_157644_000005_000000	There is a tradition that Queen Elizabeth herself once smoked--with unpleasant results.	There is a tradition that Queen Elizabeth herself once smoked-with unpleasant results.	true	79.16	83.32	21.20622
2652_157644_000005_000001	Campbell, in his "History of Virginia," says that Raleigh having offered her Majesty "some tobacco to smoke, after two or three whiffs she was seized with a nausea, upon observing which some of the Earl of Leicester's faction whispered that Sir Walter had certainly poisoned her.	Campbell, in his "History of Virginia," says that Raleigh having offered her Majesty "some tobacco to smoke, after two or three whiffs she was seized with a nausea, upon observing which some of the Earl of Leicester's faction whispered that Sir Walter had certainly poisoned her.	true	83.48	97.3	17
2652_157644_000005_000002	But her Majesty in a short while recovering made the countess of Nottingham and all her maids smoke a whole pipe out among them." The Queen had no selfish desire to monopolize the novel sensations caused by smoking.	But her Majesty in a short while recovering made the countess of Nottingham and all her maids smoke a whole pipe out among them." The Queen had no selfish desire to monopolize the novel sensations caused by smoking.	true	97.43	108.91	19
2652_157644_000005_000003	An eighteenth-century writer, Oldys, in his "Life of Sir Walter Raleigh," declares that tobacco "soon became of such vogue in Queen Elizabeth's court, that some of the great ladies, as well as noblemen therein, would not scruple to take a pipe sometimes very sociably." But these stories rest on vague tradition, and probably have no foundation in fact.	An eighteenth century writer, Oldys, in his "Life of Sir Walter Raleigh," declares that tobacco "soon became of such vogue in Queen Elizabeth's court, that some of the great ladies, as well as noblemen therein, would not scruple to take a pipe sometimes very sociably." But these stories rest on vague tradition, and probably have no foundation in fact.	false	109.28	127.39	20.746897
2652_157644_000006_000000	King James I in his famous "Counter-blaste to Tobacco," hinted that the husband, by his indulgence in the habit, might "reduce thereby his delicate, wholesome, and cleane complexioned wife to that extremitie, that either shee must also corrupt her sweete breath therewith, or else resolve to live in a perpetuall stinking torment." His Majesty's style was forcible, if not elegant.	King james the first in his famous "Counter blaste to Tobacco," hinted that the husband, by his indulgence in the habit, might "reduce thereby his delicate, wholesome, and cleane complexioned wife to that extremitie, that either shee must also corrupt her sweete breath therewith, or else resolve to live in a perpetuall stinking torment." His Majesty's style was forcible, if not elegant.	false	128.96	151.93	20
2652_157644_000006_000001	There are also one or two references in the early dramatists.	There are also one or two references in the early dramatists.	true	152.33	155.7	19
2652_157644_000006_000002	In Ben Jonson's "Every Man in his Humour," for instance, which was first acted in 1598, six years before King James blew his royal "Counter-blaste," Cob, the water-bearer, says that he would have any "man or woman that should but deal with a tobacco-pipe," immediately whipped.	In Ben Jonson's "Every Man in his Humour," for instance, which was first acted in fifteen ninety eight, six years before King james blew his royal "Counter blaste," Cob, the water bearer, says that he would have any "man or woman that should but deal with a tobacco pipe," immediately whipped.	false	155.7	171.94	19
2652_157644_000006_000003	Prynne, in his attack on the stage, declared that women smoked pipes in theatres; but the truth of this statement may well be doubted.	Prynne, in his attack on the stage, declared that women smoked pipes in theatres; but the truth of this statement may well be doubted.	false	172.16	178.66	21.222681
2652_157644_000006_000004	The habit was probably far from general among women, although Joshua Sylvester, a doughty opponent of the weed, was pleased to declare that "Fooles of all Sexes haunt it," _i.e._ tobacco.	The habit was probably far from general among women, although joshua Sylvester, a doughty opponent of the weed, was pleased to declare that "Fooles of all Sexes haunt it," underscore i e underscore tobacco.	false	178.82	189.37	19
2652_157644_000007_000000	The ballads of the period abound in rough woodcuts in which tavern scenes are often figured, wherein pewter pots and tobacco-pipes are shown lying on the table or in the hands or at the mouths of the male carousers.	The ballads of the period abound in rough woodcuts in which tavern scenes are often figured, wherein pewter pots and tobacco pipes are shown lying on the table or in the hands or at the mouths of the male carousers.	false	190.55	202.18	18
2652_157644_000007_000001	Men and women are figured together, but it would be very hard to find a woman in one of these rough cuts with a pipe in her hand or at her mouth.	Men and women are figured together, but it would be very hard to find a woman in one of these rough cuts with a pipe in her hand or at her mouth.	true	202.4	209.31	19
2652_157644_000007_000002	An example, in the "Shirburn Ballads" lies before me.	An example, in the "Shirburn Ballads" lies before me.	false	209.31	212.74	19.330526
2652_157644_000007_000003	The cut, which is very rough, heads a bacchanalian ballad characteristic of the Elizabethan period, called "A Knotte of Good Fellows," and beginning:	The cut, which is very rough, heads a bacchanalian ballad characteristic of the Elizabethan period, called "A Knotte of Good Fellows," and beginning:	true	212.84	221.31	22
