2272_152265_000000_000000	Years of peace and prosperity followed for Alfred's kingdom.	Years of peace and prosperity followed for Alfred's kingdom.	false	0.63	4.32	13
2272_152265_000000_000001	During these years the king rebuilt the towns that had been destroyed by the Danes, erected new forts, and greatly strengthened his army and navy.	During these years the king rebuilt the towns that had been destroyed by the Danes, erected new forts, and greatly strengthened his army and navy.	false	4.32	11.82	21
2272_152265_000001_000000	He also encouraged trade; and he founded a school like that established by Charlemagne.	He also encouraged trade; and he founded a school like that established by Charlemagne.	false	11.82	16.08	22.995085
2272_152265_000001_000001	He himself translated a number of Latin books into Saxon, and probably did more for the cause of education than any other king that ever wore the English crown.	He himself translated a number of Latin books into Saxon, and probably did more for the cause of education than any other king that ever wore the English crown.	false	16.08	25.05	19.995089
2272_152265_000002_000000	HENRY THE FOWLER	HENRY THE FOWLER	true	25.05	26.56	24.706738
2272_152265_000003_000000	KING FROM 919-936 A.D.	KING FROM nine hundred nineteen to nine hundred thirty six a d	false	26.69	30.96	22
2272_152265_000004_000000	I	I	false	30.96	33.54	16.265396
2272_152265_000005_000000	About a hundred years had passed since the death of Charlemagne, and his great empire had fallen to pieces.	About a hundred years had passed since the death of Charlemagne, and his great empire had fallen to pieces.	true	33.54	39.13	15
2272_152265_000005_000001	Seven kings ruled where he had once been sole emperor.	Seven kings ruled where he had once been sole emperor.	true	39.29	42.19	15
2272_152265_000006_000000	West of the Rhine, where the Germans lived, the last descendant of Charlemagne died when he was a mere boy.	West of the Rhine, where the Germans lived, the last descendant of Charlemagne died when he was a mere boy.	true	42.44	48.405	17
2272_152265_000006_000001	The German nobles were not willing for any foreign prince to govern them, and yet they saw that they must unite to defend their country against the invasions of the barbarians called Magyars (_ma-jaerz'_).	The German nobles were not willing for any foreign prince to govern them, and yet they saw that they must unite to defend their country against the invasions of the barbarians called Magyars (underscore ma jaerz'underscore).	false	48.405	58.38	14
2272_152265_000006_000002	So they met and elected Conrad, duke of Franconia, to be their king.	So they met and elected Conrad, duke of Franconia, to be their king.	true	58.38	62.62	16
2272_152265_000007_000000	However, although he became king in name, Conrad never had much power over his nobles.	However, although he became king in name, Conrad never had much power over his nobles.	true	62.9	68.19	16
2272_152265_000007_000001	Some of them refused to recognize him as king and his reign was disturbed by quarrels and wars.	Some of them refused to recognize him as king and his reign was disturbed by quarrels and wars.	true	68.19	73.75	16
2272_152265_000007_000002	He died in 919, and on his death-bed he said to his brother, "Henry, Duke of Saxony, is the ablest ruler in the empire.	He died in nine hundred nineteen, and on his death bed he said to his brother, "Henry, Duke of Saxony, is the ablest ruler in the empire.	false	73.91	81.885	18
2272_152265_000007_000003	Elect him king, and Germany will have peace."	Elect him king, and Germany will have peace."	true	81.885	84.7	16
2272_152265_000008_000000	A few months after Conrad's death, the nobles met at Aix-la-Chapelle and elected Henry to be their king.	A few months after Conrad's death, the nobles met at Aix la Chapelle and elected Henry to be their king.	false	85.19	91.33	18
2272_152265_000009_000000	At this time it was the custom in Europe to hunt various birds, such as the wild duck and partridge, with falcons.	At this time it was the custom in Europe to hunt various birds, such as the wild duck and partridge, with falcons.	true	91.7	98.17	16
2272_152265_000009_000001	The falcons were long-winged birds of prey, resembling hawks.	The falcons were long winged birds of prey, resembling hawks.	true	98.18	101.8	15
2272_152265_000009_000002	They were trained to perch on their master's wrist and wait patiently until they were told to fly.	They were trained to perch on their master's wrist and wait patiently until they were told to fly.	true	102.32	107.2	17
2272_152265_000009_000003	Then they would swiftly dart at their prey and bear it to the ground.	Then they would swiftly dart at their prey and bear it to the ground.	true	107.54	111.22	20
2272_152265_000009_000004	Henry was very fond of falconry and hence was known as Henry the Fowler, or Falconer.	Henry was very fond of falconry and hence was known as Henry the Fowler, or Falconer.	true	111.5	116.83	18
2272_152265_000010_000000	As soon as the other dukes had elected him king a messenger was sent to Saxony to inform him of the honor done him.	As soon as the other dukes had elected him king a messenger was sent to Saxony to inform him of the honor done him.	true	117.14	123.16	14
2272_152265_000010_000001	After a search of some days he was at last found, far up in the Hartz Mountains, hunting with his falcons.	After a search of some days he was at last found, far up in the Hartz Mountains, hunting with his falcons.	true	123.26	129.61	18
2272_152265_000010_000002	Kneeling at his feet, the messenger said:	Kneeling at his feet, the messenger said:	true	129.74	132.13	20.819912
2272_152265_000011_000000	"God save you, Henry of Saxony.	"God save you, Henry of Saxony.	true	132.32	134.49	15
2272_152265_000011_000001	I come to announce the death of King Conrad and to tell you that the nobles have elected you to succeed him as king of the Germans."	I come to announce the death of King Conrad and to tell you that the nobles have elected you to succeed him as king of the Germans."	true	134.49	141.1	12
2272_152265_000012_000000	For a moment the duke was speechless with amazement.	For a moment the duke was speechless with amazement.	true	141.53	144.09	19
2272_152265_000012_000001	Then he exclaimed:	Then he exclaimed:	true	144.09	145.545	24.507645
2272_152265_000013_000000	"Elected me king?	"Elected me king?	true	145.545	146.655	19
2272_152265_000013_000001	I cannot believe it.	I cannot believe it.	true	146.655	147.855	26
2272_152265_000013_000002	I am a Saxon, and King Conrad was a Frank and a bitter enemy to me."	I am a Saxon, and King Conrad was a Frank and a bitter enemy to me."	false	147.855	152.01	12
2272_152265_000014_000000	[Illustration: THE CROWN OF GERMANY IS OFFERED TO HENRY THE FOWLER]	[Illustration: THE CROWN OF GERMANY IS OFFERED TO HENRY THE FOWLER]	false	152.01	152.61	-20
2272_152265_000015_000000	"It is true," replied the messenger.	"It is true," replied the messenger.	true	152.61	154.455	14
2272_152265_000015_000001	"Conrad, when dying, advised that the nobles should choose you as his successor."	"Conrad, when dying, advised that the nobles should choose you as his successor."	true	154.455	159.04	12
2272_152265_000016_000000	Henry was silent for while and then he said, "King Conrad was a good man.	Henry was silent for while and then he said, "King Conrad was a good man.	false	159.32	163.995	17
2272_152265_000016_000001	I know it now; and I am sorry that I did not understand him better when he was alive.	I know it now; and I am sorry that I did not understand him better when he was alive.	true	163.995	168.525	15
2272_152265_000016_000002	I accept the position offered to me and I pray that I may be guided by Heaven in ruling his people."	I accept the position offered to me and I pray that I may be guided by Heaven in ruling his people."	true	168.525	173.71	12
2272_152265_000017_000000	So Henry the Fowler left the chase to take up his duties as king of the Germans.	So Henry the Fowler left the chase to take up his duties as king of the Germans.	true	173.93	178.29	12
2272_152265_000018_000000	II	two	false	178.29	180.39	22.221489
2272_152265_000019_000000	In proper time Henry was proclaimed king of Germany; but he was hardly seated on the throne when the country was invaded by thousands of Magyars, from the land which we now know as Hungary.	In proper time Henry was proclaimed king of Germany; but he was hardly seated on the throne when the country was invaded by thousands of Magyars, from the land which we now know as Hungary.	false	180.39	190.27	12
2272_152265_000020_000000	As soon as possible Henry gathered an army and marched to meet the barbarians.	As soon as possible Henry gathered an army and marched to meet the barbarians.	true	190.46	194.74	14
2272_152265_000020_000001	He came upon a small force under the command of the son of the Magyar king.	He came upon a small force under the command of the son of the Magyar king.	true	194.75	198.72	14
2272_152265_000020_000002	The Germans easily routed the Magyars and took the king's son prisoner.	The Germans easily routed the Magyars and took the king's son prisoner.	true	198.72	202.48	15
2272_152265_000021_000000	This proved to be a very fortunate thing, because it stopped the war for a long term of years.	This proved to be a very fortunate thing, because it stopped the war for a long term of years.	true	202.61	207.67	17
2272_152265_000021_000001	When the Magyar king learned that his son was a prisoner in the hands of King Henry he was overwhelmed with grief.	When the Magyar king learned that his son was a prisoner in the hands of King Henry he was overwhelmed with grief.	true	207.74	213.525	16
2272_152265_000021_000002	He mourned for his son day and night and at last sent to the German camp a Magyar chief with a flag of truce, to beg that the prince might be given up.	He mourned for his son day and night and at last sent to the German camp a Magyar chief with a flag of truce, to beg that the prince might be given up.	true	213.525	221.38	15
2272_152265_000022_000000	"Our king says that he will give whatever you demand for the release of his son," said the chief to the German monarch.	"Our king says that he will give whatever you demand for the release of his son," said the chief to the German monarch.	true	221.51	227.05	13
2272_152265_000023_000000	"I will give up the prince on this condition only," was the reply, "the Magyars must leave the soil of Germany immediately and promise not to war on us for nine years.	"I will give up the prince on this condition only," was the reply, "the Magyars must leave the soil of Germany immediately and promise not to war on us for nine years.	true	227.18	235.87	11
2272_152265_000023_000001	During those years I will pay to the king yearly five thousand pieces of gold."	During those years I will pay to the king yearly five thousand pieces of gold."	true	236	240.43	16
