3825_134160_000000_000000	"And it wants only two hours to sunset!" I said as I strolled on.	"And it wants only two hours to sunset!" I said as I strolled on.	false	2.04	12.84	20.707958
3825_134160_000000_000001	"I must make the best of my time!"	"I must make the best of my time!"	false	12.84	19.77	21.721699
3825_134160_000001_000000	CHAPTER 23.	CHAPTER twenty three.	true	19.77	21.04	28.144281
3825_134160_000001_000001	AN OUTLANDISH WATCH.	AN OUTLANDISH WATCH.	true	21.14	22.93	22.84573
3825_134160_000002_000000	As I entered the little town, I came upon two of the fishermen's wives interchanging that last word "which never was the last": and it occurred to me, as an experiment with the Magic Watch, to wait till the little scene was over, and then to 'encore' it.	As I entered the little town, I came upon two of the fishermen's wives interchanging that last word "which never was the last": and it occurred to me, as an experiment with the Magic Watch, to wait till the little scene was over, and then to 'encore' it.	true	23.54	37.8	21.591738
3825_134160_000003_000000	"Well, good night t'ye!	"Well, good night t'ye!	false	37.8	39.12	30.81337
3825_134160_000003_000001	And ye winna forget to send us word when your Martha writes?"	And ye winna forget to send us word when your Martha writes?"	false	39.12	41.535	17
3825_134160_000004_000000	"Nay, ah winna forget.	"Nay, ah winna forget.	false	41.535	42.96	27.981108
3825_134160_000004_000001	An' if she isn't suited, she can but coom back. Good night t'ye!"	An' if she isn't suited, she can but coom back. Good night t'ye!"	false	42.96	46.44	23.403965
3825_134160_000005_000000	A casual observer might have thought "and there ends the dialogue!" That casual observer would have been mistaken.	A casual observer might have thought "and there ends the dialogue!" That casual observer would have been mistaken.	true	46.44	52.755	20.383438
3825_134160_000006_000000	"Ah, she'll like 'em, I war'n' ye!	"Ah, she'll like 'em, I war'n' ye!	true	52.755	54.55	23
3825_134160_000006_000001	They'll not treat her bad, yer may depend.	They'll not treat her bad, yer may depend.	true	54.59	56.505	23
3825_134160_000006_000002	They're varry canny fowk.	They're varry canny fowk.	false	56.505	57.9	28.203684
3825_134160_000006_000003	Good night!"	Good night!"	true	57.9	58.47	34.69449
3825_134160_000007_000000	"Ay, they are that!	"Ay, they are that!	false	58.47	59.805	34.403465
3825_134160_000007_000001	Good night!"	Good night!"	true	59.805	60.48	31.076704
3825_134160_000008_000000	"Good night!	"Good night!	true	60.48	61.155	36.255863
3825_134160_000008_000001	And ye'll send us word if she writes?"	And ye'll send us word if she writes?"	true	61.155	62.67	24.48553
3825_134160_000009_000000	"Aye, ah will, yer may depend!	"Aye, ah will, yer may depend!	false	62.67	64.365	20.246151
3825_134160_000009_000001	Good night t'ye!"	Good night t'ye!"	false	64.365	65.37	35.56124
3825_134160_000010_000000	And at last they parted.	And at last they parted.	true	65.37	66.82	27.296396
3825_134160_000010_000001	I waited till they were some twenty yards apart, and then put the Watch a minute back.	I waited till they were some twenty yards apart, and then put the Watch a minute back.	true	66.92	71.59	20.224636
3825_134160_000010_000002	The instantaneous change was startling: the two figures seemed to flash back into their former places.	The instantaneous change was startling: the two figures seemed to flash back into their former places.	true	71.81	78.255	23.115257
3825_134160_000011_000000	"--isn't suited, she can but coom back.	"--isn't suited, she can but coom back.	false	78.255	80.22	23.565987
3825_134160_000011_000001	Good night t'ye!" one of them was saying: and so the whole dialogue was repeated, and, when they had parted for the second time, I let them go their several ways, and strolled on through the town.	Good night t'ye!" one of them was saying: and so the whole dialogue was repeated, and, when they had parted for the second time, I let them go their several ways, and strolled on through the town.	false	80.22	89.98	22.02721
3825_134160_000012_000000	"But the real usefulness of this magic power," I thought, "would be to undo some harm, some painful event, some accident--"	"But the real usefulness of this magic power," I thought, "would be to undo some harm, some painful event, some accident-"	true	90.26	97.5	20
3825_134160_000013_000000	I had not long to wait for an opportunity of testing this property also of the Magic Watch, for, even as the thought passed through my mind, the accident I was imagining occurred.	I had not long to wait for an opportunity of testing this property also of the Magic Watch, for, even as the thought passed through my mind, the accident I was imagining occurred.	true	97.5	107.8	20.824818
3825_134160_000013_000001	A light cart was standing at the door of the 'Great Millinery Depot' of Elveston, laden with card-board packing-cases, which the driver was carrying into the shop, one by one. One of the cases had fallen into the street, but it scarcely seemed worth while to step forward and pick it up, as the man would be back again in a moment.	A light cart was standing at the door of the 'Great Millinery Depot' of Elveston, laden with card board packing cases, which the driver was carrying into the shop, one by one. One of the cases had fallen into the street, but it scarcely seemed worth while to step forward and pick it up, as the man would be back again in a moment.	true	108.08	125.205	20
3825_134160_000013_000002	Yet, in that moment, a young man riding a bicycle came sharp round the corner of the street and, in trying to avoid running over the box, upset his machine, and was thrown headlong against the wheel of the spring-cart.	Yet, in that moment, a young man riding a bicycle came sharp round the corner of the street and, in trying to avoid running over the box, upset his machine, and was thrown headlong against the wheel of the spring cart.	false	125.205	137.22	22.758554
3825_134160_000013_000003	The driver ran out to his assistance, and he and I together raised the unfortunate cyclist and carried him into the shop.	The driver ran out to his assistance, and he and I together raised the unfortunate cyclist and carried him into the shop.	true	137.22	143.535	17
3825_134160_000013_000004	His head was cut and bleeding; and one knee seemed to be badly injured; and it was speedily settled that he had better be conveyed at once to the only Surgery in the place.	His head was cut and bleeding; and one knee seemed to be badly injured; and it was speedily settled that he had better be conveyed at once to the only Surgery in the place.	false	143.535	152.2	18
3825_134160_000013_000005	I helped them in emptying the cart, and placing in it some pillows for the wounded man to rest on; and it was only when the driver had mounted to his place, and was starting for the Surgery, that I bethought me of the strange power I possessed of undoing all this harm.	I helped them in emptying the cart, and placing in it some pillows for the wounded man to rest on; and it was only when the driver had mounted to his place, and was starting for the Surgery, that I bethought me of the strange power I possessed of undoing all this harm.	true	152.21	165.885	21
3825_134160_000014_000000	"Now is my time!" I said to myself, as I moved back the hand of the Watch, and saw, almost without surprise this time, all things restored to the places they had occupied at the critical moment when I had first noticed the fallen packing-case.	"Now is my time!" I said to myself, as I moved back the hand of the Watch, and saw, almost without surprise this time, all things restored to the places they had occupied at the critical moment when I had first noticed the fallen packing case.	false	165.885	179.47	21.652838
3825_134160_000015_000000	Instantly I stepped out into the street, picked up the box, and replaced it in the cart: in the next moment the bicycle had spun round the corner, passed the cart without let or hindrance, and soon vanished in the distance, in a cloud of dust.	Instantly I stepped out into the street, picked up the box, and replaced it in the cart: in the next moment the bicycle had spun round the corner, passed the cart without let or hindrance, and soon vanished in the distance, in a cloud of dust.	true	179.48	192.88	25.215513
3825_134160_000016_000000	"Delightful power of magic!" I thought.	"Delightful power of magic!" I thought.	true	192.92	195.54	26
3825_134160_000016_000001	"How much of human suffering I have--not only relieved, but actually annihilated!" And, in a glow of conscious virtue, I stood watching the unloading of the cart, still holding the Magic Watch open in my hand, as I was curious to see what would happen when we again reached the exact time at which I had put back the hand.	"How much of human suffering I have-not only relieved, but actually annihilated!" And, in a glow of conscious virtue, I stood watching the unloading of the cart, still holding the Magic Watch open in my hand, as I was curious to see what would happen when we again reached the exact time at which I had put back the hand.	true	195.54	213.7	20
3825_134160_000017_000000	The result was one that, if only I had considered the thing carefully, I might have foreseen: as the hand of the Watch touched the mark, the spring-cart--which had driven off, and was by this time half-way down the street, was back again at the door, and in the act of starting, while--oh woe for the golden dream of world-wide benevolence that had dazzled my dreaming fancy!--the wounded youth was once more reclining on the heap of pillows, his pale face set rigidly in the hard lines that told of pain resolutely endured.	The result was one that, if only I had considered the thing carefully, I might have foreseen: as the hand of the Watch touched the mark, the spring cart-which had driven off, and was by this time half-way down the street, was back again at the door, and in the act of starting, while-oh woe for the golden dream of world-wide benevolence that had dazzled my dreaming fancy!--the wounded youth was once more reclining on the heap of pillows, his pale face set rigidly in the hard lines that told of pain resolutely endured.	true	213.92	243.43	22.557394
3825_134160_000018_000000	"Oh mocking Magic Watch!" I said to myself, as I passed out of the little town, and took the seaward road that led to my lodgings.	"Oh mocking Magic Watch!" I said to myself, as I passed out of the little town, and took the seaward road that led to my lodgings.	true	243.5	250.9	20
3825_134160_000018_000001	"The good I fancied I could do is vanished like a dream: the evil of this troublesome world is the only abiding reality!"	"The good I fancied I could do is vanished like a dream: the evil of this troublesome world is the only abiding reality!"	true	251.27	258.88	19.766914
3825_134160_000019_000000	And now I must record an experience so strange, that I think it only fair, before beginning to relate it, to release my much-enduring reader from any obligation he may feel to believe this part of my story.	And now I must record an experience so strange, that I think it only fair, before beginning to relate it, to release my much enduring reader from any obligation he may feel to believe this part of my story.	true	259.19	271.185	18
3825_134160_000019_000001	I would not have believed it, I freely confess, if I had not seen it with my own eyes: then why should I expect it of my reader, who, quite possibly, has never seen anything of the sort?	I would not have believed it, I freely confess, if I had not seen it with my own eyes: then why should I expect it of my reader, who, quite possibly, has never seen anything of the sort?	true	271.185	280.87	18
3825_134160_000020_000000	I was passing a pretty little villa, which stood rather back from the road, in its own grounds, with bright flower-beds in front---creepers wandering over the walls and hanging in festoons about the bow-windows--an easy-chair forgotten on the lawn, with a newspaper lying near it--a small pug-dog "couchant" before it, resolved to guard the treasure even at the sacrifice of life--and a front-door standing invitingly half-open.	I was passing a pretty little villa, which stood rather back from the road, in its own grounds, with bright flower beds in front---creepers wandering over the walls and hanging in festoons about the bow windows-an easy chair forgotten on the lawn, with a newspaper lying near it-a small pug dog "couchant" before it, resolved to guard the treasure even at the sacrifice of life-and a front door standing invitingly half open.	false	281.06	305.56	21.485079
3825_134160_000020_000001	"Here is my chance," I thought, "for testing the reverse action of the Magic Watch!" I pressed the 'reversal-peg' and walked in.	"Here is my chance," I thought, "for testing the reverse action of the Magic Watch!" I pressed the 'reversal peg' and walked in.	true	306.17	313.84	22.89879
3825_134160_000020_000002	In another house, the entrance of a stranger might cause surprise--perhaps anger, even going so far as to expel the said stranger with violence: but here, I knew, nothing of the sort could happen. The ordinary course of events first, to think nothing about me; then, hearing my footsteps to look up and see me; and then to wonder what business I had there--would be reversed by the action of my Watch.	In another house, the entrance of a stranger might cause surprise-perhaps anger, even going so far as to expel the said stranger with violence: but here, I knew, nothing of the sort could happen. The ordinary course of events first, to think nothing about me; then, hearing my footsteps to look up and see me; and then to wonder what business I had there-would be reversed by the action of my Watch.	true	314.33	337.36	23.347486
3825_134160_000020_000003	They would first wonder who I was, then see me, then look down, and think no more about me.	They would first wonder who I was, then see me, then look down, and think no more about me.	true	337.61	342.55	23
3825_134160_000020_000004	And as to being expelled with violence, that event would necessarily come first in this case.	And as to being expelled with violence, that event would necessarily come first in this case.	true	342.71	348.01	21.991966
3825_134160_000020_000005	"So, if I can once get in," I said to myself, "all risk of expulsion will be over!"	"So, if I can once get in," I said to myself, "all risk of expulsion will be over!"	true	348.32	353.07	23.387505
3825_134160_000021_000000	{Image...'The pug-dog sat up'}	{Image...'The pug dog sat up'}	false	353.07	354.72	20.187895
3825_134160_000022_000000	The pug-dog sat up, as a precautionary measure, as I passed; but, as I took no notice of the treasure he was guarding, he let me go by without even one remonstrant bark.	The pug dog sat up, as a precautionary measure, as I passed; but, as I took no notice of the treasure he was guarding, he let me go by without even one remonstrant bark.	false	354.72	363.58	20.703484
3825_134160_000022_000001	"He that takes my life," he seemed to be saying, wheezily, to himself, "takes trash: But he that takes the Daily Telegraph--!" But this awful contingency I did not face.	"He that takes my life," he seemed to be saying, wheezily, to himself, "takes trash: But he that takes the Daily Telegraph-!" But this awful contingency I did not face.	true	363.71	374.41	23.419262
3825_134160_000023_000000	The party in the drawing-room--I had walked straight in, you understand, without ringing the bell, or giving any notice of my approach--consisted of four laughing rosy children, of ages from about fourteen down to ten, who were, apparently, all coming towards the door (I found they were really walking backwards), while their mother, seated by the fire with some needlework on her lap, was saying, just as I entered the room, "Now, girls, you may get your things on for a walk."	The party in the drawing room-I had walked straight in, you understand, without ringing the bell, or giving any notice of my approach-consisted of four laughing rosy children, of ages from about fourteen down to ten, who were, apparently, all coming towards the door (I found they were really walking backwards), while their mother, seated by the fire with some needlework on her lap, was saying, just as I entered the room, "Now, girls, you may get your things on for a walk."	true	375.08	400.57	20.974129
3825_134160_000024_000000	To my utter astonishment--for I was not yet accustomed to the action of the Watch "all smiles ceased," (as Browning says) on the four pretty faces, and they all got out pieces of needle-work, and sat down.	To my utter astonishment-for I was not yet accustomed to the action of the Watch "all smiles ceased," (as Browning says) on the four pretty faces, and they all got out pieces of needle work, and sat down.	true	400.58	412	19
3825_134160_000024_000001	No one noticed me in the least, as I quietly took a chair and sat down to watch them.	No one noticed me in the least, as I quietly took a chair and sat down to watch them.	true	412.28	417.22	18
3825_134160_000025_000000	When the needle-work had been unfolded, and they were all ready to begin, their mother said "Come, that's done, at last!	When the needle work had been unfolded, and they were all ready to begin, their mother said "Come, that's done, at last!	true	417.41	423.12	24.637663
3825_134160_000025_000001	You may fold up your work, girls." But the children took no notice whatever of the remark; on the contrary, they set to work at once sewing--if that is the proper word to describe an operation such as I had never before witnessed.	You may fold up your work, girls." But the children took no notice whatever of the remark; on the contrary, they set to work at once sewing-if that is the proper word to describe an operation such as I had never before witnessed.	true	423.12	436.72	22.310406
3825_134160_000025_000002	Each of them threaded her needle with a short end of thread attached to the work, which was instantly pulled by an invisible force through the stuff, dragging the needle after it: the nimble fingers of the little sempstress caught it at the other side, but only to lose it again the next moment.	Each of them threaded her needle with a short end of thread attached to the work, which was instantly pulled by an invisible force through the stuff, dragging the needle after it: the nimble fingers of the little sempstress caught it at the other side, but only to lose it again the next moment.	true	436.79	452.23	21.99784
3825_134160_000025_000003	And so the work went on, steadily undoing itself, and the neatly-stitched little dresses, or whatever they were, steadily falling to pieces.	And so the work went on, steadily undoing itself, and the neatly stitched little dresses, or whatever they were, steadily falling to pieces.	true	452.45	460.39	18
3825_134160_000025_000004	Now and then one of the children would pause, as the recovered thread became inconveniently long, wind it on a bobbin, and start again with another short end.	Now and then one of the children would pause, as the recovered thread became inconveniently long, wind it on a bobbin, and start again with another short end.	true	460.79	469.42	22
3825_134160_000026_000000	At last all the work was picked to pieces and put away, and the lady led the way into the next room, walking backwards, and making the insane remark "Not yet, dear: we must get the sewing done first."	At last all the work was picked to pieces and put away, and the lady led the way into the next room, walking backwards, and making the insane remark "Not yet, dear: we must get the sewing done first."	true	469.7	481.09	23.28894
3825_134160_000026_000001	After which, I was not surprised to see the children skipping backwards after her, exclaiming "Oh, mother, it is such a lovely day for a walk!"	After which, I was not surprised to see the children skipping backwards after her, exclaiming "Oh, mother, it is such a lovely day for a walk!"	true	481.1	489.04	22.340218
3825_134160_000027_000000	In the dining-room, the table had only dirty plates and empty dishes on it.	In the dining room, the table had only dirty plates and empty dishes on it.	true	489.17	493.21	14
3825_134160_000027_000001	However the party--with the addition of a gentleman, as good-natured, and as rosy, as the children--seated themselves at it very contentedly.	However the party-with the addition of a gentleman, as good-natured, and as rosy, as the children-seated themselves at it very contentedly.	true	493.34	500.74	12
3825_134160_000028_000000	You have seen people eating cherry-tart, and every now and then cautiously conveying a cherry-stone from their lips to their plates? Well, something like that went on all through this ghastly--or shall we say 'ghostly'?---banquet.	You have seen people eating cherry tart, and every now and then cautiously conveying a cherry stone from their lips to their plates? Well, something like that went on all through this ghastly-or shall we say 'ghostly'?---banquet.	true	501.32	515.17	16
3825_134160_000028_000001	An empty fork is raised to the lips: there it receives a neatly-cut piece of mutton, and swiftly conveys it to the plate, where it instantly attaches itself to the mutton already there. Soon one of the plates, furnished with a complete slice of mutton and two potatoes, was handed up to the presiding gentleman, who quietly replaced the slice on the joint, and the potatoes in the dish.	An empty fork is raised to the lips: there it receives a neatly cut piece of mutton, and swiftly conveys it to the plate, where it instantly attaches itself to the mutton already there. Soon one of the plates, furnished with a complete slice of mutton and two potatoes, was handed up to the presiding gentleman, who quietly replaced the slice on the joint, and the potatoes in the dish.	true	515.6	537.1	15
3825_134160_000029_000000	Their conversation was, if possible, more bewildering than their mode of dining.	Their conversation was, if possible, more bewildering than their mode of dining.	true	537.53	541.78	11
3825_134160_000029_000001	It began by the youngest girl suddenly, and without provocation, addressing her eldest sister.	It began by the youngest girl suddenly, and without provocation, addressing her eldest sister.	true	542.09	547.02	11
3825_134160_000029_000002	"Oh, you wicked story-teller!" she said.	"Oh, you wicked story teller!" she said.	true	547.02	549.46	16
3825_134160_000030_000000	I expected a sharp reply from the sister; but, instead of this, she turned laughingly to her father, and said, in a very loud stage-whisper, "To be a bride!"	I expected a sharp reply from the sister; but, instead of this, she turned laughingly to her father, and said, in a very loud stage whisper, "To be a bride!"	true	549.62	559.15	13
