8758_291170_000001_000000	CHAPTER XVI.	CHAPTER sixteen.
8758_291170_000003_000000	HUNTING EXPLOITS.	HUNTING EXPLOITS.
8758_291170_000004_000000	Catching mice is, to a proper-minded cat, a mere parlour pastime, only to be resorted to on rainy days, or of a night when too restless to sleep.	Catching mice is, to a proper minded cat, a mere parlour pastime, only to be resorted to on rainy days, or of a night when too restless to sleep.
8758_291170_000004_000001	It stands to pussy in the same relation that indoor croquet, billiards, or reading a book in bed does to our noble selves.	It stands to pussy in the same relation that indoor croquet, billiards, or reading a book in bed does to our noble selves.
8758_291170_000004_000002	Rat-catching is only just one degree better, and principally enjoyed by cats who have not reached maturity in body and intellect--cats, in fact, in their hobble-de-hoy-hood.	Rat catching is only just one degree better, and principally enjoyed by cats who have not reached maturity in body and intellect-cats, in fact, in their hobble de hoy hood.
8758_291170_000004_000004	There is as much difference between the hunting of an animal of the cat-kind and that of one of the canine order, as there is between the skilled tactics of German warfare, and the wild rush to battle of Arab cavalry.	There is as much difference between the hunting of an animal of the cat kind and that of one of the canine order, as there is between the skilled tactics of German warfare, and the wild rush to battle of Arab cavalry.
8758_291170_000004_000005	There is more honesty in the one, more craft and cunning in the other.	There is more honesty in the one, more craft and cunning in the other.
8758_291170_000004_000006	A dog is singularly destitute in what is called in Scotland, "canniness." He also wants patience; but the cat, armed with this gift, combined with cunning, and skill gained from experience, is master for anything in the field which she considers game and chooses to square her moustache at.	A dog is singularly destitute in what is called in Scotland, "canniness." He also wants patience; but the cat, armed with this gift, combined with cunning, and skill gained from experience, is master for anything in the field which she considers game and chooses to square her moustache at.
8758_291170_000004_000008	The latter is pleasing, certainly, but the former is charming.	The latter is pleasing, certainly, but the former is charming.
8758_291170_000004_000009	Pussy prefers the charming, while our friend the dog merely runs down his prey, and takes little pains to show skill even in that.	Pussy prefers the charming, while our friend the dog merely runs down his prey, and takes little pains to show skill even in that.
8758_291170_000005_000000	Leaving rats and mice along with blue-bottle flies, in the category of mere kitten's play, pussy's game-list includes hares, rabbits, stoats, weasels, water-rats, and moles, besides everything that flies or has feathers, from the humble household sparrow to the black-cock of the mountain.	Leaving rats and mice along with blue bottle flies, in the category of mere kitten's play, pussy's game list includes hares, rabbits, stoats, weasels, water rats, and moles, besides everything that flies or has feathers, from the humble household sparrow to the black cock of the mountain.
8758_291170_000006_000001	At the time I write, she is over twenty years old; but hale and hearty, and as playful as a kitten.	At the time I write, she is over twenty years old; but hale and hearty, and as playful as a kitten.
8758_291170_000006_000003	When she spies a mole-hill, she at once sets herself down to watch it; nor will she raise the siege for hours, until the little gentleman in velvet gives signs of his presence by casting up a few grains of earth.	When she spies a mole hill, she at once sets herself down to watch it; nor will she raise the siege for hours, until the little gentleman in velvet gives signs of his presence by casting up a few grains of earth.
8758_291170_000006_000004	Then is pussy's opportunity. She springs nimbly on the bank, and plunges her arms up to the shoulders into the earth, and never fails to bring poor molie to bank; and the daylight has hardly had time to dazzle his eyes before he is dead.	Then is pussy's opportunity. She springs nimbly on the bank, and plunges her arms up to the shoulders into the earth, and never fails to bring poor molie to bank; and the daylight has hardly had time to dazzle his eyes before he is dead.
8758_291170_000007_000002	"The hare," says my informant, "fought with great vigour, and often floored her antagonist; but Pirnie sent in her claws and teeth, till blood flew like rain, and fur like drift (driven snow); and the hare soon becoming exhausted, Pirnie seized it by the throat, and its plaintive screams were presently hushed in death."	"The hare," says my informant, "fought with great vigour, and often floored her antagonist; but Pirnie sent in her claws and teeth, till blood flew like rain, and fur like drift (driven snow); and the hare soon becoming exhausted, Pirnie seized it by the throat, and its plaintive screams were presently hushed in death."
8758_291170_000008_000002	The battle was witnessed by Graysie's owners, and lasted the greater part of the afternoon, and ended triumphantly for pussy, in the defeat and death of the weasel.	The battle was witnessed by Graysie's owners, and lasted the greater part of the afternoon, and ended triumphantly for pussy, in the defeat and death of the weasel.
8758_291170_000009_000000	A cat never springs on her prey unless sure of catching it, and her aim is most unerring.	A cat never springs on her prey unless sure of catching it, and her aim is most unerring.
8758_291170_000010_000000	I counted one day no less than 350 mice which a cat had killed single-handed at the removal of a rick of oats in a farmer's yard.	I counted one day no less than three hundred fifty mice which a cat had killed single handed at the removal of a rick of oats in a farmer's yard.
8758_291170_000010_000001	He was a fine, noble, red tabby, and it was quite a sight to see the surprising strength and agility with which he worked.	He was a fine, noble, red tabby, and it was quite a sight to see the surprising strength and agility with which he worked.
