5400_34478_000001_000000	Chapter 3	Chapter three
5400_34478_000002_000002	And as I've told you before, I tell you again: it's not right for you not to go to the meetings, and altogether to keep out of the district business.	And as I've told you before, I tell you again: it's not right for you not to go to the meetings, and altogether to keep out of the district business.
5400_34478_000002_000003	If decent people won't go into it, of course it's bound to go all wrong.	If decent people won't go into it, of course it's bound to go all wrong.
5400_34478_000002_000004	We pay the money, and it all goes in salaries, and there are no schools, nor district nurses, nor midwives, nor drugstores--nothing."	We pay the money, and it all goes in salaries, and there are no schools, nor district nurses, nor midwives, nor drugstores-nothing."
5400_34478_000003_000001	"I can't! and so there's no help for it."	"I can't! and so there's no help for it."
5400_34478_000004_000000	"But why can't you?	"But why can't you?
5400_34478_000004_000001	I must own I can't make it out.	I must own I can't make it out.
5400_34478_000004_000002	Indifference, incapacity--I won't admit; surely it's not simply laziness?"	Indifference, incapacity-I won't admit; surely it's not simply laziness?"
5400_34478_000006_000000	He had hardly grasped what his brother was saying.	He had hardly grasped what his brother was saying.
5400_34478_000006_000001	Looking towards the plough land across the river, he made out something black, but he could not distinguish whether it was a horse or the bailiff on horseback.	Looking towards the plough land across the river, he made out something black, but he could not distinguish whether it was a horse or the bailiff on horseback.
5400_34478_000007_000000	"Why is it you can do nothing?	"Why is it you can do nothing?
5400_34478_000007_000001	You made an attempt and didn't succeed, as you think, and you give in.	You made an attempt and didn't succeed, as you think, and you give in.
5400_34478_000007_000002	How can you have so little self-respect?"	How can you have so little self respect?"
5400_34478_000008_000000	"Self-respect!" said Levin, stung to the quick by his brother's words; "I don't understand.	"Self respect!" said Levin, stung to the quick by his brother's words; "I don't understand.
5400_34478_000008_000001	If they'd told me at college that other people understood the integral calculus, and I didn't, then pride would have come in.	If they'd told me at college that other people understood the integral calculus, and I didn't, then pride would have come in.
5400_34478_000008_000002	But in this case one wants first to be convinced that one has certain qualifications for this sort of business, and especially that all this business is of great importance."	But in this case one wants first to be convinced that one has certain qualifications for this sort of business, and especially that all this business is of great importance."
5400_34478_000010_000000	"I don't think it important; it does not take hold of me, I can't help it," answered Levin, making out that what he saw was the bailiff, and that the bailiff seemed to be letting the peasants go off the ploughed land.	"I don't think it important; it does not take hold of me, I can't help it," answered Levin, making out that what he saw was the bailiff, and that the bailiff seemed to be letting the peasants go off the ploughed land.
5400_34478_000010_000001	They were turning the plough over.	They were turning the plough over.
5400_34478_000010_000002	"Can they have finished ploughing?" he wondered.	"Can they have finished ploughing?" he wondered.
5400_34478_000011_000000	"Come, really though," said the elder brother, with a frown on his handsome, clever face, "there's a limit to everything.	"Come, really though," said the elder brother, with a frown on his handsome, clever face, "there's a limit to everything.
5400_34478_000011_000002	How can you think it a matter of no importance whether the peasant, whom you love as you assert..."	How can you think it a matter of no importance whether the peasant, whom you love as you assert..."
5400_34478_000012_000000	"I never did assert it," thought Konstantin Levin.	"I never did assert it," thought Konstantin Levin.
5400_34478_000013_000000	"... dies without help?	"... dies without help?
5400_34478_000013_000001	The ignorant peasant-women starve the children, and the people stagnate in darkness, and are helpless in the hands of every village clerk, while you have at your disposal a means of helping them, and don't help them because to your mind it's of no importance."	The ignorant peasant women starve the children, and the people stagnate in darkness, and are helpless in the hands of every village clerk, while you have at your disposal a means of helping them, and don't help them because to your mind it's of no importance."
5400_34478_000014_000000	And Sergey Ivanovitch put before him the alternative: either you are so undeveloped that you can't see all that you can do, or you won't sacrifice your ease, your vanity, or whatever it is, to do it.	And Sergey Ivanovitch put before him the alternative: either you are so undeveloped that you can't see all that you can do, or you won't sacrifice your ease, your vanity, or whatever it is, to do it.
5400_34478_000015_000000	Konstantin Levin felt that there was no course open to him but to submit, or to confess to a lack of zeal for the public good.	Konstantin Levin felt that there was no course open to him but to submit, or to confess to a lack of zeal for the public good.
5400_34478_000015_000001	And this mortified him and hurt his feelings.	And this mortified him and hurt his feelings.
5400_34478_000016_000000	"It's both," he said resolutely: "I don't see that it was possible..."	"It's both," he said resolutely: "I don't see that it was possible..."
5400_34478_000017_000000	"What! was it impossible, if the money were properly laid out, to provide medical aid?"	"What! was it impossible, if the money were properly laid out, to provide medical aid?"
5400_34478_000018_000000	"Impossible, as it seems to me....	"Impossible, as it seems to me....
5400_34478_000018_000001	For the three thousand square miles of our district, what with our thaws, and the storms, and the work in the fields, I don't see how it is possible to provide medical aid all over.	For the three thousand square miles of our district, what with our thaws, and the storms, and the work in the fields, I don't see how it is possible to provide medical aid all over.
5400_34478_000018_000002	And besides, I don't believe in medicine."	And besides, I don't believe in medicine."
5400_34478_000019_000000	"Oh, well, that's unfair ...	"Oh, well, that's unfair ...
5400_34478_000019_000001	I can quote to you thousands of instances....	I can quote to you thousands of instances....
5400_34478_000019_000002	But the schools, anyway."	But the schools, anyway."
5400_34478_000020_000000	"Why have schools?"	"Why have schools?"
5400_34478_000021_000000	"What do you mean?	"What do you mean?
5400_34478_000021_000002	If it's a good thing for you, it's a good thing for everyone."	If it's a good thing for you, it's a good thing for everyone."
5400_34478_000022_000000	Konstantin Levin felt himself morally pinned against a wall, and so he got hot, and unconsciously blurted out the chief cause of his indifference to public business.	Konstantin Levin felt himself morally pinned against a wall, and so he got hot, and unconsciously blurted out the chief cause of his indifference to public business.
5400_34478_000024_000001	He was silent for a little, drew out a hook, threw it in again, and turned to his brother smiling.	He was silent for a little, drew out a hook, threw it in again, and turned to his brother smiling.
5400_34478_000025_000000	"Come, now....	"Come, now....
5400_34478_000026_000000	"Oh, well, but I fancy her wrist will never be straight again."	"Oh, well, but I fancy her wrist will never be straight again."
