176_123269_000000_000000	CHAPTER XVI.	CHAPTER sixteen.	true	34.05	35.55	24.934622
176_123269_000001_000000	BOLDLY DOWN THE CRATER	BOLDLY DOWN THE CRATER	true	35.55	37.3	24.284948
176_123269_000002_000000	Supper was rapidly devoured, and the little company housed themselves as best they could.	Supper was rapidly devoured, and the little company housed themselves as best they could.	false	38.27	43.24	23.990133
176_123269_000002_000001	The bed was hard, the shelter not very substantial, and our position an anxious one, at five thousand feet above the sea level.	The bed was hard, the shelter not very substantial, and our position an anxious one, at five thousand feet above the sea level.	false	43.4	50.68	20.832834
176_123269_000002_000002	Yet I slept particularly well; it was one of the best nights I had ever had, and I did not even dream.	Yet I slept particularly well; it was one of the best nights I had ever had, and I did not even dream.	true	50.87	57.04	22.901197
176_123269_000003_000000	Next morning we awoke half frozen by the sharp keen air, but with the light of a splendid sun.	Next morning we awoke half frozen by the sharp keen air, but with the light of a splendid sun	true	57.41	63.04	21.987255
176_123269_000003_000001	I rose from my granite bed and went out to enjoy the magnificent spectacle that lay unrolled before me.	I rose from my granite bed and went out to enjoy the magnificent spectacle that lay unrolled before me.	true	63.29	69.22	21.589134
176_123269_000004_000000	I stood on the very summit of the southernmost of Snaefell's peaks. The range of the eye extended over the whole island.	I stood on the very summit of the southernmost of Snaefell's peaks. The range of the eye extended over the whole island.	true	70.07	77.2	21.008585
176_123269_000004_000001	By an optical law which obtains at all great heights, the shores seemed raised and the centre depressed.	By an optical law which obtains at all great heights, the shores seemed raised and the centre depressed.	false	77.33	83.38	21.105907
176_123269_000004_000002	It seemed as if one of Helbesmer's raised maps lay at my feet.	It seemed as if one of Helbesmer's raised maps lay at my feet.	true	83.45	87.46	20.775616
176_123269_000004_000003	I could see deep valleys intersecting each other in every direction, precipices like low walls, lakes reduced to ponds, rivers abbreviated into streams.	I could see deep valleys intersecting each other in every direction, precipices like low walls, lakes reduced to ponds, rivers abbreviated into streams.	false	87.56	98.29	20.750263
176_123269_000004_000004	On my right were numberless glaciers and innumerable peaks, some plumed with feathery clouds of smoke.	On my right were numberless glaciers and innumerable peaks, some plumed with feathery clouds of smoke.	true	98.48	105.07	22.65071
176_123269_000004_000005	The undulating surface of these endless mountains, crested with sheets of snow, reminded one of a stormy sea.	The undulating surface of these endless mountains, crested with sheets of snow, reminded one of a stormy sea.	true	105.11	112.03	21
176_123269_000004_000006	If I looked westward, there the ocean lay spread out in all its magnificence, like a mere continuation of those flock-like summits.	If I looked westward, there the ocean lay spread out in all its magnificence, like a mere continuation of those flock like summits.	false	112.58	121.39	21.649664
176_123269_000004_000007	The eye could hardly tell where the snowy ridges ended and the foaming waves began.	The eye could hardly tell where the snowy ridges ended and the foaming waves began.	true	121.58	126.46	21
176_123269_000005_000000	I was thus steeped in the marvellous ecstasy which all high summits develop in the mind; and now without giddiness, for I was beginning to be accustomed to these sublime aspects of nature.	I was thus steeped in the marvellous ecstasy which all high summits develop in the mind; and now without giddiness, for I was beginning to be accustomed to these sublime aspects of nature.	false	127.13	138.01	21.409044
176_123269_000005_000001	My dazzled eyes were bathed in the bright flood of the solar rays.	My dazzled eyes were bathed in the bright flood of the solar rays.	true	138.2	142.27	18.314394
176_123269_000005_000002	I was forgetting where and who I was, to live the life of elves and sylphs, the fanciful creation of Scandinavian superstitions.	I was forgetting where and who I was, to live the life of elves and sylphs, the fanciful creation of Scandinavian superstitions.	true	142.4	151.33	18.893438
176_123269_000005_000003	I felt intoxicated with the sublime pleasure of lofty elevations without thinking of the profound abysses into which I was shortly to be plunged.	I felt intoxicated with the sublime pleasure of lofty elevations without thinking of the profound abysses into which I was shortly to be plunged.	true	151.58	160.18	20
176_123269_000005_000004	But I was brought back to the realities of things by the arrival of Hans and the Professor, who joined me on the summit.	But I was brought back to the realities of things by the arrival of Hans and the Professor, who joined me on the summit.	true	160.4	166.6	22.687656
176_123269_000006_000000	My uncle pointed out to me in the far west a light steam or mist, a semblance of land, which bounded the distant horizon of waters.	My uncle pointed out to me in the far west a light steam or mist, a semblance of land, which bounded the distant horizon of waters.	true	167.51	175.66	21.30746
176_123269_000007_000000	"Greenland!" said he.	"Greenland!" said he.	true	175.82	177.55	22.882477
176_123269_000008_000000	"Greenland?" I cried.	"Greenland?" I cried.	true	177.71	179.59	26.380627
176_123269_000009_000000	"Yes; we are only thirty-five leagues from it; and during thaws the white bears, borne by the ice fields from the north, are carried even into Iceland.	"Yes; we are only thirty five leagues from it; and during thaws the white bears, borne by the ice fields from the north, are carried even into Iceland.	true	179.96	190.03	21.297485
176_123269_000009_000001	But never mind that.	But never mind that.	true	190.13	191.71	19.70055
