6080_58025_000001_000000	CHAPTER XIV	CHAPTER fourteen
6080_58025_000002_000000	THE MAKING OF A PRESIDENT	THE MAKING OF A PRESIDENT
6080_58025_000003_000000	Selwyn now devoted himself to the making of enough conservative senators to control comfortably that body.	Selwyn now devoted himself to the making of enough conservative senators to control comfortably that body.
6080_58025_000003_000001	The task was not difficult to a man of his sagacity with all the money he could spend.	The task was not difficult to a man of his sagacity with all the money he could spend.
6080_58025_000004_000000	Newspapers were subsidized in ways they scarcely recognized themselves. Honest officials who were in the way were removed by offering them places vastly more remunerative, and in this manner he built up a strong, intelligent and well constructed machine.	Newspapers were subsidized in ways they scarcely recognized themselves. Honest officials who were in the way were removed by offering them places vastly more remunerative, and in this manner he built up a strong, intelligent and well constructed machine.
6080_58025_000004_000001	It was done so sanely and so quietly that no one suspected the master mind behind it all. Selwyn was responsible to no one, took no one into his confidence, and was therefore in no danger of betrayal.	It was done so sanely and so quietly that no one suspected the master mind behind it all. Selwyn was responsible to no one, took no one into his confidence, and was therefore in no danger of betrayal.
6080_58025_000005_000000	It was a fascinating game to Selwyn.	It was a fascinating game to Selwyn.
6080_58025_000005_000001	It appealed to his intellectual side far more than it did to his avarice.	It appealed to his intellectual side far more than it did to his avarice.
6080_58025_000005_000003	He arranged to have his name appear less frequently in the press and he never submitted to interviews, laughingly ridding himself of reporters by asserting that he knew nothing of importance.	He arranged to have his name appear less frequently in the press and he never submitted to interviews, laughingly ridding himself of reporters by asserting that he knew nothing of importance.
6080_58025_000005_000004	He had a supreme contempt for the blatant self-advertised politician, and he removed himself as far as possible from that type.	He had a supreme contempt for the blatant self advertised politician, and he removed himself as far as possible from that type.
6080_58025_000006_000001	It was done so adroitly that Rockland would have been fooled himself, had not Selwyn informed him in advance of each move as it was made.	It was done so adroitly that Rockland would have been fooled himself, had not Selwyn informed him in advance of each move as it was made.
6080_58025_000007_000000	After the nomination, Selwyn had trusted men put in charge of the campaign, which he organized himself, though largely under cover.	After the nomination, Selwyn had trusted men put in charge of the campaign, which he organized himself, though largely under cover.
6080_58025_000007_000002	He put out the cry of lack of funds, and indeed it seemed to be true, for he was too wise to make a display of his resources.	He put out the cry of lack of funds, and indeed it seemed to be true, for he was too wise to make a display of his resources.
6080_58025_000007_000003	To ward heelers, to the daily press, and to professional stump speakers, he gave scant comfort.	To ward heelers, to the daily press, and to professional stump speakers, he gave scant comfort.
6080_58025_000007_000004	It was not to such sources that he looked for success.	It was not to such sources that he looked for success.
6080_58025_000008_000000	He began by eliminating all states he knew the opposition party would certainly carry, but he told the party leaders there to claim that a revolution was brewing, and that a landslide would follow at the election.	He began by eliminating all states he knew the opposition party would certainly carry, but he told the party leaders there to claim that a revolution was brewing, and that a landslide would follow at the election.
6080_58025_000008_000001	This would keep his antagonists busy and make them less effective elsewhere.	This would keep his antagonists busy and make them less effective elsewhere.
6080_58025_000009_000000	He also ignored the states where his side was sure to win.	He also ignored the states where his side was sure to win.
6080_58025_000009_000002	He divided each of these states into units containing five thousand voters, and, at the national headquarters, he placed one man in charge of each unit.	He divided each of these states into units containing five thousand voters, and, at the national headquarters, he placed one man in charge of each unit.
6080_58025_000009_000003	Of the five thousand, he roughly calculated there would be two thousand voters that no kind of persuasion could turn from his party and two thousand that could not be changed from the opposition.	Of the five thousand, he roughly calculated there would be two thousand voters that no kind of persuasion could turn from his party and two thousand that could not be changed from the opposition.
6080_58025_000009_000004	This would leave one thousand doubtful ones to win over.	This would leave one thousand doubtful ones to win over.
6080_58025_000009_000006	It was easy then to know how to reach each individual by literature, by persuasion or perhaps by some more subtle argument.	It was easy then to know how to reach each individual by literature, by persuasion or perhaps by some more subtle argument.
6080_58025_000009_000007	No mistake was made by sending the wrong letter or the wrong man to any of the desired one thousand.	No mistake was made by sending the wrong letter or the wrong man to any of the desired one thousand.
6080_58025_000010_000000	In the states so divided, there was, at the local headquarters, one man for each unit just as at the national headquarters.	In the states so divided, there was, at the local headquarters, one man for each unit just as at the national headquarters.
6080_58025_000010_000001	So these two had only each other to consider, and their duty was to bring to Rockland a majority of the one thousand votes within their charge.	So these two had only each other to consider, and their duty was to bring to Rockland a majority of the one thousand votes within their charge.
6080_58025_000010_000002	The local men gave the conditions, the national men gave the proper literature and advice, and the local man then applied it.	The local men gave the conditions, the national men gave the proper literature and advice, and the local man then applied it.
6080_58025_000010_000003	The money that it cost to maintain such an organization was more than saved from the waste that would have occurred under the old method.	The money that it cost to maintain such an organization was more than saved from the waste that would have occurred under the old method.
6080_58025_000011_000000	The opposition management was sending out tons of printed matter, but they sent it to state headquarters that, in turn, distributed it to the county organizations, where it was dumped into a corner and given to visitors when asked for.	The opposition management was sending out tons of printed matter, but they sent it to state headquarters that, in turn, distributed it to the county organizations, where it was dumped into a corner and given to visitors when asked for.
6080_58025_000013_000000	The opposition was spending large sums upon the daily press.	The opposition was spending large sums upon the daily press.
6080_58025_000013_000001	Selwyn used the weekly press so that he could reach the fireside of every farmer and the dweller in the small country towns.	Selwyn used the weekly press so that he could reach the fireside of every farmer and the dweller in the small country towns.
6080_58025_000013_000002	These were the ones that would read every line in their local papers and ponder over it.	These were the ones that would read every line in their local papers and ponder over it.
6080_58025_000014_000000	The opposition had its candidates going by special train to every part of the Union, making many speeches every day, and mostly to voters that could not be driven from him either by force or persuasion.	The opposition had its candidates going by special train to every part of the Union, making many speeches every day, and mostly to voters that could not be driven from him either by force or persuasion.
6080_58025_000014_000002	They wanted the candidate to remember the enthusiasm of these places, and to leave greatly pleased and under the belief that he was making untold converts.	They wanted the candidate to remember the enthusiasm of these places, and to leave greatly pleased and under the belief that he was making untold converts.
6080_58025_000014_000003	As a matter of fact his voice would seldom reach any but a staunch partisan.	As a matter of fact his voice would seldom reach any but a staunch partisan.
6080_58025_000015_000000	Selwyn kept Rockland at home, and arranged to have him meet by special appointment the important citizens of the twelve uncertain states.	Selwyn kept Rockland at home, and arranged to have him meet by special appointment the important citizens of the twelve uncertain states.
6080_58025_000015_000002	He would know it was his influence that was wanted but, even so, there was a subtle flattery in that.	He would know it was his influence that was wanted but, even so, there was a subtle flattery in that.
6080_58025_000015_000003	An appointment would be arranged.	An appointment would be arranged.
6080_58025_000015_000004	Just before he came into Rockland's presence, his name and a short epitome of his career would be handed to Rockland to read.	Just before he came into Rockland's presence, his name and a short epitome of his career would be handed to Rockland to read.
6080_58025_000015_000005	When he reached Rockland's home he would at first be denied admittance.	When he reached Rockland's home he would at first be denied admittance.
6080_58025_000015_000006	His sponsor would say,--"this is Mr. Munting of Muntingville." "Oh, pardon me, Mr. Munting, Governor Rockland expects you."	His sponsor would say,--"this is mr Munting of Muntingville." "Oh, pardon me, mr Munting, Governor Rockland expects you."
6080_58025_000016_000000	And in this way he is ushered into the presence of the great.	And in this way he is ushered into the presence of the great.
