3483_119637_000002_000000	CHAPTER VIII	CHAPTER eight
3483_119637_000003_000000	Hypnotic Torture	Hypnotic Torture
3483_119637_000004_000000	Some twenty minutes later the ship arrived.	Some twenty minutes later the ship arrived.
3483_119637_000004_000001	It settled down slowly into the ravine on its repeller rays until it was but a few feet above the tree tops.	It settled down slowly into the ravine on its repeller rays until it was but a few feet above the tree tops.
3483_119637_000004_000002	There it was stopped, and floated steadily, while a little cage was let down on a wire.	There it was stopped, and floated steadily, while a little cage was let down on a wire.
3483_119637_000004_000003	Into this I was hustled and locked, whereupon the cage rose swiftly again to a hole in the bottom of the hull, into which it fitted snugly, and I stepped into the interior of a craft not unlike the one with which I had had my fateful encounter, the cage being unlocked.	Into this I was hustled and locked, whereupon the cage rose swiftly again to a hole in the bottom of the hull, into which it fitted snugly, and I stepped into the interior of a craft not unlike the one with which I had had my fateful encounter, the cage being unlocked.
3483_119637_000006_000000	The ship rose to a great height, and headed westward at such speed that the hum of the air past its smooth plates rose to a shrill, almost inaudible moan.	The ship rose to a great height, and headed westward at such speed that the hum of the air past its smooth plates rose to a shrill, almost inaudible moan.
3483_119637_000007_000000	Nor was there any sheen of shimmering disintegrator rays surrounding it, to interfere with the sparkling sight.	Nor was there any sheen of shimmering disintegrator rays surrounding it, to interfere with the sparkling sight.
3483_119637_000007_000002	And this, I was the more ready to believe after my own recent experience.	And this, I was the more ready to believe after my own recent experience.
3483_119637_000008_000000	I spent two months as a prisoner in Lo-Tan.	I spent two months as a prisoner in Lo Tan.
3483_119637_000008_000003	Most elaborately staged attempts at seduction were made upon me with drugs, with women. Hypnotism was resorted to.	Most elaborately staged attempts at seduction were made upon me with drugs, with women. Hypnotism was resorted to.
3483_119637_000008_000004	Viewplates were faked to picture to me the complete rout of American forces all over the continent.	Viewplates were faked to picture to me the complete rout of American forces all over the continent.
3483_119637_000009_000000	Surrender of what?	Surrender of what?
3483_119637_000010_000002	Perhaps had my love for her been less great, I would have succumbed.	Perhaps had my love for her been less great, I would have succumbed.
3483_119637_000010_000003	But all the while I knew subconsciously that this was not Wilma.	But all the while I knew subconsciously that this was not Wilma.
3483_119637_000010_000004	Product of the utmost of nobility in this modern virile, rugged American race, she would have died under even worse torture than these vicious Han scientists knew how to inflict, before she would have pleaded with me this way to betray my race and her honor.	Product of the utmost of nobility in this modern virile, rugged American race, she would have died under even worse torture than these vicious Han scientists knew how to inflict, before she would have pleaded with me this way to betray my race and her honor.
3483_119637_000011_000000	But these were things that not even the most skilled of the Han hypnotists and psychoanalysts could drag from me.	But these were things that not even the most skilled of the Han hypnotists and psychoanalysts could drag from me.
3483_119637_000011_000002	Had they done so, it might have made a difference.	Had they done so, it might have made a difference.
3483_119637_000011_000004	But even in the Twentieth Century we had learned that hypnotism cannot make a person violate his fundamental concepts of morality against his will, and steadfastly I steeled my will against them.	But even in the Twentieth Century we had learned that hypnotism cannot make a person violate his fundamental concepts of morality against his will, and steadfastly I steeled my will against them.
