1025_92820_000000_000000	"Who are they?" I asked.	"Who are they?" I asked.	false	0	1.59	27.76625
1025_92820_000001_000000	"Why," said he, "they are the men who hired working-girls, and paid 'em five or six dollars a week to live on.	"Why," said he, "they are the men who hired working girls, and paid 'em five or six dollars a week to live on.	false	1.59	8.94	23.018538
1025_92820_000001_000001	Are you one of the bunch?"	Are you one of the bunch?"	false	8.94	10.86	15
1025_92820_000002_000000	"Not on your immortality," said I. "I'm only the fellow that set fire to an orphan asylum, and murdered a blind man for his pennies."	"Not on your immortality," said i "I'm only the fellow that set fire to an orphan asylum, and murdered a blind man for his pennies."	false	10.86	21.6	22.59412
1025_92820_000003_000000	THE CALIPH, CUPID AND THE CLOCK	THE CALIPH, CUPID AND THE CLOCK	true	21.6	24.25	27.456266
1025_92820_000004_000000	Prince Michael, of the Electorate of Valleluna, sat on his favourite bench in the park.	Prince Michael, of the Electorate of Valleluna, sat on his favourite bench in the park.	true	24.62	29.71	20.021029
1025_92820_000004_000001	The coolness of the September night quickened the life in him like a rare, tonic wine.	The coolness of the September night quickened the life in him like a rare, tonic wine.	true	29.87	34.605	24.617887
1025_92820_000004_000002	The benches were not filled; for park loungers, with their stagnant blood, are prompt to detect and fly home from the crispness of early autumn.	The benches were not filled; for park loungers, with their stagnant blood, are prompt to detect and fly home from the crispness of early autumn.	true	34.605	43.38	21.880203
1025_92820_000004_000003	The moon was just clearing the roofs of the range of dwellings that bounded the quadrangle on the east. Children laughed and played about the fine-sprayed fountain.	The moon was just clearing the roofs of the range of dwellings that bounded the quadrangle on the east. Children laughed and played about the fine sprayed fountain.	true	43.38	52.21	22
1025_92820_000004_000004	In the shadowed spots fauns and hamadryads wooed, unconscious of the gaze of mortal eyes.	In the shadowed spots fauns and hamadryads wooed, unconscious of the gaze of mortal eyes.	true	52.49	58.66	21
1025_92820_000004_000005	A hand organ--Philomel by the grace of our stage carpenter, Fancy--fluted and droned in a side street.	A hand organ-Philomel by the grace of our stage carpenter, Fancy-fluted and droned in a side street.	true	58.7	65.385	22.519016
1025_92820_000004_000006	Around the enchanted boundaries of the little park street cars spat and mewed and the stilted trains roared like tigers and lions prowling for a place to enter.	Around the enchanted boundaries of the little park street cars spat and mewed and the stilted trains roared like tigers and lions prowling for a place to enter.	false	65.385	75.28	22.654173
1025_92820_000004_000007	And above the trees shone the great, round, shining face of an illuminated clock in the tower of an antique public building.	And above the trees shone the great, round, shining face of an illuminated clock in the tower of an antique public building.	true	75.47	82.905	20
1025_92820_000005_000000	Prince Michael's shoes were wrecked far beyond the skill of the carefullest cobbler.	Prince Michael's shoes were wrecked far beyond the skill of the carefullest cobbler.	false	82.905	87.615	21
1025_92820_000005_000001	The ragman would have declined any negotiations concerning his clothes.	The ragman would have declined any negotiations concerning his clothes.	true	87.615	91.75	19
1025_92820_000005_000002	The two weeks' stubble on his face was grey and brown and red and greenish yellow--as if it had been made up from individual contributions from the chorus of a musical comedy.	The two weeks' stubble on his face was grey and brown and red and greenish yellow-as if it had been made up from individual contributions from the chorus of a musical comedy.	true	91.76	101.62	18
1025_92820_000005_000003	No man existed who had money enough to wear so bad a hat as his.	No man existed who had money enough to wear so bad a hat as his.	true	101.93	105.97	15
1025_92820_000006_000000	Prince Michael sat on his favourite bench and smiled.	Prince Michael sat on his favourite bench and smiled.	true	106.01	109.06	24.890224
1025_92820_000006_000001	It was a diverting thought to him that he was wealthy enough to buy every one of those close-ranged, bulky, window-lit mansions that faced him, if he chose.	It was a diverting thought to him that he was wealthy enough to buy every one of those close ranged, bulky, window lit mansions that faced him, if he chose.	true	109.07	117.6	22
1025_92820_000006_000002	He could have matched gold, equipages, jewels, art treasures, estates and acres with any Croesus in this proud city of Manhattan, and scarcely have entered upon the bulk of his holdings.	He could have matched gold, equipages, jewels, art treasures, estates and acres with any Croesus in this proud city of Manhattan, and scarcely have entered upon the bulk of his holdings.	false	117.6	129.63	22
1025_92820_000006_000003	He could have sat at table with reigning sovereigns.	He could have sat at table with reigning sovereigns.	true	129.63	132.675	17
1025_92820_000006_000004	The social world, the world of art, the fellowship of the elect, adulation, imitation, the homage of the fairest, honours from the highest, praise from the wisest, flattery, esteem, credit, pleasure, fame--all the honey of life was waiting in the comb in the hive of the world for Prince Michael, of the Electorate of Valleluna, whenever he might choose to take it.	The social world, the world of art, the fellowship of the elect, adulation, imitation, the homage of the fairest, honours from the highest, praise from the wisest, flattery, esteem, credit, pleasure, fame-all the honey of life was waiting in the comb in the hive of the world for Prince Michael, of the Electorate of Valleluna, whenever he might choose to take it.	false	132.675	154.38	21.859177
1025_92820_000006_000005	But his choice was to sit in rags and dinginess on a bench in a park.	But his choice was to sit in rags and dinginess on a bench in a park.	false	154.38	158.625	20
1025_92820_000006_000006	For he had tasted of the fruit of the tree of life, and, finding it bitter in his mouth, had stepped out of Eden for a time to seek distraction close to the unarmoured, beating heart of the world.	For he had tasted of the fruit of the tree of life, and, finding it bitter in his mouth, had stepped out of Eden for a time to seek distraction close to the unarmoured, beating heart of the world.	true	158.625	169.98	21
1025_92820_000007_000000	These thoughts strayed dreamily through the mind of Prince Michael, as he smiled under the stubble of his polychromatic beard.	These thoughts strayed dreamily through the mind of Prince Michael, as he smiled under the stubble of his polychromatic beard.	true	169.98	176.47	21
1025_92820_000007_000001	Lounging thus, clad as the poorest of mendicants in the parks, he loved to study humanity.	Lounging thus, clad as the poorest of mendicants in the parks, he loved to study humanity.	false	176.6	182.71	21.632961
1025_92820_000007_000002	He found in altruism more pleasure than his riches, his station and all the grosser sweets of life had given him.	He found in altruism more pleasure than his riches, his station and all the grosser sweets of life had given him.	true	182.72	189.63	23.611841
1025_92820_000007_000003	It was his chief solace and satisfaction to alleviate individual distress, to confer favours upon worthy ones who had need of succour, to dazzle unfortunates by unexpected and bewildering gifts of truly royal magnificence, bestowed, however, with wisdom and judiciousness.	It was his chief solace and satisfaction to alleviate individual distress, to confer favours upon worthy ones who had need of succour, to dazzle unfortunates by unexpected and bewildering gifts of truly royal magnificence, bestowed, however, with wisdom and judiciousness.	true	189.63	207.25	21
1025_92820_000008_000000	And as Prince Michael's eye rested upon the glowing face of the great clock in the tower, his smile, altruistic as it was, became slightly tinged with contempt.	And as Prince Michael's eye rested upon the glowing face of the great clock in the tower, his smile, altruistic as it was, became slightly tinged with contempt.	true	207.38	217.38	22
1025_92820_000008_000001	Big thoughts were the Prince's; and it was always with a shake of his head that he considered the subjugation of the world to the arbitrary measures of Time.	Big thoughts were the Prince's; and it was always with a shake of his head that he considered the subjugation of the world to the arbitrary measures of Time.	true	217.38	225.43	19
1025_92820_000008_000002	The comings and goings of people in hurry and dread, controlled by the little metal moving hands of a clock, always made him sad.	The comings and goings of people in hurry and dread, controlled by the little metal moving hands of a clock, always made him sad.	true	225.71	233.22	21.488
1025_92820_000009_000000	By and by came a young man in evening clothes and sat upon the third bench from the Prince.	By and by came a young man in evening clothes and sat upon the third bench from the Prince.	true	233.22	238.27	19
1025_92820_000009_000001	For half an hour he smoked cigars with nervous haste, and then he fell to watching the face of the illuminated clock above the trees.	For half an hour he smoked cigars with nervous haste, and then he fell to watching the face of the illuminated clock above the trees.	true	238.49	245.5	19
1025_92820_000009_000002	His perturbation was evident, and the Prince noted, in sorrow, that its cause was connected, in some manner, with the slowly moving hands of the timepiece.	His perturbation was evident, and the Prince noted, in sorrow, that its cause was connected, in some manner, with the slowly moving hands of the timepiece.	true	245.99	254.8	19
