543_137106_000000_000000	INGERSOLL'S ORATION AT A CHILD'S GRAVE.	INGERSOLL'S ORATION AT A CHILD'S GRAVE.	false	1.26	24.27	20.529415
543_137106_000001_000000	In a remote corner of the Congressional Cemetery at Washington, a small group of people with uncovered heads were ranged around a newly-opened grave.	In a remote corner of the Congressional Cemetery at Washington, a small group of people with uncovered heads were ranged around a newly opened grave.	false	24.27	36.07	16
543_137106_000001_000001	They included Detective and Mrs. George O. Miller and family and friends, who had gathered to witness the burial of the former's bright little son Harry.	They included Detective and mrs George o Miller and family and friends, who had gathered to witness the burial of the former's bright little son Harry.	true	36.17	46.45	14
543_137106_000001_000002	As the casket rested upon the trestles there was a painful pause, broken only by the mother's sobs, until the undertaker advanced toward a stout, florid-complexioned gentleman in the party and whispered to him, the words being inaudible to the lookers-on.	As the casket rested upon the trestles there was a painful pause, broken only by the mother's sobs, until the undertaker advanced toward a stout, florid complexioned gentleman in the party and whispered to him, the words being inaudible to the lookers on.	true	46.73	65.8	19.751812
543_137106_000001_000003	This gentleman was Col.	This gentleman was col	false	65.9	67.53	16
543_137106_000001_000004	Robert G. Ingersoll, a friend of the Millers, who had attended the funeral--at their request.	Robert g Ingersoll, a friend of the Millers, who had attended the funeral-at their request.	true	67.53	73.15	17
543_137106_000001_000005	He shook his head when the undertaker first addressed him, and then said suddenly, "Does Mrs. Miller desire it?" The undertaker gave an affirmative nod.	He shook his head when the undertaker first addressed him, and then said suddenly, "Does mrs Miller desire it?" The undertaker gave an affirmative nod.	true	73.19	83.61	19.066267
543_137106_000001_000006	Mr. Miller looked appealingly toward the distinguished orator, and then Colonel Ingersoll advanced to the side of the grave, made a motion denoting a desire for silence, and, in a voice of exquisite cadence, delivered one of his characteristic eulogies for the dead.	mr Miller looked appealingly toward the distinguished orator, and then Colonel Ingersoll advanced to the side of the grave, made a motion denoting a desire for silence, and, in a voice of exquisite cadence, delivered one of his characteristic eulogies for the dead.	true	83.61	100.81	16
543_137106_000002_000000	The scene was intensely dramatic.	The scene was intensely dramatic.	true	101.06	103.17	14
543_137106_000002_000001	A fine drizzling rain was falling, and every head was bent, and every ear turned to catch the impassioned words of eloquence and hope that fell from the lips of the famed orator.	A fine drizzling rain was falling, and every head was bent, and every ear turned to catch the impassioned words of eloquence and hope that fell from the lips of the famed orator.	true	103.17	115.51	13
543_137106_000002_000002	Colonel Ingersoll was unprotected by either hat or umbrella. His invocation thrilled his hearers with awe, each eye that had previously been bedimmed with tears brightening, and sobs becoming hushed.	Colonel Ingersoll was unprotected by either hat or umbrella. His invocation thrilled his hearers with awe, each eye that had previously been bedimmed with tears brightening, and sobs becoming hushed.	false	115.67	130.27	18.82971
543_137106_000002_000003	The colonel said:	The colonel said:	true	130.37	131.625	17.949883
543_137106_000003_000000	My Friends: I know how vain it is to gild a grief with words, and yet I wish to take from every grave its fear.	My Friends: I know how vain it is to gild a grief with words, and yet I wish to take from every grave its fear.	true	131.625	142.33	19.013157
543_137106_000003_000001	Here in this world, where life and death are equal kings, all should be brave enough to meet what all have met.	Here in this world, where life and death are equal kings, all should be brave enough to meet what all have met.	true	142.64	151.48	19.02671
543_137106_000003_000002	The future has been filled with fear, stained and polluted by the heartless past.	The future has been filled with fear, stained and polluted by the heartless past.	true	151.64	157.48	21
543_137106_000003_000003	From the wondrous tree of life the buds and blossoms fall with ripened fruit, and in the common bed of earth patriarchs and babes sleep side by side.	From the wondrous tree of life the buds and blossoms fall with ripened fruit, and in the common bed of earth patriarchs and babes sleep side by side.	true	157.61	170.65	19.5081
543_137106_000003_000004	Why should we fear that which will come to all that is?	Why should we fear that which will come to all that is?	true	170.84	175.45	20
543_137106_000003_000005	We cannot tell.	We cannot tell.	true	175.61	177.01	20.887163
543_137106_000003_000006	We do not know which is the greatest blessing, life or death.	We do not know which is the greatest blessing, life or death.	true	177.05	182.77	23.161142
543_137106_000003_000007	We cannot say that death is not good. We do not know whether the grave is the end of this life or the door of another, or whether the night here is not somewhere else a dawn. Neither can we tell which is the more fortunate, the child dying in its mother's arms before its lips have learned to form a word, or he who journeys all the length of life's uneven road, painfully taking the last slow steps with staff and crutch.	We cannot say that death is not good. We do not know whether the grave is the end of this life or the door of another, or whether the night here is not somewhere else a dawn. Neither can we tell which is the more fortunate, the child dying in its mother's arms before its lips have learned to form a word, or he who journeys all the length of life's uneven road, painfully taking the last slow steps with staff and crutch.	true	182.99	213.37	20
543_137106_000003_000008	Every cradle asks us "Whence?" and every coffin "Whither?"	Every cradle asks us "Whence?" and every coffin "Whither?"	true	213.71	220.03	23.322777
543_137106_000003_000009	The poor barbarian weeping above his dead can answer the question as intelligently and satisfactorily as the robed priest of the most authentic creed.	The poor barbarian weeping above his dead can answer the question as intelligently and satisfactorily as the robed priest of the most authentic creed.	true	220.64	231.7	17
543_137106_000003_000010	The tearful ignorance of the one is just as consoling as the learned and unmeaning words of the other.	The tearful ignorance of the one is just as consoling as the learned and unmeaning words of the other.	true	231.71	239.59	16
543_137106_000003_000011	No man standing where the horizon of a life has touched a grave has any right to prophesy a future filled with pain and tears.	No man standing where the horizon of a life has touched a grave has any right to prophesy a future filled with pain and tears.	true	239.6	249.795	17
543_137106_000003_000012	It may be that death gives all there is of worth to life.	It may be that death gives all there is of worth to life.	true	249.795	255.28	19.57994
543_137106_000003_000013	If those who press and strain against our hearts could never die, perhaps that love would wither from the earth.	If those who press and strain against our hearts could never die, perhaps that love would wither from the earth.	true	255.53	263.86	18
543_137106_000003_000014	Maybe a common faith treads from out the paths between our hearts the weeds of selfishness, and I should rather live and love where death is king than have eternal life where love is not. Another life is naught, unless we know and love again the ones who love us here.	Maybe a common faith treads from out the paths between our hearts the weeds of selfishness, and I should rather live and love where death is king than have eternal life where love is not. Another life is naught, unless we know and love again the ones who love us here.	true	263.96	288.31	19.60763
543_137106_000004_000000	They who stand with breaking hearts around this little grave need have no fear.	They who stand with breaking hearts around this little grave need have no fear.	true	288.56	295.3	16
543_137106_000004_000001	The largest and the nobler faith in all that is, and is to be, tells us that death, even at its worst, is only perfect rest.	The largest and the nobler faith in all that is, and is to be, tells us that death, even at its worst, is only perfect rest.	true	295.37	307.21	20.786243
