175_127696_000000_000000	The Two-Leaved Pine	The Two Leaved Pine	true	29.595	31.3	18.75397
175_127696_000001_000000	The Two-Leaved Pine (Pinus contorta, var.	The Two Leaved Pine (Pinus contorta, v a r.	false	33.2	36.975	21.4659
175_127696_000001_000001	Murrayana), above the Silver Fir zone, forms the bulk of the alpine forests up to a height of from 8000 to 9500 feet above the sea, growing in beautiful order on moraines scarcely changed as yet by post-glacial weathering.	Murrayana), above the Silver Fir zone, forms the bulk of the alpine forests up to a height of from eight thousand to nine thousand five hundred feet above the sea, growing in beautiful order on moraines scarcely changed as yet by post glacial weathering.	true	36.975	53.14	22.375196
175_127696_000001_000002	Compared with the giants of the lower regions this is a small tree, seldom exceeding a height of eighty or ninety feet.	Compared with the giants of the lower regions this is a small tree, seldom exceeding a height of eighty or ninety feet.	false	54.41	61.54	19.728815
175_127696_000001_000003	The largest I ever measured was ninety feet high and a little over six feet in diameter.	The largest I ever measured was ninety feet high and a little over six feet in diameter.	true	62.21	67.27	18
175_127696_000001_000004	The average height of mature trees throughout the entire belt is probably not far from fifty or sixty feet with a diameter of two feet.	The average height of mature trees throughout the entire belt is probably not far from fifty or sixty feet with a diameter of two feet.	true	68.15	76.21	22.31012
175_127696_000001_000005	It is a well-proportioned, rather handsome tree with grayish-brown bark and crooked, much-divided branches which cover the greater part of the trunk, but not so densely as to prevent it being seen.	It is a well proportioned, rather handsome tree with grayish brown bark and crooked, much divided branches which cover the greater part of the trunk, but not so densely as to prevent it being seen.	true	76.97	88.63	23.460318
175_127696_000001_000006	The lower limbs, like those of most other conifers that grow in snowy regions, curve downward, gradually take a horizontal position about half-way up the trunk, then aspire more and more toward the summit.	The lower limbs, like those of most other conifers that grow in snowy regions, curve downward, gradually take a horizontal position about half-way up the trunk, then aspire more and more toward the summit.	true	89.69	101.68	19.961802
175_127696_000001_000007	The short, rigid needles in fascicles of two are arranged in comparatively long cylindrical tassels at the ends of the tough up-curving branches.	The short, rigid needles in fascicles of two are arranged in comparatively long cylindrical tassels at the ends of the tough up curving branches.	true	102.68	111.07	21
175_127696_000001_000008	The cones are about two inches long, growing in clusters among the needles without any striking effect except while very young, when the flowers are of a vivid crimson color and the whole tree appears to be dotted with brilliant flowers.	The cones are about two inches long, growing in clusters among the needles without any striking effect except while very young, when the flowers are of a vivid crimson color and the whole tree appears to be dotted with brilliant flowers.	false	111.8	125.56	21.24379
175_127696_000001_000009	The staminate flowers are still more showy on account of their great abundance, often giving a reddish-yellow tinge to the whole mass of foliage and filling the air with pollen.	The staminate flowers are still more showy on account of their great abundance, often giving a reddish yellow tinge to the whole mass of foliage and filling the air with pollen.	false	126.56	136.12	21
175_127696_000001_000010	No other pine on the Range is so regularly planted as this one, covering moraines that extend along the sides of the high rocky valleys for miles without interruption.	No other pine on the Range is so regularly planted as this one, covering moraines that extend along the sides of the high rocky valleys for miles without interruption.	true	137.15	146.41	18
175_127696_000001_000011	The thin bark is streaked and sprinkled with resin as though it had been showered upon the forest like rain.	The thin bark is streaked and sprinkled with resin as though it had been showered upon the forest like rain.	false	147.2	153.1	23.023615
175_127696_000002_000000	Therefore this tree more than any other is subject to destruction by fire.	Therefore this tree more than any other is subject to destruction by fire.	true	154.43	158.65	22.668543
175_127696_000002_000001	During strong winds extensive forests are destroyed, the flames leaping from tree to tree in continuous belts that go surging and racing onward above the bending wood like prairie-grass fires.	During strong winds extensive forests are destroyed, the flames leaping from tree to tree in continuous belts that go surging and racing onward above the bending wood like prairie grass fires.	true	159.17	169.87	18
175_127696_000002_000002	During the calm season of Indian summer the fire creeps quietly along the ground, feeding on the needles and cones; arriving at the foot of a tree, the resiny bark is ignited and the heated air ascends in a swift current, increasing in velocity and dragging the flames upward.	During the calm season of Indian summer the fire creeps quietly along the ground, feeding on the needles and cones; arriving at the foot of a tree, the resiny bark is ignited and the heated air ascends in a swift current, increasing in velocity and dragging the flames upward.	false	170.66	187.3	21.242565
175_127696_000002_000003	Then the leaves catch forming an immense column of fire, beautifully spired on the edges and tinted a rose-purple hue.	Then the leaves catch forming an immense column of fire, beautifully spired on the edges and tinted a rose purple hue.	true	188.06	195.1	24
175_127696_000002_000004	It rushes aloft thirty or forty feet above the top of the tree, forming a grand spectacle, especially at night.	It rushes aloft thirty or forty feet above the top of the tree, forming a grand spectacle, especially at night.	true	195.89	202.51	22.18547
175_127696_000002_000005	It lasts, however, only a few seconds, vanishing with magical rapidity, to be succeeded by others along the fire-line at irregular intervals, tree after tree, upflashing and darting, leaving the trunks and branches scarcely scarred.	It lasts, however, only a few seconds, vanishing with magical rapidity, to be succeeded by others along the fire line at irregular intervals, tree after tree, upflashing and darting, leaving the trunks and branches scarcely scarred.	true	203.33	217.81	21.639675
175_127696_000002_000006	The heat, however, is sufficient to kill the tree and in a few years the bark shrivels and falls off.	The heat, however, is sufficient to kill the tree and in a few years the bark shrivels and falls off.	true	218.54	224.29	23.27691
175_127696_000002_000007	Forests miles in extent are thus killed and left standing, with the branches on, but peeled and rigid, appearing gray in the distance like misty clouds.	Forests miles in extent are thus killed and left standing, with the branches on, but peeled and rigid, appearing gray in the distance like misty clouds.	true	225.32	234.46	21.792362
175_127696_000002_000008	Later the branches drop off, leaving a forest of bleached spars.	Later the branches drop off, leaving a forest of bleached spars.	true	235.25	239.65	21.644297
175_127696_000002_000009	At length the roots decay and the forlorn gray trunks are blown down during some storm and piled one upon another, encumbering the ground until, dry and seasoned, they are consumed by another fire and leave the ground ready for a fresh crop.	At length the roots decay and the forlorn gray trunks are blown down during some storm and piled one upon another, encumbering the ground until, dry and seasoned, they are consumed by another fire and leave the ground ready for a fresh crop.	true	240.38	255.04	22
175_127696_000003_000000	In sheltered lake-hollows, on beds of alluvium, this pine varies so far from the common form that frequently it could be taken for a distinct species, growing in damp sods like grasses from forty to eighty feet high, bending all together to the breeze and whirling in eddying gusts more lively than any other tree in the woods.	In sheltered lake hollows, on beds of alluvium, this pine varies so far from the common form that frequently it could be taken for a distinct species, growing in damp sods like grasses from forty to eighty feet high, bending all together to the breeze and whirling in eddying gusts more lively than any other tree in the woods.	false	255.53	274.93	23.132635
175_127696_000003_000001	I frequently found specimens fifty feet high less than five inches in diameter.	I frequently found specimens fifty feet high less than five inches in diameter.	true	275.75	280.18	20
175_127696_000003_000002	Being so slender and at the same time clad with leafy boughs, it is often bent and weighed down to the ground when laden with soft snow; thus forming fine ornamental arches, many of them to last until the melting of the snow in the spring.	Being so slender and at the same time clad with leafy boughs, it is often bent and weighed down to the ground when laden with soft snow; thus forming fine ornamental arches, many of them to last until the melting of the snow in the spring.	true	281	295.03	22.747988
175_127696_000004_000000	The Mountain Pine	The Mountain Pine	true	297.77	299.17	24.882347
175_127696_000005_000000	The Mountain Pine (Pinus monticola) is the noblest tree of the alpine zone--hardy and long-lived towering grandly above its companions and becoming stronger and more imposing just where other species begin to crouch and disappear.	The Mountain Pine (Pinus monticola) is the noblest tree of the alpine zone-hardy and long lived towering grandly above its companions and becoming stronger and more imposing just where other species begin to crouch and disappear.	true	300.89	315.58	23.43004
175_127696_000005_000001	At its best it is usually about ninety feet high and five or six feet in diameter, though you may find specimens here and there considerably larger than this.	At its best it is usually about ninety feet high and five or six feet in diameter, though you may find specimens here and there considerably larger than this.	true	316.58	326.11	23.476091
175_127696_000005_000002	It is as massive and suggestive of enduring strength as an oak.	It is as massive and suggestive of enduring strength as an oak.	true	327.41	331.39	21.651817
