2240_148521_000000_000000	Section 2: Influence of Democracy on the Feelings of Americans	Section two: Influence of Democracy on the Feelings of Americans	false	13.74	61.27	22.629519
2240_148521_000001_000000	Chapter I: Why Democratic Nations Show A More Ardent And Enduring Love Of Equality Than Of Liberty	Chapter one: Why Democratic Nations Show A More Ardent And Enduring Love Of Equality Than Of Liberty	true	62.18	71.14	23.021164
2240_148521_000002_000000	The first and most intense passion which is engendered by the equality of conditions is, I need hardly say, the love of that same equality.	The first and most intense passion which is engendered by the equality of conditions is, I need hardly say, the love of that same equality.	false	73.07	83.59	23.503477
2240_148521_000002_000001	My readers will therefore not be surprised that I speak of its before all others.	My readers will therefore not be surprised that I speak of its before all others.	false	84.29	89.62	25.375324
2240_148521_000002_000002	Everybody has remarked that in our time, and especially in France, this passion for equality is every day gaining ground in the human heart.	Everybody has remarked that in our time, and especially in France, this passion for equality is every day gaining ground in the human heart.	true	90.8	100.99	20.044964
2240_148521_000002_000003	It has been said a hundred times that our contemporaries are far more ardently and tenaciously attached to equality than to freedom; but as I do not find that the causes of the fact have been sufficiently analyzed, I shall endeavor to point them out.	It has been said a hundred times that our contemporaries are far more ardently and tenaciously attached to equality than to freedom; but as I do not find that the causes of the fact have been sufficiently analyzed, I shall endeavor to point them out.	false	101.63	119.05	23.479462
2240_148521_000003_000000	It is possible to imagine an extreme point at which freedom and equality would meet and be confounded together.	It is possible to imagine an extreme point at which freedom and equality would meet and be confounded together.	true	120.44	128.59	24.290823
2240_148521_000003_000001	Let us suppose that all the members of the community take a part in the government, and that each of them has an equal right to take a part in it.	Let us suppose that all the members of the community take a part in the government, and that each of them has an equal right to take a part in it.	false	129.56	138.73	22.462358
2240_148521_000003_000002	As none is different from his fellows, none can exercise a tyrannical power: men will be perfectly free, because they will all be entirely equal; and they will all be perfectly equal, because they will be entirely free.	As none is different from his fellows, none can exercise a tyrannical power: men will be perfectly free, because they will all be entirely equal; and they will all be perfectly equal, because they will be entirely free.	true	139.28	154.9	22.90966
2240_148521_000003_000003	To this ideal state democratic nations tend.	To this ideal state democratic nations tend.	true	155.93	159.34	24.630295
2240_148521_000003_000004	Such is the completest form that equality can assume upon earth; but there are a thousand others which, without being equally perfect, are not less cherished by those nations.	Such is the completest form that equality can assume upon earth; but there are a thousand others which, without being equally perfect, are not less cherished by those nations.	true	159.98	172.42	25.636904
2240_148521_000004_000000	The principle of equality may be established in civil society, without prevailing in the political world.	The principle of equality may be established in civil society, without prevailing in the political world.	true	173.84	180.88	22.460585
2240_148521_000004_000001	Equal rights may exist of indulging in the same pleasures, of entering the same professions, of frequenting the same places--in a word, of living in the same manner and seeking wealth by the same means, although all men do not take an equal share in the government.	Equal rights may exist of indulging in the same pleasures, of entering the same professions, of frequenting the same places-in a word, of living in the same manner and seeking wealth by the same means, although all men do not take an equal share in the government.	false	181.55	199.93	23.822395
2240_148521_000004_000002	A kind of equality may even be established in the political world, though there should be no political freedom there.	A kind of equality may even be established in the political world, though there should be no political freedom there.	true	200.63	207.82	22.523235
2240_148521_000004_000003	A man may be the equal of all his countrymen save one, who is the master of all without distinction, and who selects equally from among them all the agents of his power.	A man may be the equal of all his countrymen save one, who is the master of all without distinction, and who selects equally from among them all the agents of his power.	true	208.76	220.87	21.348217
2240_148521_000004_000004	Several other combinations might be easily imagined, by which very great equality would be united to institutions more or less free, or even to institutions wholly without freedom. Although men cannot become absolutely equal unless they be entirely free, and consequently equality, pushed to its furthest extent, may be confounded with freedom, yet there is good reason for distinguishing the one from the other.	Several other combinations might be easily imagined, by which very great equality would be united to institutions more or less free, or even to institutions wholly without freedom. Although men cannot become absolutely equal unless they be entirely free, and consequently equality, pushed to its furthest extent, may be confounded with freedom, yet there is good reason for distinguishing the one from the other.	true	221.6	251.59	22.998922
2240_148521_000004_000005	The taste which men have for liberty, and that which they feel for equality, are, in fact, two different things; and I am not afraid to add that, amongst democratic nations, they are two unequal things.	The taste which men have for liberty, and that which they feel for equality, are, in fact, two different things; and I am not afraid to add that, amongst democratic nations, they are two unequal things.	false	252.26	267.55	24.521772
2240_148521_000005_000000	Upon close inspection, it will be seen that there is in every age some peculiar and preponderating fact with which all others are connected; this fact almost always gives birth to some pregnant idea or some ruling passion, which attracts to itself, and bears away in its course, all the feelings and opinions of the time: it is like a great stream, towards which each of the surrounding rivulets seems to flow.	Upon close inspection, it will be seen that there is in every age some peculiar and preponderating fact with which all others are connected; this fact almost always gives birth to some pregnant idea or some ruling passion, which attracts to itself, and bears away in its course, all the feelings and opinions of the time: it is like a great stream, towards which each of the surrounding rivulets seems to flow.	false	268.01	299.26	23.066301
2240_148521_000005_000001	Freedom has appeared in the world at different times and under various forms; it has not been exclusively bound to any social condition, and it is not confined to democracies.	Freedom has appeared in the world at different times and under various forms; it has not been exclusively bound to any social condition, and it is not confined to democracies.	false	299.9	313.47	22.53836
2240_148521_000005_000002	Freedom cannot, therefore, form the distinguishing characteristic of democratic ages.	Freedom cannot, therefore, form the distinguishing characteristic of democratic ages.	true	313.47	320.05	24.83458
2240_148521_000005_000003	The peculiar and preponderating fact which marks those ages as its own is the equality of conditions; the ruling passion of men in those periods is the love of this equality.	The peculiar and preponderating fact which marks those ages as its own is the equality of conditions; the ruling passion of men in those periods is the love of this equality.	false	320.9	333.31	22.875011
2240_148521_000005_000004	Ask not what singular charm the men of democratic ages find in being equal, or what special reasons they may have for clinging so tenaciously to equality rather than to the other advantages which society holds out to them: equality is the distinguishing characteristic of the age they live in; that, of itself, is enough to explain that they prefer it to all the rest.	Ask not what singular charm the men of democratic ages find in being equal, or what special reasons they may have for clinging so tenaciously to equality rather than to the other advantages which society holds out to them: equality is the distinguishing characteristic of the age they live in; that, of itself, is enough to explain that they prefer it to all the rest.	true	334.07	359.26	23.52096
2240_148521_000006_000000	But independently of this reason there are several others, which will at all times habitually lead men to prefer equality to freedom.	But independently of this reason there are several others, which will at all times habitually lead men to prefer equality to freedom.	true	359.87	370.09	23.73954
2240_148521_000006_000001	If a people could ever succeed in destroying, or even in diminishing, the equality which prevails in its own body, this could only be accomplished by long and laborious efforts.	If a people could ever succeed in destroying, or even in diminishing, the equality which prevails in its own body, this could only be accomplished by long and laborious efforts.	false	371.69	384.85	20.841574
2240_148521_000006_000002	Its social condition must be modified, its laws abolished, its opinions superseded, its habits changed, its manners corrupted.	Its social condition must be modified, its laws abolished, its opinions superseded, its habits changed, its manners corrupted.	true	385.61	396.82	21.069881
2240_148521_000006_000003	But political liberty is more easily lost; to neglect to hold it fast is to allow it to escape.	But political liberty is more easily lost; to neglect to hold it fast is to allow it to escape.	true	397.58	406.3	22.101429
2240_148521_000006_000004	Men therefore not only cling to equality because it is dear to them; they also adhere to it because they think it will last forever.	Men therefore not only cling to equality because it is dear to them; they also adhere to it because they think it will last forever.	true	406.73	415.57	22.043837
