8506_287660_000002_000000	ARRIVAL FROM VIRGINIA, 1859.	ARRIVAL FROM VIRGINIA, eighteen fifty nine.
8506_287660_000003_000000	JAMES TAYLOR, ALBERT GROSS, AND JOHN GRINAGE.	james TAYLOR, ALBERT GROSS, AND john GRINAGE.
8506_287660_000004_000000	To see mere lads, not twenty-one years of age, smart enough to outwit the very shrewdest and wisest slave-holders of Virginia was very gratifying.	To see mere lads, not twenty one years of age, smart enough to outwit the very shrewdest and wisest slave holders of Virginia was very gratifying.
8506_287660_000004_000001	The young men composing this arrival were of this keen-sighted order.	The young men composing this arrival were of this keen sighted order.
8506_287660_000005_000000	James was only a little turned of twenty, of a yellow complexion, and intelligent.	james was only a little turned of twenty, of a yellow complexion, and intelligent.
8506_287660_000005_000002	He said that he had been used tolerable well, not so bad as many had been used.	He said that he had been used tolerable well, not so bad as many had been used.
8506_287660_000005_000003	James was learning the carpenter trade; but he was anxious to obtain his freedom, and finding his two companions true on the main question, in conjunction with them he contrived a plan of escape, and 'took out.' His father and mother, Harrison and Jane Taylor, were left at Fredericksburg to mourn the absence of their son.	james was learning the carpenter trade; but he was anxious to obtain his freedom, and finding his two companions true on the main question, in conjunction with them he contrived a plan of escape, and 'took out.' His father and mother, Harrison and Jane Taylor, were left at Fredericksburg to mourn the absence of their son.
8506_287660_000006_000002	Albert testified that he was a bad man.	Albert testified that he was a bad man.
8506_287660_000007_000000	John Grinage was only twenty, a sprightly, active young man, of a brown color.	john Grinage was only twenty, a sprightly, active young man, of a brown color.
8506_287660_000007_000001	He came from Middle Neck, Cecil county, where he had served under William Flintham, a farmer.	He came from Middle Neck, Cecil county, where he had served under William Flintham, a farmer.
8506_287660_000009_000000	AND OTHER PLACES.	AND OTHER PLACES.
8506_287660_000010_000000	JAMES ANDY WILKINS, and wife LUCINDA, with their little boy, CHARLES, CHARLES HENRY GROSS, A WOMAN with her TWO CHILDREN--one in her arms--JOHN BROWN, JOHN ROACH, and wife LAMBY, and HENRY SMALLWOOD.	james ANDY WILKINS, and wife LUCINDA, with their little boy, CHARLES, CHARLES HENRY GROSS, A WOMAN with her TWO CHILDREN-one in her arms-john BROWN, john ROACH, and wife LAMBY, and HENRY SMALLWOOD.
8506_287660_000011_000000	The above-named passengers did not all come from the same place, or exactly at the same time; but for the sake of convenience they are thus embraced under a general head.	The above named passengers did not all come from the same place, or exactly at the same time; but for the sake of convenience they are thus embraced under a general head.
