5635_44582_000002_000000	CONCENTRATION IN DELIVERY	CONCENTRATION IN DELIVERY
5635_44582_000003_000000	Attention is the microscope of the mental eye.	Attention is the microscope of the mental eye.
5635_44582_000003_000001	Its power may be high or low; its field of view narrow or broad.	Its power may be high or low; its field of view narrow or broad.
5635_44582_000003_000002	When high power is used attention is confined within very circumscribed limits, but its action is exceedingly intense and absorbing.	When high power is used attention is confined within very circumscribed limits, but its action is exceedingly intense and absorbing.
5635_44582_000005_000000	Try to rub the top of your head forward and backward at the same time that you are patting your chest.	Try to rub the top of your head forward and backward at the same time that you are patting your chest.
5635_44582_000005_000001	Unless your powers of cooerdination are well developed you will find it confusing, if not impossible.	Unless your powers of cooerdination are well developed you will find it confusing, if not impossible.
5635_44582_000005_000002	The brain needs special training before it can do two or more things efficiently at the same instant.	The brain needs special training before it can do two or more things efficiently at the same instant.
5635_44582_000006_000000	Whatever is the psychological truth of this contention it is undeniable that the mind measurably loses grip on one idea the moment the attention is projected decidedly ahead to a second or a third idea.	Whatever is the psychological truth of this contention it is undeniable that the mind measurably loses grip on one idea the moment the attention is projected decidedly ahead to a second or a third idea.
5635_44582_000007_000001	In a well-prepared written speech the emphatic word usually comes at one end of the sentence.	In a well prepared written speech the emphatic word usually comes at one end of the sentence.
5635_44582_000007_000002	But an emphatic word needs emphatic expression, and this is precisely what it does not get when concentration flags by leaping too soon to that which is next to be uttered.	But an emphatic word needs emphatic expression, and this is precisely what it does not get when concentration flags by leaping too soon to that which is next to be uttered.
5635_44582_000007_000003	Concentrate all your mental energies on the present sentence.	Concentrate all your mental energies on the present sentence.
5635_44582_000007_000004	Remember that the mind of your audience follows yours very closely, and if you withdraw your attention from what you are saying to what you are going to say, your audience will also withdraw theirs.	Remember that the mind of your audience follows yours very closely, and if you withdraw your attention from what you are saying to what you are going to say, your audience will also withdraw theirs.
5635_44582_000007_000005	They may not do so consciously and deliberately, but they will surely cease to give importance to the things that you yourself slight.	They may not do so consciously and deliberately, but they will surely cease to give importance to the things that you yourself slight.
5635_44582_000007_000006	It is fatal to either the actor or the speaker to cross his bridges too soon.	It is fatal to either the actor or the speaker to cross his bridges too soon.
5635_44582_000008_000001	Let it come from its proper source--within yourself.	Let it come from its proper source-within yourself.
5635_44582_000008_000002	You cannot deliver a broadside without concentrated force--that is what produces the explosion.	You cannot deliver a broadside without concentrated force-that is what produces the explosion.
5635_44582_000008_000004	Divide your attention and you divide your power.	Divide your attention and you divide your power.
5635_44582_000010_000000	"What do you read, my lord?" Hamlet replied, "Words.	"What do you read, my lord?" Hamlet replied, "Words.
5635_44582_000010_000001	Words.	Words.
5635_44582_000010_000002	Words." That is a world-old trouble.	Words." That is a world old trouble.
5635_44582_000010_000004	Did you ever notice how hollow a memorized speech usually sounds?	Did you ever notice how hollow a memorized speech usually sounds?
5635_44582_000010_000005	You have listened to the ranting, mechanical cadence of inefficient actors, lawyers and preachers.	You have listened to the ranting, mechanical cadence of inefficient actors, lawyers and preachers.
5635_44582_000010_000006	Their trouble is a mental one--they are not concentratedly thinking thoughts that cause words to issue with sincerity and conviction, but are merely enunciating word-sounds mechanically.	Their trouble is a mental one-they are not concentratedly thinking thoughts that cause words to issue with sincerity and conviction, but are merely enunciating word sounds mechanically.
5635_44582_000010_000007	Painful experience alike to audience and to speaker!	Painful experience alike to audience and to speaker!
5635_44582_000010_000008	A parrot is equally eloquent.	A parrot is equally eloquent.
5635_44582_000010_000010	He laments thus pointedly:	He laments thus pointedly:
5635_44582_000011_000000	My words fly up, my thoughts remain below: Words without thoughts never to heaven go.	My words fly up, my thoughts remain below: Words without thoughts never to heaven go.
5635_44582_000012_000000	The truth is, that as a speaker your words must be born again every time they are spoken, then they will not suffer in their utterance, even though perforce committed to memory and repeated, like Dr. Russell Conwell's lecture, "Acres of Diamonds," five thousand times.	The truth is, that as a speaker your words must be born again every time they are spoken, then they will not suffer in their utterance, even though perforce committed to memory and repeated, like dr Russell Conwell's lecture, "Acres of Diamonds," five thousand times.
