6643_67858_000004_000000	CHAPTER XV	CHAPTER fifteen
6643_67858_000008_000000	Negroes were at work on the wharf loading bales of cotton on a big ship.	Negroes were at work on the wharf loading bales of cotton on a big ship.
6643_67858_000008_000001	They were singing as they worked, and Sylvia resolved to remember the words of the song:	They were singing as they worked, and Sylvia resolved to remember the words of the song:
6643_67858_000011_000000	Mr. Fulton came to meet them and helped them on board the boat.	mr Fulton came to meet them and helped them on board the boat.
6643_67858_000011_000001	As the Butterfly made its way out into the channel the little girls looked back at the long water-front, where lay many vessels from far-off ports.	As the Butterfly made its way out into the channel the little girls looked back at the long water front, where lay many vessels from far off ports.
6643_67858_000011_000002	In the distance they could see the spire of St. Philip's, one of the historic churches of Charleston, and everywhere fluttered the palmetto flag.	In the distance they could see the spire of saint Philip's, one of the historic churches of Charleston, and everywhere fluttered the palmetto flag.
6643_67858_000012_000000	Sylvia sat in the stern beside her father, and very soon the tiller was in her hand and she was shaping the boat's course toward the forts. Grace watched her admiringly.	Sylvia sat in the stern beside her father, and very soon the tiller was in her hand and she was shaping the boat's course toward the forts. Grace watched her admiringly.
6643_67858_000013_000000	"I believe you could steer in the dark," she declared.	"I believe you could steer in the dark," she declared.
6643_67858_000014_000000	"Of course she could if she had a compass and was familiar with the stars," said Mr. Fulton; and he called Grace's attention to the compass fastened securely near Sylvia's seat, and explained the rules of navigation.	"Of course she could if she had a compass and was familiar with the stars," said mr Fulton; and he called Grace's attention to the compass fastened securely near Sylvia's seat, and explained the rules of navigation.
6643_67858_000015_000000	"Is that the way the big ships know how to find their harbors?" asked Grace, when Mr. Fulton told her of the stars, and how the pilots set their course.	"Is that the way the big ships know how to find their harbors?" asked Grace, when mr Fulton told her of the stars, and how the pilots set their course.
6643_67858_000016_000000	"Yes, and if Sylvia understood how to steer by the compass she could steer the Butterfly as well at night as she can now."	"Yes, and if Sylvia understood how to steer by the compass she could steer the Butterfly as well at night as she can now."
6643_67858_000018_000000	There had been many changes at Fort Moultrie since Sylvia's last visit. A deep ditch had been dug between the fort and the sand-bars, and many workmen were busy in strengthening the defences, and Sylvia and Grace wondered why so many soldiers were stationed along the parapet.	There had been many changes at Fort Moultrie since Sylvia's last visit. A deep ditch had been dug between the fort and the sand bars, and many workmen were busy in strengthening the defences, and Sylvia and Grace wondered why so many soldiers were stationed along the parapet.
6643_67858_000019_000000	Captain Carleton seemed very glad to welcome them, and sent a soldier to escort the girls to the officers' quarters, while Mr. Fulton went in search of Major Anderson.	Captain Carleton seemed very glad to welcome them, and sent a soldier to escort the girls to the officers' quarters, while mr Fulton went in search of Major Anderson.
6643_67858_000019_000001	Sylvia wondered if she would have a chance to tell Mrs. Carleton that she had safely delivered the message.	Sylvia wondered if she would have a chance to tell mrs Carleton that she had safely delivered the message.
6643_67858_000020_000000	Mrs. Carleton was in her pleasant sitting-room and declared that she had been wishing for company, and held up some strips of red and white bunting.	mrs Carleton was in her pleasant sitting room and declared that she had been wishing for company, and held up some strips of red and white bunting.
6643_67858_000020_000001	"I am making a new flag for Fort Sumter," she said.	"I am making a new flag for Fort Sumter," she said.
6643_67858_000022_000000	"Yes, indeed!	"Yes, indeed!
6643_67858_000022_000001	One of the first stars on the flag was for South Carolina," replied Mrs. Carleton, "and this very fort was named for a defender of America's rights."	One of the first stars on the flag was for South Carolina," replied mrs Carleton, "and this very fort was named for a defender of America's rights."
6643_67858_000023_000000	While Grace and Sylvia were so pleasantly occupied Estralla had wandered out, crossed the bridge which connected the officers' quarters with the fort, and now found herself near the landing-place, so that when Mrs. Carleton made the girls a cup of hot chocolate and looked about to give Estralla her share, the little colored girl was not to be seen.	While Grace and Sylvia were so pleasantly occupied Estralla had wandered out, crossed the bridge which connected the officers' quarters with the fort, and now found herself near the landing place, so that when mrs Carleton made the girls a cup of hot chocolate and looked about to give Estralla her share, the little colored girl was not to be seen.
6643_67858_000024_000000	"I'll call her," said Sylvia, and ran out on the veranda.	"I'll call her," said Sylvia, and ran out on the veranda.
6643_67858_000025_000000	No response came to her calls, so she went down the steps and along the walk which led to the sand-bars, past the houses and barracks on Sullivan's island.	No response came to her calls, so she went down the steps and along the walk which led to the sand bars, past the houses and barracks on Sullivan's island.
6643_67858_000025_000001	No one was in sight whom she could ask if Estralla had passed that way.	No one was in sight whom she could ask if Estralla had passed that way.
6643_67858_000025_000002	She climbed a small sand-hill covered with stunted little trees and looked about, but could see no trace of the little darky.	She climbed a small sand hill covered with stunted little trees and looked about, but could see no trace of the little darky.
6643_67858_000025_000003	It had not occurred to Sylvia that Estralla would go back to the fort.	It had not occurred to Sylvia that Estralla would go back to the fort.
6643_67858_000026_000000	"Oh, dear!	"Oh, dear!
6643_67858_000026_000001	I wonder where she can be," thought Sylvia, calling "Estralla!	I wonder where she can be," thought Sylvia, calling "Estralla!
6643_67858_000028_000000	"Probably Estralla is there before this, and they will be looking for me," she thought, and climbed another sandy slope, expecting to see the houses and barracks directly in front of her.	"Probably Estralla is there before this, and they will be looking for me," she thought, and climbed another sandy slope, expecting to see the houses and barracks directly in front of her.
6643_67858_000028_000001	But she found herself facing the open sea, and look which way she would there was only shore, sand heaps and blue water.	But she found herself facing the open sea, and look which way she would there was only shore, sand heaps and blue water.
6643_67858_000032_000000	It was rather difficult walking.	It was rather difficult walking.
6643_67858_000034_000000	"Of course I can't be lost, because I know exactly where I am.	"Of course I can't be lost, because I know exactly where I am.
6643_67858_000035_000002	She thought of the little compass on board the Butterfly, and wondered if a compass would help anyone find her way on land as well as on the sea.	She thought of the little compass on board the Butterfly, and wondered if a compass would help anyone find her way on land as well as on the sea.
6643_67858_000035_000003	At last she began to call aloud: "Estralla!	At last she began to call aloud: "Estralla!
6643_67858_000036_000000	It was nearly dark before she gave up trying to find her way to the fort, and, shivering and half afraid, crawled under the scraggly branches of some stunted trees on a sheltered slope.	It was nearly dark before she gave up trying to find her way to the fort, and, shivering and half afraid, crawled under the scraggly branches of some stunted trees on a sheltered slope.
