3448_5417_000004_000000	CHAPTER XII.	CHAPTER twelve.
3448_5417_000005_000000	THE CONFLICT.	THE CONFLICT.
3448_5417_000006_000001	He was not wanting in personal courage, and therefore, with a well-selected body of sailors and marines, and one or two officers, he quietly pulled away from the ship's side, under cover of the night, and landed at the proposed spot.	He was not wanting in personal courage, and therefore, with a well selected body of sailors and marines, and one or two officers, he quietly pulled away from the ship's side, under cover of the night, and landed at the proposed spot.
3448_5417_000007_000000	On the whole body pressed in silence, through a tangled and narrow path, being more than once startled by the growl of some wild animal, whose haunts they disturbed.	On the whole body pressed in silence, through a tangled and narrow path, being more than once startled by the growl of some wild animal, whose haunts they disturbed.
3448_5417_000007_000001	It was weary struggling by this path through the wood, but it was the only way to approach the desired point by land. Maud hesitated not, but stole or glided through the tangled undergrowth, as though she had passed her whole life-time in the deep, tangled ways of the jungle.	It was weary struggling by this path through the wood, but it was the only way to approach the desired point by land. Maud hesitated not, but stole or glided through the tangled undergrowth, as though she had passed her whole life time in the deep, tangled ways of the jungle.
3448_5417_000008_000001	Hark! those voices are not from the tongues of natives; that is English which they speak.	Hark! those voices are not from the tongues of natives; that is English which they speak.
3448_5417_000009_000000	"Hist! hist!" whispered the Quadroon, "we are almost upon them!"	"Hist! hist!" whispered the Quadroon, "we are almost upon them!"
3448_5417_000010_000000	"In which direction?" asked the English officer.	"In which direction?" asked the English officer.
3448_5417_000012_000000	"Yes."	"Yes."
3448_5417_000013_000000	"That is the river's bed, and they lie on board their craft, moored close to us."	"That is the river's bed, and they lie on board their craft, moored close to us."
3448_5417_000014_000000	"How many do they number?"	"How many do they number?"
3448_5417_000015_000000	"I know not."	"I know not."
3448_5417_000016_000000	"It is not important," continued the Englishman, turning to his followers, and in a low voice bidding them look to their weapons, for the game was near at hand.	"It is not important," continued the Englishman, turning to his followers, and in a low voice bidding them look to their weapons, for the game was near at hand.
3448_5417_000017_000000	A few more steps brought the party to the skirts of the thicket, where it bordered on a small clearing, opening upon the river, and looking across which--while they were themselves screened by the jungle--they discovered the dark hull of the "Sea Witch," with her lower masts and their standing rigging.	A few more steps brought the party to the skirts of the thicket, where it bordered on a small clearing, opening upon the river, and looking across which-while they were themselves screened by the jungle-they discovered the dark hull of the "Sea Witch," with her lower masts and their standing rigging.
3448_5417_000017_000001	The vessel was moored close to the shore, with which a portable gangway connected it.	The vessel was moored close to the shore, with which a portable gangway connected it.
3448_5417_000017_000003	Voices were heard issuing from the fore hatch, and two or three petty officers were seated about the entrance to the cabin, smoking cigars and pipes, all unconscious of any danger.	Voices were heard issuing from the fore hatch, and two or three petty officers were seated about the entrance to the cabin, smoking cigars and pipes, all unconscious of any danger.
3448_5417_000018_000000	"There is your prey!	"There is your prey!
3448_5417_000018_000001	Spring upon it, and be quick, for they will fight like mad, and he will lay a dozen of you by the heels before you take the 'Sea Witch!'" said Maud.	Spring upon it, and be quick, for they will fight like mad, and he will lay a dozen of you by the heels before you take the 'Sea Witch!'" said Maud.
3448_5417_000021_000000	This division of his forces was the best manouvre he could possibly make, and succeeded admirably, since his own people outnumbered the slavers, and by dividing them he strengthened his own power and weakened theirs.	This division of his forces was the best manouvre he could possibly make, and succeeded admirably, since his own people outnumbered the slavers, and by dividing them he strengthened his own power and weakened theirs.
3448_5417_000021_000001	Once more upon their deck, the hand-to-hand battle was short, bloody and decisive, until towards its close, Captain Bramble found himself driven into the forecastle with a number of his followers, and at the same moment saw the mate of the "Sea Witch," with those of his people that were left alive hastening to embark in a quarterboat, and pull away from the vessel's side with great speed.	Once more upon their deck, the hand to hand battle was short, bloody and decisive, until towards its close, Captain Bramble found himself driven into the forecastle with a number of his followers, and at the same moment saw the mate of the "Sea Witch," with those of his people that were left alive hastening to embark in a quarterboat, and pull away from the vessel's side with great speed.
3448_5417_000022_000001	Scarcely had they gained the shade of the thick undergrowth, when a report like that of a score of cannons rang upon the night air, and high in the air soared a body of flame and wreck in terrific confusion.	Scarcely had they gained the shade of the thick undergrowth, when a report like that of a score of cannons rang upon the night air, and high in the air soared a body of flame and wreck in terrific confusion.
