1160_139336_000005_000000	OF THE ORIGIN AND DESIGN OF GOVERNMENT IN GENERAL, WITH CONCISE REMARKS ON THE ENGLISH CONSTITUTION	OF THE ORIGIN AND DESIGN OF GOVERNMENT IN GENERAL, WITH CONCISE REMARKS ON THE ENGLISH CONSTITUTION
1160_139336_000006_000001	Society is produced by our wants, and government by wickedness; the former promotes our happiness POSITIVELY by uniting our affections, the latter NEGATIVELY by restraining our vices.	Society is produced by our wants, and government by wickedness; the former promotes our happiness POSITIVELY by uniting our affections, the latter NEGATIVELY by restraining our vices.
1160_139336_000006_000003	The first is a patron, the last a punisher.	The first is a patron, the last a punisher.
1160_139336_000007_000000	Society in every state is a blessing, but government even in its best state is but a necessary evil; in its worst state an intolerable one; for when we suffer, or are exposed to the same miseries BY A GOVERNMENT, which we might expect in a country WITHOUT GOVERNMENT, our calamity is heightened by reflecting that we furnish the means by which we suffer.	Society in every state is a blessing, but government even in its best state is but a necessary evil; in its worst state an intolerable one; for when we suffer, or are exposed to the same miseries BY A GOVERNMENT, which we might expect in a country WITHOUT GOVERNMENT, our calamity is heightened by reflecting that we furnish the means by which we suffer.
1160_139336_000007_000001	Government, like dress, is the badge of lost innocence; the palaces of kings are built on the ruins of the bowers of paradise.	Government, like dress, is the badge of lost innocence; the palaces of kings are built on the ruins of the bowers of paradise.
1160_139336_000008_000000	In order to gain a clear and just idea of the design and end of government, let us suppose a small number of persons settled in some sequestered part of the earth, unconnected with the rest, they will then represent the first peopling of any country, or of the world.	In order to gain a clear and just idea of the design and end of government, let us suppose a small number of persons settled in some sequestered part of the earth, unconnected with the rest, they will then represent the first peopling of any country, or of the world.
1160_139336_000008_000004	Disease, nay even misfortune would be death, for though neither might be mortal, yet either would disable him from living, and reduce him to a state in which he might rather be said to perish than to die.	Disease, nay even misfortune would be death, for though neither might be mortal, yet either would disable him from living, and reduce him to a state in which he might rather be said to perish than to die.
1160_139336_000010_000002	In this first parliament every man, by natural right, will have a seat.	In this first parliament every man, by natural right, will have a seat.
1160_139336_000011_000003	And as this frequent interchange will establish a common interest with every part of the community, they will mutually and naturally support each other, and on this (not on the unmeaning name of king) depends the STRENGTH OF GOVERNMENT, AND THE HAPPINESS OF THE GOVERNED.	And as this frequent interchange will establish a common interest with every part of the community, they will mutually and naturally support each other, and on this (not on the unmeaning name of king) depends the STRENGTH OF GOVERNMENT, AND THE HAPPINESS OF THE GOVERNED.
1160_139336_000013_000003	But that it is imperfect, subject to convulsions, and incapable of producing what it seems to promise, is easily demonstrated.	But that it is imperfect, subject to convulsions, and incapable of producing what it seems to promise, is easily demonstrated.
1160_139336_000014_000000	Absolute governments (tho' the disgrace of human nature) have this advantage with them, that they are simple; if the people suffer, they know the head from which their suffering springs, know likewise the remedy, and are not bewildered by a variety of causes and cures.	Absolute governments (tho' the disgrace of human nature) have this advantage with them, that they are simple; if the people suffer, they know the head from which their suffering springs, know likewise the remedy, and are not bewildered by a variety of causes and cures.
