1160_139336_000000_000000	THE AUTHOR	THE AUTHOR	false	0	0.48	2
1160_139336_000001_000000	POSTSCRIPT TO PREFACE IN THE THIRD EDITION	POSTSCRIPT TO PREFACE IN THE THIRD EDITION	false	0.48	2.19	18.89626
1160_139336_000002_000000	P. S. The Publication of this new Edition hath been delayed, with a View of taking notice (had it been necessary) of any Attempt to refute the Doctrine of Independance: As no Answer hath yet appeared, it is now presumed that none will, the Time needful for getting such a Performance ready for the Public being considerably past.	p s The Publication of this new Edition hath been delayed, with a View of taking notice (had it been necessary) of any Attempt to refute the Doctrine of Independance: As no Answer hath yet appeared, it is now presumed that none will, the Time needful for getting such a Performance ready for the Public being considerably past.	false	2.19	5.34	21.56858
1160_139336_000003_000000	Who the Author of this Production is, is wholly unnecessary to the Public, as the Object for Attention is the DOCTRINE ITSELF, not the MAN.	Who the Author of this Production is, is wholly unnecessary to the Public, as the Object for Attention is the DOCTRINE ITSELF, not the MAN.	false	5.34	8.64	21.33688
1160_139336_000003_000001	Yet it may not be unnecessary to say, That he is unconnected with any Party, and under no sort of Influence public or private, but the influence of reason and principle.	Yet it may not be unnecessary to say, That he is unconnected with any Party, and under no sort of Influence public or private, but the influence of reason and principle.	false	8.64	16.32	20.782593
1160_139336_000004_000000	Philadelphia, February 14, 1776.	Philadelphia, february fourteenth seventeen seventy six.	false	16.32	17.97	16.528982
1160_139336_000005_000000	OF THE ORIGIN AND DESIGN OF GOVERNMENT IN GENERAL, WITH CONCISE REMARKS ON THE ENGLISH CONSTITUTION	OF THE ORIGIN AND DESIGN OF GOVERNMENT IN GENERAL, WITH CONCISE REMARKS ON THE ENGLISH CONSTITUTION	true	17.97	25.09	20.789562
1160_139336_000006_000000	SOME writers have so confounded society with government, as to leave little or no distinction between them; whereas they are not only different, but have different origins.	SOME writers have so confounded society with government, as to leave little or no distinction between them; whereas they are not only different, but have different origins.	true	25.43	35.32	18.641796
1160_139336_000006_000001	Society is produced by our wants, and government by wickedness; the former promotes our happiness POSITIVELY by uniting our affections, the latter NEGATIVELY by restraining our vices.	Society is produced by our wants, and government by wickedness; the former promotes our happiness POSITIVELY by uniting our affections, the latter NEGATIVELY by restraining our vices.	true	35.45	48.46	21.40485
1160_139336_000006_000002	The one encourages intercourse, the other creates distinctions.	The one encourages intercourse, the other creates distinctions.	true	48.65	52.48	19
1160_139336_000006_000003	The first is a patron, the last a punisher.	The first is a patron, the last a punisher.	true	52.52	55.78	21.042292
1160_139336_000007_000000	Society in every state is a blessing, but government even in its best state is but a necessary evil; in its worst state an intolerable one; for when we suffer, or are exposed to the same miseries BY A GOVERNMENT, which we might expect in a country WITHOUT GOVERNMENT, our calamity is heightened by reflecting that we furnish the means by which we suffer.	Society in every state is a blessing, but government even in its best state is but a necessary evil; in its worst state an intolerable one; for when we suffer, or are exposed to the same miseries BY A GOVERNMENT, which we might expect in a country WITHOUT GOVERNMENT, our calamity is heightened by reflecting that we furnish the means by which we suffer.	true	56.15	80.59	21
1160_139336_000007_000001	Government, like dress, is the badge of lost innocence; the palaces of kings are built on the ruins of the bowers of paradise.	Government, like dress, is the badge of lost innocence; the palaces of kings are built on the ruins of the bowers of paradise.	true	80.81	89.31	21.71373
1160_139336_000007_000002	For were the impulses of conscience clear, uniform, and irresistibly obeyed, man would need no other lawgiver; but that not being the case, he finds it necessary to surrender up a part of his property to furnish means for the protection of the rest; and this he is induced to do by the same prudence which in every other case advises him out of two evils to choose the least.	For were the impulses of conscience clear, uniform, and irresistibly obeyed, man would need no other lawgiver; but that not being the case, he finds it necessary to surrender up a part of his property to furnish means for the protection of the rest; and this he is induced to do by the same prudence which in every other case advises him out of two evils to choose the least.	false	89.31	115.66	20
1160_139336_000007_000003	WHEREFORE, security being the true design and end of government, it unanswerably follows that whatever FORM thereof appears most likely to ensure it to us, with the least expence and greatest benefit, is preferable to all others.	WHEREFORE, security being the true design and end of government, it unanswerably follows that whatever FORM thereof appears most likely to ensure it to us, with the least expence and greatest benefit, is preferable to all others.	true	115.88	131.95	18.852343
1160_139336_000008_000000	In order to gain a clear and just idea of the design and end of government, let us suppose a small number of persons settled in some sequestered part of the earth, unconnected with the rest, they will then represent the first peopling of any country, or of the world.	In order to gain a clear and just idea of the design and end of government, let us suppose a small number of persons settled in some sequestered part of the earth, unconnected with the rest, they will then represent the first peopling of any country, or of the world.	true	132.23	148.84	21.719824
1160_139336_000008_000001	In this state of natural liberty, society will be their first thought.	In this state of natural liberty, society will be their first thought.	true	148.88	153.79	18
1160_139336_000008_000002	A thousand motives will excite them thereto, the strength of one man is so unequal to his wants, and his mind so unfitted for perpetual solitude, that he is soon obliged to seek assistance and relief of another, who in his turn requires the same.	A thousand motives will excite them thereto, the strength of one man is so unequal to his wants, and his mind so unfitted for perpetual solitude, that he is soon obliged to seek assistance and relief of another, who in his turn requires the same.	false	153.8	170.53	19
1160_139336_000008_000003	Four or five united would be able to raise a tolerable dwelling in the midst of a wilderness, but ONE man might labour out the common period of life without accomplishing any thing; when he had felled his timber he could not remove it, nor erect it after it was removed; hunger in the mean time would urge him from his work, and every different want call him a different way.	Four or five united would be able to raise a tolerable dwelling in the midst of a wilderness, but ONE man might labour out the common period of life without accomplishing any thing; when he had felled his timber he could not remove it, nor erect it after it was removed; hunger in the mean time would urge him from his work, and every different want call him a different way.	false	170.72	197.11	19.895302
1160_139336_000008_000004	Disease, nay even misfortune would be death, for though neither might be mortal, yet either would disable him from living, and reduce him to a state in which he might rather be said to perish than to die.	Disease, nay even misfortune would be death, for though neither might be mortal, yet either would disable him from living, and reduce him to a state in which he might rather be said to perish than to die.	true	197.15	210.79	20
1160_139336_000009_000000	This necessity, like a gravitating power, would soon form our newly arrived emigrants into society, the reciprocal blessing of which, would supersede, and render the obligations of law and government unnecessary while they remained perfectly just to each other; but as nothing but heaven is impregnable to vice, it will unavoidably happen, that in proportion as they surmount the first difficulties of emigration, which bound them together in a common cause, they will begin to relax in their duty and attachment to each other; and this remissness, will point out the necessity, of establishing some form of government to supply the defect of moral virtue.	This necessity, like a gravitating power, would soon form our newly arrived emigrants into society, the reciprocal blessing of which, would supersede, and render the obligations of law and government unnecessary while they remained perfectly just to each other; but as nothing but heaven is impregnable to vice, it will unavoidably happen, that in proportion as they surmount the first difficulties of emigration, which bound them together in a common cause, they will begin to relax in their duty and attachment to each other; and this remissness, will point out the necessity, of establishing some form of government to supply the defect of moral virtue.	true	211.16	253.005	19
1160_139336_000010_000000	Some convenient tree will afford them a State-House, under the branches of which, the whole colony may assemble to deliberate on public matters.	Some convenient tree will afford them a State House, under the branches of which, the whole colony may assemble to deliberate on public matters.	true	253.005	261.19	19
1160_139336_000010_000001	It is more than probable that their first laws will have the title only of REGULATIONS, and be enforced by no other penalty than public disesteem.	It is more than probable that their first laws will have the title only of REGULATIONS, and be enforced by no other penalty than public disesteem.	false	261.35	271.81	20.42784
1160_139336_000010_000002	In this first parliament every man, by natural right, will have a seat.	In this first parliament every man, by natural right, will have a seat.	true	271.85	276.79	21.66614
1160_139336_000011_000000	But as the colony increases, the public concerns will increase likewise, and the distance at which the members may be separated, will render it too inconvenient for all of them to meet on every occasion as at first, when their number was small, their habitations near, and the public concerns few and trifling.	But as the colony increases, the public concerns will increase likewise, and the distance at which the members may be separated, will render it too inconvenient for all of them to meet on every occasion as at first, when their number was small, their habitations near, and the public concerns few and trifling.	false	276.83	297.64	20
1160_139336_000011_000001	This will point out the convenience of their consenting to leave the legislative part to be managed by a select number chosen from the whole body, who are supposed to have the same concerns at stake which those have who appointed them, and who will act in the same manner as the whole body would act were they present.	This will point out the convenience of their consenting to leave the legislative part to be managed by a select number chosen from the whole body, who are supposed to have the same concerns at stake which those have who appointed them, and who will act in the same manner as the whole body would act were they present.	false	297.8	318.58	21
