4010_10801_000000_000000	As God lives by his own will, and we live in him, so has he given to us power to will in ourselves.	As God lives by his own will, and we live in him, so has he given to us power to will in ourselves.	false	0	1.74	19.409994
4010_10801_000000_000001	How much better should we not fare if, finding that we are standing with our heads bowed away from the good, finding that we have no feeble inclination to seek the source of our life, we should yet _will_ upwards toward God, rousing that essence of life in us, which he has given us from his own heart, to call again upon him who is our Life, who can fill the emptiest heart, rouse the deadest conscience, quicken the dullest feeling, and strengthen the feeblest will!	How much better should we not fare if, finding that we are standing with our heads bowed away from the good, finding that we have no feeble inclination to seek the source of our life, we should yet underscore will underscore upwards toward God, rousing that essence of life in us, which he has given us from his own heart, to call again upon him who is our Life, who can fill the emptiest heart, rouse the deadest conscience, quicken the dullest feeling, and strengthen the feeblest will!	false	1.74	6.15	19.81939
4010_10801_000001_000000	Then, if ever the time should come, as perhaps it must come to each of us, when all consciousness of well-being shall have vanished, when the earth shall be but a sterile promontory, and the heavens a dull and pestilent congregation of vapours, when man nor woman shall delight us more, nay, when God himself shall be but a name, and Jesus an old story, then, even then, when a Death far worse than "that phantom of grisly bone" is griping at our hearts, and having slain love, hope, faith, forces existence upon us only in agony, then, even then, we shall be able to cry out with our Lord, "My God, my God, why hast thou forsaken me?" Nor shall we die then, I think, without being able to take up his last words as well, and say, "_Father, into thy hands I commend my spirit._"	Then, if ever the time should come, as perhaps it must come to each of us, when all consciousness of well-being shall have vanished, when the earth shall be but a sterile promontory, and the heavens a dull and pestilent congregation of vapours, when man nor woman shall delight us more, nay, when God himself shall be but a name, and Jesus an old story, then, even then, when a Death far worse than "that phantom of grisly bone" is griping at our hearts, and having slain love, hope, faith, forces existence upon us only in agony, then, even then, we shall be able to cry out with our Lord, "My God, my God, why hast thou forsaken me?" Nor shall we die then, I think, without being able to take up his last words as well, and say, "underscore Father, into thy hands I commend my spirit.underscore"	false	6.15	12.765	26.682934
4010_10801_000002_000000	THE HANDS OF THE FATHER.	THE HANDS OF THE FATHER.	true	12.765	14.76	14
4010_10801_000003_000000	"_Father, into thy hand I commend my spirit_."--St Luke xxiii.	"underscore Father, into thy hand I commend my spirit underscore."--saint Luke x x i i i.	false	14.76	21.57	18.943851
4010_10801_000003_000001	46.	forty six.	false	21.57	23.02	19.091805
4010_10801_000004_000000	Neither St Matthew nor St Mark tells us of any words uttered by our Lord after the _Eloi_.	Neither saint Matthew nor saint Mark tells us of any words uttered by our Lord after the underscore Eloi underscore.	false	24.17	30.75	17.923986
4010_10801_000004_000001	They both, along with St Luke, tell us of a cry with a loud voice, and the giving up of the ghost; between which cry and the giving up, St Luke records the words, "Father, into thy hands I commend my spirit." St Luke says nothing of the Eloi prayer of desolation.	They both, along with saint Luke, tell us of a cry with a loud voice, and the giving up of the ghost; between which cry and the giving up, saint Luke records the words, "Father, into thy hands I commend my spirit." saint Luke says nothing of the Eloi prayer of desolation.	false	30.75	48.85	20.898893
4010_10801_000004_000002	St John records neither the _Eloi_, nor the _Father into thy hands_, nor the loud cry.	saint John records neither the underscore Eloi underscore, nor the underscore Father into thy hands underscore, nor the loud cry.	false	49.19	55.12	19.795685
4010_10801_000004_000003	He tells us only that after Jesus had received the vinegar, he said, "_It is finished_," and bowed his head, and gave up the ghost.	He tells us only that after Jesus had received the vinegar, he said, "underscore It is finished underscore," and bowed his head, and gave up the ghost.	false	55.55	64.21	20.83456
4010_10801_000005_000000	Will the Lord ever tell us why he cried so?	Will the Lord ever tell us why he cried so?	true	65.12	68.14	17
4010_10801_000005_000001	Was it the cry of relief at the touch of death?	Was it the cry of relief at the touch of death?	true	69.05	72.4	22.341658
4010_10801_000005_000002	Was it the cry of victory?	Was it the cry of victory?	true	72.83	74.86	21.1933
4010_10801_000005_000003	Was it the cry of gladness that he had endured to the end?	Was it the cry of gladness that he had endured to the end?	true	75.2	78.88	16
4010_10801_000005_000004	Or did the Father look out upon him in answer to his _My God_, and the blessedness of it make him cry aloud because he could not smile?	Or did the Father look out upon him in answer to his underscore My God underscore, and the blessedness of it make him cry aloud because he could not smile?	false	79.1	87.37	17
4010_10801_000005_000005	Was such his condition now that the greatest gladness of the universe could express itself only in a loud cry?	Was such his condition now that the greatest gladness of the universe could express itself only in a loud cry?	false	88.13	95.11	14
4010_10801_000005_000006	Or was it but the last wrench of pain ere the final repose began?	Or was it but the last wrench of pain ere the final repose began?	false	95.54	101.08	20.27393
4010_10801_000005_000007	It may have been all in one.	It may have been all in one.	true	102.11	104.44	20
4010_10801_000005_000008	But never surely in all books, in all words of thinking men, can there be so much expressed as lay unarticulated in that cry of the Son of God.	But never surely in all books, in all words of thinking men, can there be so much expressed as lay unarticulated in that cry of the Son of God.	true	105.26	115.72	18
4010_10801_000005_000009	Now had he made his Father Lord no longer in the might of making and loving alone, but Lord in right of devotion and deed of love.	Now had he made his Father Lord no longer in the might of making and loving alone, but Lord in right of devotion and deed of love.	true	115.97	125.68	17
4010_10801_000005_000010	Now should inward sonship and the spirit of glad sacrifice be born in the hearts of men; for the divine obedience was perfected by suffering.	Now should inward sonship and the spirit of glad sacrifice be born in the hearts of men; for the divine obedience was perfected by suffering.	true	126.38	136.18	17
4010_10801_000005_000011	He had been amongst his brethren what he would have his brethren be.	He had been amongst his brethren what he would have his brethren be.	true	136.79	141.4	16
4010_10801_000005_000012	He had done for them what he would have them do for God and for each other.	He had done for them what he would have them do for God and for each other.	true	141.62	145.81	16.578115
4010_10801_000005_000013	God was henceforth inside and beneath them, as well as around and above them, suffering with them and for them, giving them all he had, his very life-being, his essence of existence, what best he loved, what best he was.	God was henceforth inside and beneath them, as well as around and above them, suffering with them and for them, giving them all he had, his very life being, his essence of existence, what best he loved, what best he was.	true	146.24	164.65	19.23649
4010_10801_000005_000014	He had been among them, their God-brother.	He had been among them, their God brother.	true	165.23	168.31	17.965502
4010_10801_000005_000015	And the mighty story ends with a cry.	And the mighty story ends with a cry.	true	168.53	172.3	20
4010_10801_000006_000000	Then the cry meant, _It is finished_; the cry meant, _Father, into thy hands I commend my spirit_.	Then the cry meant, underscore It is finished underscore; the cry meant, underscore Father, into thy hands I commend my spirit underscore.	false	173.45	183.12	20.221506
4010_10801_000006_000001	Every highest human act is just a giving back to God of that which he first gave to us.	Every highest human act is just a giving back to God of that which he first gave to us.	true	183.12	190.21	21
4010_10801_000006_000002	"Thou God hast given me: here again is thy gift.	"Thou God hast given me: here again is thy gift.	false	190.61	194.2	17.812326
4010_10801_000006_000003	I send my spirit home." Every act of worship is a holding up to God of what God hath made us.	I send my spirit home." Every act of worship is a holding up to God of what God hath made us.	false	194.27	201.4	20.618715
4010_10801_000006_000004	"Here, Lord, look what I have got: feel with me in what thou hast made me, in this thy own bounty, my being.	"Here, Lord, look what I have got: feel with me in what thou hast made me, in this thy own bounty, my being.	false	201.71	209.62	21.081116
4010_10801_000006_000005	I am thy child, and know not how to thank thee save by uplifting the heave-offering of the overflowing of thy life, and calling aloud, 'It is thine: it is mine.	I am thy child, and know not how to thank thee save by uplifting the heave offering of the overflowing of thy life, and calling aloud, 'It is thine: it is mine.	false	210.26	222.04	21.305822
4010_10801_000006_000006	I am thine, and therefore I am mine.'" The vast operations of the spiritual as of the physical world, are simply a turning again to the source.	I am thine, and therefore I am mine.'" The vast operations of the spiritual as of the physical world, are simply a turning again to the source.	true	222.2	234.37	20.565086
