7705_101580_000000_000001	"I'll STAY--ALWAYS"	"I'll STAY-ALWAYS"
7705_101580_000001_000001	By and by the rain ceased and he could tell by the dim whiteness of the tent roof that the clouds must have been swept away from before the moon, then just past the full.	By and by the rain ceased and he could tell by the dim whiteness of the tent roof that the clouds must have been swept away from before the moon, then just past the full.
7705_101580_000002_000002	He studied critically the wide sweep of the river.	He studied critically the wide sweep of the river.
7705_101580_000002_000003	He might almost have thought it the Missouri itself, it stretched so far from bank to bank; indeed, it seemed to know no banks but the hills themselves.	He might almost have thought it the Missouri itself, it stretched so far from bank to bank; indeed, it seemed to know no banks but the hills themselves.
7705_101580_000002_000004	He turned toward where the light had shone among the cottonwoods below; there was nothing but a great blot of shade that told him nothing.	He turned toward where the light had shone among the cottonwoods below; there was nothing but a great blot of shade that told him nothing.
7705_101580_000003_000000	A step sounded just behind.	A step sounded just behind.
7705_101580_000003_000001	A hand, the hand of Park, rested upon his shoulder.	A hand, the hand of Park, rested upon his shoulder.
7705_101580_000003_000003	Was yuh thinking about riding down there?"	Was yuh thinking about riding down there?"
7705_101580_000004_000000	"Yes," Thurston answered simply.	"Yes," Thurston answered simply.
7705_101580_000004_000001	"Are you coming?"	"Are you coming?"
7705_101580_000005_000000	"Sure," Park assented.	"Sure," Park assented.
7705_101580_000006_000000	They got upon their horses and headed down the trail to the Stevens place.	They got upon their horses and headed down the trail to the Stevens place.
7705_101580_000006_000001	Thurston would have put Sunfish to a run, but Park checked him.	Thurston would have put Sunfish to a run, but Park checked him.
7705_101580_000007_000000	"Go easy," he admonished.	"Go easy," he admonished.
7705_101580_000008_000000	Down the hill they stopped at the edge of a raging torrent and strained their eyes to see what lay on the other side.	Down the hill they stopped at the edge of a raging torrent and strained their eyes to see what lay on the other side.
7705_101580_000008_000001	While they looked, a light twinkled out from among the tree-tops.	While they looked, a light twinkled out from among the tree tops.
7705_101580_000008_000002	Thurston caught his breath sharply.	Thurston caught his breath sharply.
7705_101580_000009_000000	"She's upstairs," he said, and his voice sounded strained and unnatural. "It's just a loft where they store stuff." He started to ride into the flood.	"She's upstairs," he said, and his voice sounded strained and unnatural. "It's just a loft where they store stuff." He started to ride into the flood.
7705_101580_000010_000000	"Come on back here, yuh chump!" Park roared.	"Come on back here, yuh chump!" Park roared.
7705_101580_000011_000002	A black, tar-papered shack went scudding past, lodged upon a ridge where the water was shallower, and sat there swaying drunkenly.	A black, tar papered shack went scudding past, lodged upon a ridge where the water was shallower, and sat there swaying drunkenly.
7705_101580_000012_000000	"That's old Dutch Henry's house," Park shouted above the roar.	"That's old Dutch Henry's house," Park shouted above the roar.
7705_101580_000012_000001	"I'll bet he's cussing things blue on some pinnacle up there." He laughed at the picture his imagination conjured, and rode out into the swirl.	"I'll bet he's cussing things blue on some pinnacle up there." He laughed at the picture his imagination conjured, and rode out into the swirl.
7705_101580_000014_000003	He could not have helped Park, and he could very easily have drowned himself.	He could not have helped Park, and he could very easily have drowned himself.
7705_101580_000014_000004	Though it was not thought of himself but of Mona that stayed his hand.	Though it was not thought of himself but of Mona that stayed his hand.
7705_101580_000015_000000	They landed at the gate.	They landed at the gate.
7705_101580_000015_000001	Sunfish scrambled with his feet for secure footing, found it and waded up to the front door.	Sunfish scrambled with his feet for secure footing, found it and waded up to the front door.
7705_101580_000015_000002	The water was a foot deep on the porch.	The water was a foot deep on the porch.
