7705_101580_000000_000000	CHAPTER XIII.	CHAPTER thirteen.	false	0.87	27.345	18.869736
7705_101580_000000_000001	"I'll STAY--ALWAYS"	"I'll STAY-ALWAYS"	true	27.345	30.16	21.872227
7705_101580_000001_000000	For a long time Thurston lay with wide-open eyes staring up at nothing, listening to the rain and thinking.	For a long time Thurston lay with wide open eyes staring up at nothing, listening to the rain and thinking.	true	32.12	39.16	19
7705_101580_000001_000001	By and by the rain ceased and he could tell by the dim whiteness of the tent roof that the clouds must have been swept away from before the moon, then just past the full.	By and by the rain ceased and he could tell by the dim whiteness of the tent roof that the clouds must have been swept away from before the moon, then just past the full.	true	39.74	51.1	20.914785
7705_101580_000002_000000	He got up carefully so as not to disturb the others, and crept over two or three sleeping forms on his way to the opening, untied the flap and went out.	He got up carefully so as not to disturb the others, and crept over two or three sleeping forms on his way to the opening, untied the flap and went out.	false	51.86	62.44	21.125257
7705_101580_000002_000001	The whole hilltop and the valley below were bathed in mellow radiance.	The whole hilltop and the valley below were bathed in mellow radiance.	true	63.2	68.17	17
7705_101580_000002_000002	He studied critically the wide sweep of the river.	He studied critically the wide sweep of the river.	true	68.75	72.22	20.82066
7705_101580_000002_000003	He might almost have thought it the Missouri itself, it stretched so far from bank to bank; indeed, it seemed to know no banks but the hills themselves.	He might almost have thought it the Missouri itself, it stretched so far from bank to bank; indeed, it seemed to know no banks but the hills themselves.	true	72.71	83.44	20.580244
7705_101580_000002_000004	He turned toward where the light had shone among the cottonwoods below; there was nothing but a great blot of shade that told him nothing.	He turned toward where the light had shone among the cottonwoods below; there was nothing but a great blot of shade that told him nothing.	true	84.5	93.46	20.57141
7705_101580_000003_000000	A step sounded just behind.	A step sounded just behind.	true	94.46	96.85	22.041212
7705_101580_000003_000001	A hand, the hand of Park, rested upon his shoulder.	A hand, the hand of Park, rested upon his shoulder.	true	97.1	101.56	20.840406
7705_101580_000003_000002	"Looks kinda dubious, don't it, kid?	"Looks kinda dubious, don't it, kid?	false	103.01	105.67	19.522957
7705_101580_000003_000003	Was yuh thinking about riding down there?"	Was yuh thinking about riding down there?"	true	106.01	108.79	22.4028
7705_101580_000004_000000	"Yes," Thurston answered simply.	"Yes," Thurston answered simply.	true	110.54	114.28	22.015331
7705_101580_000004_000001	"Are you coming?"	"Are you coming?"	true	114.29	115.45	25.306969
7705_101580_000005_000000	"Sure," Park assented.	"Sure," Park assented.	true	116.18	118.3	22.711195
7705_101580_000006_000000	They got upon their horses and headed down the trail to the Stevens place.	They got upon their horses and headed down the trail to the Stevens place.	true	119.3	123.82	20
