2473_157859_000005_000000	CHAPTER VII	CHAPTER seven
2473_157859_000006_000001	They were obviously of the chorus-girl type, a fact which they seemed to lack the ambition to conceal.	They were obviously of the chorus girl type, a fact which they seemed to lack the ambition to conceal.
2473_157859_000007_000002	You know Bob, don't you?"	You know Bob, don't you?"
2473_157859_000008_000000	Philip for a moment was taken aback.	Philip for a moment was taken aback.
2473_157859_000009_000000	"Bob Millet," he repeated thoughtfully.	"Bob Millet," he repeated thoughtfully.
2473_157859_000010_000000	"Of course!	"Of course!
2473_157859_000010_000001	Good old Bob!	Good old Bob!
2473_157859_000014_000001	"Hilda and I are dying for a cocktail, Mr. Romilly."	"Hilda and I are dying for a cocktail, mr Romilly."
2473_157859_000015_000001	They drank two cocktails and found themselves unfortunately devoid of cigarettes, a misfortune which it became his privilege to remedy.	They drank two cocktails and found themselves unfortunately devoid of cigarettes, a misfortune which it became his privilege to remedy.
2473_157859_000015_000003	Philip escaped after about an hour and made his way to where Elizabeth was reclining in her deck chair.	Philip escaped after about an hour and made his way to where Elizabeth was reclining in her deck chair.
2473_157859_000017_000000	She smiled at him tolerantly.	She smiled at him tolerantly.
2473_157859_000017_000001	An unopened book lay by her side.	An unopened book lay by her side.
2473_157859_000017_000002	She seemed to have been spending the last quarter of an hour in thought.	She seemed to have been spending the last quarter of an hour in thought.
2473_157859_000018_000001	No, don't sit down," she went on.	No, don't sit down," she went on.
2473_157859_000019_000000	He turned slowly away.	He turned slowly away.
2473_157859_000019_000001	All his new-found buoyancy of spirits had suddenly left him.	All his new found buoyancy of spirits had suddenly left him.
2473_157859_000019_000006	He was in the library, standing in front of those many sheets of typewritten messages, passing them all over, heedless of what their message might be, until he came to the last and most insignificant. Four lines, almost overlapped by another sheet--	He was in the library, standing in front of those many sheets of typewritten messages, passing them all over, heedless of what their message might be, until he came to the last and most insignificant. Four lines, almost overlapped by another sheet-
2473_157859_000020_000000	STRANGE DISAPPEARANCE OF A LONDON ART TEACHER	STRANGE DISAPPEARANCE OF A LONDON ART TEACHER
2473_157859_000021_000000	SUICIDE FEARED	SUICIDE FEARED
2473_157859_000022_000001	Philip Romilly, a teacher of art in a London school, visited Detton Magna on Friday afternoon and apparently started for a walk along the canal bank, towards dusk.	Philip Romilly, a teacher of art in a London school, visited Detton Magna on Friday afternoon and apparently started for a walk along the canal bank, towards dusk.
2473_157859_000022_000002	Nothing has since been heard of him or his movements, and arrangements have been made to drag the canal at a certain point.	Nothing has since been heard of him or his movements, and arrangements have been made to drag the canal at a certain point.
2473_157859_000023_000003	He saw the whole ghastly business, the police on the canal banks, watching the slow progress of the men with their drags bringing to the surface all the miserable refuse of the turgid waters, the dripping black mud, perhaps at last....	He saw the whole ghastly business, the police on the canal banks, watching the slow progress of the men with their drags bringing to the surface all the miserable refuse of the turgid waters, the dripping black mud, perhaps at last....
2473_157859_000024_000000	He was back again on the deck, walking quite steadily yet seeing little. He made his way to the smoking room, asked almost indifferently for a brandy and soda, and drained it to the last drop.	He was back again on the deck, walking quite steadily yet seeing little. He made his way to the smoking room, asked almost indifferently for a brandy and soda, and drained it to the last drop.
