2473_157859_000000_000000	He took his young friend's arm, and they descended the stairs together.	He took his young friend's arm, and they descended the stairs together.	false	0	4.26	20.216637
2473_157859_000001_000000	"What the mischief is a last?" he inquired.	"What the mischief is a last?" he inquired.	false	4.26	7.53	16.91101
2473_157859_000002_000000	"I haven't the least idea," Philip replied carelessly.	"I haven't the least idea," Philip replied carelessly.	false	7.53	11.13	20.277628
2473_157859_000002_000001	"Something to do with boots and shoes, isn't it?"	"Something to do with boots and shoes, isn't it?"	false	11.13	15.15	18.978163
2473_157859_000003_000000	His questioner stared at him for a moment and then laughed.	His questioner stared at him for a moment and then laughed.	false	15.15	20.07	20.190638
2473_157859_000004_000000	"Say, you're a young man of your word!" he remarked appreciatively.	"Say, you're a young man of your word!" he remarked appreciatively.	false	20.07	25.47	21.197618
2473_157859_000005_000000	CHAPTER VII	CHAPTER seven	true	25.47	26.56	23.520487
2473_157859_000006_000000	Philip Romilly was accosted, late that afternoon, by two young women whose presence on board he had noticed with a certain amount of disapproval.	Philip Romilly was accosted, late that afternoon, by two young women whose presence on board he had noticed with a certain amount of disapproval.	true	28.19	36.58	18
2473_157859_000006_000001	They were obviously of the chorus-girl type, a fact which they seemed to lack the ambition to conceal.	They were obviously of the chorus girl type, a fact which they seemed to lack the ambition to conceal.	true	37.31	43.33	21.133152
2473_157859_000006_000002	After several would-be ingratiating giggles, they finally pulled up in front of him whilst he was promenading the deck.	After several would be ingratiating giggles, they finally pulled up in front of him whilst he was promenading the deck.	false	44.06	50.73	20
2473_157859_000007_000000	"You are Mr. Romilly, aren't you?" one of them asked.	"You are mr Romilly, aren't you?" one of them asked.	false	50.73	54.43	21.510818
2473_157859_000007_000001	"Bob Millet told us you were going to be on this steamer.	"Bob Millet told us you were going to be on this steamer.	true	54.74	57.36	13
2473_157859_000007_000002	You know Bob, don't you?"	You know Bob, don't you?"	true	57.36	58.57	21
2473_157859_000008_000000	Philip for a moment was taken aback.	Philip for a moment was taken aback.	true	59.18	61.51	21.608582
2473_157859_000009_000000	"Bob Millet," he repeated thoughtfully.	"Bob Millet," he repeated thoughtfully.	true	61.55	63.64	21.616808
2473_157859_000010_000000	"Of course!	"Of course!	true	64.28	65.085	22.08895
2473_157859_000010_000001	Good old Bob!	Good old Bob!	true	65.085	66.19	20.196894
2473_157859_000010_000002	I don't mind confessing," the young woman went on, "that though we were all out one night together--Trocadero, Empire, and Murray's afterwards--I should never have recognised you.	I don't mind confessing," the young woman went on, "that though we were all out one night together-Trocadero, Empire, and Murray's afterwards-I should never have recognised you.	true	66.23	77.11	19.721506
2473_157859_000010_000003	Seems to me you've got thinner and more serious-looking."	Seems to me you've got thinner and more serious looking."	true	77.21	80.32	19.979824
2473_157859_000011_000000	"I am afraid my own memory is also at fault," Philip remarked, a little stiffly.	"I am afraid my own memory is also at fault," Philip remarked, a little stiffly.	true	81.32	85.96	19.914356
2473_157859_000012_000000	"I am Violet Fox," the young woman who had accosted him continued.	"I am Violet Fox," the young woman who had accosted him continued.	true	86.57	90.67	18
2473_157859_000012_000001	"This my friend, Hilda Mason.	"This my friend, Hilda Mason.	false	90.8	92.85	19.342077
2473_157859_000012_000002	She's a dear girl but a little shy, aren't you, Hilda?"	She's a dear girl but a little shy, aren't you, Hilda?"	true	92.85	96.07	19.630486
2473_157859_000013_000000	"That's just because I told her that we ought to wait until you remembered us," the slighter young woman, with the very obvious peroxidised hair, protested.	"That's just because I told her that we ought to wait until you remembered us," the slighter young woman, with the very obvious peroxidised hair, protested.	true	96.32	105.49	16
2473_157859_000014_000000	"Didn't seem to be any use waiting for that," her friend retorted briskly.	"Didn't seem to be any use waiting for that," her friend retorted briskly.	true	106.16	110.29	19.124
2473_157859_000014_000001	"Hilda and I are dying for a cocktail, Mr. Romilly."	"Hilda and I are dying for a cocktail, mr Romilly."	true	110.72	113.83	22.740236
2473_157859_000015_000000	He led them with an unwillingness of which they seemed frankly unaware, towards the lounge.	He led them with an unwillingness of which they seemed frankly unaware, towards the lounge.	true	114.23	119.23	17
2473_157859_000015_000001	They drank two cocktails and found themselves unfortunately devoid of cigarettes, a misfortune which it became his privilege to remedy.	They drank two cocktails and found themselves unfortunately devoid of cigarettes, a misfortune which it became his privilege to remedy.	true	119.48	127.3	20.048485
2473_157859_000015_000002	They were very friendly young ladies, if a little slangy, invited him around to their staterooms, and offered to show him the runs around New York.	They were very friendly young ladies, if a little slangy, invited him around to their staterooms, and offered to show him the runs around New York.	false	127.49	135.97	18.059347
2473_157859_000015_000003	Philip escaped after about an hour and made his way to where Elizabeth was reclining in her deck chair.	Philip escaped after about an hour and made his way to where Elizabeth was reclining in her deck chair.	true	136.1	141.7	20
2473_157859_000016_000000	"That fellow Romilly," he declared irritably, "the other one, I mean, seems to have had the vilest tastes.	"That fellow Romilly," he declared irritably, "the other one, I mean, seems to have had the vilest tastes.	true	142.76	149.08	17.517273
2473_157859_000016_000001	If I am to be landed with any more of his ridiculous indiscretions, I think I shall have to go overboard. There was an enterprising gentleman named Gayes in Liverpool, who nearly drove me crazy, then there's this Mr. Lawton who wants to talk about lasts, and finally it seems that I dined at the Trocadero and spent the evening at the Empire and Murray's with the two very obvious-looking young ladies who accosted me just now.	If I am to be landed with any more of his ridiculous indiscretions, I think I shall have to go overboard. There was an enterprising gentleman named Gayes in Liverpool, who nearly drove me crazy, then there's this mr Lawton who wants to talk about lasts, and finally it seems that I dined at the Trocadero and spent the evening at the Empire and Murray's with the two very obvious looking young ladies who accosted me just now.	true	149.36	174.43	19.175728
2473_157859_000016_000002	I am beginning to believe that Douglas' life was not above suspicion."	I am beginning to believe that Douglas' life was not above suspicion."	true	175.13	179.59	18
