6458_61323_000000_000000	One of the oldest forms of folk stories relates to the wanderings of a hero in distant regions.	One of the oldest forms of folk stories relates to the wanderings of a hero in distant regions.	true	24.27	28.725	16
6458_61323_000000_000001	He may set forth in search of a fair lady who has been taken captive, or to obtain a magic herb or stone to relieve a sufferer, to cure diseases, and to prolong life.	He may set forth in search of a fair lady who has been taken captive, or to obtain a magic herb or stone to relieve a sufferer, to cure diseases, and to prolong life.	true	28.725	36.31	20
6458_61323_000000_000002	Invariably he is a slayer of dragons and other monsters.	Invariably he is a slayer of dragons and other monsters.	true	36.41	39.46	17.82844
6458_61323_000000_000003	A friendly spirit, or a group of spirits, may assist the hero, who acts according to the advice given him by a "wise woman", a magician, or a god.	A friendly spirit, or a group of spirits, may assist the hero, who acts according to the advice given him by a "wise woman", a magician, or a god.	false	39.83	47.89	22
6458_61323_000000_000004	The spirits are usually wild beasts or birds--the "fates" of immemorial folk belief--and they may either carry the hero on their backs, instruct him from time to time, or come to his aid when called upon.	The spirits are usually wild beasts or birds-the "fates" of immemorial folk belief-and they may either carry the hero on their backs, instruct him from time to time, or come to his aid when called upon.	true	48.05	58.51	21
6458_61323_000001_000000	When a great national hero appealed by reason of his achievements to the imagination of a people, all the floating legends of antiquity were attached to his memory, and he became identified with gods and giants and knight-errants "old in story".	When a great national hero appealed by reason of his achievements to the imagination of a people, all the floating legends of antiquity were attached to his memory, and he became identified with gods and giants and knight errants "old in story".	false	58.94	72.19	18
6458_61323_000001_000001	In Scotland, for instance, the boulder-throwing giant of Eildon hills bears the name of Wallace, the Edinburgh giant of Arthur's Seat is called after an ancient Celtic king,[190] and Thomas the Rhymer takes the place, in an Inverness fairy mound called Tom-na-hurich, of Finn (Fingal) as chief of the "Seven Sleepers".	In Scotland, for instance, the boulder throwing giant of Eildon hills bears the name of Wallace, the Edinburgh giant of Arthur's Seat is called after an ancient Celtic king,[one hundred ninety] and Thomas the Rhymer takes the place, in an Inverness fairy mound called Tom na hurich, of Finn (Fingal) as chief of the "Seven Sleepers".	false	72.23	89.89	21.513449
6458_61323_000001_000002	Similarly Napoleon sleeps in France and Skobeleff in Russia, as do also other heroes elsewhere.	Similarly Napoleon sleeps in France and Skobeleff in Russia, as do also other heroes elsewhere.	false	90.2	96.07	20
6458_61323_000001_000003	In Germany the myths of Thunor (Thor) were mingled with hazy traditions of Theodoric the Goth (Dietrich), while in Greece, Egypt, and Arabia, Alexander the Great absorbed a mass of legendary matter of great antiquity, and displaced in the memories of the people the heroes of other Ages, as those heroes had previously displaced the humanized spirits of fertility and growth who alternately battled fiercely against the demons of spring, made love, gorged and drank deep and went to sleep--the sleep of winter.	In Germany the myths of Thunor (Thor) were mingled with hazy traditions of Theodoric the Goth (Dietrich), while in Greece, Egypt, and Arabia, Alexander the Great absorbed a mass of legendary matter of great antiquity, and displaced in the memories of the people the heroes of other Ages, as those heroes had previously displaced the humanized spirits of fertility and growth who alternately battled fiercely against the demons of spring, made love, gorged and drank deep and went to sleep-the sleep of winter.	false	96.17	124.3	20
6458_61323_000001_000004	Certain folk tales, and the folk beliefs on which they were based, seem to have been of hoary antiquity before the close of the Late Stone Age.	Certain folk tales, and the folk beliefs on which they were based, seem to have been of hoary antiquity before the close of the Late Stone Age.	true	124.43	130.87	20
6458_61323_000002_000000	There are two great heroes of Babylonian fame who link with Perseus and Hercules, Sigurd and Siegfried, Dietrich and Finn-mac-Coul.	There are two great heroes of Babylonian fame who link with Perseus and Hercules, Sigurd and Siegfried, Dietrich and Finn mac Coul.	true	131.3	137.56	17
6458_61323_000002_000001	These are Etana and Gilgamesh, two legendary kings who resemble Tammuz the Patriarch referred to by Berosus, a form of Tammuz the Sleeper of the Sumerian psalms.	These are Etana and Gilgamesh, two legendary kings who resemble Tammuz the Patriarch referred to by Berosus, a form of Tammuz the Sleeper of the Sumerian psalms.	false	137.63	147.94	20.765585
6458_61323_000002_000002	One journeys to the Nether World to obtain the Plant of Birth and the other to obtain the Plant of Life.	One journeys to the Nether World to obtain the Plant of Birth and the other to obtain the Plant of Life.	false	148.01	153.4	22.124832
6458_61323_000002_000003	The floating legends with which they were associated were utilized and developed by the priests, when engaged in the process of systematizing and symbolizing religious beliefs, with purpose to unfold the secrets of creation and the Otherworld.	The floating legends with which they were associated were utilized and developed by the priests, when engaged in the process of systematizing and symbolizing religious beliefs, with purpose to unfold the secrets of creation and the Otherworld.	true	153.62	166.15	20
6458_61323_000002_000004	Etana secures the assistance or a giant eagle who is an enemy of serpents like the Indian Garuda, half giant, half eagle.	Etana secures the assistance or a giant eagle who is an enemy of serpents like the Indian Garuda, half giant, half eagle.	false	166.22	173.31	22.982513
6458_61323_000002_000005	As Vishnu, the Indian god, rides on the back of Garuda, so does Etana ride on the back of the Babylonian Eagle.	As Vishnu, the Indian god, rides on the back of Garuda, so does Etana ride on the back of the Babylonian Eagle.	true	173.31	179.05	20.638765
6458_61323_000002_000006	In one fragmentary legend which was preserved in the tablet-library of Ashur-banipal, the Assyrian monarch, Etana obtained the assistance of the Eagle to go in quest of the Plant of Birth.	In one fragmentary legend which was preserved in the tablet library of Ashur banipal, the Assyrian monarch, Etana obtained the assistance of the Eagle to go in quest of the Plant of Birth.	true	179.36	189.37	21
6458_61323_000002_000007	His wife was about to become a mother, and was accordingly in need of magical aid.	His wife was about to become a mother, and was accordingly in need of magical aid.	true	189.53	193.45	22.26436
6458_61323_000002_000008	A similar belief caused birth girdles of straw or serpent skins, and eagle stones found in eagles' nests, to be used in ancient Britain and elsewhere throughout Europe apparently from the earliest times.[191]	A similar belief caused birth girdles of straw or serpent skins, and eagle stones found in eagles' nests, to be used in ancient Britain and elsewhere throughout Europe apparently from the earliest times.[one hundred ninety one]	false	193.79	205.32	21.980162
6458_61323_000003_000000	On this or another occasion Etana desired to ascend to highest heaven. He asked the Eagle to assist him, and the bird assented, saying: "Be glad, my friend.	On this or another occasion Etana desired to ascend to highest heaven. He asked the Eagle to assist him, and the bird assented, saying: "Be glad, my friend.	true	205.32	214.84	20.44315
6458_61323_000003_000001	Let me bear thee to the highest heaven.	Let me bear thee to the highest heaven.	true	214.91	216.82	19.548117
6458_61323_000003_000002	Lay thy breast on mine and thine arms on my wings, and let my body be as thy body." Etana did as the great bird requested him, and together they ascended towards the firmament.	Lay thy breast on mine and thine arms on my wings, and let my body be as thy body." Etana did as the great bird requested him, and together they ascended towards the firmament.	false	216.92	226.33	18.658844
6458_61323_000003_000003	After a flight which extended over two hours, the Eagle asked Etana to gaze downwards.	After a flight which extended over two hours, the Eagle asked Etana to gaze downwards.	false	226.58	231.19	19
6458_61323_000003_000004	He did so, and beheld the ocean surrounding the earth, and the earth seemed like a mountainous island.	He did so, and beheld the ocean surrounding the earth, and the earth seemed like a mountainous island.	true	231.35	236.5	15
