6643_67851_000000_000000	CHAPTER VIII	CHAPTER eight	false	19.98	24.01	25.245346
6643_67851_000001_000000	A TWILIGHT TEA-PARTY	A TWILIGHT TEA PARTY	true	24.17	25.93	25.034552
6643_67851_000002_000000	It was late when Grace and Sylvia awoke the following morning, but they were down-stairs before the boys appeared.	It was late when Grace and Sylvia awoke the following morning, but they were down stairs before the boys appeared.	true	29.45	35.26	20.630766
6643_67851_000002_000001	Mrs. Hayes greeted them smilingly, but she said that Flora was not well and that Mammy would take her breakfast to her up-stairs.	mrs Hayes greeted them smilingly, but she said that Flora was not well and that Mammy would take her breakfast to her up stairs.	true	35.45	42.85	21.484087
6643_67851_000003_000000	"After breakfast you must go up and stay with her a little while," said Mrs. Hayes.	"After breakfast you must go up and stay with her a little while," said mrs Hayes.	true	43.34	47.41	23.998203
6643_67851_000004_000000	"Why, Flora was never ill in her life," declared Ralph; "what's the matter?"	"Why, Flora was never ill in her life," declared Ralph; "what's the matter?"	true	48.32	52.86	21.472364
6643_67851_000005_000000	"She is not really ill, but she fell over something last night and bruised her arm and shoulder, so that she feels lame and tired, and I thought a few hours in bed would be the best thing for her," explained Mrs. Hayes.	"She is not really ill, but she fell over something last night and bruised her arm and shoulder, so that she feels lame and tired, and I thought a few hours in bed would be the best thing for her," explained mrs Hayes.	false	52.86	64.99	20.43872
6643_67851_000005_000001	"Mammy doesn't seem to know just how it happened," she concluded.	"Mammy doesn't seem to know just how it happened," she concluded.	true	65.36	68.74	23.48658
6643_67851_000006_000000	Sylvia and Grace had talked over the "ghost" before coming down-stairs. Grace had tried best to convince Sylvia that she had really dreamed "Lady Caroline," but Sylvia insisted that a figure in a wide plumed hat and a trailing gown had really stepped out of the closet.	Sylvia and Grace had talked over the "ghost" before coming down stairs. Grace had tried best to convince Sylvia that she had really dreamed "Lady Caroline," but Sylvia insisted that a figure in a wide plumed hat and a trailing gown had really stepped out of the closet.	false	70.1	88.12	20.846947
6643_67851_000007_000000	"The moon was shining right where she stood.	"The moon was shining right where she stood.	true	89.42	92.08	20.3422
6643_67851_000007_000001	I saw her just as plainly as I could see you when you sat up in bed," Sylvia declared.	I saw her just as plainly as I could see you when you sat up in bed," Sylvia declared.	true	92.15	97.24	20.69717
6643_67851_000007_000002	But both the girls agreed that it would be best not to say anything about "Lady Caroline" until they had told Flora.	But both the girls agreed that it would be best not to say anything about "Lady Caroline" until they had told Flora.	false	97.43	103.69	23.875944
