968_122545_000003_000000	CHAPTER XXI	CHAPTER twenty one
968_122545_000004_000000	HARD ON THE SECRETARY	HARD ON THE SECRETARY
968_122545_000005_000000	Nurse Rosemary sat with her patient in the sunny library at Gleneesh.	Nurse Rosemary sat with her patient in the sunny library at Gleneesh.
968_122545_000005_000001	A small table was between them, upon which lay a pile of letters--his morning mail--ready for her to open, read to him, and pass across, should there chance to be one among them he wished to touch or to keep in his pocket.	A small table was between them, upon which lay a pile of letters-his morning mail-ready for her to open, read to him, and pass across, should there chance to be one among them he wished to touch or to keep in his pocket.
968_122545_000006_000000	They were seated close to the French window opening on to the terrace; the breeze, fragrant with the breath of spring flowers, blew about them, and the morning sun streamed in.	They were seated close to the French window opening on to the terrace; the breeze, fragrant with the breath of spring flowers, blew about them, and the morning sun streamed in.
968_122545_000007_000000	Garth, in white flannels, wearing a green tie and a button-hole of primroses, lay back luxuriously, enjoying, with his rapidly quickening senses, the scent of the flowers and the touch of the sun-beams.	Garth, in white flannels, wearing a green tie and a button hole of primroses, lay back luxuriously, enjoying, with his rapidly quickening senses, the scent of the flowers and the touch of the sun beams.
968_122545_000008_000001	Deryck was coming. He had not failed her.	Deryck was coming. He had not failed her.
968_122545_000010_000000	"Quite right," said Nurse Rosemary.	"Quite right," said Nurse Rosemary.
968_122545_000011_000000	"Because it was on one sheet.	"Because it was on one sheet.
968_122545_000014_000000	Nurse Rosemary laughed.	Nurse Rosemary laughed.
968_122545_000014_000001	"You are getting on so fast, Mr. Dalmain, that soon we shall be able to keep no secrets.	"You are getting on so fast, mr Dalmain, that soon we shall be able to keep no secrets.
968_122545_000014_000002	My letter was from--"	My letter was from-"
968_122545_000015_000000	"Oh, don't tell me," cried Garth quickly, putting out his hand in protest.	"Oh, don't tell me," cried Garth quickly, putting out his hand in protest.
968_122545_000015_000001	"I had no idea of seeming curious as to your private correspondence, Miss Gray.	"I had no idea of seeming curious as to your private correspondence, Miss Gray.
968_122545_000015_000002	Only it is such a pleasure to report progress to you in the things I manage to find out without being told."	Only it is such a pleasure to report progress to you in the things I manage to find out without being told."
