4629_19366_000000_000000	LECTURE VIII	LECTURE eight	false	0.96	20.59	20.924397
4629_19366_000001_000000	NEWTON AND THE LAW OF GRAVITATION	NEWTON AND THE LAW OF GRAVITATION	false	23.3	26.17	19.596931
4629_19366_000002_000000	We left Newton at the age of twenty-three on the verge of discovering the mechanism of the solar system, deterred therefrom only by an error in the then imagined size of the earth.	We left Newton at the age of twenty three on the verge of discovering the mechanism of the solar system, deterred therefrom only by an error in the then imagined size of the earth.	false	27.08	37.33	17.9352
4629_19366_000002_000001	He had proved from Kepler's laws that a centripetal force directed to the sun, and varying as the inverse square of the distance from that body, would account for the observed planetary motions, and that a similar force directed to the earth would account for the lunar motion; and it had struck him that this force might be the very same as the familiar force of gravitation which gave to bodies their weight: but in attempting a numerical verification of this idea in the case of the moon he was led by the then received notion that sixty miles made a degree on the earth's surface into an erroneous estimate of the size of the moon's orbit.	He had proved from Kepler's laws that a centripetal force directed to the sun, and varying as the inverse square of the distance from that body, would account for the observed planetary motions, and that a similar force directed to the earth would account for the lunar motion; and it had struck him that this force might be the very same as the familiar force of gravitation which gave to bodies their weight: but in attempting a numerical verification of this idea in the case of the moon he was led by the then received notion that sixty miles made a degree on the earth's surface into an erroneous estimate of the size of the moon's orbit.	false	37.58	76.27	20.17072
4629_19366_000002_000002	Being thus baffled in obtaining such verification, he laid the matter aside for a time.	Being thus baffled in obtaining such verification, he laid the matter aside for a time.	true	76.64	81.64	19.6833
4629_19366_000003_000000	The anecdote of the apple we learn from Voltaire, who had it from Newton's favourite niece, who with her husband lived and kept house for him all his later life.	The anecdote of the apple we learn from Voltaire, who had it from Newton's favourite niece, who with her husband lived and kept house for him all his later life.	true	82.46	91.84	18
4629_19366_000003_000001	It is very like one of those anecdotes which are easily invented and believed in, and very often turn out on scrutiny to have no foundation.	It is very like one of those anecdotes which are easily invented and believed in, and very often turn out on scrutiny to have no foundation.	true	93.05	101.08	13
4629_19366_000003_000002	Fortunately this anecdote is well authenticated, and moreover is intrinsically probable; I say fortunately, because it is always painful to have to give up these child-learnt anecdotes, like Alfred and the cakes and so on.	Fortunately this anecdote is well authenticated, and moreover is intrinsically probable; I say fortunately, because it is always painful to have to give up these child learnt anecdotes, like Alfred and the cakes and so on.	true	101.24	115.27	22.07187
4629_19366_000003_000003	This anecdote of the apple we need not resign.	This anecdote of the apple we need not resign.	true	115.46	118.72	20.89404
4629_19366_000003_000004	The tree was blown down in 1820 and part of its wood is preserved.	The tree was blown down in eighteen twenty and part of its wood is preserved.	true	119.03	124.5	20.06939
4629_19366_000004_000000	I have mentioned Voltaire in connection with Newton's philosophy.	I have mentioned Voltaire in connection with Newton's philosophy.	true	124.5	127.69	20
