7245_104890_000000_000000	TIME AND ETERNITY.	TIME AND ETERNITY.	true	12.51	13.83	17
7245_104890_000001_000000	I.	I.	false	13.83	16.95	15.08404
7245_104890_000002_000000	Let down the bars, O Death! The tired flocks come in Whose bleating ceases to repeat, Whose wandering is done.	Let down the bars, O Death! The tired flocks come in Whose bleating ceases to repeat, Whose wandering is done.	true	16.95	24.79	21.24465
7245_104890_000003_000000	Thine is the stillest night, Thine the securest fold; Too near thou art for seeking thee, Too tender to be told.	Thine is the stillest night, Thine the securest fold; Too near thou art for seeking thee, Too tender to be told.	false	25.97	34.5	22.12163
7245_104890_000004_000000	II.	two.	false	34.5	38.76	24.564693
7245_104890_000005_000000	Going to heaven! I don't know when, Pray do not ask me how, -- Indeed, I 'm too astonished To think of answering you! Going to heaven!	Going to heaven! I don't know when, Pray do not ask me how, -- Indeed, I 'm too astonished To think of answering you! Going to heaven!	true	38.76	47.94	19.141691
7245_104890_000005_000001	-- How dim it sounds! And yet it will be done As sure as flocks go home at night Unto the shepherd's arm!	-- How dim it sounds! And yet it will be done As sure as flocks go home at night Unto the shepherd's arm!	true	47.94	54.58	23.138891
7245_104890_000006_000000	Perhaps you 're going too! Who knows? If you should get there first, Save just a little place for me Close to the two I lost!	Perhaps you 're going too! Who knows? If you should get there first, Save just a little place for me Close to the two I lost!	false	55.22	63.13	23.505445
7245_104890_000007_000000	The smallest "robe" will fit me, And just a bit of "crown;" For you know we do not mind our dress When we are going home.	The smallest "robe" will fit me, And just a bit of "crown;" For you know we do not mind our dress When we are going home.	true	63.44	71.02	22.204672
7245_104890_000008_000000	I 'm glad I don't believe it, For it would stop my breath, And I 'd like to look a little more At such a curious earth! I am glad they did believe it Whom I have never found Since the mighty autumn afternoon I left them in the ground.	I 'm glad I don't believe it, For it would stop my breath, And I 'd like to look a little more At such a curious earth! I am glad they did believe it Whom I have never found Since the mighty autumn afternoon I left them in the ground.	false	71.72	86.02	22.358896
7245_104890_000009_000000	III.	three.	true	89.57	90.4	20.36618
7245_104890_000010_000000	At least to pray is left, is left. O Jesus! in the air I know not which thy chamber is, -- I 'm knocking everywhere.	At least to pray is left, is left. O Jesus! in the air I know not which thy chamber is, -- I 'm knocking everywhere.	true	90.98	99.76	21.8068
7245_104890_000011_000000	Thou stirrest earthquake in the South, And maelstrom in the sea; Say, Jesus Christ of Nazareth, Hast thou no arm for me?	Thou stirrest earthquake in the South, And maelstrom in the sea; Say, Jesus Christ of Nazareth, Hast thou no arm for me?	true	100.34	108.93	23.211275
7245_104890_000012_000000	IV.	i v.	false	108.93	113.64	10.046206
7245_104890_000013_000000	EPITAPH.	EPITAPH.	true	113.64	114.67	20.528505
7245_104890_000014_000000	Step lightly on this narrow spot! The broadest land that grows Is not so ample as the breast These emerald seams enclose.	Step lightly on this narrow spot! The broadest land that grows Is not so ample as the breast These emerald seams enclose.	true	115.58	123.85	21.740767
7245_104890_000015_000000	Step lofty; for this name is told As far as cannon dwell, Or flag subsist, or fame export Her deathless syllable.	Step lofty; for this name is told As far as cannon dwell, Or flag subsist, or fame export Her deathless syllable.	true	124.64	132.96	20.971525
7245_104890_000016_000000	V.	V.	false	132.96	139.98	15.261203
7245_104890_000017_000000	Morns like these we parted; Noons like these she rose, Fluttering first, then firmer, To her fair repose.	Morns like these we parted; Noons like these she rose, Fluttering first, then firmer, To her fair repose.	true	139.98	147.67	22.256268
7245_104890_000018_000000	Never did she lisp it, And 't was not for me; She was mute from transport, I, from agony!	Never did she lisp it, And 't was not for me; She was mute from transport, I, from agony!	true	148.07	154.69	22.333546
7245_104890_000019_000000	Till the evening, nearing, One the shutters drew -- Quick! a sharper rustling! And this linnet flew!	Till the evening, nearing, One the shutters drew -- Quick! a sharper rustling! And this linnet flew!	true	155.21	163.5	22.290041
7245_104890_000020_000000	VI.	VI.	false	163.5	168.93	16.802036
7245_104890_000021_000000	A death-blow is a life-blow to some Who, till they died, did not alive become; Who, had they lived, had died, but when They died, vitality begun.	A death blow is a life blow to some Who, till they died, did not alive become; Who, had they lived, had died, but when They died, vitality begun.	true	168.93	180.01	23.409492
7245_104890_000022_000000	VII.	seven.	true	182.66	183.58	21.271433
7245_104890_000023_000000	I read my sentence steadily, Reviewed it with my eyes, To see that I made no mistake In its extremest clause, --	I read my sentence steadily, Reviewed it with my eyes, To see that I made no mistake In its extremest clause, --	true	183.92	191.59	22.211014
7245_104890_000024_000000	The date, and manner of the shame; And then the pious form That "God have mercy" on the soul The jury voted him.	The date, and manner of the shame; And then the pious form That "God have mercy" on the soul The jury voted him.	true	191.84	199.72	20.984673
7245_104890_000025_000000	I made my soul familiar With her extremity, That at the last it should not be A novel agony,	I made my soul familiar With her extremity, That at the last it should not be A novel agony,	true	200.48	207.1	20.630302
7245_104890_000026_000000	But she and Death, acquainted, Meet tranquilly as friends, Salute and pass without a hint -- And there the matter ends.	But she and Death, acquainted, Meet tranquilly as friends, Salute and pass without a hint -- And there the matter ends.	true	207.59	220.45	20.998419
7245_104890_000027_000000	VIII.	eight.	true	221.57	222.37	22.93049
7245_104890_000028_000000	I have not told my garden yet, Lest that should conquer me; I have not quite the strength now To break it to the bee.	I have not told my garden yet, Lest that should conquer me; I have not quite the strength now To break it to the bee.	true	222.8	229.99	24.041405
7245_104890_000029_000000	I will not name it in the street, For shops would stare, that I, So shy, so very ignorant, Should have the face to die.	I will not name it in the street, For shops would stare, that I, So shy, so very ignorant, Should have the face to die.	true	230.45	238.15	20.533007
7245_104890_000030_000000	The hillsides must not know it, Where I have rambled so, Nor tell the loving forests The day that I shall go,	The hillsides must not know it, Where I have rambled so, Nor tell the loving forests The day that I shall go,	true	238.79	246.01	20.93313
7245_104890_000031_000000	Nor lisp it at the table, Nor heedless by the way Hint that within the riddle One will walk to-day!	Nor lisp it at the table, Nor heedless by the way Hint that within the riddle One will walk to day!	true	246.47	253.41	23.23096
7245_104890_000032_000000	IX.	IX.	false	253.41	259.83	10.174288
7245_104890_000033_000000	THE BATTLE-FIELD.	THE BATTLE FIELD.	true	259.83	261.1	25.284723
7245_104890_000034_000000	They dropped like flakes, they dropped like stars, Like petals from a rose, When suddenly across the June A wind with fingers goes.	They dropped like flakes, they dropped like stars, Like petals from a rose, When suddenly across the June A wind with fingers goes.	true	262.28	271.3	22.304235
7245_104890_000035_000000	They perished in the seamless grass, -- No eye could find the place; But God on his repealless list Can summon every face.	They perished in the seamless grass, -- No eye could find the place; But God on his repealless list Can summon every face.	true	272.03	285.69	19.28604
7245_104890_000036_000000	X.	X.	false	285.69	289.26	15.14039
7245_104890_000037_000000	The only ghost I ever saw Was dressed in mechlin, -- so; He wore no sandal on his foot, And stepped like flakes of snow. His gait was soundless, like the bird, But rapid, like the roe; His fashions quaint, mosaic, Or, haply, mistletoe.	The only ghost I ever saw Was dressed in mechlin, -- so; He wore no sandal on his foot, And stepped like flakes of snow. His gait was soundless, like the bird, But rapid, like the roe; His fashions quaint, mosaic, Or, haply, mistletoe.	true	289.26	305.86	20.886158
7245_104890_000038_000000	His conversation seldom, His laughter like the breeze That dies away in dimples Among the pensive trees. Our interview was transient,-- Of me, himself was shy; And God forbid I look behind Since that appalling day!	His conversation seldom, His laughter like the breeze That dies away in dimples Among the pensive trees. Our interview was transient,-- Of me, himself was shy; And God forbid I look behind Since that appalling day!	false	306.56	324.69	19.712515
7245_104890_000039_000000	XI.	XI.	false	324.69	327.75	16.117128
7245_104890_000040_000000	Some, too fragile for winter winds, The thoughtful grave encloses, -- Tenderly tucking them in from frost Before their feet are cold.	Some, too fragile for winter winds, The thoughtful grave encloses, -- Tenderly tucking them in from frost Before their feet are cold.	true	327.75	336.52	21.899439
7245_104890_000041_000000	Never the treasures in her nest The cautious grave exposes, Building where schoolboy dare not look And sportsman is not bold.	Never the treasures in her nest The cautious grave exposes, Building where schoolboy dare not look And sportsman is not bold.	true	337.07	345.67	20.61727
7245_104890_000042_000000	This covert have all the children Early aged, and often cold, -- Sparrows unnoticed by the Father; Lambs for whom time had not a fold.	This covert have all the children Early aged, and often cold, -- Sparrows unnoticed by the Father; Lambs for whom time had not a fold.	true	346.67	360.37	19.527147
7245_104890_000043_000000	XII.	twelve.	true	360.98	361.87	21.503056
7245_104890_000044_000000	As by the dead we love to sit, Become so wondrous dear, As for the lost we grapple, Though all the rest are here, --	As by the dead we love to sit, Become so wondrous dear, As for the lost we grapple, Though all the rest are here, --	true	362.72	370.15	21.563158
7245_104890_000045_000000	In broken mathematics We estimate our prize, Vast, in its fading ratio, To our penurious eyes!	In broken mathematics We estimate our prize, Vast, in its fading ratio, To our penurious eyes!	true	370.55	377.77	22.297567
7245_104890_000046_000000	XIII.	thirteen.	true	380.81	381.915	20.855833
7245_104890_000047_000000	MEMORIALS.	MEMORIALS.	true	381.915	383.02	21.893764
7245_104890_000048_000000	Death sets a thing significant The eye had hurried by, Except a perished creature Entreat us tenderly	Death sets a thing significant The eye had hurried by, Except a perished creature Entreat us tenderly	true	383.81	390.97	23.601637
7245_104890_000049_000000	To ponder little workmanships In crayon or in wool, With "This was last her fingers did," Industrious until	To ponder little workmanships In crayon or in wool, With "This was last her fingers did," Industrious until	true	391.46	399.04	21.107553
7245_104890_000050_000000	The thimble weighed too heavy, The stitches stopped themselves, And then 't was put among the dust Upon the closet shelves.	The thimble weighed too heavy, The stitches stopped themselves, And then 't was put among the dust Upon the closet shelves.	true	399.38	406.75	23.183662
7245_104890_000051_000000	A book I have, a friend gave, Whose pencil, here and there, Had notched the place that pleased him, -- At rest his fingers are.	A book I have, a friend gave, Whose pencil, here and there, Had notched the place that pleased him, -- At rest his fingers are.	true	407.81	415.51	23.223232
7245_104890_000052_000000	Now, when I read, I read not, For interrupting tears Obliterate the etchings Too costly for repairs.	Now, when I read, I read not, For interrupting tears Obliterate the etchings Too costly for repairs.	true	416.03	423.31	23.230713
7245_104890_000053_000000	XIV.	fourteen.	true	426.02	427.15	21.262262
7245_104890_000054_000000	I went to heaven, -- 'T was a small town, Lit with a ruby, Lathed with down. Stiller than the fields At the full dew, Beautiful as pictures No man drew. People like the moth, Of mechlin, frames, Duties of gossamer, And eider names. Almost contented I could be 'Mong such unique Society.	I went to heaven, -- 'T was a small town, Lit with a ruby, Lathed with down. Stiller than the fields At the full dew, Beautiful as pictures No man drew. People like the moth, Of mechlin, frames, Duties of gossamer, And eider names. Almost contented I could be 'Mong such unique Society.	true	427.88	458.32	22.059149
