5093_48377_000002_000000	CHAPTER 8.	CHAPTER eight.
5093_48377_000002_000001	What Other Acts Were Done By Agrippa Until His Death; And After What Manner He Died.	What Other Acts Were Done By Agrippa Until His Death; And After What Manner He Died.
5093_48377_000003_000001	When Agrippa had finished what I have above related at Berytus, he removed to Tiberias, a city of Galilee.	When Agrippa had finished what I have above related at Berytus, he removed to Tiberias, a city of Galilee.
5093_48377_000003_000002	Now he was in great esteem among other kings.	Now he was in great esteem among other kings.
5093_48377_000003_000003	Accordingly there came to him Antiochus, king of Commalena, Sampsigeratnus, king of Emesa, and Cotys, who was king of the Lesser Armenia, and Polemo, who was king of Pontus, as also Herod his brother, who was king of Chalcis.	Accordingly there came to him Antiochus, king of Commalena, Sampsigeratnus, king of Emesa, and Cotys, who was king of the Lesser Armenia, and Polemo, who was king of Pontus, as also Herod his brother, who was king of Chalcis.
5093_48377_000003_000004	All these he treated with agreeable entertainments, and after an obliging manner, and so as to exhibit the greatness of his mind, and so as to appear worthy of those respects which the kings paid to him, by coming thus to see him.	All these he treated with agreeable entertainments, and after an obliging manner, and so as to exhibit the greatness of his mind, and so as to appear worthy of those respects which the kings paid to him, by coming thus to see him.
5093_48377_000003_000005	However, while these kings staid with him, Marcus, the president of Syria, came thither.	However, while these kings staid with him, Marcus, the president of Syria, came thither.
5093_48377_000003_000006	So the king, in order to preserve the respect that was due to the Romans, went out of the city to meet him, as far as seven furlongs. But this proved to be the beginning of a difference between him and Marcus; for he took with him in his chariot those other kings as his assessors.	So the king, in order to preserve the respect that was due to the romans, went out of the city to meet him, as far as seven furlongs. But this proved to be the beginning of a difference between him and Marcus; for he took with him in his chariot those other kings as his assessors.
5093_48377_000003_000007	But Marcus had a suspicion what the meaning could be of so great a friendship of these kings one with another, and did not think so close an agreement of so many potentates to be for the interest of the Romans.	But Marcus had a suspicion what the meaning could be of so great a friendship of these kings one with another, and did not think so close an agreement of so many potentates to be for the interest of the romans.
5093_48377_000003_000008	He therefore sent some of his domestics to every one of them, and enjoined them to go their ways home without further delay.	He therefore sent some of his domestics to every one of them, and enjoined them to go their ways home without further delay.
5093_48377_000003_000009	This was very ill taken by Agrippa, who after that became his enemy.	This was very ill taken by Agrippa, who after that became his enemy.
5093_48377_000003_000010	And now he took the high priesthood away from Matthias, and made Elioneus, the son of Cantheras, high priest in his stead.	And now he took the high priesthood away from Matthias, and made Elioneus, the son of Cantheras, high priest in his stead.
5093_48377_000004_000002	At which festival a great multitude was gotten together of the principal persons, and such as were of dignity through his province.	At which festival a great multitude was gotten together of the principal persons, and such as were of dignity through his province.
5093_48377_000004_000005	A severe pain also arose in his belly, and began in a most violent manner.	A severe pain also arose in his belly, and began in a most violent manner.
5093_48377_000004_000006	He therefore looked upon his friends, and said, "I, whom you call a god, am commanded presently to depart this life; while Providence thus reproves the lying words you just now said to me; and I, who was by you called immortal, am immediately to be hurried away by death.	He therefore looked upon his friends, and said, "I, whom you call a god, am commanded presently to depart this life; while Providence thus reproves the lying words you just now said to me; and I, who was by you called immortal, am immediately to be hurried away by death.
5093_48377_000004_000008	Accordingly he was carried into the palace, and the rumor went abroad every where, that he would certainly die in a little time.	Accordingly he was carried into the palace, and the rumor went abroad every where, that he would certainly die in a little time.
5093_48377_000004_000009	But the multitude presently sat in sackcloth, with their wives and children, after the law of their country, and besought God for the king's recovery.	But the multitude presently sat in sackcloth, with their wives and children, after the law of their country, and besought God for the king's recovery.
5093_48377_000004_000010	All places were also full of mourning and lamentation. Now the king rested in a high chamber, and as he saw them below lying prostrate on the ground, he could not himself forbear weeping.	All places were also full of mourning and lamentation. Now the king rested in a high chamber, and as he saw them below lying prostrate on the ground, he could not himself forbear weeping.
5093_48377_000004_000012	The revenues that he received out of them were very great, no less than twelve millions of drachme.	The revenues that he received out of them were very great, no less than twelve millions of drachme.
5093_48377_000005_000001	But before the multitude were made acquainted with Agrippa's being expired, Herod the king of Chalcis, and Helcias the master of his horse, and the king's friend, sent Aristo, one of the king's most faithful servants, and slew Silas, who had been their enemy, as if it had been done by the king's own command.	But before the multitude were made acquainted with Agrippa's being expired, Herod the king of Chalcis, and Helcias the master of his horse, and the king's friend, sent Aristo, one of the king's most faithful servants, and slew Silas, who had been their enemy, as if it had been done by the king's own command.
5093_48377_000006_000000	CHAPTER 9.	CHAPTER nine.
5093_48377_000006_000001	What Things Were Done After The Death Of Agrippa; And How Claudius, On Account Of The Youth And Unskilfulness Of Agrippa, Junior, Sent Cuspius Fadus To Be Procurator Of Judea, And Of The Entire Kingdom.	What Things Were Done After The Death Of Agrippa; And How Claudius, On Account Of The Youth And Unskilfulness Of Agrippa, Junior, Sent Cuspius Fadus To Be Procurator Of Judea, And Of The Entire Kingdom.
5093_48377_000008_000001	Now Agrippa, the son of the deceased, was at Rome, and brought up with Claudius Caesar.	Now Agrippa, the son of the deceased, was at Rome, and brought up with Claudius Caesar.
5093_48377_000008_000002	And when Caesar was informed that Agrippa was dead, and that the inhabitants of Sebaste and Cesarea had abused him, he was sorry for the first news, and was displeased with the ingratitude of those cities.	And when Caesar was informed that Agrippa was dead, and that the inhabitants of Sebaste and Cesarea had abused him, he was sorry for the first news, and was displeased with the ingratitude of those cities.
5093_48377_000008_000003	He was therefore disposed to send Agrippa, junior, away presently to succeed his father in the kingdom, and was willing to confirm him in it by his oath.	He was therefore disposed to send Agrippa, junior, away presently to succeed his father in the kingdom, and was willing to confirm him in it by his oath.
