835_130876_000000_000000	In short, dinner was excellent.	In short, dinner was excellent.	false	0	0.99	-20
835_130876_000000_000001	Two ringdoves rounded out this extraordinary menu.	Two ringdoves rounded out this extraordinary menu.	false	0.99	2.22	100
835_130876_000000_000002	Sago pasta, bread from the artocarpus, mangoes, half a dozen pineapples, and the fermented liquor from certain coconuts heightened our glee.	Sago pasta, bread from the artocarpus, mangoes, half a dozen pineapples, and the fermented liquor from certain coconuts heightened our glee.	false	2.22	6.06	22.08093
835_130876_000000_000003	I suspect that my two fine companions weren't quite as clearheaded as one could wish.	I suspect that my two fine companions weren't quite as clearheaded as one could wish.	false	6.06	8.61	21.746685
835_130876_000001_000000	"What if we don't return to the Nautilus this evening?" Conseil said.	"What if we don't return to the Nautilus this evening?" Conseil said.	false	8.61	12.06	23.838446
835_130876_000002_000000	"What if we never return to it?" Ned Land added.	"What if we never return to it?" Ned Land added.	false	12.06	16.14	24.158764
835_130876_000003_000000	Just then a stone whizzed toward us, landed at our feet, and cut short the harpooner's proposition.	Just then a stone whizzed toward us, landed at our feet, and cut short the harpooner's proposition.	false	16.14	23.1	23.707844
835_130876_000004_000000	CHAPTER 22	CHAPTER twenty two	false	23.1	24.45	27.594154
835_130876_000005_000000	The Lightning Bolts of Captain Nemo	The Lightning Bolts of Captain Nemo	true	24.45	26.56	22
835_130876_000006_000000	WITHOUT STANDING UP, we stared in the direction of the forest, my hand stopping halfway to my mouth, Ned Land's completing its assignment.	WITHOUT STANDING UP, we stared in the direction of the forest, my hand stopping halfway to my mouth, Ned Land's completing its assignment.	true	27.62	35.92	22.753944
835_130876_000007_000000	"Stones don't fall from the sky," Conseil said, "or else they deserve to be called meteorites."	"Stones don't fall from the sky," Conseil said, "or else they deserve to be called meteorites."	false	36.68	42.46	23.201168
835_130876_000008_000000	A second well-polished stone removed a tasty ringdove leg from Conseil's hand, giving still greater relevance to his observation.	A second well polished stone removed a tasty ringdove leg from Conseil's hand, giving still greater relevance to his observation.	true	43.28	51.55	21
835_130876_000009_000000	We all three stood up, rifles to our shoulders, ready to answer any attack.	We all three stood up, rifles to our shoulders, ready to answer any attack.	true	52.04	57.19	24.09117
835_130876_000010_000000	"Apes maybe?" Ned Land exclaimed.	"Apes maybe?" Ned Land exclaimed.	true	57.53	60.28	25.8943
835_130876_000011_000000	"Nearly," Conseil replied.	"Nearly," Conseil replied.	false	60.47	62.655	24.214962
835_130876_000011_000001	"Savages."	"Savages."	true	62.655	63.7	23.984081
835_130876_000012_000000	"Head for the skiff!" I said, moving toward the sea.	"Head for the skiff!" I said, moving toward the sea.	true	64.49	67.9	24.8911
835_130876_000013_000000	Indeed, it was essential to beat a retreat because some twenty natives, armed with bows and slings, appeared barely a hundred paces off, on the outskirts of a thicket that masked the horizon to our right.	Indeed, it was essential to beat a retreat because some twenty natives, armed with bows and slings, appeared barely a hundred paces off, on the outskirts of a thicket that masked the horizon to our right.	true	68.54	80.71	24.209078
835_130876_000014_000000	The skiff was aground ten fathoms away from us.	The skiff was aground ten fathoms away from us.	true	81.08	84.19	21.56593
835_130876_000015_000000	The savages approached without running, but they favored us with a show of the greatest hostility.	The savages approached without running, but they favored us with a show of the greatest hostility.	true	84.68	90.06	22.200481
835_130876_000015_000001	It was raining stones and arrows.	It was raining stones and arrows.	true	90.06	92.2	17.861517
835_130876_000016_000000	Ned Land was unwilling to leave his provisions behind, and despite the impending danger, he clutched his pig on one side, his kangaroos on the other, and scampered off with respectable speed.	Ned Land was unwilling to leave his provisions behind, and despite the impending danger, he clutched his pig on one side, his kangaroos on the other, and scampered off with respectable speed.	true	92.81	103.87	21.796726
835_130876_000017_000000	In two minutes we were on the strand.	In two minutes we were on the strand.	true	104.36	106.87	23.54036
835_130876_000017_000001	Loading provisions and weapons into the skiff, pushing it to sea, and positioning its two oars were the work of an instant.	Loading provisions and weapons into the skiff, pushing it to sea, and positioning its two oars were the work of an instant.	false	106.88	114.855	23.678383
835_130876_000017_000002	We hadn't gone two cable lengths when a hundred savages, howling and gesticulating, entered the water up to their waists.	We hadn't gone two cable lengths when a hundred savages, howling and gesticulating, entered the water up to their waists.	true	114.855	121.9	20
835_130876_000017_000003	I looked to see if their appearance might draw some of the Nautilus's men onto the platform.	I looked to see if their appearance might draw some of the Nautilus's men onto the platform.	true	122.3	127.21	24.002115
835_130876_000017_000004	But no. Lying well out, that enormous machine still seemed completely deserted.	But no Lying well out, that enormous machine still seemed completely deserted.	true	127.22	132.1	21
835_130876_000018_000000	Twenty minutes later we boarded ship.	Twenty minutes later we boarded ship.	false	133.01	135.315	22.658833
835_130876_000018_000001	The hatches were open. After mooring the skiff, we reentered the Nautilus's interior.	The hatches were open. After mooring the skiff, we reentered the Nautilus's interior.	true	135.315	140.2	23.405067
835_130876_000019_000000	I went below to the lounge, from which some chords were wafting. Captain Nemo was there, leaning over the organ, deep in a musical trance.	I went below to the lounge, from which some chords were wafting. Captain Nemo was there, leaning over the organ, deep in a musical trance.	true	140.87	149.92	23.441416
835_130876_000020_000000	"Captain!" I said to him.	"Captain!" I said to him.	true	150.44	152.38	24.001337
835_130876_000021_000000	He didn't hear me.	He didn't hear me.	true	152.6	153.76	23.294704
835_130876_000022_000000	"Captain!" I went on, touching him with my hand.	"Captain!" I went on, touching him with my hand.	true	154.13	157.42	24.733782
835_130876_000023_000000	He trembled, and turning around:	He trembled, and turning around:	true	157.94	160.42	22.707823
835_130876_000024_000000	"Ah, it's you, professor!" he said to me.	"Ah, it's you, professor!" he said to me.	true	160.46	163.125	23.458145
835_130876_000024_000001	"Well, did you have a happy hunt?	"Well, did you have a happy hunt?	true	163.125	165.105	24.667746
835_130876_000024_000002	Was your herb gathering a success?"	Was your herb gathering a success?"	true	165.105	167.2	23.94783
835_130876_000025_000000	"Yes, captain," I replied, "but unfortunately we've brought back a horde of bipeds whose proximity worries me."	"Yes, captain," I replied, "but unfortunately we've brought back a horde of bipeds whose proximity worries me."	true	167.78	174.43	24.79479
835_130876_000026_000000	"What sort of bipeds?"	"What sort of bipeds?"	true	175.07	176.62	23.617958
835_130876_000027_000000	"Savages."	"Savages."	true	176.99	178.06	25.739183
835_130876_000028_000000	"Savages!" Captain Nemo replied in an ironic tone.	"Savages!" Captain Nemo replied in an ironic tone.	true	178.67	182.89	23.655706
835_130876_000028_000001	"You set foot on one of the shores of this globe, professor, and you're surprised to find savages there?	"You set foot on one of the shores of this globe, professor, and you're surprised to find savages there?	true	183.74	190.51	23.11724
835_130876_000028_000002	Where aren't there savages? And besides, are they any worse than men elsewhere, these people you call savages?"	Where aren't there savages? And besides, are they any worse than men elsewhere, these people you call savages?"	true	190.52	197.8	22.151333
835_130876_000029_000000	"But captain--"	"But captain-"	true	198.47	199.57	21.973228
835_130876_000030_000000	"Speaking for myself, sir, I've encountered them everywhere."	"Speaking for myself, sir, I've encountered them everywhere."	true	199.91	204.13	21.592846
835_130876_000031_000000	"Well then," I replied, "if you don't want to welcome them aboard the Nautilus, you'd better take some precautions!"	"Well then," I replied, "if you don't want to welcome them aboard the Nautilus, you'd better take some precautions!"	true	204.71	211.3	24.226185
835_130876_000032_000000	"Easy, professor, no cause for alarm."	"Easy, professor, no cause for alarm."	true	211.88	214.75	23.679392
835_130876_000033_000000	"But there are a large number of these natives."	"But there are a large number of these natives."	true	215.18	217.78	19.663433
835_130876_000034_000000	"What's your count?"	"What's your count?"	true	218.3	219.52	25.973621
835_130876_000035_000000	"At least a hundred."	"At least a hundred."	true	219.62	220.99	20.64377
835_130876_000036_000000	"Professor Aronnax," replied Captain Nemo, whose fingers took their places again on the organ keys, "if every islander in Papua were to gather on that beach, the Nautilus would still have nothing to fear from their attacks!"	"Professor Aronnax," replied Captain Nemo, whose fingers took their places again on the organ keys, "if every islander in Papua were to gather on that beach, the Nautilus would still have nothing to fear from their attacks!"	false	221.45	235.06	22.731691
835_130876_000037_000000	The captain's fingers then ran over the instrument's keyboard, and I noticed that he touched only its black keys, which gave his melodies a basically Scottish color.	The captain's fingers then ran over the instrument's keyboard, and I noticed that he touched only its black keys, which gave his melodies a basically Scottish color.	true	235.67	246.01	22.480335
835_130876_000037_000001	Soon he had forgotten my presence and was lost in a reverie that I no longer tried to dispel.	Soon he had forgotten my presence and was lost in a reverie that I no longer tried to dispel.	true	246.02	251.56	19
835_130876_000038_000000	I climbed onto the platform.	I climbed onto the platform.	true	252.23	254.295	24.710527
835_130876_000038_000001	Night had already fallen, because in this low latitude the sun sets quickly, without any twilight. I could see Gueboroa Island only dimly.	Night had already fallen, because in this low latitude the sun sets quickly, without any twilight. I could see Gueboroa Island only dimly.	true	254.295	263.17	22.469002
835_130876_000038_000002	But numerous fires had been kindled on the beach, attesting that the natives had no thoughts of leaving it.	But numerous fires had been kindled on the beach, attesting that the natives had no thoughts of leaving it.	false	263.27	268.9	22
835_130876_000039_000000	For several hours I was left to myself, sometimes musing on the islanders-- but no longer fearing them because the captain's unflappable confidence had won me over--and sometimes forgetting them to marvel at the splendors of this tropical night.	For several hours I was left to myself, sometimes musing on the islanders- but no longer fearing them because the captain's unflappable confidence had won me over-and sometimes forgetting them to marvel at the splendors of this tropical night.	true	269.69	283.05	21.284832
835_130876_000039_000001	My memories took wing toward France, in the wake of those zodiacal stars due to twinkle over it in a few hours. The moon shone in the midst of the constellations at their zenith. I then remembered that this loyal, good-natured satellite would return to this same place the day after tomorrow, to raise the tide and tear the Nautilus from its coral bed. Near midnight, seeing that all was quiet over the darkened waves as well as under the waterside trees, I repaired to my cabin and fell into a peaceful sleep.	My memories took wing toward France, in the wake of those zodiacal stars due to twinkle over it in a few hours. The moon shone in the midst of the constellations at their zenith. I then remembered that this loyal, good-natured satellite would return to this same place the day after tomorrow, to raise the tide and tear the Nautilus from its coral bed. Near midnight, seeing that all was quiet over the darkened waves as well as under the waterside trees, I repaired to my cabin and fell into a peaceful sleep.	false	283.05	313.72	22.580202
835_130876_000040_000000	The night passed without mishap.	The night passed without mishap.	true	314.45	316.69	25.431362
835_130876_000040_000001	No doubt the Papuans had been frightened off by the mere sight of this monster aground in the bay, because our hatches stayed open, offering easy access to the Nautilus's interior.	No doubt the Papuans had been frightened off by the mere sight of this monster aground in the bay, because our hatches stayed open, offering easy access to the Nautilus's interior.	true	316.7	327.73	23.513117
