835_130876_000005_000000	The Lightning Bolts of Captain Nemo	The Lightning Bolts of Captain Nemo
835_130876_000006_000000	WITHOUT STANDING UP, we stared in the direction of the forest, my hand stopping halfway to my mouth, Ned Land's completing its assignment.	WITHOUT STANDING UP, we stared in the direction of the forest, my hand stopping halfway to my mouth, Ned Land's completing its assignment.
835_130876_000008_000000	A second well-polished stone removed a tasty ringdove leg from Conseil's hand, giving still greater relevance to his observation.	A second well polished stone removed a tasty ringdove leg from Conseil's hand, giving still greater relevance to his observation.
835_130876_000009_000000	We all three stood up, rifles to our shoulders, ready to answer any attack.	We all three stood up, rifles to our shoulders, ready to answer any attack.
835_130876_000010_000000	"Apes maybe?" Ned Land exclaimed.	"Apes maybe?" Ned Land exclaimed.
835_130876_000011_000001	"Savages."	"Savages."
835_130876_000012_000000	"Head for the skiff!" I said, moving toward the sea.	"Head for the skiff!" I said, moving toward the sea.
835_130876_000013_000000	Indeed, it was essential to beat a retreat because some twenty natives, armed with bows and slings, appeared barely a hundred paces off, on the outskirts of a thicket that masked the horizon to our right.	Indeed, it was essential to beat a retreat because some twenty natives, armed with bows and slings, appeared barely a hundred paces off, on the outskirts of a thicket that masked the horizon to our right.
835_130876_000014_000000	The skiff was aground ten fathoms away from us.	The skiff was aground ten fathoms away from us.
835_130876_000015_000000	The savages approached without running, but they favored us with a show of the greatest hostility.	The savages approached without running, but they favored us with a show of the greatest hostility.
835_130876_000016_000000	Ned Land was unwilling to leave his provisions behind, and despite the impending danger, he clutched his pig on one side, his kangaroos on the other, and scampered off with respectable speed.	Ned Land was unwilling to leave his provisions behind, and despite the impending danger, he clutched his pig on one side, his kangaroos on the other, and scampered off with respectable speed.
835_130876_000017_000000	In two minutes we were on the strand.	In two minutes we were on the strand.
835_130876_000017_000002	We hadn't gone two cable lengths when a hundred savages, howling and gesticulating, entered the water up to their waists.	We hadn't gone two cable lengths when a hundred savages, howling and gesticulating, entered the water up to their waists.
835_130876_000017_000003	I looked to see if their appearance might draw some of the Nautilus's men onto the platform.	I looked to see if their appearance might draw some of the Nautilus's men onto the platform.
835_130876_000017_000004	But no. Lying well out, that enormous machine still seemed completely deserted.	But no Lying well out, that enormous machine still seemed completely deserted.
835_130876_000018_000001	The hatches were open. After mooring the skiff, we reentered the Nautilus's interior.	The hatches were open. After mooring the skiff, we reentered the Nautilus's interior.
835_130876_000019_000000	I went below to the lounge, from which some chords were wafting. Captain Nemo was there, leaning over the organ, deep in a musical trance.	I went below to the lounge, from which some chords were wafting. Captain Nemo was there, leaning over the organ, deep in a musical trance.
835_130876_000020_000000	"Captain!" I said to him.	"Captain!" I said to him.
835_130876_000021_000000	He didn't hear me.	He didn't hear me.
835_130876_000022_000000	"Captain!" I went on, touching him with my hand.	"Captain!" I went on, touching him with my hand.
835_130876_000023_000000	He trembled, and turning around:	He trembled, and turning around:
835_130876_000024_000000	"Ah, it's you, professor!" he said to me.	"Ah, it's you, professor!" he said to me.
835_130876_000024_000001	"Well, did you have a happy hunt?	"Well, did you have a happy hunt?
835_130876_000024_000002	Was your herb gathering a success?"	Was your herb gathering a success?"
835_130876_000025_000000	"Yes, captain," I replied, "but unfortunately we've brought back a horde of bipeds whose proximity worries me."	"Yes, captain," I replied, "but unfortunately we've brought back a horde of bipeds whose proximity worries me."
835_130876_000026_000000	"What sort of bipeds?"	"What sort of bipeds?"
835_130876_000027_000000	"Savages."	"Savages."
835_130876_000028_000000	"Savages!" Captain Nemo replied in an ironic tone.	"Savages!" Captain Nemo replied in an ironic tone.
835_130876_000028_000001	"You set foot on one of the shores of this globe, professor, and you're surprised to find savages there?	"You set foot on one of the shores of this globe, professor, and you're surprised to find savages there?
835_130876_000028_000002	Where aren't there savages? And besides, are they any worse than men elsewhere, these people you call savages?"	Where aren't there savages? And besides, are they any worse than men elsewhere, these people you call savages?"
835_130876_000029_000000	"But captain--"	"But captain-"
835_130876_000030_000000	"Speaking for myself, sir, I've encountered them everywhere."	"Speaking for myself, sir, I've encountered them everywhere."
835_130876_000031_000000	"Well then," I replied, "if you don't want to welcome them aboard the Nautilus, you'd better take some precautions!"	"Well then," I replied, "if you don't want to welcome them aboard the Nautilus, you'd better take some precautions!"
835_130876_000032_000000	"Easy, professor, no cause for alarm."	"Easy, professor, no cause for alarm."
835_130876_000034_000000	"What's your count?"	"What's your count?"
835_130876_000035_000000	"At least a hundred."	"At least a hundred."
835_130876_000037_000000	The captain's fingers then ran over the instrument's keyboard, and I noticed that he touched only its black keys, which gave his melodies a basically Scottish color.	The captain's fingers then ran over the instrument's keyboard, and I noticed that he touched only its black keys, which gave his melodies a basically Scottish color.
835_130876_000038_000000	I climbed onto the platform.	I climbed onto the platform.
835_130876_000038_000001	Night had already fallen, because in this low latitude the sun sets quickly, without any twilight. I could see Gueboroa Island only dimly.	Night had already fallen, because in this low latitude the sun sets quickly, without any twilight. I could see Gueboroa Island only dimly.
835_130876_000039_000000	For several hours I was left to myself, sometimes musing on the islanders-- but no longer fearing them because the captain's unflappable confidence had won me over--and sometimes forgetting them to marvel at the splendors of this tropical night.	For several hours I was left to myself, sometimes musing on the islanders- but no longer fearing them because the captain's unflappable confidence had won me over-and sometimes forgetting them to marvel at the splendors of this tropical night.
835_130876_000040_000000	The night passed without mishap.	The night passed without mishap.
835_130876_000040_000001	No doubt the Papuans had been frightened off by the mere sight of this monster aground in the bay, because our hatches stayed open, offering easy access to the Nautilus's interior.	No doubt the Papuans had been frightened off by the mere sight of this monster aground in the bay, because our hatches stayed open, offering easy access to the Nautilus's interior.
835_130876_000041_000000	At six o'clock in the morning, January 8, I climbed onto the platform. The morning shadows were lifting.	At six o'clock in the morning, january eighth, I climbed onto the platform. The morning shadows were lifting.
835_130876_000041_000001	The island was soon on view through the dissolving mists, first its beaches, then its summits.	The island was soon on view through the dissolving mists, first its beaches, then its summits.
835_130876_000042_000000	The islanders were still there, in greater numbers than on the day before, perhaps 500 or 600 of them.	The islanders were still there, in greater numbers than on the day before, perhaps five hundred or six hundred of them.
835_130876_000042_000003	Beneath their pierced, distended earlobes there dangled strings of beads made from bone. Generally these savages were naked.	Beneath their pierced, distended earlobes there dangled strings of beads made from bone. Generally these savages were naked.
835_130876_000042_000004	I noted some women among them, dressed from hip to knee in grass skirts held up by belts made of vegetation.	I noted some women among them, dressed from hip to knee in grass skirts held up by belts made of vegetation.
835_130876_000043_000000	One of these chieftains came fairly close to the Nautilus, examining it with care.	One of these chieftains came fairly close to the Nautilus, examining it with care.
835_130876_000043_000001	He must have been a "mado" of high rank, because he paraded in a mat of banana leaves that had ragged edges and was accented with bright colors.	He must have been a "mado" of high rank, because he paraded in a mat of banana leaves that had ragged edges and was accented with bright colors.
835_130876_000044_000000	I could easily have picked off this islander, he stood at such close range; but I thought it best to wait for an actual show of hostility. Between Europeans and savages, it's acceptable for Europeans to shoot back but not to attack first.	I could easily have picked off this islander, he stood at such close range; but I thought it best to wait for an actual show of hostility. Between Europeans and savages, it's acceptable for Europeans to shoot back but not to attack first.
835_130876_000045_000000	During this whole time of low tide, the islanders lurked near the Nautilus, but they weren't boisterous.	During this whole time of low tide, the islanders lurked near the Nautilus, but they weren't boisterous.
835_130876_000045_000001	I often heard them repeat the word "assai," and from their gestures I understood they were inviting me to go ashore, an invitation I felt obliged to decline.	I often heard them repeat the word "assai," and from their gestures I understood they were inviting me to go ashore, an invitation I felt obliged to decline.
835_130876_000046_000000	So the skiff didn't leave shipside that day, much to the displeasure of Mr. Land who couldn't complete his provisions. The adroit Canadian spent his time preparing the meat and flour products he had brought from Gueboroa Island.	So the skiff didn't leave shipside that day, much to the displeasure of mr Land who couldn't complete his provisions. The adroit Canadian spent his time preparing the meat and flour products he had brought from Gueboroa Island.
835_130876_000046_000002	However, I didn't see one local dugout canoe.	However, I didn't see one local dugout canoe.
835_130876_000047_000001	Besides, it was the last day the Nautilus would spend in these waterways, if, tomorrow, it still floated off to the open sea as Captain Nemo had promised.	Besides, it was the last day the Nautilus would spend in these waterways, if, tomorrow, it still floated off to the open sea as Captain Nemo had promised.
835_130876_000050_000000	"They're cannibals even so, my boy."	"They're cannibals even so, my boy."
835_130876_000051_000000	"A person can be both a cannibal and a decent man," Conseil replied, "just as a person can be both gluttonous and honorable. The one doesn't exclude the other."	"A person can be both a cannibal and a decent man," Conseil replied, "just as a person can be both gluttonous and honorable. The one doesn't exclude the other."
835_130876_000052_000002	However, I'm opposed to being devoured, even in all decency, so I'll keep on my guard, especially since the Nautilus's commander seems to be taking no precautions. And now let's get to work!"	However, I'm opposed to being devoured, even in all decency, so I'll keep on my guard, especially since the Nautilus's commander seems to be taking no precautions. And now let's get to work!"
835_130876_000053_000000	For two hours our fishing proceeded energetically but without bringing up any rarities.	For two hours our fishing proceeded energetically but without bringing up any rarities.
835_130876_000053_000001	Our dragnet was filled with Midas abalone, harp shells, obelisk snails, and especially the finest hammer shells I had seen to that day.	Our dragnet was filled with Midas abalone, harp shells, obelisk snails, and especially the finest hammer shells I had seen to that day.
835_130876_000056_000000	"No, my boy, but I'd gladly have sacrificed a finger for such a find!"	"No, my boy, but I'd gladly have sacrificed a finger for such a find!"
835_130876_000059_000000	"But that's simply an olive shell of the 'tent olive' species, genus Oliva, order Pectinibranchia, class Gastropoda, branch Mollusca--"	"But that's simply an olive shell of the 'tent olive' species, genus Oliva, order Pectinibranchia, class Gastropoda, branch Mollusca-"
835_130876_000060_000001	But instead of coiling from right to left, this olive shell rolls from left to right!"	But instead of coiling from right to left, this olive shell rolls from left to right!"
835_130876_000061_000000	"It can't be!" Conseil exclaimed.	"It can't be!" Conseil exclaimed.
835_130876_000062_000000	"Yes, my boy, it's a left-handed shell!"	"Yes, my boy, it's a left-handed shell!"
835_130876_000063_000000	"A left-handed shell!" Conseil repeated, his heart pounding.	"A left-handed shell!" Conseil repeated, his heart pounding.
835_130876_000064_000000	"Look at its spiral!"	"Look at its spiral!"
835_130876_000066_000000	And there was good reason to be excited!	And there was good reason to be excited!
835_130876_000066_000001	In fact, as naturalists have ventured to observe, "dextrality" is a well-known law of nature. In their rotational and orbital movements, stars and their satellites go from right to left.	In fact, as naturalists have ventured to observe, "dextrality" is a well-known law of nature. In their rotational and orbital movements, stars and their satellites go from right to left.
835_130876_000066_000002	Man uses his right hand more often than his left, and consequently his various instruments and equipment (staircases, locks, watch springs, etc.) are designed to be used in a right-to-left manner. Now then, nature has generally obeyed this law in coiling her shells. They're right-handed with only rare exceptions, and when by chance a shell's spiral is left-handed, collectors will pay its weight in gold for it.	Man uses his right hand more often than his left, and consequently his various instruments and equipment (staircases, locks, watch springs, etc) are designed to be used in a right to left manner. Now then, nature has generally obeyed this law in coiling her shells. They're right handed with only rare exceptions, and when by chance a shell's spiral is left-handed, collectors will pay its weight in gold for it.
835_130876_000068_000000	I gave a yell of despair!	I gave a yell of despair!
835_130876_000068_000001	Conseil pounced on his rifle and aimed at a savage swinging a sling just ten meters away from him. I tried to stop him, but his shot went off and shattered a bracelet of amulets dangling from the islander's arm.	Conseil pounced on his rifle and aimed at a savage swinging a sling just ten meters away from him. I tried to stop him, but his shot went off and shattered a bracelet of amulets dangling from the islander's arm.
835_130876_000070_000001	What?	What?
835_130876_000070_000002	Didn't master see that this man-eater initiated the attack?"	Didn't master see that this man eater initiated the attack?"
835_130876_000071_000000	"A shell isn't worth a human life!" I told him.	"A shell isn't worth a human life!" I told him.
835_130876_000072_000000	"Oh, the rascal!" Conseil exclaimed.	"Oh, the rascal!" Conseil exclaimed.
835_130876_000072_000001	"I'd rather he cracked my shoulder!"	"I'd rather he cracked my shoulder!"
835_130876_000073_000001	Now some twenty dugout canoes were surrounding the Nautilus.	Now some twenty dugout canoes were surrounding the Nautilus.
835_130876_000073_000002	Hollowed from tree trunks, these dugouts were long, narrow, and well designed for speed, keeping their balance by means of two bamboo poles that floated on the surface of the water. They were maneuvered by skillful, half-naked paddlers, and I viewed their advance with definite alarm.	Hollowed from tree trunks, these dugouts were long, narrow, and well designed for speed, keeping their balance by means of two bamboo poles that floated on the surface of the water. They were maneuvered by skillful, half naked paddlers, and I viewed their advance with definite alarm.
835_130876_000074_000002	Without thunderclaps, lightning bolts would be much less frightening, although the danger lies in the flash, not the noise.	Without thunderclaps, lightning bolts would be much less frightening, although the danger lies in the flash, not the noise.
835_130876_000075_000000	Just then the dugout canoes drew nearer to the Nautilus, and a cloud of arrows burst over us.	Just then the dugout canoes drew nearer to the Nautilus, and a cloud of arrows burst over us.
835_130876_000077_000000	"We've got to alert Captain Nemo," I said, reentering the hatch.	"We've got to alert Captain Nemo," I said, reentering the hatch.
835_130876_000078_000000	I went below to the lounge.	I went below to the lounge.
835_130876_000078_000001	I found no one there.	I found no one there.
835_130876_000078_000002	I ventured a knock at the door opening into the captain's stateroom.	I ventured a knock at the door opening into the captain's stateroom.
835_130876_000079_000000	The word "Enter!" answered me.	The word "Enter!" answered me.
835_130876_000079_000001	I did so and found Captain Nemo busy with calculations in which there was no shortage of X and other algebraic signs.	I did so and found Captain Nemo busy with calculations in which there was no shortage of X and other algebraic signs.
835_130876_000080_000000	"Am I disturbing you?" I said out of politeness.	"Am I disturbing you?" I said out of politeness.
835_130876_000081_000000	"Correct, Professor Aronnax," the captain answered me. "But I imagine you have pressing reasons for looking me up?"	"Correct, Professor Aronnax," the captain answered me. "But I imagine you have pressing reasons for looking me up?"
835_130876_000082_000000	"Very pressing.	"Very pressing.
835_130876_000082_000001	Native dugout canoes are surrounding us, and in a few minutes we're sure to be assaulted by several hundred savages."	Native dugout canoes are surrounding us, and in a few minutes we're sure to be assaulted by several hundred savages."
835_130876_000083_000000	"Ah!" Captain Nemo put in serenely.	"Ah!" Captain Nemo put in serenely.
835_130876_000085_000000	"Well, sir, closing the hatches should do the trick."	"Well, sir, closing the hatches should do the trick."
835_130876_000086_000000	"Precisely, and that's what I came to tell you--"	"Precisely, and that's what I came to tell you-"
835_130876_000087_000000	"Nothing easier," Captain Nemo said.	"Nothing easier," Captain Nemo said.
835_130876_000088_000000	And he pressed an electric button, transmitting an order to the crew's quarters.	And he pressed an electric button, transmitting an order to the crew's quarters.
835_130876_000089_000000	"There, sir, all under control!" he told me after a few moments. "The skiff is in place and the hatches are closed.	"There, sir, all under control!" he told me after a few moments. "The skiff is in place and the hatches are closed.
835_130876_000090_000000	"No, captain, but one danger still remains."	"No, captain, but one danger still remains."
835_130876_000091_000000	"What's that, sir?"	"What's that, sir?"
835_130876_000094_000000	"But if these Papuans are occupying the platform at that moment, I don't see how you can prevent them from entering."	"But if these Papuans are occupying the platform at that moment, I don't see how you can prevent them from entering."
