1289_288043_000000_000000	APPENDIX	APPENDIX
1289_288043_000001_000002	We shall present these together with our reply as they appeared on the Sunday Programs of the Independent Religious Society.	We shall present these together with our reply as they appeared on the Sunday Programs of the Independent Religious Society.
1289_288043_000002_000000	Criticism is welcome.	Criticism is welcome.
1289_288043_000002_000001	If the criticism is just, it prevents us from making the same mistake twice; if it is unjust, it gives us an opportunity to correct the error our critic has fallen into.	If the criticism is just, it prevents us from making the same mistake twice; if it is unjust, it gives us an opportunity to correct the error our critic has fallen into.
1289_288043_000002_000002	No one's knowledge is perfect.	No one's knowledge is perfect.
1289_288043_000002_000003	But the question is, does a teacher suppress the facts?	But the question is, does a teacher suppress the facts?
1289_288043_000002_000004	Does he insist on remaining ignorant of the facts?	Does he insist on remaining ignorant of the facts?
1289_288043_000003_000000	FROM THE SUNDAY PROGRAMS	FROM THE SUNDAY PROGRAMS
1289_288043_000005_000000	Now that the debate on one of the most vital questions of modern religious thought--The Historicity of Jesus--is in print, a few further reflections on some minor points in Dr. Crapsey's argument may add to the value of the published copy.	Now that the debate on one of the most vital questions of modern religious thought-The Historicity of Jesus-is in print, a few further reflections on some minor points in dr Crapsey's argument may add to the value of the published copy.
1289_288043_000006_000000	REV. DR.	REV. dr
1289_288043_000007_000000	ANSWER: The only way this question can be settled is by appealing to history.	ANSWER: The only way this question can be settled is by appealing to history.
1289_288043_000007_000001	Mithraism is a variant religion, which at one time spread over the Roman Empire and came near outclassing Christianity.	Mithraism is a variant religion, which at one time spread over the Roman Empire and came near outclassing Christianity.
1289_288043_000008_000000	Religions, as well as their variations, appear as new branches do upon an old tree.	Religions, as well as their variations, appear as new branches do upon an old tree.
1289_288043_000009_000000	But the popular imagination craves a Maker for the Universe, a founder for Rome, a first man for the human race, and a great chief as the starter of the tribe.	But the popular imagination craves a Maker for the Universe, a founder for Rome, a first man for the human race, and a great chief as the starter of the tribe.
1289_288043_000010_000000	Because Mohammed is historical, it does not follow that Moses is also historical.	Because Mohammed is historical, it does not follow that Moses is also historical.
1289_288043_000011_000000	REV. DR.	REV. dr
1289_288043_000013_000000	REV. DR.	REV. dr
1289_288043_000014_000000	ANSWER: But in the same sentence the doctor takes all this back by adding: "There are a great many things in his history that are not historical." If so, then we do not possess "a very distinctly outlined history," but at best a mixture of fact and fiction.	ANSWER: But in the same sentence the doctor takes all this back by adding: "There are a great many things in his history that are not historical." If so, then we do not possess "a very distinctly outlined history," but at best a mixture of fact and fiction.
1289_288043_000015_000000	REV. DR.	REV. dr
1289_288043_000016_000000	ANSWER: How long was "the time from the opening of Jesus' public career until the time that it closed?"--One year!--according to the three gospels.	ANSWER: How long was "the time from the opening of Jesus' public career until the time that it closed?"--One year!--according to the three gospels.
1289_288043_000016_000001	It sounds quite a period to speak of "following his public career" from beginning to end, especially when compared with Caesar's, until it is remembered that the entire public career of Jesus covers the space of only one year.	It sounds quite a period to speak of "following his public career" from beginning to end, especially when compared with Caesar's, until it is remembered that the entire public career of Jesus covers the space of only one year.
1289_288043_000016_000003	With the exception of one year, his whole life is hid in impenetrable darkness.	With the exception of one year, his whole life is hid in impenetrable darkness.
1289_288043_000016_000004	We know nothing of his childhood, nothing of his old age, if he lived to be old, and of his youth, we know just enough to fill up a year.	We know nothing of his childhood, nothing of his old age, if he lived to be old, and of his youth, we know just enough to fill up a year.
1289_288043_000016_000005	Under the circumstances, there is no comparison between the public career of a Caesar or a Socrates covering from fifty to seventy years of time, and that of a Jesus of whose life only one brief year is thrown upon the canvas.	Under the circumstances, there is no comparison between the public career of a Caesar or a Socrates covering from fifty to seventy years of time, and that of a Jesus of whose life only one brief year is thrown upon the canvas.
1289_288043_000018_000000	REV. DR.	REV. dr
1289_288043_000020_000000	But if the 'Christ' which the Hebrews expected was "purely mythical," what makes the same 'Christ' in the supposed Tacitus passage historical?	But if the 'Christ' which the hebrews expected was "purely mythical," what makes the same 'Christ' in the supposed Tacitus passage historical?
1289_288043_000021_000003	William Tell is a myth--not the name, but the man the name stands for.	William Tell is a myth-not the name, but the man the name stands for.
1289_288043_000021_000005	To answer that Jesus is historical, but The Anointed is not, is to evade the question.	To answer that Jesus is historical, but The Anointed is not, is to evade the question.
