1289_288043_000000_000000	APPENDIX	APPENDIX	true	25.65	26.68	29.315954
1289_288043_000001_000000	The argument in this volume will be better understood if we give to our readers the comments and criticisms which our little pamphlet, _Jesus a Myth,_ and _The Mangasarian-Crapsey Debate on the Historicity of Jesus, _[Footnote: Price, 25c.	The argument in this volume will be better understood if we give to our readers the comments and criticisms which our little pamphlet, underscore Jesus a Myth,underscore and underscore The Mangasarian Crapsey Debate on the Historicity of Jesus, underscore[Footnote: Price, twenty five c.	false	30.02	42.69	23.799324
1289_288043_000001_000001	Independent Religious Society, Orchestra Hall, Chicago.] called forth from orthodox and liberal clergymen.	Independent Religious Society, Orchestra Hall, Chicago.] called forth from orthodox and liberal clergymen.	false	42.69	46.03	23.358423
1289_288043_000001_000002	We shall present these together with our reply as they appeared on the Sunday Programs of the Independent Religious Society.	We shall present these together with our reply as they appeared on the Sunday Programs of the Independent Religious Society.	true	47.21	54.31	25.146137
1289_288043_000002_000000	Criticism is welcome.	Criticism is welcome.	true	54.68	56.38	20.600325
1289_288043_000002_000001	If the criticism is just, it prevents us from making the same mistake twice; if it is unjust, it gives us an opportunity to correct the error our critic has fallen into.	If the criticism is just, it prevents us from making the same mistake twice; if it is unjust, it gives us an opportunity to correct the error our critic has fallen into.	true	56.48	67.39	23.183306
1289_288043_000002_000002	No one's knowledge is perfect.	No one's knowledge is perfect.	true	67.79	69.645	21.591871
1289_288043_000002_000003	But the question is, does a teacher suppress the facts?	But the question is, does a teacher suppress the facts?	true	69.645	72.76	28.301598
1289_288043_000002_000004	Does he insist on remaining ignorant of the facts?	Does he insist on remaining ignorant of the facts?	true	73.01	75.73	23.123615
1289_288043_000003_000000	FROM THE SUNDAY PROGRAMS	FROM THE SUNDAY PROGRAMS	true	76.88	78.42	26.234783
1289_288043_000004_000000	I	I	false	78.42	80.37	18.322975
1289_288043_000005_000000	Now that the debate on one of the most vital questions of modern religious thought--The Historicity of Jesus--is in print, a few further reflections on some minor points in Dr. Crapsey's argument may add to the value of the published copy.	Now that the debate on one of the most vital questions of modern religious thought-The Historicity of Jesus-is in print, a few further reflections on some minor points in dr Crapsey's argument may add to the value of the published copy.	true	80.37	93.85	23.98365
1289_288043_000006_000000	REV. DR.	REV. dr	true	94.73	95.52	35.329895
1289_288043_000006_000001	CRAPSEY: "Now, I say this is the great law of religious variation, that in almost every instance, indeed, I think, in every single instance in history, all such movements begin with a _single_ personality." (P. 5, _Mangasarian-Crapsey Debate._)	c r a p s e y: "Now, I say this is the great law of religious variation, that in almost every instance, indeed, I think, in every single instance in history, all such movements begin with a underscore single underscore personality." (P. five, underscore Mangasarian Crapsey Debate.underscore)	false	95.52	111.54	21.590706
1289_288043_000007_000000	ANSWER: The only way this question can be settled is by appealing to history.	ANSWER: The only way this question can be settled is by appealing to history.	true	111.54	116.17	22.518517
1289_288043_000007_000001	Mithraism is a variant religion, which at one time spread over the Roman Empire and came near outclassing Christianity.	Mithraism is a variant religion, which at one time spread over the Roman Empire and came near outclassing Christianity.	true	116.27	123.37	21.980064
1289_288043_000007_000002	Yet, Mithra, represented as a young man, and worshiped as a god, is a myth. How, then, did Mithraism arise?	Yet, Mithra, represented as a young man, and worshiped as a god, is a myth. How, then, did Mithraism arise?	false	123.53	130.57	21.924541
1289_288043_000008_000000	Religions, as well as their variations, appear as new branches do upon an old tree.	Religions, as well as their variations, appear as new branches do upon an old tree.	true	130.91	135.97	21
1289_288043_000008_000001	The new branch is quite as much the product of the soil and climate as the parent tree.	The new branch is quite as much the product of the soil and climate as the parent tree.	false	136.16	140.89	22.942616
1289_288043_000008_000002	Like Brahmanism, Judaism, Shinto and the Babylonian and Egyptian Cults, which had no _single_ founders, Christianity is a _deposit_ to which Hellenic, Judaic and Latin tendencies have each contributed its quota.	Like Brahmanism, Judaism, Shinto and the Babylonian and Egyptian Cults, which had no underscore single underscore founders, Christianity is a underscore deposit underscore to which Hellenic, Judaic and Latin tendencies have each contributed its quota.	false	141.2	155.59	22.772955
1289_288043_000009_000000	But the popular imagination craves a Maker for the Universe, a founder for Rome, a first man for the human race, and a great chief as the starter of the tribe.	But the popular imagination craves a Maker for the Universe, a founder for Rome, a first man for the human race, and a great chief as the starter of the tribe.	true	156.35	165.81	23.886833
1289_288043_000009_000001	In the same way it fancies a divine, or semi- divine being as the author of its _credo._	In the same way it fancies a divine, or semi divine being as the author of its underscore credo.underscore	false	165.81	171.45	21.620861
1289_288043_000010_000000	Because Mohammed is historical, it does not follow that Moses is also historical.	Because Mohammed is historical, it does not follow that Moses is also historical.	true	171.45	175.9	20.733774
1289_288043_000010_000001	That argument would prove too much.	That argument would prove too much.	true	175.94	177.85	19.361677
1289_288043_000011_000000	REV. DR.	REV. dr	true	178.79	179.52	34.38822
1289_288043_000011_000001	CRAPSEY: "We would be in the same position that the astronomers were when they discovered the great planet Uranus--from their knowledge of the movements of these bodies they were convinced that these perturbations could be occasioned by nothing less than a great planet lying outside of the then view of mankind."(P. 6, _Ibid._)	c r a p s e y: "We would be in the same position that the astronomers were when they discovered the great planet Uranus-from their knowledge of the movements of these bodies they were convinced that these perturbations could be occasioned by nothing less than a great planet lying outside of the then view of mankind."(P. six, underscore Ibid.underscore)	false	179.52	198.57	22.49206
1289_288043_000012_000000	ANSWER: But the astronomers did not rest until they converted the _probability_ of a near-by planet into _demonstration._ Jesus is still a probability.	ANSWER: But the astronomers did not rest until they converted the underscore probability underscore of a near by planet into underscore demonstration.underscore Jesus is still a probability.	false	198.57	207.91	23.400526
1289_288043_000013_000000	REV. DR.	REV. dr	true	208.94	209.67	21.660463
1289_288043_000013_000001	CRAPSEY: "We have of Jesus a very distinctly outlined history.	c r a p s e y: "We have of Jesus a very distinctly outlined history.	false	209.67	214.965	19.780792
1289_288043_000013_000002	There is nothing vague about him." (P. 12, _Ibid_.)	There is nothing vague about him." (P. twelve, underscore Ibid underscore.)	false	214.965	219.72	20.650488
1289_288043_000014_000000	ANSWER: But in the same sentence the doctor takes all this back by adding: "There are a great many things in his history that are not historical." If so, then we do not possess "a very distinctly outlined history," but at best a mixture of fact and fiction.	ANSWER: But in the same sentence the doctor takes all this back by adding: "There are a great many things in his history that are not historical." If so, then we do not possess "a very distinctly outlined history," but at best a mixture of fact and fiction.	true	219.72	235.18	22.299507
1289_288043_000015_000000	REV. DR.	REV. dr	true	236.27	237.03	31.329739
1289_288043_000015_000001	CRAPSEY: "We can follow Jesus' history from the time that he entered upon his public career until the time that career closed, just as easily as we can follow Caesar, etc." (P. 12, _Ibid_.)	c r a p s e y: "We can follow Jesus' history from the time that he entered upon his public career until the time that career closed, just as easily as we can follow Caesar, etc" (P. twelve, underscore Ibid underscore.)	false	237.03	251.16	20.89913
1289_288043_000016_000000	ANSWER: How long was "the time from the opening of Jesus' public career until the time that it closed?"--One year!--according to the three gospels.	ANSWER: How long was "the time from the opening of Jesus' public career until the time that it closed?"--One year!--according to the three gospels.	true	251.16	260.53	20.724686
1289_288043_000016_000001	It sounds quite a period to speak of "following his public career" from beginning to end, especially when compared with Caesar's, until it is remembered that the entire public career of Jesus covers the space of only one year.	It sounds quite a period to speak of "following his public career" from beginning to end, especially when compared with Caesar's, until it is remembered that the entire public career of Jesus covers the space of only one year.	true	260.72	272.61	22.536516
1289_288043_000016_000002	This is a most decisive argument against the historicity of Jesus.	This is a most decisive argument against the historicity of Jesus.	false	272.61	276.82	20.273193
