6550_53343_000000_000000	The church-door was open and I stepped in.	The church door was open and I stepped in.	false	0	1.35	22.252844
6550_53343_000000_000001	There hung the chaplet of flowers and the gloves, as on the day of the funeral: the flowers were withered, it is true, but care seemed to have been taken that no dust should soil their whiteness.	There hung the chaplet of flowers and the gloves, as on the day of the funeral: the flowers were withered, it is true, but care seemed to have been taken that no dust should soil their whiteness.	false	1.35	9.15	21.792902
6550_53343_000000_000002	I have seen many monuments where art has exhausted its powers to awaken the sympathy of the spectator, but I have met with none that spoke more touchingly to my heart than this simple but delicate memento of departed innocence.	I have seen many monuments where art has exhausted its powers to awaken the sympathy of the spectator, but I have met with none that spoke more touchingly to my heart than this simple but delicate memento of departed innocence.	false	9.15	23.775	22.27528
6550_53343_000001_000000	THE ANGLER.	THE ANGLER.	false	23.775	28.68	20.61415
6550_53343_000002_000000	This day Dame Nature seem'd in love, The lusty sap began to move, Fresh juice did stir th' embracing vines, And birds had drawn their valentines. The jealous trout that low did lie, Rose at a well-dissembled flie. There stood my friend, with patient skill, Attending of his trembling quill. SIR H. WOTTON.	This day Dame Nature seem'd in love, The lusty sap began to move, Fresh juice did stir t h' embracing vines, And birds had drawn their valentines. The jealous trout that low did lie, Rose at a well dissembled flie. There stood my friend, with patient skill, Attending of his trembling quill. SIR h WOTTON.	false	28.68	53.43	21.577662
6550_53343_000003_000000	IT is said that many an unlucky urchin is induced to run away from his family and betake himself to a seafaring life from reading the history of Robinson Crusoe; and I suspect that, in like manner, many of those worthy gentlemen who are given to haunt the sides of pastoral streams with angle-rods in hand may trace the origin of their passion to the seductive pages of honest Izaak Walton.	i t is said that many an unlucky urchin is induced to run away from his family and betake himself to a seafaring life from reading the history of Robinson Crusoe; and I suspect that, in like manner, many of those worthy gentlemen who are given to haunt the sides of pastoral streams with angle rods in hand may trace the origin of their passion to the seductive pages of honest Izaak Walton.	false	53.43	81.67	20.810078
6550_53343_000003_000001	I recollect studying his Complete Angler several years since in company with a knot of friends in America, and moreover that we were all completely bitten with the angling mania.	I recollect studying his Complete Angler several years since in company with a knot of friends in America, and moreover that we were all completely bitten with the angling mania.	false	82.31	94.63	23.36638
6550_53343_000003_000002	It was early in the year, but as soon as the weather was auspicious, and that the spring began to melt into the verge of summer, we took rod in hand and sallied into the country, as stark mad as was ever Don Quixote from reading books of chivalry.	It was early in the year, but as soon as the weather was auspicious, and that the spring began to melt into the verge of summer, we took rod in hand and sallied into the country, as stark mad as was ever Don Quixote from reading books of chivalry.	true	95.27	110.14	20.669226
6550_53343_000004_000000	One of our party had equalled the Don in the fulness of his equipments, being attired cap-a-pie for the enterprise.	One of our party had equalled the Don in the fulness of his equipments, being attired cap a pie for the enterprise.	true	111.32	118.24	23.732729
6550_53343_000004_000001	He wore a broad-skirted fustian coat, perplexed with half a hundred pockets; a pair of stout shoes and leathern gaiters; a basket slung on one side for fish; a patent rod, a landing net, and a score of other inconveniences only to be found in the true angler's armory.	He wore a broad skirted fustian coat, perplexed with half a hundred pockets; a pair of stout shoes and leathern gaiters; a basket slung on one side for fish; a patent rod, a landing net, and a score of other inconveniences only to be found in the true angler's armory.	true	118.64	136.45	22.083649
6550_53343_000004_000002	Thus harnessed for the field, he was as great a matter of stare and wonderment among the country folk, who had never seen a regular angler, as was the steel-clad hero of La Mancha among the goatherds of the Sierra Morena.	Thus harnessed for the field, he was as great a matter of stare and wonderment among the country folk, who had never seen a regular angler, as was the steel clad hero of La Mancha among the goatherds of the Sierra Morena.	true	137.12	151.18	21.796944
6550_53343_000005_000000	Our first essay was along a mountain brook among the Highlands of the Hudson--a most unfortunate place for the execution of those piscatory tactics which had been invented along the velvet margins of quiet English rivulets.	Our first essay was along a mountain brook among the Highlands of the Hudson-a most unfortunate place for the execution of those piscatory tactics which had been invented along the velvet margins of quiet English rivulets.	true	152.84	167.32	22.795002
6550_53343_000005_000001	It was one of those wild streams that lavish, among our romantic solitudes, unheeded beauties enough to fill the sketch-book of a hunter of the picturesque.	It was one of those wild streams that lavish, among our romantic solitudes, unheeded beauties enough to fill the sketch book of a hunter of the picturesque.	true	167.75	178.12	21.763107
6550_53343_000005_000002	Sometimes it would leap down rocky shelves, making small cascades, over which the trees threw their broad balancing sprays and long nameless weeds hung in fringes from the impending banks, dripping with diamond drops.	Sometimes it would leap down rocky shelves, making small cascades, over which the trees threw their broad balancing sprays and long nameless weeds hung in fringes from the impending banks, dripping with diamond drops.	true	178.88	192.28	21
6550_53343_000005_000003	Sometimes it would brawl and fret along a ravine in the matted shade of a forest, filling it with murmurs, and after this termagant career would steal forth into open day with the most placid, demure face imaginable, as I have seen some pestilent shrew of a housewife, after filling her home with uproar and ill-humor, come dimpling out of doors, swimming and curtseying and smiling upon all the world.	Sometimes it would brawl and fret along a ravine in the matted shade of a forest, filling it with murmurs, and after this termagant career would steal forth into open day with the most placid, demure face imaginable, as I have seen some pestilent shrew of a housewife, after filling her home with uproar and ill humor, come dimpling out of doors, swimming and curtseying and smiling upon all the world.	true	192.77	217.12	19
6550_53343_000006_000000	How smoothly would this vagrant brook glide at such times through some bosom of green meadowland among the mountains, where the quiet was only interrupted by the occasional tinkling of a bell from the lazy cattle among the clover or the sound of a woodcutter's axe from the neighboring forest!	How smoothly would this vagrant brook glide at such times through some bosom of green meadowland among the mountains, where the quiet was only interrupted by the occasional tinkling of a bell from the lazy cattle among the clover or the sound of a woodcutter's axe from the neighboring forest!	true	218.36	234.82	20
6550_53343_000007_000000	For my part, I was always a bungler at all kinds of sport that required either patience or adroitness, and had not angled above half an hour before I had completely "satisfied the sentiment," and convinced myself of the truth of Izaak Walton's opinion, that angling is something like poetry--a man must be born to it.	For my part, I was always a bungler at all kinds of sport that required either patience or adroitness, and had not angled above half an hour before I had completely "satisfied the sentiment," and convinced myself of the truth of Izaak Walton's opinion, that angling is something like poetry-a man must be born to it.	true	236.3	254.71	22.101734
6550_53343_000007_000001	I hooked myself instead of the fish, tangled my line in every tree, lost my bait, broke my rod, until I gave up the attempt in despair, and passed the day under the trees reading old Izaak, satisfied that it was his fascinating vein of honest simplicity and rural feeling that had bewitched me, and not the passion for angling.	I hooked myself instead of the fish, tangled my line in every tree, lost my bait, broke my rod, until I gave up the attempt in despair, and passed the day under the trees reading old Izaak, satisfied that it was his fascinating vein of honest simplicity and rural feeling that had bewitched me, and not the passion for angling.	true	255.26	274.87	22.485046
6550_53343_000007_000002	My companions, however, were more persevering in their delusion.	My companions, however, were more persevering in their delusion.	true	275.63	279.25	16
6550_53343_000007_000003	I have them at this moment before eyes, stealing along the border of the brook where it lay open to the day or was merely fringed by shrubs and bushes.	I have them at this moment before eyes, stealing along the border of the brook where it lay open to the day or was merely fringed by shrubs and bushes.	false	279.62	288.07	19
6550_53343_000007_000004	I see the bittern rising with hollow scream as they break in upon his rarely-invaded haunt; the kingfisher watching them suspiciously from his dry tree that overhangs the deep black millpond in the gorge of the hills; the tortoise letting himself slip sideways from off the stone or log on which he is sunning himself; and the panic-struck frog plumping in headlong as they approach, and spreading an alarm throughout the watery world around.	I see the bittern rising with hollow scream as they break in upon his rarely invaded haunt; the kingfisher watching them suspiciously from his dry tree that overhangs the deep black millpond in the gorge of the hills; the tortoise letting himself slip sideways from off the stone or log on which he is sunning himself; and the panic struck frog plumping in headlong as they approach, and spreading an alarm throughout the watery world around.	true	288.41	315.28	22.26091
6550_53343_000008_000000	I recollect also that, after toiling and watching and creeping about for the greater part of a day, with scarcely any success in spite of all our admirable apparatus, a lubberly country urchin came down from the hills with a rod made from a branch of a tree, a few yards of twine, and, as Heaven shall help me!	I recollect also that, after toiling and watching and creeping about for the greater part of a day, with scarcely any success in spite of all our admirable apparatus, a lubberly country urchin came down from the hills with a rod made from a branch of a tree, a few yards of twine, and, as Heaven shall help me!	true	317.27	336.78	21.559324
6550_53343_000008_000001	I believe a crooked pin for a hook, baited with a vile earthworm, and in half an hour caught more fish than we had nibbles throughout the day!	I believe a crooked pin for a hook, baited with a vile earthworm, and in half an hour caught more fish than we had nibbles throughout the day!	true	336.78	345.16	22
6550_53343_000009_000000	But, above all, I recollect the "good, honest, wholesome, hungry" repast which we made under a beech tree just by a spring of pure sweet water that stole out of the side of a hill, and how, when it was over, one of the party read old Izaak Walton's scene with the milkmaid, while I lay on the grass and built castles in a bright pile of clouds until I fell asleep.	But, above all, I recollect the "good, honest, wholesome, hungry" repast which we made under a beech tree just by a spring of pure sweet water that stole out of the side of a hill, and how, when it was over, one of the party read old Izaak Walton's scene with the milkmaid, while I lay on the grass and built castles in a bright pile of clouds until I fell asleep.	true	346.34	369.19	21.82669
6550_53343_000009_000001	All this may appear like mere egotism, yet I cannot refrain from uttering these recollections, which are passing like a strain of music over my mind and have been called up by an agreeable scene which I witnessed not long since.	All this may appear like mere egotism, yet I cannot refrain from uttering these recollections, which are passing like a strain of music over my mind and have been called up by an agreeable scene which I witnessed not long since.	true	369.47	382.96	20.861681
6550_53343_000010_000000	In the morning's stroll along the banks of the Alun, a beautiful little stream which flows down from the Welsh hills and throws itself into the Dee, my attention was attracted to a group seated on the margin. On approaching I found it to consist of a veteran angler and two rustic disciples.	In the morning's stroll along the banks of the Alun, a beautiful little stream which flows down from the Welsh hills and throws itself into the Dee, my attention was attracted to a group seated on the margin. On approaching I found it to consist of a veteran angler and two rustic disciples.	true	385.25	404.17	22.236362
6550_53343_000010_000001	The former was an old fellow with a wooden leg, with clothes very much but very carefully patched, betokening poverty honestly come by and decently maintained.	The former was an old fellow with a wooden leg, with clothes very much but very carefully patched, betokening poverty honestly come by and decently maintained.	true	404.6	415.75	22.572388
6550_53343_000010_000002	His face bore the marks of former storms, but present fair weather, its furrows had been worn into an habitual smile, his iron-gray locks hung about his ears, and he had altogether the good-humored air of a constitutional philosopher who was disposed to take the world as it went.	His face bore the marks of former storms, but present fair weather, its furrows had been worn into an habitual smile, his iron gray locks hung about his ears, and he had altogether the good humored air of a constitutional philosopher who was disposed to take the world as it went.	false	416.24	435.07	21.408783
6550_53343_000010_000003	One of his companions was a ragged wight with the skulking look of an arrant poacher, and I'll warrant could find his way to any gentleman's fish-pond in the neighborhood in the darkest night.	One of his companions was a ragged wight with the skulking look of an arrant poacher, and I'll warrant could find his way to any gentleman's fish pond in the neighborhood in the darkest night.	false	435.68	446.44	22.261051
6550_53343_000010_000004	The other was a tall, awkward country lad, with a lounging gait, and apparently somewhat of a rustic beau.	The other was a tall, awkward country lad, with a lounging gait, and apparently somewhat of a rustic beau.	true	447.05	453.37	22.548319
6550_53343_000010_000005	The old man was busy in examining the maw of a trout which he had just killed, to discover by its contents what insects were seasonable for bait, and was lecturing on the subject to his companions, who appeared to listen with infinite deference.	The old man was busy in examining the maw of a trout which he had just killed, to discover by its contents what insects were seasonable for bait, and was lecturing on the subject to his companions, who appeared to listen with infinite deference.	true	453.53	467.74	22
6550_53343_000010_000006	I have a kind feeling towards all "brothers of the angle" ever since I read Izaak Walton.	I have a kind feeling towards all "brothers of the angle" ever since I read Izaak Walton.	true	469.52	474.94	23.252605
6550_53343_000010_000007	They are men, he affirms, of a "mild, sweet, and peaceable spirit;" and my esteem for them has been increased since I met with an old Tretyse of fishing with the Angle, in which are set forth many of the maxims of their inoffensive fraternity.	They are men, he affirms, of a "mild, sweet, and peaceable spirit;" and my esteem for them has been increased since I met with an old Tretyse of fishing with the Angle, in which are set forth many of the maxims of their inoffensive fraternity.	false	475.22	489.16	22.12808
6550_53343_000010_000008	"Take good hede," sayeth this honest little tretyse, "that in going about your disportes ye open no man's gates but that ye shet them again.	"Take good hede," sayeth this honest little tretyse, "that in going about your disportes ye open no man's gates but that ye shet them again.	false	490.31	498.82	23.803679
6550_53343_000010_000009	Also ye shall not use this forsayd crafti disport for no covetousness to the encreasing and sparing of your money only, but principally for your solace, and to cause the helth of your body and specyally of your soule."*	Also ye shall not use this forsayd crafti disport for no covetousness to the encreasing and sparing of your money only, but principally for your solace, and to cause the helth of your body and specyally of your soule."asterisk	false	498.86	538.14	20.810503
6550_53343_000011_000000	I thought that I could perceive in the veteran angler before me an exemplification of what I had read; and there was a cheerful contentedness in his looks that quite drew me towards him.	I thought that I could perceive in the veteran angler before me an exemplification of what I had read; and there was a cheerful contentedness in his looks that quite drew me towards him.	false	538.14	556.63	22.24531
6550_53343_000011_000001	I could not but remark the gallant manner in which he stumped from one part of the brook to another, waving his rod in the air to keep the line from dragging on the ground or catching among the bushes, and the adroitness with which he would throw his fly to any particular place, sometimes skimming it lightly along a little rapid, sometimes casting it into one of those dark holes made by a twisted root or overhanging bank in which the large trout are apt to lurk.	I could not but remark the gallant manner in which he stumped from one part of the brook to another, waving his rod in the air to keep the line from dragging on the ground or catching among the bushes, and the adroitness with which he would throw his fly to any particular place, sometimes skimming it lightly along a little rapid, sometimes casting it into one of those dark holes made by a twisted root or overhanging bank in which the large trout are apt to lurk.	true	556.91	582.82	21.586233
6550_53343_000011_000002	In the meanwhile he was giving instructions to his two disciples, showing them the manner in which they should handle their rods, fix their flies, and play them along the surface of the stream.	In the meanwhile he was giving instructions to his two disciples, showing them the manner in which they should handle their rods, fix their flies, and play them along the surface of the stream.	true	583.34	592.96	20.867384
6550_53343_000011_000003	The scene brought to my mind the instructions of the sage Piscator to his scholar.	The scene brought to my mind the instructions of the sage Piscator to his scholar.	false	594.2	598.48	22
6550_53343_000011_000004	The country around was of that pastoral kind which Walton is fond of describing.	The country around was of that pastoral kind which Walton is fond of describing.	true	598.64	603.22	22.10414
6550_53343_000011_000005	It was a part of the great plain of Cheshire, close by the beautiful vale of Gessford, and just where the inferior Welsh hills begin to swell up from among fresh-smelling meadows.	It was a part of the great plain of Cheshire, close by the beautiful vale of Gessford, and just where the inferior Welsh hills begin to swell up from among fresh smelling meadows.	true	603.53	613.66	21.425493
6550_53343_000011_000006	The day too, like that recorded in his work, was mild and sunshiny, with now and then a soft-dropping shower that sowed the whole earth with diamonds.	The day too, like that recorded in his work, was mild and sunshiny, with now and then a soft dropping shower that sowed the whole earth with diamonds.	true	614.12	622.59	20
6550_53343_000012_000000	* From this same treatise it would appear that angling is a more industrious and devout employment than it is generally considered: "For when ye purpose to go on your disportes in fishynge ye will not desyre greatlye many persons with you, which might let you of your game.	asterisk From this same treatise it would appear that angling is a more industrious and devout employment than it is generally considered: "For when ye purpose to go on your disportes in fishynge ye will not desyre greatlye many persons with you, which might let you of your game.	false	622.59	623.76	-1
6550_53343_000012_000001	And that ye may serve God devoutly in saying effectually your customable prayers.	And that ye may serve God devoutly in saying effectually your customable prayers.	false	623.76	624.06	-1
6550_53343_000012_000002	And thus doying, ye shall eschew and also avoyde many vices, as ydelness, which is principall cause to induce man to many other vices, as it is right well known."	And thus doying, ye shall eschew and also avoyde many vices, as ydelness, which is principall cause to induce man to many other vices, as it is right well known."	false	624.06	624.81	-1
6550_53343_000013_000000	I soon fell into conversation with the old angler, and was so much entertained that, under pretext of receiving instructions in his art, I kept company with him almost the whole day, wandering along the banks of the stream and listening to his talk.	I soon fell into conversation with the old angler, and was so much entertained that, under pretext of receiving instructions in his art, I kept company with him almost the whole day, wandering along the banks of the stream and listening to his talk.	true	624.81	638.11	21.650099
6550_53343_000013_000001	He was very communicative, having all the easy garrulity of cheerful old age, and I fancy was a little flattered by having an opportunity of displaying his piscatory lore, for who does not like now and then to play the sage?	He was very communicative, having all the easy garrulity of cheerful old age, and I fancy was a little flattered by having an opportunity of displaying his piscatory lore, for who does not like now and then to play the sage?	false	639.29	652.3	21
6550_53343_000014_000000	He had been much of a rambler in his day, and had passed some years of his youth in America, particularly in Savannah, where he had entered into trade and had been ruined by the indiscretion of a partner.	He had been much of a rambler in his day, and had passed some years of his youth in America, particularly in Savannah, where he had entered into trade and had been ruined by the indiscretion of a partner.	false	652.88	663.1	20
6550_53343_000014_000001	He had afterwards experienced many ups and downs in life until he got into the navy, where his leg was carried away by a cannon-ball at the battle of Camperdown.	He had afterwards experienced many ups and downs in life until he got into the navy, where his leg was carried away by a cannon ball at the battle of Camperdown.	true	663.2	671.68	21
6550_53343_000014_000002	This was the only stroke of real good-fortune he had ever experienced, for it got him a pension, which, together with some small paternal property, brought him in a revenue of nearly forty pounds. On this he retired to his native village, where he lived quietly and independently, and devoted the remainder of his life to the "noble art of angling."	This was the only stroke of real good fortune he had ever experienced, for it got him a pension, which, together with some small paternal property, brought him in a revenue of nearly forty pounds. On this he retired to his native village, where he lived quietly and independently, and devoted the remainder of his life to the "noble art of angling."	true	671.9	690.61	22.080938
6550_53343_000015_000000	I found that he had read Izaak Walton attentively, and he seemed to have imbibed all his simple frankness and prevalent good-humor.	I found that he had read Izaak Walton attentively, and he seemed to have imbibed all his simple frankness and prevalent good humor.	true	691.46	698.71	19.9126
6550_53343_000015_000001	Though he had been sorely buffeted about the world, he was satisfied that the world, in itself, was good and beautiful.	Though he had been sorely buffeted about the world, he was satisfied that the world, in itself, was good and beautiful.	true	698.87	704.41	19
6550_53343_000015_000002	Though he had been as roughly used in different countries as a poor sheep that is fleeced by every hedge and thicket, yet he spoke of every nation with candor and kindness, appearing to look only on the good side of things; and, above all, he was almost the only man I had ever met with who had been an unfortunate adventurer in America and had honesty and magnanimity enough to take the fault to his own door, and not to curse the country.	Though he had been as roughly used in different countries as a poor sheep that is fleeced by every hedge and thicket, yet he spoke of every nation with candor and kindness, appearing to look only on the good side of things; and, above all, he was almost the only man I had ever met with who had been an unfortunate adventurer in America and had honesty and magnanimity enough to take the fault to his own door, and not to curse the country.	true	704.75	730.12	21.341372
6550_53343_000015_000003	The lad that was receiving his instructions, I learnt, was the son and heir-apparent of a fat old widow who kept the village inn, and of course a youth of some expectation, and much courted by the idle gentleman-like personages of the place.	The lad that was receiving his instructions, I learnt, was the son and heir apparent of a fat old widow who kept the village inn, and of course a youth of some expectation, and much courted by the idle gentleman like personages of the place.	true	731.27	744.13	21.375528
6550_53343_000015_000004	In taking him under his care, therefore, the old man had probably an eye to a privileged corner in the tap-room and an occasional cup of cheerful ale free of expense.	In taking him under his care, therefore, the old man had probably an eye to a privileged corner in the tap room and an occasional cup of cheerful ale free of expense.	true	744.35	753.28	20
6550_53343_000016_000000	There is certainly something in angling--if we could forget, which anglers are apt to do, the cruelties and tortures inflicted on worms and insects--that tends to produce a gentleness of spirit and a pure serenity of mind.	There is certainly something in angling-if we could forget, which anglers are apt to do, the cruelties and tortures inflicted on worms and insects-that tends to produce a gentleness of spirit and a pure serenity of mind.	true	754.22	766.27	20.950476
6550_53343_000016_000001	As the English are methodical even in their recreations, and are the most scientific of sportsmen, it has been reduced among them to perfect rule and system.	As the English are methodical even in their recreations, and are the most scientific of sportsmen, it has been reduced among them to perfect rule and system.	true	766.46	774.76	22
6550_53343_000016_000002	Indeed, it is an amusement peculiarly adapted to the mild and highly-cultivated scenery of England, where every roughness has been softened away from the landscape.	Indeed, it is an amusement peculiarly adapted to the mild and highly cultivated scenery of England, where every roughness has been softened away from the landscape.	true	775.37	785.44	20.197916
6550_53343_000016_000003	It is delightful to saunter along those limpid streams which wander, like veins of silver, through the bosom of this beautiful country, leading one through a diversity of small home scenery--sometimes winding through ornamented grounds; sometimes brimming along through rich pasturage, where the fresh green is mingled with sweet-smelling flowers; sometimes venturing in sight of villages and hamlets, and then running capriciously away into shady retirements. The sweetness and serenity of Nature and the quiet watchfulness of the sport gradually bring on pleasant fits of musing, which are now and then agreeably interrupted by the song of a bird, the distant whistle of the peasant, or perhaps the vagary of some fish leaping out of the still water and skimming transiently about its glassy surface.	It is delightful to saunter along those limpid streams which wander, like veins of silver, through the bosom of this beautiful country, leading one through a diversity of small home scenery-sometimes winding through ornamented grounds; sometimes brimming along through rich pasturage, where the fresh green is mingled with sweet smelling flowers; sometimes venturing in sight of villages and hamlets, and then running capriciously away into shady retirements. The sweetness and serenity of Nature and the quiet watchfulness of the sport gradually bring on pleasant fits of musing, which are now and then agreeably interrupted by the song of a bird, the distant whistle of the peasant, or perhaps the vagary of some fish leaping out of the still water and skimming transiently about its glassy surface.	false	785.84	831.46	21.554583
6550_53343_000016_000004	"When I would beget content," says Izaak Walton, "and increase confidence in the power and wisdom and providence of Almighty God, I will walk the meadows by some gliding stream, and there contemplate the lilies that take no care, and those very many other little living creatures that are not only created, but fed (man knows not how) by the goodness of the God of Nature, and therefore trust in Him."	"When I would beget content," says Izaak Walton, "and increase confidence in the power and wisdom and providence of Almighty God, I will walk the meadows by some gliding stream, and there contemplate the lilies that take no care, and those very many other little living creatures that are not only created, but fed (man knows not how) by the goodness of the God of Nature, and therefore trust in Him."	true	833.18	855.97	21.862427
6550_53343_000017_000000	I cannot forbear to give another quotation from one of those ancient champions of angling which breathes the same innocent and happy spirit:	I cannot forbear to give another quotation from one of those ancient champions of angling which breathes the same innocent and happy spirit:	true	857.54	864.7	19
6550_53343_000018_000000	Let me live harmlessly, and near the brink Of Trent or Avon have a dwelling-place: Where I may see my quill, or cork, down sink With eager bite of Pike, or Bleak, or Dace; And on the world and my Creator think: Whilst some men strive ill-gotten goods t' embrace: And others spend their time in base excess Of wine, or worse, in war or wantonness.	Let me live harmlessly, and near the brink Of Trent or Avon have a dwelling place: Where I may see my quill, or cork, down sink With eager bite of Pike, or Bleak, or Dace; And on the world and my Creator think: Whilst some men strive ill gotten goods t' embrace: And others spend their time in base excess Of wine, or worse, in war or wantonness.	false	865.46	887.65	21.884312
6550_53343_000019_000000	Let them that will, these pastimes still pursue, And on such pleasing fancies feed their fill; So I the fields and meadows green may view, And daily by fresh rivers walk at will, Among the daisies and the violets blue, Red hyacinth and yellow daffodil.*	Let them that will, these pastimes still pursue, And on such pleasing fancies feed their fill; So I the fields and meadows green may view, And daily by fresh rivers walk at will, Among the daisies and the violets blue, Red hyacinth and yellow daffodil.asterisk	false	888.02	908.22	21.491198
6550_53343_000020_000000	On parting with the old angler I inquired after his place of abode, and, happening to be in the neighborhood of the village a few evenings afterwards, I had the curiosity to seek him out.	On parting with the old angler I inquired after his place of abode, and, happening to be in the neighborhood of the village a few evenings afterwards, I had the curiosity to seek him out.	true	908.22	917.86	23.799025
6550_53343_000020_000001	I found him living in a small cottage containing only one room, but a perfect curiosity in its method and arrangement.	I found him living in a small cottage containing only one room, but a perfect curiosity in its method and arrangement.	true	917.87	925.06	21.475065
6550_53343_000020_000002	It was on the skirts of the village, on a green bank a little back from the road, with a small garden in front stocked with kitchen herbs and adorned with a few flowers.	It was on the skirts of the village, on a green bank a little back from the road, with a small garden in front stocked with kitchen herbs and adorned with a few flowers.	true	925.37	934.15	20
6550_53343_000020_000003	The whole front of the cottage was overrun with a honeysuckle.	The whole front of the cottage was overrun with a honeysuckle.	false	934.79	937.69	24.087736
6550_53343_000020_000004	On the top was a ship for a weathercock.	On the top was a ship for a weathercock.	true	937.88	940.36	26.809958
6550_53343_000020_000005	The interior was fitted up in a truly nautical style, his ideas of comfort and convenience having been acquired on the berth-deck of a man-of-war.	The interior was fitted up in a truly nautical style, his ideas of comfort and convenience having been acquired on the berth deck of a man of war.	true	940.58	948.67	22.67562
6550_53343_000020_000006	A hammock was slung from the ceiling which in the daytime was lashed up so as to take but little room.	A hammock was slung from the ceiling which in the daytime was lashed up so as to take but little room.	true	949.16	954.31	21.66363
