4044_9010_000000_000000	'Stay.	'Stay.	false	0	0.15	-7
4044_9010_000000_000001	What force has he?'	What force has he?'	false	0.15	0.84	18.563585
4044_9010_000001_000000	'Forty thousand already, they say.	'Forty thousand already, they say.	false	0.84	1.71	15
4044_9010_000001_000001	And those Donatist ruffians are with him to a man, if he can but scrape together wherewith to change their bludgeons into good steel.'	And those Donatist ruffians are with him to a man, if he can but scrape together wherewith to change their bludgeons into good steel.'	false	1.71	4.38	21.482304
4044_9010_000002_000000	'Well, go....	'Well, go....	false	4.38	4.56	36
4044_9010_000002_000001	So.	So.	false	4.56	4.65	-20
4044_9010_000002_000002	A hundred thousand might do it,' said he, meditating, as Raphael bowed himself out.	A hundred thousand might do it,' said he, meditating, as Raphael bowed himself out.	false	4.65	5.43	14
4044_9010_000002_000003	'He won't get them.	'He won't get them.	false	5.43	5.64	-20
4044_9010_000002_000004	I don't know, though; the man has the head of a Julius.	I don't know, though; the man has the head of a Julius.	false	5.64	6.15	7
4044_9010_000002_000005	Well--that fool Attalus talked of joining Egypt to the Western Empire....	Well-that fool Attalus talked of joining Egypt to the Western Empire....	false	6.15	6.45	12
4044_9010_000002_000006	Not such a bad thought either. Anything is better than being governed by an idiot child and three canting nuns.	Not such a bad thought either. Anything is better than being governed by an idiot child and three canting nuns.	false	6.45	6.96	16
4044_9010_000002_000007	I expect to be excommunicated every day for some offence against Pulcheria's prudery....	I expect to be excommunicated every day for some offence against Pulcheria's prudery....	false	6.96	7.29	33
4044_9010_000002_000008	Heraclian emperor at Rome.... and I lord and master on this side the sea.	Heraclian emperor at Rome.... and I lord and master on this side the sea.	false	7.29	7.29	
4044_9010_000002_000009	The Donatists pitted again fairly against the orthodox, to cut each other's throats in peace.... no more of Cyril's spying and tale-bearing to Constantinople....	The Donatists pitted again fairly against the orthodox, to cut each other's throats in peace.... no more of Cyril's spying and tale bearing to Constantinople....	false	7.29	8.73	10
4044_9010_000002_000010	Not such a baddish of fare....	Not such a baddish of fare....	false	8.73	10.56	18
4044_9010_000002_000011	But then-it would take so much trouble!'	But then it would take so much trouble!'	false	10.56	13.02	18.11513
4044_9010_000003_000000	With which words, Orestes went into his third warm bath for that day.	With which words, Orestes went into his third warm bath for that day.	false	13.02	17.01	17.918953
4044_9010_000004_000000	CHAPTER III: THE GOTHS	CHAPTER three: THE GOTHS	true	17.01	18.94	21.952066
