5984_56837_000003_000000	CHAPTER XXIV.	CHAPTER twenty four.
5984_56837_000004_000000	MYSTERY DEVELOPED.	MYSTERY DEVELOPED.
5984_56837_000005_000001	The afternoon on which Montraville had visited her she had found herself languid and fatigued, and after making a very slight dinner had lain down to endeavour to recruit her exhausted spirits, and, contrary to her expectations, had fallen asleep.	The afternoon on which Montraville had visited her she had found herself languid and fatigued, and after making a very slight dinner had lain down to endeavour to recruit her exhausted spirits, and, contrary to her expectations, had fallen asleep.
5984_56837_000005_000002	She had not long been lain down, when Belcour arrived, for he took every opportunity of visiting her, and striving to awaken her resentment against Montraville.	She had not long been lain down, when Belcour arrived, for he took every opportunity of visiting her, and striving to awaken her resentment against Montraville.
5984_56837_000007_000000	She then left him with precipitation, and retiring to her own apartment, threw herself on the bed, and gave vent to an agony of grief which it is impossible to describe.	She then left him with precipitation, and retiring to her own apartment, threw herself on the bed, and gave vent to an agony of grief which it is impossible to describe.
5984_56837_000008_000001	He then left a polite, tender note for Charlotte, and returned to New-York.	He then left a polite, tender note for Charlotte, and returned to New York.
5984_56837_000008_000002	His first business was to seek Montraville, and endeavour to convince him that what had happened would ultimately tend to his happiness: he found him in his apartment, solitary, pensive, and wrapped in disagreeable reflexions.	His first business was to seek Montraville, and endeavour to convince him that what had happened would ultimately tend to his happiness: he found him in his apartment, solitary, pensive, and wrapped in disagreeable reflexions.
5984_56837_000009_000000	"Why how now, whining, pining lover?" said he, clapping him on the shoulder.	"Why how now, whining, pining lover?" said he, clapping him on the shoulder.
5984_56837_000009_000001	Montraville started; a momentary flush of resentment crossed his cheek, but instantly gave place to a death-like paleness, occasioned by painful remembrance remembrance awakened by that monitor, whom, though we may in vain endeavour, we can never entirely silence.	Montraville started; a momentary flush of resentment crossed his cheek, but instantly gave place to a death like paleness, occasioned by painful remembrance remembrance awakened by that monitor, whom, though we may in vain endeavour, we can never entirely silence.
5984_56837_000010_000000	"Belcour," said he, "you have injured me in a tender point." "Prithee, Jack," replied Belcour, "do not make a serious matter of it: how could I refuse the girl's advances? and thank heaven she is not your wife."	"Belcour," said he, "you have injured me in a tender point." "Prithee, Jack," replied Belcour, "do not make a serious matter of it: how could I refuse the girl's advances? and thank heaven she is not your wife."
5984_56837_000011_000000	"True," said Montraville; "but she was innocent when I first knew her. It was I seduced her, Belcour.	"True," said Montraville; "but she was innocent when I first knew her. It was I seduced her, Belcour.
5984_56837_000011_000001	Had it not been for me, she had still been virtuous and happy in the affection and protection of her family."	Had it not been for me, she had still been virtuous and happy in the affection and protection of her family."
5984_56837_000013_000000	"I wish I had never seen her," cried he passionately, and starting from his seat.	"I wish I had never seen her," cried he passionately, and starting from his seat.
5984_56837_000013_000002	He paused.	He paused.
5984_56837_000014_000000	"With Julia Franklin," said Belcour.	"With Julia Franklin," said Belcour.
5984_56837_000014_000001	The name, like a sudden spark of electric fire, seemed for a moment to suspend his faculties--for a moment he was transfixed; but recovering, he caught Belcour's hand, and cried--"Stop! stop!	The name, like a sudden spark of electric fire, seemed for a moment to suspend his faculties-for a moment he was transfixed; but recovering, he caught Belcour's hand, and cried-"Stop! stop!
5984_56837_000014_000003	I am a seducer, a mean, ungenerous seducer of unsuspecting innocence.	I am a seducer, a mean, ungenerous seducer of unsuspecting innocence.
5984_56837_000014_000004	I dare not hope that purity like her's would stoop to unite itself with black, premeditated guilt: yet by heavens I swear, Belcour, I thought I loved the lost, abandoned Charlotte till I saw Julia--I thought I never could forsake her; but the heart is deceitful, and I now can plainly discriminate between the impulse of a youthful passion, and the pure flame of disinterested affection."	I dare not hope that purity like her's would stoop to unite itself with black, premeditated guilt: yet by heavens I swear, Belcour, I thought I loved the lost, abandoned Charlotte till I saw Julia-I thought I never could forsake her; but the heart is deceitful, and I now can plainly discriminate between the impulse of a youthful passion, and the pure flame of disinterested affection."
5984_56837_000015_000000	At that instant Julia Franklin passed the window, leaning on her uncle's arm.	At that instant Julia Franklin passed the window, leaning on her uncle's arm.
