731_365_000001_000000	Chapter 19	Chapter nineteen
731_365_000002_000000	London was our present point of rest; we determined to remain several months in this wonderful and celebrated city.	London was our present point of rest; we determined to remain several months in this wonderful and celebrated city.
731_365_000003_000000	If this journey had taken place during my days of study and happiness, it would have afforded me inexpressible pleasure.	If this journey had taken place during my days of study and happiness, it would have afforded me inexpressible pleasure.
731_365_000003_000001	But a blight had come over my existence, and I only visited these people for the sake of the information they might give me on the subject in which my interest was so terribly profound.	But a blight had come over my existence, and I only visited these people for the sake of the information they might give me on the subject in which my interest was so terribly profound.
731_365_000003_000002	Company was irksome to me; when alone, I could fill my mind with the sights of heaven and earth; the voice of Henry soothed me, and I could thus cheat myself into a transitory peace.	Company was irksome to me; when alone, I could fill my mind with the sights of heaven and earth; the voice of Henry soothed me, and I could thus cheat myself into a transitory peace.
731_365_000003_000003	But busy, uninteresting, joyous faces brought back despair to my heart.	But busy, uninteresting, joyous faces brought back despair to my heart.
731_365_000004_000001	The difference of manners which he observed was to him an inexhaustible source of instruction and amusement.	The difference of manners which he observed was to him an inexhaustible source of instruction and amusement.
731_365_000004_000003	His design was to visit India, in the belief that he had in his knowledge of its various languages, and in the views he had taken of its society, the means of materially assisting the progress of European colonization and trade.	His design was to visit India, in the belief that he had in his knowledge of its various languages, and in the views he had taken of its society, the means of materially assisting the progress of European colonization and trade.
731_365_000004_000004	In Britain only could he further the execution of his plan.	In Britain only could he further the execution of his plan.
731_365_000004_000006	I tried to conceal this as much as possible, that I might not debar him from the pleasures natural to one who was entering on a new scene of life, undisturbed by any care or bitter recollection.	I tried to conceal this as much as possible, that I might not debar him from the pleasures natural to one who was entering on a new scene of life, undisturbed by any care or bitter recollection.
731_365_000004_000007	I often refused to accompany him, alleging another engagement, that I might remain alone.	I often refused to accompany him, alleging another engagement, that I might remain alone.
731_365_000004_000008	I now also began to collect the materials necessary for my new creation, and this was to me like the torture of single drops of water continually falling on the head.	I now also began to collect the materials necessary for my new creation, and this was to me like the torture of single drops of water continually falling on the head.
731_365_000005_000001	He mentioned the beauties of his native country and asked us if those were not sufficient allurements to induce us to prolong our journey as far north as Perth, where he resided.	He mentioned the beauties of his native country and asked us if those were not sufficient allurements to induce us to prolong our journey as far north as Perth, where he resided.
731_365_000005_000003	We had arrived in England at the beginning of October, and it was now February.	We had arrived in England at the beginning of October, and it was now February.
731_365_000005_000004	We accordingly determined to commence our journey towards the north at the expiration of another month.	We accordingly determined to commence our journey towards the north at the expiration of another month.
731_365_000005_000005	In this expedition we did not intend to follow the great road to Edinburgh, but to visit Windsor, Oxford, Matlock, and the Cumberland lakes, resolving to arrive at the completion of this tour about the end of July.	In this expedition we did not intend to follow the great road to Edinburgh, but to visit Windsor, Oxford, Matlock, and the Cumberland lakes, resolving to arrive at the completion of this tour about the end of July.
731_365_000006_000000	We quitted London on the 27th of March and remained a few days at Windsor, rambling in its beautiful forest.	We quitted London on the twenty seventh of March and remained a few days at Windsor, rambling in its beautiful forest.
731_365_000006_000001	This was a new scene to us mountaineers; the majestic oaks, the quantity of game, and the herds of stately deer were all novelties to us.	This was a new scene to us mountaineers; the majestic oaks, the quantity of game, and the herds of stately deer were all novelties to us.
731_365_000007_000000	From thence we proceeded to Oxford.	From thence we proceeded to Oxford.
731_365_000007_000002	It was here that Charles I. had collected his forces.	It was here that Charles the first had collected his forces.
731_365_000007_000005	The spirit of elder days found a dwelling here, and we delighted to trace its footsteps.	The spirit of elder days found a dwelling here, and we delighted to trace its footsteps.
731_365_000008_000000	I enjoyed this scene, and yet my enjoyment was embittered both by the memory of the past and the anticipation of the future.	I enjoyed this scene, and yet my enjoyment was embittered both by the memory of the past and the anticipation of the future.
731_365_000008_000001	I was formed for peaceful happiness.	I was formed for peaceful happiness.
731_365_000008_000003	But I am a blasted tree; the bolt has entered my soul; and I felt then that I should survive to exhibit what I shall soon cease to be--a miserable spectacle of wrecked humanity, pitiable to others and intolerable to myself.	But I am a blasted tree; the bolt has entered my soul; and I felt then that I should survive to exhibit what I shall soon cease to be-a miserable spectacle of wrecked humanity, pitiable to others and intolerable to myself.
731_365_000009_000003	For a moment my soul was elevated from its debasing and miserable fears to contemplate the divine ideas of liberty and self sacrifice of which these sights were the monuments and the remembrancers.	For a moment my soul was elevated from its debasing and miserable fears to contemplate the divine ideas of liberty and self sacrifice of which these sights were the monuments and the remembrancers.
731_365_000009_000004	For an instant I dared to shake off my chains and look around me with a free and lofty spirit, but the iron had eaten into my flesh, and I sank again, trembling and hopeless, into my miserable self.	For an instant I dared to shake off my chains and look around me with a free and lofty spirit, but the iron had eaten into my flesh, and I sank again, trembling and hopeless, into my miserable self.
731_365_000010_000000	We left Oxford with regret and proceeded to Matlock, which was our next place of rest.	We left Oxford with regret and proceeded to Matlock, which was our next place of rest.
731_365_000010_000003	The latter name made me tremble when pronounced by Henry, and I hastened to quit Matlock, with which that terrible scene was thus associated.	The latter name made me tremble when pronounced by Henry, and I hastened to quit Matlock, with which that terrible scene was thus associated.
731_365_000011_000000	From Derby, still journeying northwards, we passed two months in Cumberland and Westmorland.	From Derby, still journeying northwards, we passed two months in Cumberland and Westmorland.
731_365_000011_000001	I could now almost fancy myself among the Swiss mountains.	I could now almost fancy myself among the Swiss mountains.
731_365_000011_000003	Here also we made some acquaintances, who almost contrived to cheat me into happiness.	Here also we made some acquaintances, who almost contrived to cheat me into happiness.
731_365_000013_000000	We had scarcely visited the various lakes of Cumberland and Westmorland and conceived an affection for some of the inhabitants when the period of our appointment with our Scotch friend approached, and we left them to travel on.	We had scarcely visited the various lakes of Cumberland and Westmorland and conceived an affection for some of the inhabitants when the period of our appointment with our Scotch friend approached, and we left them to travel on.
731_365_000013_000002	I had now neglected my promise for some time, and I feared the effects of the daemon's disappointment.	I had now neglected my promise for some time, and I feared the effects of the daemon's disappointment.
731_365_000013_000003	He might remain in Switzerland and wreak his vengeance on my relatives.	He might remain in Switzerland and wreak his vengeance on my relatives.
731_365_000013_000005	I waited for my letters with feverish impatience; if they were delayed I was miserable and overcome by a thousand fears; and when they arrived and I saw the superscription of Elizabeth or my father, I hardly dared to read and ascertain my fate.	I waited for my letters with feverish impatience; if they were delayed I was miserable and overcome by a thousand fears; and when they arrived and I saw the superscription of Elizabeth or my father, I hardly dared to read and ascertain my fate.
731_365_000013_000006	Sometimes I thought that the fiend followed me and might expedite my remissness by murdering my companion. When these thoughts possessed me, I would not quit Henry for a moment, but followed him as his shadow, to protect him from the fancied rage of his destroyer.	Sometimes I thought that the fiend followed me and might expedite my remissness by murdering my companion. When these thoughts possessed me, I would not quit Henry for a moment, but followed him as his shadow, to protect him from the fancied rage of his destroyer.
731_365_000013_000007	I felt as if I had committed some great crime, the consciousness of which haunted me.	I felt as if I had committed some great crime, the consciousness of which haunted me.
731_365_000014_000001	Clerval did not like it so well as Oxford, for the antiquity of the latter city was more pleasing to him.	Clerval did not like it so well as Oxford, for the antiquity of the latter city was more pleasing to him.
731_365_000014_000003	But I was impatient to arrive at the termination of my journey.	But I was impatient to arrive at the termination of my journey.
731_365_000015_000001	"Do you," said I, "enjoy yourself, and let this be our rendezvous.	"Do you," said I, "enjoy yourself, and let this be our rendezvous.
731_365_000016_000001	He entreated me to write often.	He entreated me to write often.
731_365_000017_000000	Having parted from my friend, I determined to visit some remote spot of Scotland and finish my work in solitude.	Having parted from my friend, I determined to visit some remote spot of Scotland and finish my work in solitude.
731_365_000017_000004	The soil was barren, scarcely affording pasture for a few miserable cows, and oatmeal for its inhabitants, which consisted of five persons, whose gaunt and scraggy limbs gave tokens of their miserable fare.	The soil was barren, scarcely affording pasture for a few miserable cows, and oatmeal for its inhabitants, which consisted of five persons, whose gaunt and scraggy limbs gave tokens of their miserable fare.
731_365_000017_000005	Vegetables and bread, when they indulged in such luxuries, and even fresh water, was to be procured from the mainland, which was about five miles distant.	Vegetables and bread, when they indulged in such luxuries, and even fresh water, was to be procured from the mainland, which was about five miles distant.
731_365_000018_000003	The thatch had fallen in, the walls were unplastered, and the door was off its hinges.	The thatch had fallen in, the walls were unplastered, and the door was off its hinges.
731_365_000018_000004	I ordered it to be repaired, bought some furniture, and took possession, an incident which would doubtless have occasioned some surprise had not all the senses of the cottagers been benumbed by want and squalid poverty.	I ordered it to be repaired, bought some furniture, and took possession, an incident which would doubtless have occasioned some surprise had not all the senses of the cottagers been benumbed by want and squalid poverty.
731_365_000018_000005	As it was, I lived ungazed at and unmolested, hardly thanked for the pittance of food and clothes which I gave, so much does suffering blunt even the coarsest sensations of men.	As it was, I lived ungazed at and unmolested, hardly thanked for the pittance of food and clothes which I gave, so much does suffering blunt even the coarsest sensations of men.
731_365_000019_000000	In this retreat I devoted the morning to labour; but in the evening, when the weather permitted, I walked on the stony beach of the sea to listen to the waves as they roared and dashed at my feet.	In this retreat I devoted the morning to labour; but in the evening, when the weather permitted, I walked on the stony beach of the sea to listen to the waves as they roared and dashed at my feet.
731_365_000019_000001	It was a monotonous yet ever-changing scene.	It was a monotonous yet ever changing scene.
731_365_000019_000002	I thought of Switzerland; it was far different from this desolate and appalling landscape.	I thought of Switzerland; it was far different from this desolate and appalling landscape.
731_365_000019_000003	Its hills are covered with vines, and its cottages are scattered thickly in the plains.	Its hills are covered with vines, and its cottages are scattered thickly in the plains.
731_365_000020_000000	In this manner I distributed my occupations when I first arrived, but as I proceeded in my labour, it became every day more horrible and irksome to me.	In this manner I distributed my occupations when I first arrived, but as I proceeded in my labour, it became every day more horrible and irksome to me.
731_365_000020_000001	Sometimes I could not prevail on myself to enter my laboratory for several days, and at other times I toiled day and night in order to complete my work.	Sometimes I could not prevail on myself to enter my laboratory for several days, and at other times I toiled day and night in order to complete my work.
731_365_000020_000002	It was, indeed, a filthy process in which I was engaged.	It was, indeed, a filthy process in which I was engaged.
731_365_000020_000003	During my first experiment, a kind of enthusiastic frenzy had blinded me to the horror of my employment; my mind was intently fixed on the consummation of my labour, and my eyes were shut to the horror of my proceedings.	During my first experiment, a kind of enthusiastic frenzy had blinded me to the horror of my employment; my mind was intently fixed on the consummation of my labour, and my eyes were shut to the horror of my proceedings.
731_365_000021_000000	Thus situated, employed in the most detestable occupation, immersed in a solitude where nothing could for an instant call my attention from the actual scene in which I was engaged, my spirits became unequal; I grew restless and nervous.	Thus situated, employed in the most detestable occupation, immersed in a solitude where nothing could for an instant call my attention from the actual scene in which I was engaged, my spirits became unequal; I grew restless and nervous.
731_365_000021_000001	Every moment I feared to meet my persecutor.	Every moment I feared to meet my persecutor.
731_365_000021_000002	Sometimes I sat with my eyes fixed on the ground, fearing to raise them lest they should encounter the object which I so much dreaded to behold.	Sometimes I sat with my eyes fixed on the ground, fearing to raise them lest they should encounter the object which I so much dreaded to behold.
731_365_000021_000003	I feared to wander from the sight of my fellow creatures lest when alone he should come to claim his companion.	I feared to wander from the sight of my fellow creatures lest when alone he should come to claim his companion.
731_365_000022_000000	In the mean time I worked on, and my labour was already considerably advanced.	In the mean time I worked on, and my labour was already considerably advanced.
