3228_4690_000001_000001	And then he came into a fair meadow, and there was a fair lodge of boughs.	And then he came into a fair meadow, and there was a fair lodge of boughs.
3228_4690_000001_000003	Also there were cloths covered upon the earth, and many delicious meats set thereon.	Also there were cloths covered upon the earth, and many delicious meats set thereon.
3228_4690_000001_000004	Sir Melias beheld this adventure, and thought it marvellous, but he had no hunger, but of the crown of gold he took much keep; and therewith he stooped down and took it up, and rode his way with it.	Sir Melias beheld this adventure, and thought it marvellous, but he had no hunger, but of the crown of gold he took much keep; and therewith he stooped down and took it up, and rode his way with it.
3228_4690_000001_000006	Then Sir Melias blessed him and said: Fair lord of heaven, help and save thy new-made knight.	Then Sir Melias blessed him and said: Fair lord of heaven, help and save thy new made knight.
3228_4690_000001_000007	And then they let their horses run as fast as they might, so that the other knight smote Sir Melias through hauberk and through the left side, that he fell to the earth nigh dead.	And then they let their horses run as fast as they might, so that the other knight smote Sir Melias through hauberk and through the left side, that he fell to the earth nigh dead.
3228_4690_000001_000008	And then he took the crown and went his way; and Sir Melias lay still and had no power to stir.	And then he took the crown and went his way; and Sir Melias lay still and had no power to stir.
3228_4690_000002_000000	In the meanwhile by fortune there came Sir Galahad and found him there in peril of death.	In the meanwhile by fortune there came Sir Galahad and found him there in peril of death.
3228_4690_000002_000001	And then he said: Ah Melias, who hath wounded you? therefore it had been better to have ridden the other way.	And then he said: Ah Melias, who hath wounded you? therefore it had been better to have ridden the other way.
3228_4690_000002_000002	And when Sir Melias heard him speak: Sir, he said, for God's love let me not die in this forest, but bear me unto the abbey here beside, that I may be confessed and have my rights.	And when Sir Melias heard him speak: Sir, he said, for God's love let me not die in this forest, but bear me unto the abbey here beside, that I may be confessed and have my rights.
3228_4690_000002_000004	With that Sir Galahad heard in the leaves cry on high: Knight, keep thee from me.	With that Sir Galahad heard in the leaves cry on high: Knight, keep thee from me.
3228_4690_000002_000006	Sir Galahad answered: Sir knight, come on your peril.	Sir Galahad answered: Sir knight, come on your peril.
3228_4690_000002_000007	Then either dressed to other, and came together as fast as their horses might run, and Galahad smote him so that his spear went through his shoulder, and smote him down off his horse, and in the falling Galahad's spear brake.	Then either dressed to other, and came together as fast as their horses might run, and Galahad smote him so that his spear went through his shoulder, and smote him down off his horse, and in the falling Galahad's spear brake.
3228_4690_000003_000000	With that came out another knight out of the leaves, and brake a spear upon Galahad or ever he might turn him.	With that came out another knight out of the leaves, and brake a spear upon Galahad or ever he might turn him.
3228_4690_000003_000001	Then Galahad drew out his sword and smote off the left arm of him, so that it fell to the earth.	Then Galahad drew out his sword and smote off the left arm of him, so that it fell to the earth.
3228_4690_000003_000002	And then he fled, and Sir Galahad pursued fast after him.	And then he fled, and Sir Galahad pursued fast after him.
3228_4690_000003_000003	And then he turned again unto Sir Melias, and there he alighted and dressed him softly on his horse to-fore him, for the truncheon of his spear was in his body; and Sir Galahad stert up behind him, and held him in his arms, and so brought him to the abbey, and there unarmed him and brought him to his chamber.	And then he turned again unto Sir Melias, and there he alighted and dressed him softly on his horse to fore him, for the truncheon of his spear was in his body; and Sir Galahad stert up behind him, and held him in his arms, and so brought him to the abbey, and there unarmed him and brought him to his chamber.
3228_4690_000003_000005	And when he had received Him he said unto Sir Galahad: Sir, let death come when it pleaseth him.	And when he had received Him he said unto Sir Galahad: Sir, let death come when it pleaseth him.
3228_4690_000003_000006	And therewith he drew out the truncheon of the spear out of his body: and then he swooned.	And therewith he drew out the truncheon of the spear out of his body: and then he swooned.
3228_4690_000004_000001	And anon he ransacked him; and then he said unto Sir Galahad: I shall heal him of his wound, by the grace of God, within the term of seven weeks.	And anon he ransacked him; and then he said unto Sir Galahad: I shall heal him of his wound, by the grace of God, within the term of seven weeks.
3228_4690_000004_000002	Then was Sir Galahad glad, and unarmed him, and said he would abide there three days.	Then was Sir Galahad glad, and unarmed him, and said he would abide there three days.
3228_4690_000004_000004	Then he said he was turned unto helping, God be thanked.	Then he said he was turned unto helping, God be thanked.
3228_4690_000005_000000	CHAPTER XIV.	CHAPTER fourteen.
