3228_4690_000000_000000	CHAPTER XIII.	CHAPTER thirteen.	false	0.57	3.63	27.991213
3228_4690_000000_000001	Of the adventure that Melias had, and how Galahad revenged him, and how Melias was carried into an abbey.	Of the adventure that Melias had, and how Galahad revenged him, and how Melias was carried into an abbey.	false	3.63	25.47	26.775087
3228_4690_000001_000000	AND then rode Melias into an old forest, and therein he rode two days and more.	AND then rode Melias into an old forest, and therein he rode two days and more.	true	25.47	30.4	19.071665
3228_4690_000001_000001	And then he came into a fair meadow, and there was a fair lodge of boughs.	And then he came into a fair meadow, and there was a fair lodge of boughs.	true	30.71	34.81	21
3228_4690_000001_000002	And then he espied in that lodge a chair, wherein was a crown of gold, subtly wrought.	And then he espied in that lodge a chair, wherein was a crown of gold, subtly wrought.	false	35.09	40.095	28.302887
3228_4690_000001_000003	Also there were cloths covered upon the earth, and many delicious meats set thereon.	Also there were cloths covered upon the earth, and many delicious meats set thereon.	true	40.095	44.98	23
3228_4690_000001_000004	Sir Melias beheld this adventure, and thought it marvellous, but he had no hunger, but of the crown of gold he took much keep; and therewith he stooped down and took it up, and rode his way with it.	Sir Melias beheld this adventure, and thought it marvellous, but he had no hunger, but of the crown of gold he took much keep; and therewith he stooped down and took it up, and rode his way with it.	true	45.11	56.23	24.016762
3228_4690_000001_000005	And anon he saw a knight came riding after him that said: Knight, set down that crown which is not yours, and therefore defend you.	And anon he saw a knight came riding after him that said: Knight, set down that crown which is not yours, and therefore defend you.	false	56.54	64.42	26.542501
3228_4690_000001_000006	Then Sir Melias blessed him and said: Fair lord of heaven, help and save thy new-made knight.	Then Sir Melias blessed him and said: Fair lord of heaven, help and save thy new made knight.	true	64.82	70.42	24.351374
3228_4690_000001_000007	And then they let their horses run as fast as they might, so that the other knight smote Sir Melias through hauberk and through the left side, that he fell to the earth nigh dead.	And then they let their horses run as fast as they might, so that the other knight smote Sir Melias through hauberk and through the left side, that he fell to the earth nigh dead.	true	70.82	80.44	22
3228_4690_000001_000008	And then he took the crown and went his way; and Sir Melias lay still and had no power to stir.	And then he took the crown and went his way; and Sir Melias lay still and had no power to stir.	true	80.69	86.23	20
3228_4690_000002_000000	In the meanwhile by fortune there came Sir Galahad and found him there in peril of death.	In the meanwhile by fortune there came Sir Galahad and found him there in peril of death.	true	86.6	91.93	21.887177
3228_4690_000002_000001	And then he said: Ah Melias, who hath wounded you? therefore it had been better to have ridden the other way.	And then he said: Ah Melias, who hath wounded you? therefore it had been better to have ridden the other way.	true	92.09	98.74	22.285038
3228_4690_000002_000002	And when Sir Melias heard him speak: Sir, he said, for God's love let me not die in this forest, but bear me unto the abbey here beside, that I may be confessed and have my rights.	And when Sir Melias heard him speak: Sir, he said, for God's love let me not die in this forest, but bear me unto the abbey here beside, that I may be confessed and have my rights.	true	98.99	110.05	23.606564
3228_4690_000002_000003	It shall be done, said Galahad, but where is he that hath wounded you?	It shall be done, said Galahad, but where is he that hath wounded you?	true	110.39	114.19	19.667686
3228_4690_000002_000004	With that Sir Galahad heard in the leaves cry on high: Knight, keep thee from me.	With that Sir Galahad heard in the leaves cry on high: Knight, keep thee from me.	true	114.38	119.35	24.87817
3228_4690_000002_000005	Ah sir, said Melias, beware, for that is he that hath slain me.	Ah sir, said Melias, beware, for that is he that hath slain me.	false	119.48	123.9	18.521301
3228_4690_000002_000006	Sir Galahad answered: Sir knight, come on your peril.	Sir Galahad answered: Sir knight, come on your peril.	true	123.9	127.75	23.406986
3228_4690_000002_000007	Then either dressed to other, and came together as fast as their horses might run, and Galahad smote him so that his spear went through his shoulder, and smote him down off his horse, and in the falling Galahad's spear brake.	Then either dressed to other, and came together as fast as their horses might run, and Galahad smote him so that his spear went through his shoulder, and smote him down off his horse, and in the falling Galahad's spear brake.	true	127.97	140.55	20.935045
3228_4690_000003_000000	With that came out another knight out of the leaves, and brake a spear upon Galahad or ever he might turn him.	With that came out another knight out of the leaves, and brake a spear upon Galahad or ever he might turn him.	true	140.55	146.92	22
3228_4690_000003_000001	Then Galahad drew out his sword and smote off the left arm of him, so that it fell to the earth.	Then Galahad drew out his sword and smote off the left arm of him, so that it fell to the earth.	true	147.17	152.41	21.670845
3228_4690_000003_000002	And then he fled, and Sir Galahad pursued fast after him.	And then he fled, and Sir Galahad pursued fast after him.	true	152.6	156.16	28
3228_4690_000003_000003	And then he turned again unto Sir Melias, and there he alighted and dressed him softly on his horse to-fore him, for the truncheon of his spear was in his body; and Sir Galahad stert up behind him, and held him in his arms, and so brought him to the abbey, and there unarmed him and brought him to his chamber.	And then he turned again unto Sir Melias, and there he alighted and dressed him softly on his horse to fore him, for the truncheon of his spear was in his body; and Sir Galahad stert up behind him, and held him in his arms, and so brought him to the abbey, and there unarmed him and brought him to his chamber.	true	156.5	173.59	21.498173
3228_4690_000003_000004	And then he asked his Saviour.	And then he asked his Saviour.	true	174.08	175.93	19.796072
3228_4690_000003_000005	And when he had received Him he said unto Sir Galahad: Sir, let death come when it pleaseth him.	And when he had received Him he said unto Sir Galahad: Sir, let death come when it pleaseth him.	true	176.06	181.56	22.707525
3228_4690_000003_000006	And therewith he drew out the truncheon of the spear out of his body: and then he swooned.	And therewith he drew out the truncheon of the spear out of his body: and then he swooned.	true	181.56	186.22	24
3228_4690_000004_000000	Then came there an old monk which sometime had been a knight, and beheld Sir Melias.	Then came there an old monk which sometime had been a knight, and beheld Sir Melias.	true	186.65	191.38	17.748486
3228_4690_000004_000001	And anon he ransacked him; and then he said unto Sir Galahad: I shall heal him of his wound, by the grace of God, within the term of seven weeks.	And anon he ransacked him; and then he said unto Sir Galahad: I shall heal him of his wound, by the grace of God, within the term of seven weeks.	true	191.69	200.23	21.843763
3228_4690_000004_000002	Then was Sir Galahad glad, and unarmed him, and said he would abide there three days.	Then was Sir Galahad glad, and unarmed him, and said he would abide there three days.	true	200.66	205.42	20
3228_4690_000004_000003	And then he asked Sir Melias how it stood with him.	And then he asked Sir Melias how it stood with him.	true	205.67	208.39	17.50113
3228_4690_000004_000004	Then he said he was turned unto helping, God be thanked.	Then he said he was turned unto helping, God be thanked.	true	208.52	211.96	23.961514
3228_4690_000005_000000	CHAPTER XIV.	CHAPTER fourteen.	true	212.78	214.17	28.134804
3228_4690_000005_000001	How Sir Galahad departed, and how he was commanded to go to the Castle of Maidens to destroy the wicked custom.	How Sir Galahad departed, and how he was commanded to go to the Castle of Maidens to destroy the wicked custom.	false	214.17	214.68	-6
3228_4690_000006_000000	NOW will I depart, said Galahad, for I have much on hand, for many good knights be full busy about it, and this knight and I were in the same quest of the Sangreal.	NOW will I depart, said Galahad, for I have much on hand, for many good knights be full busy about it, and this knight and I were in the same quest of the Sangreal.	false	214.68	223.51	20
