7945_112012_000000_000000	'Here, Beppo, are some soldi for the brothers and sisters.	'Here, Beppo, are some soldi for the brothers and sisters.	false	4.98	9.72	15
7945_112012_000000_000001	I hope that you will be good and obedient and _always_ tell me the truth.'	I hope that you will be good and obedient and underscore always underscore tell me the truth.'	false	9.72	17.73	21.383734
7945_112012_000001_000000	CHAPTER V	CHAPTER five	true	17.73	19.03	21.805677
7945_112012_000002_000000	After some delay--owing to Tony's inability to balance the chafing-dish on Cristoforo Colombo's back--they filed from the gateway, an imposing cavalcade.	After some delay-owing to Tony's inability to balance the chafing dish on Cristoforo Colombo's back-they filed from the gateway, an imposing cavalcade.	true	19.31	29.53	20
7945_112012_000002_000001	The ladies were on foot, loftily oblivious to the fact that three empty saddles awaited their pleasure.	The ladies were on foot, loftily oblivious to the fact that three empty saddles awaited their pleasure.	true	29.72	35.95	18.749672
7945_112012_000002_000002	Constance, a gesticulating officer at either hand, was vivaciously talking Italian, while Tony, trudging behind, listened with a sombre light in his eye.	Constance, a gesticulating officer at either hand, was vivaciously talking Italian, while Tony, trudging behind, listened with a sombre light in his eye.	true	36.08	46.93	19.929897
7945_112012_000002_000003	She now and then cast a casual glance over her shoulder, and as she caught sight of his gloomy face the animation of her Italian redoubled.	She now and then cast a casual glance over her shoulder, and as she caught sight of his gloomy face the animation of her Italian redoubled.	false	47.24	56.23	19.174223
7945_112012_000002_000004	The situation held for her mischief-loving soul undreamed-of possibilities; and though she ostensibly occupied herself with the officers, she by no means neglected the donkey-man.	The situation held for her mischief loving soul undreamed of possibilities; and though she ostensibly occupied herself with the officers, she by no means neglected the donkey man.	true	56.39	67.72	19.734114
7945_112012_000003_000000	During the first few miles of the journey he earned his four francs. Twice he reshifted the pack because Constance thought it insecure (it was a disgracefully unprofessional pack; most guides would have blushed at the making of it); once he retraced their path some two hundred yards in search of a veil she thought she had dropped--it turned out that she had had it in her pocket all of the time.	During the first few miles of the journey he earned his four francs. Twice he reshifted the pack because Constance thought it insecure (it was a disgracefully unprofessional pack; most guides would have blushed at the making of it); once he retraced their path some two hundred yards in search of a veil she thought she had dropped-it turned out that she had had it in her pocket all of the time.	false	67.85	91.27	20.045052
7945_112012_000003_000001	He chased Fidilini over half the mountainside while the others were resting, and he carried the chafing-dish for a couple of miles because it refused to adjust itself nicely to the pack.	He chased Fidilini over half the mountainside while the others were resting, and he carried the chafing dish for a couple of miles because it refused to adjust itself nicely to the pack.	true	91.7	102.55	20.016819
7945_112012_000003_000002	The morning ended by his being left behind with a balking donkey, while the others completed the last ascent that led to their halting-place for lunch.	The morning ended by his being left behind with a balking donkey, while the others completed the last ascent that led to their halting place for lunch.	true	103.55	112.12	20
