2816_156159_000000_000000	CHAPTER IV—THE TROAD	CHAPTER four—THE TROAD	false	22.08	25.92	15.753822
2816_156159_000001_000000	Methley recovered almost suddenly, and we determined to go through the Troad together.	Methley recovered almost suddenly, and we determined to go through the Troad together.	true	25.92	30.37	6
2816_156159_000002_000000	My comrade was a capital Grecian.	My comrade was a capital Grecian.	true	30.71	32.895	11
2816_156159_000002_000001	It is true that his singular mind so ordered and disposed his classic lore as to impress it with something of an original and barbarous character—with an almost Gothic quaintness, more properly belonging to a rich native ballad than to the poetry of Hellas.	It is true that his singular mind so ordered and disposed his classic lore as to impress it with something of an original and barbarous character—with an almost Gothic quaintness, more properly belonging to a rich native ballad than to the poetry of Hellas.	true	32.895	49.78	13
2816_156159_000002_000002	There was a certain impropriety in his knowing so much Greek—an unfitness in the idea of marble fauns, and satyrs, and even Olympian gods, lugged in under the oaken roof and the painted light of an odd, old Norman hall.	There was a certain impropriety in his knowing so much Greek—an unfitness in the idea of marble fauns, and satyrs, and even Olympian gods, lugged in under the oaken roof and the painted light of an odd, old Norman hall.	true	50.27	64.18	10
2816_156159_000002_000003	But Methley, abounding in Homer, really loved him (as I believe) in all truth, without whim or fancy; moreover, he had a good deal of the practical sagacity	But Methley, abounding in Homer, really loved him (as I believe) in all truth, without whim or fancy; moreover, he had a good deal of the practical sagacity	true	64.88	75.88	12
2816_156159_000003_000000	“Of a Yorkshireman hippodamoio,”	"Of a Yorkshireman hippodamoio,"	false	76.04	78.1	12
2816_156159_000004_000000	and this enabled him to apply his knowledge with much more tact than is usually shown by people so learned as he.	and this enabled him to apply his knowledge with much more tact than is usually shown by people so learned as he.	false	78.32	84.82	9
2816_156159_000005_000000	I, too, loved Homer, but not with a scholar’s love.	I, too, loved Homer, but not with a scholar's love.	true	85.61	89.05	14
2816_156159_000005_000001	The most humble and pious among women was yet so proud a mother that she could teach her firstborn son no Watts’ hymns, no collects for the day; she could teach him in earliest childhood no less than this, to find a home in his saddle, and to love old Homer, and all that old Homer sung.	The most humble and pious among women was yet so proud a mother that she could teach her firstborn son no Watts' hymns, no collects for the day; she could teach him in earliest childhood no less than this, to find a home in his saddle, and to love old Homer, and all that old Homer sung.	false	89.3	107.35	12
2816_156159_000005_000002	True it is, that the Greek was ingeniously rendered into English, the English of Pope even, but not even a mesh like that can screen an earnest child from the fire of Homer’s battles.	True it is, that the Greek was ingeniously rendered into English, the English of Pope even, but not even a mesh like that can screen an earnest child from the fire of Homer's battles.	true	107.66	118.66	11
