2696_157636_000000_000000	V	V	false	1.8	2.52	5
2696_157636_000001_000000	SMOKING IN THE RESTORATION PERIOD	SMOKING IN THE RESTORATION PERIOD	false	2.52	25.15	18.87348
2696_157636_000002_000000	The Indian weed withered quite Green at noon, cut down at night, Shows thy decay-- All flesh is hay: Thus think, then drink tobacco.	The Indian weed withered quite Green at noon, cut down at night, Shows thy decay- All flesh is hay: Thus think, then drink tobacco.	true	26.12	37.3	19
2696_157636_000003_000000	GEORGE WITHER (1588-1667).	GEORGE WITHER (fifteen eighty eight to sixteen sixty seven).	true	37.61	41.32	19.41242
2696_157636_000004_000000	The year 1660 that restored Charles II to his throne, restored a gaiety and brightness, not to say frivolity of tone, that had long been absent from English life.	The year sixteen sixty that restored Charles the second to his throne, restored a gaiety and brightness, not to say frivolity of tone, that had long been absent from English life.	false	42.2	51.79	11
2696_157636_000004_000001	The following song in praise of tobacco, taken from a collection which was printed in 1660, is touched with the spirit of the time; though it is really founded on, and to no small extent taken from, some verses in praise of tobacco written by Samuel Rowlands in his "Knave of Clubs," 1611:	The following song in praise of tobacco, taken from a collection which was printed in sixteen sixty, is touched with the spirit of the time; though it is really founded on, and to no small extent taken from, some verses in praise of tobacco written by Samuel Rowlands in his "Knave of Clubs," sixteen eleven:	true	52.01	69.63	15
2696_157636_000005_000000	_To feed on flesh is gluttony, It maketh men fat like swine; But is not he a frugal man That on a leaf can dine?	underscore To feed on flesh is gluttony, It maketh men fat like swine; But is not he a frugal man That on a leaf can dine?	false	69.63	79.69	18.805761
2696_157636_000006_000000	He needs no linnen for to foul His fingers' ends to wipe, That has his kitchin in a box, And roast meat in a pipe.	He needs no linnen for to foul His fingers' ends to wipe, That has his kitchin in a box, And roast meat in a pipe.	true	79.94	87.82	18
2696_157636_000007_000000	The cause wherefore few rich men's sons Prove disputants in schools, Is that their fathers fed on flesh, And they begat fat fools.	The cause wherefore few rich men's sons Prove disputants in schools, Is that their fathers fed on flesh, And they begat fat fools.	false	88.01	98.2	18.789038
2696_157636_000008_000000	This fulsome feeding cloggs the brain And doth the stomach choak But he's a brave spark that can dine With one light dish of smoak._	This fulsome feeding cloggs the brain And doth the stomach choak But he's a brave spark that can dine With one light dish of smoak.underscore	false	98.66	110.64	17.638735
2696_157636_000009_000000	There is nothing to show that King Charles smoked, nor what his personal attitude towards tobacco may have been.	There is nothing to show that King Charles smoked, nor what his personal attitude towards tobacco may have been.	true	110.64	116.11	18
2696_157636_000010_000000	His Majesty was pleased, however, in a letter to Cambridge University, officially to condemn smoking by parsons, as at the same time he condemned the practice of wig-wearing and of sermon-reading by the clergy.	His Majesty was pleased, however, in a letter to Cambridge University, officially to condemn smoking by parsons, as at the same time he condemned the practice of wig wearing and of sermon reading by the clergy.	true	117.23	129.28	15
2696_157636_000010_000001	But the royal frown was without effect.	But the royal frown was without effect.	true	129.83	132.21	18.80169
2696_157636_000010_000002	Wigs soon covered nearly every clerical head from the bench of bishops downwards; and it is very doubtful indeed whether a single parson put his pipe out.	Wigs soon covered nearly every clerical head from the bench of bishops downwards; and it is very doubtful indeed whether a single parson put his pipe out.	true	132.21	140.89	16
2696_157636_000011_000000	Clouds were blown under archiepiscopal roofs.	Clouds were blown under archiepiscopal roofs.	true	141.98	145.18	15.857775
