7286_92930_000000_000000	CHAPTER XX	CHAPTER twenty	true	22.86	24.13	31.899662
7286_92930_000001_000000	MOLLY PITCHER	MOLLY PITCHER	true	24.32	25.75	29.442602
7286_92930_000002_000000	In the days of the American Revolution a young woman lived as a servant in Carlisle, Pennsylvania, with the family of General Irving, a retired British officer, who had fought in the French and Indian War and had seen a great deal of service.	In the days of the American Revolution a young woman lived as a servant in carlisle pennsylvania, with the family of General Irving, a retired British officer, who had fought in the French and Indian War and had seen a great deal of service.	true	26.81	42.67	25.122938
7286_92930_000002_000001	This young woman was named Molly Ludwig Hays, and was the wife of a barber who had been well known in the village.	This young woman was named Molly Ludwig Hays, and was the wife of a barber who had been well known in the village.	true	43.22	50.77	21.930796
7286_92930_000002_000002	He had won her hand with difficulty for Molly was a belle throughout the countryside.	He had won her hand with difficulty for Molly was a belle throughout the countryside.	false	51.08	56.38	22.00138
7286_92930_000002_000003	She was not only handsome, but as strong as a man, able to carry a heavy meal-sack on her shoulder; and one of the hardest workers that the town knew.	She was not only handsome, but as strong as a man, able to carry a heavy meal sack on her shoulder; and one of the hardest workers that the town knew.	true	56.57	66.31	22.304525
7286_92930_000002_000004	She washed and scrubbed and scoured and baked from morning till night, and seemed to revel in the hard work that gave the needed exercise to her strong muscles.	She washed and scrubbed and scoured and baked from morning till night, and seemed to revel in the hard work that gave the needed exercise to her strong muscles.	true	66.53	76.63	24.536121
7286_92930_000003_000000	Throughout her life Molly Hays had admired soldiers, and more than once she expressed herself in no undecided terms to the effect that she wished she were a man so that she could bear arms and wear a uniform, and be a soldier herself.	Throughout her life Molly Hays had admired soldiers, and more than once she expressed herself in no undecided terms to the effect that she wished she were a man so that she could bear arms and wear a uniform, and be a soldier herself.	true	77.48	92.71	22.42771
7286_92930_000004_000000	When she was still a very young woman the American Revolution for freedom from Great Britain broke out.	When she was still a very young woman the American Revolution for freedom from Great Britain broke out.	true	93.38	99.46	22.535398
7286_92930_000004_000001	All the country was aflame, and rang with the stories of what happened at Lexington and Bunker Hill. Man after man from the village took his powder horn and musket and went off to enlist for the war, and Molly grew more and more restless as she saw them go.	All the country was aflame, and rang with the stories of what happened at Lexington and Bunker Hill. Man after man from the village took his powder horn and musket and went off to enlist for the war, and Molly grew more and more restless as she saw them go.	true	99.8	116.08	22.850359
7286_92930_000005_000000	At last her husband came to her, somewhat sheepishly, for he disliked to tell her the intention he had in his heart; but at length he made her understand that just because he was married was no reason why he should remain at home with the women; and he, too, intended to enlist that very day.	At last her husband came to her, somewhat sheepishly, for he disliked to tell her the intention he had in his heart; but at length he made her understand that just because he was married was no reason why he should remain at home with the women; and he, too, intended to enlist that very day.	true	117.23	135.88	23.728762
7286_92930_000006_000000	Molly consented with the utmost enthusiasm.	Molly consented with the utmost enthusiasm.	true	136.94	140.2	26.231087
7286_92930_000006_000001	She told him that she would be proud to be the wife of a soldier, since she could not be one herself, and bade him farewell with the admonishment to do his part bravely and to bear himself like the man she knew him to be.	She told him that she would be proud to be the wife of a soldier, since she could not be one herself, and bade him farewell with the admonishment to do his part bravely and to bear himself like the man she knew him to be.	false	140.42	153.58	24.356794
7286_92930_000006_000002	And she stood at the door of their home waving good-by to him with a cheerful face that gave no hint of her aching heart.	And she stood at the door of their home waving good by to him with a cheerful face that gave no hint of her aching heart.	false	154.49	162.04	23.403883
7286_92930_000007_000000	When her husband had departed Molly returned to the Irving household where she worked as well as she had before her marriage, trying to find relief in the heavy labor from the pain of having lost her husband and the aching desire to go and do her part beside him even though she were a woman.	When her husband had departed Molly returned to the Irving household where she worked as well as she had before her marriage, trying to find relief in the heavy labor from the pain of having lost her husband and the aching desire to go and do her part beside him even though she were a woman.	true	163.1	179.86	22.743511
