8592_285135_000000_000000	"Ah, ha!" said at length the infuriated jester.	"Ah, ha!" said at length the infuriated jester.	false	0	0.39	-20
8592_285135_000000_000001	"Ah, ha!	"Ah, ha!	false	0.39	0.48	-20
8592_285135_000000_000002	I begin to see who these people are now!" Here, pretending to scrutinize the king more closely, he held the flambeau to the flaxen coat which enveloped him, and which instantly burst into a sheet of vivid flame.	I begin to see who these people are now!" Here, pretending to scrutinize the king more closely, he held the flambeau to the flaxen coat which enveloped him, and which instantly burst into a sheet of vivid flame.	false	0.48	2.73	19.678564
8592_285135_000000_000003	In less than half a minute the whole eight ourang-outangs were blazing fiercely, amid the shrieks of the multitude who gazed at them from below, horror-stricken, and without the power to render them the slightest assistance.	In less than half a minute the whole eight ourang outangs were blazing fiercely, amid the shrieks of the multitude who gazed at them from below, horror stricken, and without the power to render them the slightest assistance.	false	2.73	3.78	16
8592_285135_000001_000000	At length the flames, suddenly increasing in virulence, forced the jester to climb higher up the chain, to be out of their reach; and, as he made this movement, the crowd again sank, for a brief instant, into silence.	At length the flames, suddenly increasing in virulence, forced the jester to climb higher up the chain, to be out of their reach; and, as he made this movement, the crowd again sank, for a brief instant, into silence.	false	3.78	3.9	20
8592_285135_000001_000001	The dwarf seized his opportunity, and once more spoke:	The dwarf seized his opportunity, and once more spoke:	false	3.9	3.99	-20
8592_285135_000002_000000	"I now see distinctly." he said, "what manner of people these maskers are.	"I now see distinctly." he said, "what manner of people these maskers are.	false	3.99	4.14	3
8592_285135_000002_000001	They are a great king and his seven privy-councillors,--a king who does not scruple to strike a defenceless girl and his seven councillors who abet him in the outrage.	They are a great king and his seven privy councillors,--a king who does not scruple to strike a defenceless girl and his seven councillors who abet him in the outrage.	false	4.14	13.38	20.34148
8592_285135_000002_000002	As for myself, I am simply Hop-Frog, the jester--and this is my last jest."	As for myself, I am simply Hop Frog, the jester-and this is my last jest."	false	13.38	14.58	25.231657
8592_285135_000003_000000	Owing to the high combustibility of both the flax and the tar to which it adhered, the dwarf had scarcely made an end of his brief speech before the work of vengeance was complete.	Owing to the high combustibility of both the flax and the tar to which it adhered, the dwarf had scarcely made an end of his brief speech before the work of vengeance was complete.	false	14.58	14.76	-20
8592_285135_000003_000001	The eight corpses swung in their chains, a fetid, blackened, hideous, and indistinguishable mass.	The eight corpses swung in their chains, a fetid, blackened, hideous, and indistinguishable mass.	false	14.76	15.45	7
8592_285135_000003_000002	The cripple hurled his torch at them, clambered leisurely to the ceiling, and disappeared through the sky-light.	The cripple hurled his torch at them, clambered leisurely to the ceiling, and disappeared through the sky light.	false	15.45	20.07	24.743032
8592_285135_000004_000000	It is supposed that Trippetta, stationed on the roof of the saloon, had been the accomplice of her friend in his fiery revenge, and that, together, they effected their escape to their own country: for neither was seen again.	It is supposed that Trippetta, stationed on the roof of the saloon, had been the accomplice of her friend in his fiery revenge, and that, together, they effected their escape to their own country: for neither was seen again.	false	20.07	25.95	23.534204
8592_285135_000005_000000	THE MAN OF THE CROWD.	THE MAN OF THE CROWD.	false	25.95	28.26	14
8592_285135_000006_000000	Ce grand malheur, de ne pouvoir etre seul.	c e grand malheur, de ne pouvoir etre s e u l.	false	28.26	35.7	20.060667
8592_285135_000007_000000	_La Bruyere_.	underscore La Bruyere underscore.	false	35.7	38.46	20.103083
8592_285135_000008_000000	IT was well said of a certain German book that "_er lasst sich nicht lesen_"--it does not permit itself to be read.	i t was well said of a certain German book that "underscore er lasst sich nicht lesen underscore"--it does not permit itself to be read.	false	38.46	47.62	18.241617
8592_285135_000008_000001	There are some secrets which do not permit themselves to be told.	There are some secrets which do not permit themselves to be told.	true	48.11	52.06	16
8592_285135_000008_000002	Men die nightly in their beds, wringing the hands of ghostly confessors and looking them piteously in the eyes--die with despair of heart and convulsion of throat, on account of the hideousness of mysteries which will not suffer themselves to be revealed.	Men die nightly in their beds, wringing the hands of ghostly confessors and looking them piteously in the eyes-die with despair of heart and convulsion of throat, on account of the hideousness of mysteries which will not suffer themselves to be revealed.	true	52.22	67.09	12
