2618_138042_000001_000000	CHAPTER XXXII.	CHAPTER thirty two.
2618_138042_000002_000000	OF THE REPLY DON QUIXOTE GAVE HIS CENSURER, WITH OTHER INCIDENTS, GRAVE AND DROLL	OF THE REPLY DON QUIXOTE GAVE HIS CENSURER, WITH OTHER INCIDENTS, GRAVE AND DROLL
2618_138042_000003_000001	Pious, well-meant reproof requires a different demeanour and arguments of another sort; at any rate, to have reproved me in public, and so roughly, exceeds the bounds of proper reproof, for that comes better with gentleness than with rudeness; and it is not seemly to call the sinner roundly blockhead and booby, without knowing anything of the sin that is reproved.	Pious, well meant reproof requires a different demeanour and arguments of another sort; at any rate, to have reproved me in public, and so roughly, exceeds the bounds of proper reproof, for that comes better with gentleness than with rudeness; and it is not seemly to call the sinner roundly blockhead and booby, without knowing anything of the sin that is reproved.
2618_138042_000003_000002	Come, tell me, for which of the stupidities you have observed in me do you condemn and abuse me, and bid me go home and look after my house and wife and children, without knowing whether I have any?	Come, tell me, for which of the stupidities you have observed in me do you condemn and abuse me, and bid me go home and look after my house and wife and children, without knowing whether I have any?
2618_138042_000003_000004	Is it, haply, an idle occupation, or is the time ill-spent that is spent in roaming the world in quest, not of its enjoyments, but of those arduous toils whereby the good mount upwards to the abodes of everlasting life?	Is it, haply, an idle occupation, or is the time ill spent that is spent in roaming the world in quest, not of its enjoyments, but of those arduous toils whereby the good mount upwards to the abodes of everlasting life?
2618_138042_000003_000006	Some take the broad road of overweening ambition; others that of mean and servile flattery; others that of deceitful hypocrisy, and some that of true religion; but I, led by my star, follow the narrow path of knight-errantry, and in pursuit of that calling I despise wealth, but not honour.	Some take the broad road of overweening ambition; others that of mean and servile flattery; others that of deceitful hypocrisy, and some that of true religion; but I, led by my star, follow the narrow path of knight errantry, and in pursuit of that calling I despise wealth, but not honour.
2618_138042_000005_000000	"Perhaps, brother," said the ecclesiastic, "you are that Sancho Panza that is mentioned, to whom your master has promised an island?"	"Perhaps, brother," said the ecclesiastic, "you are that Sancho Panza that is mentioned, to whom your master has promised an island?"
2618_138042_000007_000000	"No, Sancho my friend, certainly not," said the duke, "for in the name of Senor Don Quixote I confer upon you the government of one of no small importance that I have at my disposal."	"No, Sancho my friend, certainly not," said the duke, "for in the name of Senor Don Quixote I confer upon you the government of one of no small importance that I have at my disposal."
2618_138042_000008_000000	"Go down on thy knees, Sancho," said Don Quixote, "and kiss the feet of his excellence for the favour he has bestowed upon thee."	"Go down on thy knees, Sancho," said Don Quixote, "and kiss the feet of his excellence for the favour he has bestowed upon thee."
2618_138042_000011_000000	"That is true," said Don Quixote, "and the reason is, that he who is not liable to offence cannot give offence to anyone.	"That is true," said Don Quixote, "and the reason is, that he who is not liable to offence cannot give offence to anyone.
2618_138042_000011_000001	Women, children, and ecclesiastics, as they cannot defend themselves, though they may receive offence cannot be insulted, because between the offence and the insult there is, as your excellence very well knows, this difference: the insult comes from one who is capable of offering it, and does so, and maintains it; the offence may come from any quarter without carrying insult.	Women, children, and ecclesiastics, as they cannot defend themselves, though they may receive offence cannot be insulted, because between the offence and the insult there is, as your excellence very well knows, this difference: the insult comes from one who is capable of offering it, and does so, and maintains it; the offence may come from any quarter without carrying insult.
2618_138042_000011_000002	To take an example: a man is standing unsuspectingly in the street and ten others come up armed and beat him; he draws his sword and quits himself like a man, but the number of his antagonists makes it impossible for him to effect his purpose and avenge himself; this man suffers an offence but not an insult.	To take an example: a man is standing unsuspectingly in the street and ten others come up armed and beat him; he draws his sword and quits himself like a man, but the number of his antagonists makes it impossible for him to effect his purpose and avenge himself; this man suffers an offence but not an insult.
2618_138042_000011_000003	Another example will make the same thing plain: a man is standing with his back turned, another comes up and strikes him, and after striking him takes to flight, without waiting an instant, and the other pursues him but does not overtake him; he who received the blow received an offence, but not an insult, because an insult must be maintained.	Another example will make the same thing plain: a man is standing with his back turned, another comes up and strikes him, and after striking him takes to flight, without waiting an instant, and the other pursues him but does not overtake him; he who received the blow received an offence, but not an insult, because an insult must be maintained.
2618_138042_000011_000004	If he who struck him, though he did so sneakingly and treacherously, had drawn his sword and stood and faced him, then he who had been struck would have received offence and insult at the same time; offence because he was struck treacherously, insult because he who struck him maintained what he had done, standing his ground without taking to flight.	If he who struck him, though he did so sneakingly and treacherously, had drawn his sword and stood and faced him, then he who had been struck would have received offence and insult at the same time; offence because he was struck treacherously, insult because he who struck him maintained what he had done, standing his ground without taking to flight.
2618_138042_000014_000000	Don Quixote finally grew calm, and dinner came to an end, and as the cloth was removed four damsels came in, one of them with a silver basin, another with a jug also of silver, a third with two fine white towels on her shoulder, and the fourth with her arms bared to the elbows, and in her white hands (for white they certainly were) a round ball of Naples soap.	Don Quixote finally grew calm, and dinner came to an end, and as the cloth was removed four damsels came in, one of them with a silver basin, another with a jug also of silver, a third with two fine white towels on her shoulder, and the fourth with her arms bared to the elbows, and in her white hands (for white they certainly were) a round ball of Naples soap.
