1046_133224_000000_000000	THE SINGLE TAX.	THE SINGLE TAX.
1046_133224_000001_000000	This idea was first formulated by Mr. Henry George in 1879, and has grown steadily in favor.	This idea was first formulated by mr Henry George in eighteen seventy nine, and has grown steadily in favor.
1046_133224_000001_000002	They hold that this is the only rightful source of public revenue, and they would therefore abolish all taxation--local, state and national--except a tax upon the rental value of land exclusive of its improvements, the revenue thus raised to be divided among local, state and general governments, as the revenue from certain direct taxes is now divided between local and state governments.	They hold that this is the only rightful source of public revenue, and they would therefore abolish all taxation-local, state and national-except a tax upon the rental value of land exclusive of its improvements, the revenue thus raised to be divided among local, state and general governments, as the revenue from certain direct taxes is now divided between local and state governments.
1046_133224_000002_000000	The single tax would not fall on all land, but only on valuable land, and on that in proportion to its value.	The single tax would not fall on all land, but only on valuable land, and on that in proportion to its value.
1046_133224_000002_000001	It would thus be a tax, not on use or improvements, but on ownership of land, taking what would otherwise go to the landlord as owner.	It would thus be a tax, not on use or improvements, but on ownership of land, taking what would otherwise go to the landlord as owner.
1046_133224_000003_000000	In accordance with the principle that all men are equally entitled to the use of the earth, they would solve the transportation problem by public ownership and control of all highways, including the roadbeds of railroads, leaving their use equally free to all.	In accordance with the principle that all men are equally entitled to the use of the earth, they would solve the transportation problem by public ownership and control of all highways, including the roadbeds of railroads, leaving their use equally free to all.
1046_133224_000004_000001	It would call upon men to contribute for public expenses in proportion to the natural opportunities they monopolize, and make it unprofitable for speculators to hold land unused or only partly used, thus opening to labor unlimited fields of employment, solving the labor problem and abolishing involuntary poverty.	It would call upon men to contribute for public expenses in proportion to the natural opportunities they monopolize, and make it unprofitable for speculators to hold land unused or only partly used, thus opening to labor unlimited fields of employment, solving the labor problem and abolishing involuntary poverty.
1046_133224_000005_000000	THE MYSTERIES OF HYPNOTISM.	THE MYSTERIES OF HYPNOTISM.
1046_133224_000006_000000	A Compend of the General Claims Made by Professional Hypnotists.	A Compend of the General Claims Made by Professional Hypnotists.
1046_133224_000007_000001	It may be transmitted from one person to another.	It may be transmitted from one person to another.
1046_133224_000007_000002	The transmitting force is the concentrated effort of will-power, which sends the magnetic current through the nerves of the operator to the different parts of the body of his subject.	The transmitting force is the concentrated effort of will power, which sends the magnetic current through the nerves of the operator to the different parts of the body of his subject.
1046_133224_000007_000004	Its action in general should be soothing and quieting upon the nervous system; stimulating to the circulation of the blood, the brain and other vital organs of the body of the subject.	Its action in general should be soothing and quieting upon the nervous system; stimulating to the circulation of the blood, the brain and other vital organs of the body of the subject.
1046_133224_000007_000005	It is the use and application of this power or force that constitutes hypnotism.	It is the use and application of this power or force that constitutes hypnotism.
1046_133224_000008_000001	From the intelligent operator using it to overcome disease, a patient experiences a soothing influence that causes a relaxation of the muscles, followed by a pleasant, drowsy feeling which soon terminates in refreshing sleep.	From the intelligent operator using it to overcome disease, a patient experiences a soothing influence that causes a relaxation of the muscles, followed by a pleasant, drowsy feeling which soon terminates in refreshing sleep.
1046_133224_000009_000001	No one was ever induced to commit any crime under hypnosis, that could not have been induced to do the same thing much easier without hypnosis.	No one was ever induced to commit any crime under hypnosis, that could not have been induced to do the same thing much easier without hypnosis.
1046_133224_000010_000000	The hypnotic state is a condition of mind that extends from a comparatively wakeful state, with slight drowsiness, to complete somnambulism, no two subjects, as a rule, ever presenting the same characteristics.	The hypnotic state is a condition of mind that extends from a comparatively wakeful state, with slight drowsiness, to complete somnambulism, no two subjects, as a rule, ever presenting the same characteristics.
1046_133224_000011_000000	The operator, to be successful, must have control of his own mind, be in perfect health and have the ability to keep his mind concentrated upon the object he desires to accomplish with his subject.	The operator, to be successful, must have control of his own mind, be in perfect health and have the ability to keep his mind concentrated upon the object he desires to accomplish with his subject.
1046_133224_000012_000000	HOW TO CARE FOR A PIANO. By William H. Damon	HOW TO CARE FOR A PIANO. By William h Damon
1046_133224_000013_000000	The most important thing in the preservation of a piano is to avoid atmospheric changes and extremes and sudden changes of temperature. Where the summer condition of the atmosphere is damp all precautions possible should be taken to avoid an entirely dry condition in winter, such as that given by steam or furnace heat.	The most important thing in the preservation of a piano is to avoid atmospheric changes and extremes and sudden changes of temperature. Where the summer condition of the atmosphere is damp all precautions possible should be taken to avoid an entirely dry condition in winter, such as that given by steam or furnace heat.
1046_133224_000013_000005	Plants in the room are desirable and vessels of water of any kind will be of assistance.	Plants in the room are desirable and vessels of water of any kind will be of assistance.
1046_133224_000013_000006	The most potent means of avoiding extreme dryness is to place a single-loaf bread-pan half full of water in the lower part of the piano, taking out the lower panel and placing it on either side of the pedals inside.	The most potent means of avoiding extreme dryness is to place a single loaf bread pan half full of water in the lower part of the piano, taking out the lower panel and placing it on either side of the pedals inside.
1046_133224_000013_000008	In cases where stove heat is used these precautions are not necessary.	In cases where stove heat is used these precautions are not necessary.
1046_133224_000014_000000	The action of a piano, like any other delicate piece of machinery, should be carefully examined, and, if necessary, adjusted each time it is tuned.	The action of a piano, like any other delicate piece of machinery, should be carefully examined, and, if necessary, adjusted each time it is tuned.
1046_133224_000014_000001	The hammers need occasional and careful attention to preserve original tone quality and elasticity.	The hammers need occasional and careful attention to preserve original tone quality and elasticity.
1046_133224_000014_000003	This is ruinous to both the action and tuning.	This is ruinous to both the action and tuning.
1046_133224_000014_000004	When not in use the music rack and top should be closed to exclude dust.	When not in use the music rack and top should be closed to exclude dust.
1046_133224_000014_000005	The keyboard need never be closed, as the ivory needs both light and ventilation and will eventually turn yellow unless left open.	The keyboard need never be closed, as the ivory needs both light and ventilation and will eventually turn yellow unless left open.
1046_133224_000015_000000	The case demands careful treatment to preserve its beauty and polish, Never use anything other than a soft piece of cotton cloth or cheese cloth to dust it with.	The case demands careful treatment to preserve its beauty and polish, Never use anything other than a soft piece of cotton cloth or cheese cloth to dust it with.
1046_133224_000015_000001	Never wipe it with a dry chamois skin or silk cloth.	Never wipe it with a dry chamois skin or silk cloth.
1046_133224_000015_000002	Silk is not as soft as cotton and will scratch.	Silk is not as soft as cotton and will scratch.
1046_133224_000015_000003	A dry chamois skin picks up the dust and grit and gradually scours off the fine finish.	A dry chamois skin picks up the dust and grit and gradually scours off the fine finish.
1046_133224_000015_000004	In dusting never use a feather duster, nor rub the piano hard with anything.	In dusting never use a feather duster, nor rub the piano hard with anything.
1046_133224_000015_000005	The dust should be whipped off, and not rubbed into the varnish.	The dust should be whipped off, and not rubbed into the varnish.
1046_133224_000015_000006	If the piano is dingy, smoky or dirty looking, it should be washed carefully with lukewarm water with a little ammonia in it to soften it.	If the piano is dingy, smoky or dirty looking, it should be washed carefully with lukewarm water with a little ammonia in it to soften it.
1046_133224_000015_000007	Never use soap.	Never use soap.
1046_133224_000015_000008	Use nothing but a small, soft sponge and a chamois skin.	Use nothing but a small, soft sponge and a chamois skin.
1046_133224_000015_000009	Wipe over a small part at a time with the sponge, following quickly with the wet chamois skin wrung out of the same water. This will dry it immediately and leave it as beautiful and clean as new. Never use patent polishes.	Wipe over a small part at a time with the sponge, following quickly with the wet chamois skin wrung out of the same water. This will dry it immediately and leave it as beautiful and clean as new. Never use patent polishes.
1046_133224_000015_000010	If your piano needs polishing employ a competent polisher to give it a hand-rubbing friction polish.	If your piano needs polishing employ a competent polisher to give it a hand rubbing friction polish.
1046_133224_000017_000000	[Transcriber's Note: The highest point in New Guinea is Puncak Jaya (Mount Carstensz or the Carstensz Pyramid), at 16,023 feet.]	[Transcriber's Note: The highest point in New Guinea is Puncak Jaya (Mount Carstensz or the Carstensz Pyramid), at sixteen thousand twenty three feet.]
1046_133224_000020_000001	Scald this with new milk heated to the boiling point and mix to the thickness of mush.	Scald this with new milk heated to the boiling point and mix to the thickness of mush.
1046_133224_000020_000002	This can be made in a cup.	This can be made in a cup.
1046_133224_000021_000000	"In the morning, when all is ready, take a one-gallon stone jar and into this put one scant cupful of new milk.	"In the morning, when all is ready, take a one gallon stone jar and into this put one scant cupful of new milk.
1046_133224_000021_000001	Add a level teaspoonful of salt and one of sugar.	Add a level teaspoonful of salt and one of sugar.
1046_133224_000021_000002	Scald this with three cupfuls of water heated to the boiling point.	Scald this with three cupfuls of water heated to the boiling point.
1046_133224_000021_000003	Reduce to a temperature of one hundred and eight degrees with cold water, using a milk thermometer to enable you to get exactly the right temperature.	Reduce to a temperature of one hundred and eight degrees with cold water, using a milk thermometer to enable you to get exactly the right temperature.
1046_133224_000021_000005	It should rise at least an inch and a half.	It should rise at least an inch and a half.
1046_133224_000021_000006	When it has raised mix to a stiff dough, make into loaves and put into pans.	When it has raised mix to a stiff dough, make into loaves and put into pans.
1046_133224_000021_000007	Do not let the heat get out of the dough while working. Grease the loaves well on top and set your bread where it will be warm and rise.	Do not let the heat get out of the dough while working. Grease the loaves well on top and set your bread where it will be warm and rise.
1046_133224_000021_000008	After the loaves rise bake in a medium oven for one hour and ten minutes.	After the loaves rise bake in a medium oven for one hour and ten minutes.
1046_133224_000021_000009	When you take the loaves from the oven wrap them in a bread-cloth."	When you take the loaves from the oven wrap them in a bread cloth."
1046_133224_000023_000000	Take twelve ounces of dislike, one pound of resolution, two grains of common sense, two ounces of experience, a large sprig of time, and three quarts of cooling water of consideration.	Take twelve ounces of dislike, one pound of resolution, two grains of common sense, two ounces of experience, a large sprig of time, and three quarts of cooling water of consideration.
1046_133224_000023_000001	Set them over a gentle fire of love, sweeten it with sugar of forgetfulness, skim it with the spoon of melancholy, put it in the bottom of your heart, cork it with the cork of clean conscience.	Set them over a gentle fire of love, sweeten it with sugar of forgetfulness, skim it with the spoon of melancholy, put it in the bottom of your heart, cork it with the cork of clean conscience.
1046_133224_000023_000002	Let it remain and you will quickly find ease and be restored to your senses again.	Let it remain and you will quickly find ease and be restored to your senses again.
1046_133224_000024_000000	These things can be had of the apothecary at the house of Understanding next door to Reason, on Prudent street.	These things can be had of the apothecary at the house of Understanding next door to Reason, on Prudent street.
