5914_52088_000000_000000	HINTS ON SHOOTING.	HINTS ON SHOOTING.
5914_52088_000001_000001	It is easy to load in this way with cartridges.	It is easy to load in this way with cartridges.
5914_52088_000002_000000	On Horseback.--Loading.--Empty the charge of powder from the flask into the left hand, and pour it down the gun; then take a bullet, wet out of your mouth, and drop it into the barrel, using no ramrod; the wet will cake the bullet pretty firmly in its right place.	On Horseback.--Loading.--Empty the charge of powder from the flask into the left hand, and pour it down the gun; then take a bullet, wet out of your mouth, and drop it into the barrel, using no ramrod; the wet will cake the bullet pretty firmly in its right place.
5914_52088_000004_000000	On Water.--Boat-shooting.--A landing-net should be taken in the boat, as Colonel Hawker well advises, to pick up the dead birds as they float on the water, while the boat passes quickly by them.	On Water.--Boat shooting.--A landing net should be taken in the boat, as Colonel Hawker well advises, to pick up the dead birds as they float on the water, while the boat passes quickly by them.
5914_52088_000005_000000	Shooting over Water.--When shooting from a river-bank without boat or dog, take a long light string with a stick tied to one end of it, the other being held in the hand: by throwing The stick beyond the floating bird, it can gradually be drawn in.	Shooting over Water.--When shooting from a river bank without boat or dog, take a long light string with a stick tied to one end of it, the other being held in the hand: by throwing The stick beyond the floating bird, it can gradually be drawn in.
5914_52088_000005_000001	The stick should be 1 1/2 or 2 feet long, 2 inches in diameter, and notched at either end, and attached to the hand-line by a couple of strings, each 6 feet long, tied round either notch.	The stick should be one and a half or two feet long, two inches in diameter, and notched at either end, and attached to the hand line by a couple of strings, each six feet long, tied round either notch.
5914_52088_000006_000000	Night-shooting.--Tie a band of white paper round the muzzle of the gun, behind the sight.	Night shooting.--Tie a band of white paper round the muzzle of the gun, behind the sight.
5914_52088_000006_000001	Mr. Andersson, who has had very great experience, ties the paper, not round the smooth barrel, but over the sight and all; and, if the sight does not happen to be a large one, he ties a piece of thick string round the barrel, or uses other similar contrivance, to tilt up the fore end of the paper.	mr Andersson, who has had very great experience, ties the paper, not round the smooth barrel, but over the sight and all; and, if the sight does not happen to be a large one, he ties a piece of thick string round the barrel, or uses other similar contrivance, to tilt up the fore end of the paper.
5914_52088_000006_000002	By this means, the paper is not entirely lost sight of at the moment when the aim is being taken.	By this means, the paper is not entirely lost sight of at the moment when the aim is being taken.
5914_52088_000006_000003	Mr. Andersson also pinches the paper into a ridge along the middle of the gun, to ensure a more defined foresight.	mr Andersson also pinches the paper into a ridge along the middle of the gun, to ensure a more defined foresight.
5914_52088_000007_000000	Nocturnal Animals.--There are a large number of night-feeding animals, upon whose flesh a traveller might easily support himself, but of whose existence he would have few indications by daylight observation only.	Nocturnal Animals.--There are a large number of night feeding animals, upon whose flesh a traveller might easily support himself, but of whose existence he would have few indications by daylight observation only.
