5914_52088_000000_000000	HINTS ON SHOOTING.	HINTS ON SHOOTING.	true	21.585	23.08	21.247175
5914_52088_000001_000000	When lying down.--Loading.--Put in the powder as you best can, and ram the bullet home, lying flat on your back, with the barrel of the gun athwart your breast.	When lying down.--Loading.--Put in the powder as you best can, and ram the bullet home, lying flat on your back, with the barrel of the gun athwart your breast.	false	23.15	33.76	21.145851
5914_52088_000001_000001	It is easy to load in this way with cartridges.	It is easy to load in this way with cartridges.	true	33.77	36.58	22.9253
5914_52088_000002_000000	On Horseback.--Loading.--Empty the charge of powder from the flask into the left hand, and pour it down the gun; then take a bullet, wet out of your mouth, and drop it into the barrel, using no ramrod; the wet will cake the bullet pretty firmly in its right place.	On Horseback.--Loading.--Empty the charge of powder from the flask into the left hand, and pour it down the gun; then take a bullet, wet out of your mouth, and drop it into the barrel, using no ramrod; the wet will cake the bullet pretty firmly in its right place.	true	37.46	55.03	23.646477
5914_52088_000003_000000	Firing.--"In firing, do not bring the gun to your shoulder; but present it across the pommel of the saddle, calculating the angle with your eye, and steadying yourself momentarily by standing in the stirrups, as you take aim." (Palliser.) In each bound of the horse, the moment when his fore legs strike the ground is one of comparative steadiness, and is therefore the proper instant for pulling the trigger.	Firing.--"In firing, do not bring the gun to your shoulder; but present it across the pommel of the saddle, calculating the angle with your eye, and steadying yourself momentarily by standing in the stirrups, as you take aim." (Palliser.) In each bound of the horse, the moment when his fore legs strike the ground is one of comparative steadiness, and is therefore the proper instant for pulling the trigger.	false	55.73	81.73	21.345442
5914_52088_000004_000000	On Water.--Boat-shooting.--A landing-net should be taken in the boat, as Colonel Hawker well advises, to pick up the dead birds as they float on the water, while the boat passes quickly by them.	On Water.--Boat shooting.--A landing net should be taken in the boat, as Colonel Hawker well advises, to pick up the dead birds as they float on the water, while the boat passes quickly by them.	true	82.97	95.5	22.01641
5914_52088_000005_000000	Shooting over Water.--When shooting from a river-bank without boat or dog, take a long light string with a stick tied to one end of it, the other being held in the hand: by throwing The stick beyond the floating bird, it can gradually be drawn in.	Shooting over Water.--When shooting from a river bank without boat or dog, take a long light string with a stick tied to one end of it, the other being held in the hand: by throwing The stick beyond the floating bird, it can gradually be drawn in.	true	95.78	111.76	21.318153
5914_52088_000005_000001	The stick should be 1 1/2 or 2 feet long, 2 inches in diameter, and notched at either end, and attached to the hand-line by a couple of strings, each 6 feet long, tied round either notch.	The stick should be one and a half or two feet long, two inches in diameter, and notched at either end, and attached to the hand line by a couple of strings, each six feet long, tied round either notch.	true	111.95	125.59	23.309254
5914_52088_000005_000002	Thus, the hand-line terminates in a triangle (see the figure I have given, of a rude Stirrup), the two sides of which are of string, with the stick for a base.	Thus, the hand line terminates in a triangle (see the figure I have given, of a rude Stirrup), the two sides of which are of string, with the stick for a base.	false	125.69	135.82	22.085598
5914_52088_000005_000003	A stout stick of this kind can be thrown to a great distance; either it may be "heaved," as a sailor's Deep-sea Lead, or it may be whirled round the head, and then let fly.	A stout stick of this kind can be thrown to a great distance; either it may be "heaved," as a sailor's deep-sea Lead, or it may be whirled round the head, and then let fly.	false	136.1	148.06	22.413616
5914_52088_000006_000000	Night-shooting.--Tie a band of white paper round the muzzle of the gun, behind the sight.	Night shooting.--Tie a band of white paper round the muzzle of the gun, behind the sight.	true	148.82	154.51	21.804106
