8113_117384_000002_000000	"So dear!	"So dear!
8113_117384_000002_000001	So dear!" crooned the Cardinal	So dear!" crooned the Cardinal
8113_117384_000003_000000	She had taken possession of the sumac.	She had taken possession of the sumac.
8113_117384_000003_000001	The location was her selection and he loudly applauded her choice.	The location was her selection and he loudly applauded her choice.
8113_117384_000003_000002	She placed the first twig, and after examining it carefully, he spent the day carrying her others just as much alike as possible.	She placed the first twig, and after examining it carefully, he spent the day carrying her others just as much alike as possible.
8113_117384_000003_000003	If she used a dried grass blade, he carried grass blades until she began dropping them on the ground.	If she used a dried grass blade, he carried grass blades until she began dropping them on the ground.
8113_117384_000003_000004	If she worked in a bit of wild grape-vine bark, he peeled grape-vines until she would have no more.	If she worked in a bit of wild grape vine bark, he peeled grape vines until she would have no more.
8113_117384_000003_000006	She was not a skilled architect.	She was not a skilled architect.
8113_117384_000003_000007	Her nest certainly was a loose ramshackle affair; but she had built it, and had allowed him to help her.	Her nest certainly was a loose ramshackle affair; but she had built it, and had allowed him to help her.
8113_117384_000003_000008	It was hers; and he improvised a paean in its praise.	It was hers; and he improvised a paean in its praise.
8113_117384_000004_000000	Then she nestled them against her warm breast, and turned adoring eyes toward the Cardinal.	Then she nestled them against her warm breast, and turned adoring eyes toward the Cardinal.
8113_117384_000004_000001	If he sang from the dogwood, she faced that way. If he rocked on the wild grape-vine, she turned in her nest.	If he sang from the dogwood, she faced that way. If he rocked on the wild grape vine, she turned in her nest.
8113_117384_000004_000002	If he went to the corn field for grubs, she stood astride her eggs and peered down, watching his every movement with unconcealed anxiety.	If he went to the corn field for grubs, she stood astride her eggs and peered down, watching his every movement with unconcealed anxiety.
8113_117384_000004_000003	The Cardinal forgot to be vain of his beauty; she delighted in it every hour of the day.	The Cardinal forgot to be vain of his beauty; she delighted in it every hour of the day.
8113_117384_000005_000002	It was not enough that he brooded while she went to bathe and exercise.	It was not enough that he brooded while she went to bathe and exercise.
8113_117384_000005_000003	The daintiest of every morsel he found was carried to her.	The daintiest of every morsel he found was carried to her.
8113_117384_000005_000004	When she refused to swallow another particle, he perched on a twig close by the nest many times in a day; and with sleek feathers and lowered crest, gazed at her in silent worshipful adoration.	When she refused to swallow another particle, he perched on a twig close by the nest many times in a day; and with sleek feathers and lowered crest, gazed at her in silent worshipful adoration.
8113_117384_000006_000001	In the sumac he uttered not the faintest "Chip!" that might attract attention.	In the sumac he uttered not the faintest "Chip!" that might attract attention.
8113_117384_000006_000002	He was so anxious to be inconspicuous that he appeared only half his real size.	He was so anxious to be inconspicuous that he appeared only half his real size.
8113_117384_000006_000003	Always on leaving he gave her a tender little peck and ran his beak the length of her wing--a characteristic caress that he delighted to bestow on her.	Always on leaving he gave her a tender little peck and ran his beak the length of her wing-a characteristic caress that he delighted to bestow on her.
8113_117384_000007_000000	If he felt that he was disturbing her too often, he perched on the dogwood and sang for life, and love, and happiness.	If he felt that he was disturbing her too often, he perched on the dogwood and sang for life, and love, and happiness.
8113_117384_000007_000001	His music was in a minor key now.	His music was in a minor key now.
8113_117384_000007_000005	So dear!"	So dear!"
8113_117384_000008_000000	The farmer leaned on his corn-planter and listened to him intently.	The farmer leaned on his corn planter and listened to him intently.
8113_117384_000008_000001	"I swanny!	"I swanny!
8113_117384_000009_000000	One night he said to his wife: "Maria, have you been noticin' the redbird of late?	One night he said to his wife: "Maria, have you been noticin' the redbird of late?
8113_117384_000009_000002	I can't for the life of me make out what he's saying.	I can't for the life of me make out what he's saying.
8113_117384_000010_000000	Maria felt flattered.	Maria felt flattered.
8113_117384_000010_000001	She always had believed that she had a musical ear.	She always had believed that she had a musical ear.
8113_117384_000010_000002	Here was an opportunity to test it and please Abram at the same time.	Here was an opportunity to test it and please Abram at the same time.
8113_117384_000010_000003	She hastened her work the following morning, and very early slipped along the line fence.	She hastened her work the following morning, and very early slipped along the line fence.
8113_117384_000010_000004	Hiding behind the oak, with straining ear and throbbing heart, she eagerly listened.	Hiding behind the oak, with straining ear and throbbing heart, she eagerly listened.
8113_117384_000010_000005	"Clip, clip," came the sound of the planter, as Abram's dear old figure trudged up the hill. "Chip!	"Clip, clip," came the sound of the planter, as Abram's dear old figure trudged up the hill. "Chip!
8113_117384_000010_000006	Chip!" came the warning of the Cardinal, as he flew to his mate.	Chip!" came the warning of the Cardinal, as he flew to his mate.
8113_117384_000011_000001	As he trilled forth his tender caressing strain, the heart of the listening woman translated as did that of the brooding bird.	As he trilled forth his tender caressing strain, the heart of the listening woman translated as did that of the brooding bird.
8113_117384_000012_000000	With shining eyes and flushed cheeks, she sped down the fence.	With shining eyes and flushed cheeks, she sped down the fence.
8113_117384_000012_000001	Panting and palpitating with excitement, she met Abram half-way on his return trip.	Panting and palpitating with excitement, she met Abram half-way on his return trip.
8113_117384_000012_000002	Forgetful of her habitual reserve, she threw her arms around his neck, and drawing his face to hers, she cried: "Oh, Abram!	Forgetful of her habitual reserve, she threw her arms around his neck, and drawing his face to hers, she cried: "Oh, Abram!
8113_117384_000012_000005	Oh, Abram, my love!	Oh, Abram, my love!
8113_117384_000012_000006	My own!	My own!
8113_117384_000012_000008	So dear!"	So dear!"
8113_117384_000013_000000	"So dear!	"So dear!
8113_117384_000013_000001	So dear!" echoed the Cardinal.	So dear!" echoed the Cardinal.
8113_117384_000014_000000	The bewilderment in Abram's face melted into comprehension.	The bewilderment in Abram's face melted into comprehension.
8113_117384_000014_000001	He swept Maria from her feet as he lifted his head.	He swept Maria from her feet as he lifted his head.
8113_117384_000015_000001	You have got it, honey!	You have got it, honey!
8113_117384_000015_000002	That's what he's saying, plain as gospel!	That's what he's saying, plain as gospel!
8113_117384_000016_000000	He gathered Maria in his arms, pressed her head against his breast with a trembling old hand, while the face he turned to the morning was beautiful.	He gathered Maria in his arms, pressed her head against his breast with a trembling old hand, while the face he turned to the morning was beautiful.
8113_117384_000017_000001	So dear!"	So dear!"
8113_117384_000018_000000	After that Abram's devotion to his bird family became a mild mania.	After that Abram's devotion to his bird family became a mild mania.
8113_117384_000018_000001	He carried food to the top rail of the line fence every day, rain or shine, with the same regularity that he curried and fed Nancy in the barn.	He carried food to the top rail of the line fence every day, rain or shine, with the same regularity that he curried and fed Nancy in the barn.
8113_117384_000019_000000	He drove a stake to mark the spot where the killdeer hen brooded in the corn field, so that he would not drive Nancy over the nest.	He drove a stake to mark the spot where the killdeer hen brooded in the corn field, so that he would not drive Nancy over the nest.
8113_117384_000019_000002	Alders and sweetbriers grew in his fence corners undisturbed that spring if he discovered that they sheltered an anxious-eyed little mother.	Alders and sweetbriers grew in his fence corners undisturbed that spring if he discovered that they sheltered an anxious eyed little mother.
8113_117384_000019_000003	He left a square yard of clover unmowed, because it seemed to him that the lark, singing nearer the Throne than any other bird, was picking up stray notes dropped by the Invisible Choir, and with unequalled purity and tenderness, sending them ringing down to his brooding mate, whose home and happiness would be despoiled by the reaping of that spot of green.	He left a square yard of clover unmowed, because it seemed to him that the lark, singing nearer the Throne than any other bird, was picking up stray notes dropped by the Invisible Choir, and with unequalled purity and tenderness, sending them ringing down to his brooding mate, whose home and happiness would be despoiled by the reaping of that spot of green.
