4039_184265_000000_000000	"The fifth is ambition.	"The fifth is ambition.	false	0	0.39	13
4039_184265_000000_000001	It next will be right To describe each particular batch: Distinguishing those that have feathers, and bite, And those that have whiskers, and scratch.	It next will be right To describe each particular batch: Distinguishing those that have feathers, and bite, And those that have whiskers, and scratch.	false	0.39	4.92	21.536312
4039_184265_000001_000000	"For, although common Snarks do no manner of harm, Yet, I feel it my duty to say, Some are Boojums--"	"For, although common Snarks do no manner of harm, Yet, I feel it my duty to say, Some are Boojums-"	false	4.92	10.29	21.943592
4039_184265_000001_000001	The Bellman broke off in alarm, For the Baker had fainted away.	The Bellman broke off in alarm, For the Baker had fainted away.	false	10.29	15.015	21.530987
4039_184265_000002_000000	Fit the Third	Fit the Third	true	15.015	16.63	23.768076
4039_184265_000003_000000	THE BAKER'S TALE	THE BAKER'S TALE	true	17	18.34	22.435661
4039_184265_000004_000000	They roused him with muffins--they roused him with ice-- They roused him with mustard and cress-- They roused him with jam and judicious advice-- They set him conundrums to guess.	They roused him with muffins-they roused him with ice- They roused him with mustard and cress- They roused him with jam and judicious advice- They set him conundrums to guess.	true	19.46	33.37	21.159235
4039_184265_000005_000000	When at length he sat up and was able to speak, His sad story he offered to tell; And the Bellman cried "Silence!	When at length he sat up and was able to speak, His sad story he offered to tell; And the Bellman cried "Silence!	true	33.86	42.37	23.976122
4039_184265_000005_000001	Not even a shriek!" And excitedly tingled his bell.	Not even a shriek!" And excitedly tingled his bell.	true	42.62	46.96	21.685345
4039_184265_000006_000000	There was silence supreme!	There was silence supreme!	true	47.48	49.93	23.983187
4039_184265_000006_000001	Not a shriek, not a scream, Scarcely even a howl or a groan, As the man they called "Ho!" told his story of woe In an antediluvian tone.	Not a shriek, not a scream, Scarcely even a howl or a groan, As the man they called "Ho!" told his story of woe In an antediluvian tone.	true	50.12	64.6	23.298332
4039_184265_000007_000000	"My father and mother were honest, though poor--" "Skip all that!" cried the Bellman in haste. "If it once becomes dark, there's no chance of a Snark-- We have hardly a minute to waste!"	"My father and mother were honest, though poor-" "Skip all that!" cried the Bellman in haste. "If it once becomes dark, there's no chance of a Snark- We have hardly a minute to waste!"	true	65.84	79.84	23.467411
4039_184265_000008_000000	"I skip forty years," said the Baker, in tears, "And proceed without further remark To the day when you took me aboard of your ship To help you in hunting the Snark.	"I skip forty years," said the Baker, in tears, "And proceed without further remark To the day when you took me aboard of your ship To help you in hunting the Snark.	true	81.77	94.81	23.027472
4039_184265_000009_000000	"A dear uncle of mine (after whom I was named) Remarked, when I bade him farewell--" "Oh, skip your dear uncle!" the Bellman exclaimed, As he angrily tingled his bell.	"A dear uncle of mine (after whom I was named) Remarked, when I bade him farewell-" "Oh, skip your dear uncle!" the Bellman exclaimed, As he angrily tingled his bell.	true	95.99	109.06	22.922459
4039_184265_000010_000000	"He remarked to me then," said that mildest of men, "'If your Snark be a Snark, that is right: Fetch it home by all means--you may serve it with greens, And it's handy for striking a light.	"He remarked to me then," said that mildest of men, "'If your Snark be a Snark, that is right: Fetch it home by all means-you may serve it with greens, And it's handy for striking a light.	true	109.85	124.15	20.679514
4039_184265_000011_000000	"'You may seek it with thimbles--and seek it with care; You may hunt it with forks and hope; You may threaten its life with a railway-share; You may charm it with smiles and soap--'"	"'You may seek it with thimbles-and seek it with care; You may hunt it with forks and hope; You may threaten its life with a railway share; You may charm it with smiles and soap-'"	true	125.3	142.08	21.77939
4039_184265_000012_000000	("That's exactly the method," the Bellman bold In a hasty parenthesis cried, "That's exactly the way I have always been told That the capture of Snarks should be tried!")	("That's exactly the method," the Bellman bold In a hasty parenthesis cried, "That's exactly the way I have always been told That the capture of Snarks should be tried!")	true	142.08	152.59	24
4039_184265_000013_000000	"'But oh, beamish nephew, beware of the day, If your Snark be a Boojum!	"'But oh, beamish nephew, beware of the day, If your Snark be a Boojum!	true	153.38	159.43	22.669304
4039_184265_000013_000001	For then You will softly and suddenly vanish away, And never be met with again!'	For then You will softly and suddenly vanish away, And never be met with again!'	true	159.92	169.72	19.758627
4039_184265_000014_000000	"It is this, it is this that oppresses my soul, When I think of my uncle's last words: And my heart is like nothing so much as a bowl Brimming over with quivering curds!	"It is this, it is this that oppresses my soul, When I think of my uncle's last words: And my heart is like nothing so much as a bowl Brimming over with quivering curds!	true	170.42	184.54	22.180283
4039_184265_000015_000000	"It is this, it is this--"	"It is this, it is this-"	true	184.85	187.06	24
